Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,INDOTHAI,80.05,82.95,78.6,79.65,4165,0.446,9339
2021-09-02,INDOTHAI,82.2,82.2,79.1,81.05,3685,0.6297,5852
2021-09-03,INDOTHAI,82.0,82.0,80.05,80.6,2797,0.7559,3700
2021-09-06,INDOTHAI,80.6,82.2,79.25,81.3,4947,0.5855,8449
2021-09-07,INDOTHAI,80.1,82.0,79.0,81.25,4303,0.3937,10931
2021-09-08,INDOTHAI,80.1,80.75,79.6,80.0,2238,0.7525000000000001,2974
2021-09-09,INDOTHAI,79.0,84.0,79.0,83.55,20245,0.6178,32770
2021-09-13,INDOTHAI,87.25,87.7,84.0,86.3,31161,0.7323000000000001,42553
2021-09-14,INDOTHAI,86.3,88.0,86.3,87.3,23107,0.7862,29392
2021-09-15,INDOTHAI,86.5,88.0,86.5,87.85,9245,0.6697,13804
2021-09-16,INDOTHAI,87.85,88.0,86.65,87.7,4108,0.6609,6216
2021-09-17,INDOTHAI,86.65,88.0,85.5,87.85,34611,0.7888,43878
2021-09-20,INDOTHAI,87.0,90.7,85.6,88.6,20940,0.7764,26972
2021-09-21,INDOTHAI,88.0,90.0,86.25,88.5,11296,0.7918000000000001,14267
2021-09-22,INDOTHAI,90.25,90.3,88.05,89.7,10571,0.7081999999999999,14926
2021-09-23,INDOTHAI,90.5,90.5,88.0,88.05,6134,0.2987,20539
2021-09-24,INDOTHAI,87.0,91.0,87.0,90.0,21021,0.7706000000000001,27277
2021-09-27,INDOTHAI,89.5,90.9,86.7,86.85,5103,0.6125,8331
2021-09-28,INDOTHAI,88.6,88.6,83.1,83.9,4076,0.6386999999999999,6382
2021-09-29,INDOTHAI,85.05,88.0,85.0,87.35,3182,0.3624,8780
2021-09-30,INDOTHAI,88.85,89.1,86.0,86.15,6705,0.3393,19764
2021-10-01,INDOTHAI,86.95,89.0,86.55,87.8,4870,0.652,7469
2021-10-04,INDOTHAI,88.0,89.5,86.5,87.55,3565,0.5602,6364
2021-10-05,INDOTHAI,89.0,89.0,86.05,86.55,5226,0.616,8484
2021-10-06,INDOTHAI,90.5,90.85,90.5,90.85,10318,0.9873999999999999,10450
2021-10-07,INDOTHAI,98.0,99.5,93.5,94.75,78947,0.5344,147721
2021-10-08,INDOTHAI,96.95,97.4,94.55,96.9,11651,0.7716,15100
2021-10-11,INDOTHAI,96.95,100.15,96.95,97.3,21088,0.6297,33490
2021-10-12,INDOTHAI,97.3,100.2,96.65,96.95,29366,0.7362000000000001,39886
2021-10-13,INDOTHAI,97.05,97.95,92.1,93.15,8343,0.6575,12689
2021-10-14,INDOTHAI,93.35,94.9,92.55,92.7,6200,0.6912999999999999,8968
2021-10-18,INDOTHAI,95.5,101.9,92.05,99.55,28188,0.5383,52365
2021-10-19,INDOTHAI,104.8,108.85,97.4,99.95,133734,0.3947,338842
2021-10-20,INDOTHAI,103.0,103.0,98.0,99.9,12036,0.31980000000000003,37632
2021-10-21,INDOTHAI,99.9,101.9,98.25,100.05,9167,0.5661,16194
2021-10-22,INDOTHAI,102.05,105.0,100.0,100.95,74531,0.7643000000000001,97513
2021-10-25,INDOTHAI,102.8,104.75,101.0,104.05,19397,0.6309,30745
2021-10-26,INDOTHAI,104.05,109.35,102.0,104.45,28046,0.48840000000000006,57426
2021-10-27,INDOTHAI,104.45,109.55,101.0,104.9,33340,0.5866,56837
