Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,INDSWFTLAB,64.9,66.4,63.25,63.9,41198,0.5845,70484
2021-09-02,INDSWFTLAB,65.15,67.05,63.8,67.05,76197,0.6686,113959
2021-09-03,INDSWFTLAB,70.4,70.4,68.45,70.4,161638,0.5839,276823
2021-09-06,INDSWFTLAB,69.25,70.8,67.05,68.4,90394,0.6046,149512
2021-09-07,INDSWFTLAB,68.4,69.8,67.05,68.25,29998,0.4985,60176
2021-09-08,INDSWFTLAB,67.7,68.75,67.5,67.8,26084,0.5912,44119
2021-09-09,INDSWFTLAB,67.4,71.15,67.4,71.0,139210,0.4436,313820
2021-09-13,INDSWFTLAB,70.8,71.45,69.1,69.55,74106,0.6055,122393
2021-09-14,INDSWFTLAB,70.0,71.0,68.5,68.8,47699,0.6315999999999999,75518
2021-09-15,INDSWFTLAB,68.5,69.55,66.9,67.95,80844,0.5903,136956
2021-09-16,INDSWFTLAB,68.45,69.7,67.0,68.1,78280,0.6548999999999999,119522
2021-09-17,INDSWFTLAB,68.1,69.5,66.15,67.25,38602,0.6075,63540
2021-09-20,INDSWFTLAB,67.0,67.75,65.7,66.05,41067,0.5889,69733
2021-09-21,INDSWFTLAB,65.5,67.05,63.6,64.0,103356,0.7319,141224
2021-09-22,INDSWFTLAB,64.0,65.6,63.7,64.1,76762,0.7661,100197
2021-09-23,INDSWFTLAB,64.95,67.0,63.7,64.1,66974,0.6396000000000001,104718
2021-09-24,INDSWFTLAB,63.0,64.85,63.0,63.85,38854,0.6763,57455
2021-09-27,INDSWFTLAB,64.0,65.0,62.75,63.0,58492,0.6983,83759
2021-09-28,INDSWFTLAB,62.8,65.45,62.25,63.2,51377,0.6051,84913
2021-09-29,INDSWFTLAB,62.5,65.8,62.5,64.65,79261,0.6039,131243
2021-09-30,INDSWFTLAB,65.85,65.85,64.05,64.3,55339,0.7314,75663
2021-10-01,INDSWFTLAB,64.95,65.0,63.2,63.9,44082,0.7165,61526
2021-10-04,INDSWFTLAB,64.95,65.8,62.95,63.1,98787,0.6505,151874
2021-10-05,INDSWFTLAB,63.6,64.4,62.5,63.2,96055,0.706,136060
2021-10-06,INDSWFTLAB,63.9,66.35,63.0,66.25,130835,0.5478000000000001,238825
2021-10-07,INDSWFTLAB,68.5,69.0,63.5,64.65,123962,0.6276,197513
2021-10-08,INDSWFTLAB,65.0,65.85,63.25,63.8,121054,0.725,166976
2021-10-11,INDSWFTLAB,63.8,64.8,63.1,63.45,59563,0.6239,95475
2021-10-12,INDSWFTLAB,63.4,65.0,63.05,63.8,105047,0.7155,146818
2021-10-13,INDSWFTLAB,64.7,64.7,60.15,62.9,109059,0.5728,190382
2021-10-14,INDSWFTLAB,63.0,64.7,62.6,63.1,38230,0.5916,64621
2021-10-18,INDSWFTLAB,64.0,64.3,62.4,62.7,64746,0.6707,96534
2021-10-19,INDSWFTLAB,62.8,63.4,61.1,61.5,86168,0.7326,117619
2021-10-20,INDSWFTLAB,61.05,62.45,60.25,60.65,43653,0.6866,63578
2021-10-21,INDSWFTLAB,60.8,61.05,59.15,59.55,65194,0.654,99689
2021-10-22,INDSWFTLAB,59.6,61.95,58.95,59.15,50219,0.5994,83784
2021-10-25,INDSWFTLAB,60.0,60.5,57.0,57.9,48472,0.679,71390
2021-10-26,INDSWFTLAB,58.0,60.5,55.15,59.2,64697,0.5824,111090
2021-10-27,INDSWFTLAB,59.95,63.7,59.1,62.35,93185,0.514,181280
2021-10-28,INDSWFTLAB,63.0,63.0,59.3,59.9,42289,0.5619,75257
2021-10-29,INDSWFTLAB,60.0,60.15,57.6,58.95,37692,0.5751,65544
2021-11-01,INDSWFTLAB,60.45,62.45,60.0,61.05,26425,0.5734,46083
2021-11-02,INDSWFTLAB,67.15,67.15,67.15,67.15,228866,1.0,228866
2021-11-03,INDSWFTLAB,71.5,73.85,69.0,73.85,451439,0.5658,797919
2021-11-04,INDSWFTLAB,76.8,78.95,75.0,77.05,306252,0.6634000000000001,461671
2021-11-08,INDSWFTLAB,78.0,78.7,73.2,73.35,252894,0.5619,450054
2021-11-09,INDSWFTLAB,74.2,74.45,70.05,73.35,116485,0.5202,223930
2021-11-10,INDSWFTLAB,73.9,75.8,72.3,73.85,133044,0.645,206257
2021-11-11,INDSWFTLAB,74.25,75.8,73.95,74.6,85730,0.6790999999999999,126235
2021-11-12,INDSWFTLAB,75.8,75.8,73.65,74.35,84591,0.7072,119622
2021-11-15,INDSWFTLAB,75.8,76.5,73.1,73.5,115305,0.7334,157222
2021-11-16,INDSWFTLAB,74.4,74.95,71.5,72.1,68850,0.6978,98669
2021-11-17,INDSWFTLAB,72.6,75.7,70.8,75.7,159228,0.6349,250795
2021-11-18,INDSWFTLAB,77.0,77.95,71.95,73.85,220016,0.5577000000000001,394525
2021-11-22,INDSWFTLAB,74.0,75.25,70.2,70.35,130649,0.762,171460
2021-11-23,INDSWFTLAB,68.25,73.05,68.0,71.35,78395,0.6123,128026
2021-11-24,INDSWFTLAB,71.0,74.5,70.4,72.2,102702,0.5889,174386
2021-11-25,INDSWFTLAB,71.8,75.8,71.55,75.8,129682,0.654,198288
2021-11-26,INDSWFTLAB,75.5,79.55,74.8,79.55,294848,0.6163000000000001,478399
2021-11-29,INDSWFTLAB,81.35,82.5,75.6,76.6,217580,0.5551,391989
2021-11-30,INDSWFTLAB,74.25,78.4,74.25,74.75,99399,0.5329,186541
2021-12-01,INDSWFTLAB,74.9,77.1,73.3,74.75,63061,0.5086999999999999,123955
2021-12-02,INDSWFTLAB,76.9,76.9,73.45,74.45,50279,0.5859000000000001,85817
2021-12-03,INDSWFTLAB,74.45,75.5,72.6,72.95,81732,0.6053000000000001,135030
2021-12-06,INDSWFTLAB,73.95,74.4,72.0,72.25,40763,0.5884,69282
2021-12-07,INDSWFTLAB,73.25,75.0,72.4,73.1,62053,0.5478000000000001,113279
2021-12-08,INDSWFTLAB,73.95,73.95,71.15,72.6,46923,0.6268,74860
2021-12-09,INDSWFTLAB,72.65,73.35,72.4,72.6,27058,0.6844,39538
2021-12-10,INDSWFTLAB,73.4,74.8,72.5,72.95,43688,0.6349,68810
2021-12-13,INDSWFTLAB,72.6,75.9,71.5,72.25,102344,0.6371,160641
2021-12-14,INDSWFTLAB,73.4,74.4,72.2,73.4,54780,0.5127,106854
2021-12-15,INDSWFTLAB,73.4,73.9,71.6,72.25,71709,0.6722,106683
2021-12-16,INDSWFTLAB,72.95,73.5,71.2,71.55,62979,0.7469,84325
2021-12-17,INDSWFTLAB,72.0,72.0,69.7,70.4,46642,0.6386999999999999,73022
2021-12-20,INDSWFTLAB,69.5,71.0,65.0,65.95,77033,0.6765000000000001,113862
2021-12-21,INDSWFTLAB,66.0,68.5,66.0,67.3,24042,0.5917,40632
2021-12-22,INDSWFTLAB,67.9,69.55,64.2,65.8,54955,0.6652,82614
2021-12-23,INDSWFTLAB,66.45,69.5,66.3,68.2,34408,0.4355,79017
2021-12-24,INDSWFTLAB,69.0,69.0,66.6,67.4,38473,0.5442,70694
2021-12-27,INDSWFTLAB,67.4,69.35,66.45,67.25,49324,0.5172,95368
2021-12-28,INDSWFTLAB,67.95,70.65,66.6,67.7,63229,0.488,129555
2021-12-29,INDSWFTLAB,69.15,69.35,67.6,68.15,22548,0.7448,30274
2021-12-30,INDSWFTLAB,69.0,69.15,67.5,67.95,29190,0.7195,40572
2021-12-31,INDSWFTLAB,68.45,69.1,65.7,67.95,34412,0.5662,60781
2022-01-03,INDSWFTLAB,68.1,74.7,68.0,74.7,180135,0.545,330523
2022-01-04,INDSWFTLAB,75.9,82.15,73.0,82.15,570497,0.4156,1372813
2022-01-05,INDSWFTLAB,85.5,85.85,80.0,80.7,436276,0.5920000000000001,736933
2022-01-06,INDSWFTLAB,80.7,82.5,78.5,81.55,117467,0.4917,238912
2022-01-07,INDSWFTLAB,82.7,83.0,78.0,79.15,135529,0.6566,206424
2022-01-10,INDSWFTLAB,80.85,83.0,79.5,80.85,122858,0.6269,195983
2022-01-11,INDSWFTLAB,80.9,81.7,79.05,79.3,57491,0.6286,91464
2022-01-12,INDSWFTLAB,81.6,81.6,76.7,77.55,96427,0.6568,146819
2022-01-13,INDSWFTLAB,78.3,78.9,76.05,76.55,75068,0.6148,122111
2022-01-14,INDSWFTLAB,76.55,83.95,76.5,80.1,193047,0.4976,387929
2022-01-17,INDSWFTLAB,80.75,88.1,80.7,83.0,323610,0.5449,593861
2022-01-18,INDSWFTLAB,84.9,85.6,80.65,81.0,99132,0.6053000000000001,163760
2022-01-19,INDSWFTLAB,81.7,87.7,78.5,83.75,202963,0.3771,538266
2022-01-20,INDSWFTLAB,84.2,85.4,82.0,82.9,77813,0.547,142267
2022-01-21,INDSWFTLAB,82.35,84.15,80.0,80.7,90065,0.5438000000000001,165615
2022-01-24,INDSWFTLAB,79.5,81.7,73.0,76.95,45530,0.6786,188825
