Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,INFRABEES,495.9,495.9,476.03,489.48,687,0.4761,1443
2021-09-02,INFRABEES,491.0,495.0,491.0,494.76,810,0.8325,973
2021-09-03,INFRABEES,507.48,507.48,494.24,498.3,1349,0.7037000000000001,1917
2021-09-06,INFRABEES,503.0,506.87,498.51,502.64,2147,0.7824,2744
2021-09-07,INFRABEES,505.1,506.99,500.01,503.45,1778,0.861,2065
2021-09-08,INFRABEES,504.0,505.0,499.0,501.88,1630,0.951,1714
2021-09-09,INFRABEES,504.0,504.0,499.38,502.06,766,0.9387000000000001,816
2021-09-13,INFRABEES,522.1,522.1,499.04,502.91,2411,0.721,3344
2021-09-14,INFRABEES,500.23,510.0,500.23,505.17,695,0.6868000000000001,1012
2021-09-15,INFRABEES,505.01,513.52,505.01,511.53,1153,0.8201,1406
2021-09-16,INFRABEES,511.53,515.0,505.95,510.73,1722,0.7725,2229
2021-09-17,INFRABEES,546.5,549.98,508.12,512.16,2150,0.8337000000000001,2579
2021-09-20,INFRABEES,520.0,520.0,505.0,506.7,673,0.7092,949
2021-09-21,INFRABEES,549.98,549.98,503.51,510.61,1216,0.7107,1711
2021-09-22,INFRABEES,549.98,549.98,500.16,514.63,407,0.7005,581
2021-09-23,INFRABEES,515.01,522.0,511.0,519.95,3087,0.755,4089
2021-09-24,INFRABEES,525.0,530.35,507.03,519.19,2141,0.5835,3669
2021-09-27,INFRABEES,565.9,565.9,507.11,519.91,1093,0.7384999999999999,1480
2021-09-28,INFRABEES,524.0,527.01,519.01,521.15,4217,0.6470999999999999,6517
2021-09-29,INFRABEES,518.95,528.0,516.0,524.38,1686,0.701,2405
2021-09-30,INFRABEES,527.0,535.99,519.08,522.98,1264,0.5951,2124
2021-10-01,INFRABEES,524.0,524.0,519.0,519.62,874,0.6866,1273
2021-10-04,INFRABEES,527.99,527.99,522.97,526.99,1128,0.6959000000000001,1621
2021-10-05,INFRABEES,524.01,533.16,524.01,530.01,841,0.5122,1642
2021-10-06,INFRABEES,525.0,536.99,521.88,525.66,829,0.121,6850
2021-10-07,INFRABEES,530.0,533.99,522.0,529.06,6128,0.47840000000000005,12809
2021-10-08,INFRABEES,533.0,534.0,521.95,532.7,808,0.09570000000000001,8442
2021-10-11,INFRABEES,525.0,538.11,525.0,534.27,1903,0.8115000000000001,2345
2021-10-12,INFRABEES,539.99,539.99,528.16,532.68,1445,0.6226,2321
2021-10-13,INFRABEES,539.99,543.22,534.08,541.47,3782,0.6807,5556
2021-10-14,INFRABEES,563.1,590.2,541.02,547.1,5125,0.5937,8633
2021-10-18,INFRABEES,554.99,560.0,546.19,547.71,4658,0.7907,5891
2021-10-19,INFRABEES,554.99,554.99,527.63,544.99,2477,0.2484,9972
2021-10-20,INFRABEES,544.0,547.9,536.0,539.7,3149,0.6936,4540
2021-10-21,INFRABEES,544.0,544.0,529.95,535.28,1129,0.4866,2320
2021-10-22,INFRABEES,543.99,544.0,530.0,532.06,1073,0.7309,1468
2021-10-25,INFRABEES,553.3,559.9,523.5,528.8,1315,0.7748999999999999,1697
2021-10-26,INFRABEES,576.4,576.4,526.5,534.58,870,0.8070999999999999,1078
2021-10-27,INFRABEES,535.0,539.99,531.0,532.99,753,0.7676000000000001,981
2021-10-28,INFRABEES,536.0,536.99,525.01,527.13,877,0.9329999999999999,940
2021-10-29,INFRABEES,527.0,536.0,520.0,521.65,4139,0.8844,4680
2021-11-01,INFRABEES,521.69,535.0,521.07,532.95,1696,0.7555,2245
2021-11-02,INFRABEES,531.95,536.98,528.95,530.61,777,0.7019,1107
2021-11-03,INFRABEES,535.0,537.56,530.0,534.51,983,0.8261000000000001,1190
2021-11-04,INFRABEES,541.99,561.0,539.97,554.53,2526,0.93,2716
2021-11-08,INFRABEES,555.0,555.0,536.09,545.76,4726,0.8086,5845
2021-11-09,INFRABEES,496.6,561.68,496.6,545.97,5410,0.8785,6158
2021-11-10,INFRABEES,549.99,554.0,545.1,549.5,1018,0.6911,1473
2021-11-11,INFRABEES,554.99,558.0,541.51,544.3,1620,0.7642,2120
2021-11-12,INFRABEES,551.99,552.89,539.5,551.68,1460,0.7845000000000001,1861
2021-11-15,INFRABEES,557.99,559.0,549.11,553.58,1792,0.9078,1974
2021-11-16,INFRABEES,553.0,553.0,546.0,547.08,2377,0.7931,2997
2021-11-17,INFRABEES,551.99,551.99,540.99,541.75,2095,0.8885,2358
2021-11-18,INFRABEES,546.99,546.99,536.01,537.99,1307,0.8520000000000001,1534
2021-11-22,INFRABEES,548.07,548.07,522.75,526.7,5004,0.9506,5264
2021-11-23,INFRABEES,533.99,536.31,524.1,534.82,4927,0.9248999999999999,5327
2021-11-24,INFRABEES,539.99,540.0,526.25,532.19,1450,0.8174,1774
2021-11-25,INFRABEES,510.9,541.6,510.9,541.2,649,0.5481,1184
2021-11-26,INFRABEES,541.0,541.0,513.13,517.87,7127,0.5918,12042
2021-11-29,INFRABEES,522.0,527.0,512.01,517.74,4883,0.9374,5209
2021-11-30,INFRABEES,524.99,524.99,508.01,514.15,1807,0.758,2384
2021-12-01,INFRABEES,510.0,521.99,510.0,517.0,1068,0.7779,1373
2021-12-02,INFRABEES,518.0,525.65,518.0,523.45,744,0.5192,1433
2021-12-03,INFRABEES,528.99,528.99,518.0,519.89,799,0.5590999999999999,1429
2021-12-06,INFRABEES,524.99,524.99,509.8,509.98,3969,0.9231999999999999,4299
2021-12-07,INFRABEES,510.01,517.91,509.7,516.48,677,0.6222,1088
2021-12-08,INFRABEES,516.5,524.99,516.5,523.63,1037,0.7093,1462
2021-12-09,INFRABEES,524.0,528.25,522.5,526.56,759,0.7906000000000001,960
2021-12-10,INFRABEES,531.99,531.99,524.0,526.95,861,0.855,1007
2021-12-13,INFRABEES,532.03,533.99,523.0,524.57,1181,0.6576000000000001,1796
2021-12-14,INFRABEES,529.61,534.61,519.1,523.37,1132,0.8045,1407
2021-12-15,INFRABEES,524.0,528.99,519.81,520.19,809,0.7140000000000001,1133
2021-12-16,INFRABEES,515.31,525.31,515.31,518.84,1516,0.8217,1845
2021-12-17,INFRABEES,513.71,522.99,508.0,509.1,3503,0.8086,4332
2021-12-20,INFRABEES,496.56,514.99,485.67,494.16,6603,0.8257,7997
2021-12-21,INFRABEES,499.31,504.22,490.0,501.33,5408,0.9503,5691
2021-12-22,INFRABEES,506.51,509.14,502.0,507.42,419,0.696,602
2021-12-23,INFRABEES,513.99,513.99,503.5,511.25,1266,0.8835,1433
2021-12-24,INFRABEES,506.11,512.55,500.2,506.73,747,0.8676,861
2021-12-27,INFRABEES,506.1,508.92,504.74,507.77,542,0.8549,634
2021-12-28,INFRABEES,487.5,518.0,462.1,513.75,996,0.6256,1592
2021-12-29,INFRABEES,518.98,518.98,506.1,511.74,1268,0.4924,2575
2021-12-30,INFRABEES,516.99,516.99,481.56,510.93,946,0.8233,1149
2021-12-31,INFRABEES,511.43,522.0,503.25,517.76,2288,0.6959000000000001,3288
2022-01-03,INFRABEES,522.91,522.91,513.06,521.17,1109,0.8209000000000001,1351
2022-01-04,INFRABEES,524.0,528.99,512.25,527.86,1043,0.7591,1374
2022-01-05,INFRABEES,531.0,531.0,524.25,528.66,885,0.6517000000000001,1358
2022-01-06,INFRABEES,523.71,530.0,523.1,527.11,905,0.6744,1342
2022-01-07,INFRABEES,530.0,532.25,524.64,527.16,1075,0.6543000000000001,1643
2022-01-10,INFRABEES,532.21,532.5,527.0,532.45,1620,0.8398000000000001,1929
2022-01-11,INFRABEES,533.0,536.67,532.2,533.95,603,0.8434,715
2022-01-12,INFRABEES,539.0,545.0,533.62,542.75,3160,0.8874,3561
2022-01-13,INFRABEES,547.91,550.0,542.7,546.77,2660,0.6497,4094
2022-01-14,INFRABEES,550.37,550.37,541.81,548.29,1290,0.6836,1887
2022-01-17,INFRABEES,554.28,554.99,545.1,551.86,6515,0.8765999999999999,7432
2022-01-18,INFRABEES,556.91,556.91,540.6,542.56,1437,0.892,1611
2022-01-19,INFRABEES,543.0,543.0,533.25,539.92,1542,0.812,1899
2022-01-20,INFRABEES,544.91,544.91,535.65,539.11,2109,0.7511,2808
2022-01-21,INFRABEES,587.6,587.6,527.05,531.66,2387,0.6790999999999999,3515
2022-01-24,INFRABEES,526.71,535.0,512.0,516.07,1849,0.4949,4821
2022-01-25,INFRABEES,505.07,521.39,505.07,520.93,2096,0.523,4008
2022-01-27,INFRABEES,524.99,524.99,509.0,516.06,3856,0.9667,3989
2022-01-28,INFRABEES,521.11,526.61,515.1,517.89,1516,0.8743000000000001,1734
