Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,INOXLEISUR,310.0,311.85,304.25,307.35,213089,0.6332,336506
2021-09-02,INOXLEISUR,307.55,308.3,306.0,306.6,64032,0.5633,113676
2021-09-03,INOXLEISUR,307.9,313.0,306.9,307.3,67938,0.4339,156572
2021-09-06,INOXLEISUR,308.85,310.9,304.0,305.15,178764,0.4416,404842
2021-09-07,INOXLEISUR,306.9,307.85,303.5,305.4,77515,0.4365,177602
2021-09-08,INOXLEISUR,307.9,308.75,304.45,306.0,331351,0.8057,411267
2021-09-09,INOXLEISUR,307.0,308.1,304.65,306.05,70620,0.4558,154927
2021-09-13,INOXLEISUR,306.95,306.95,299.0,300.55,713638,0.6928,1030024
2021-09-14,INOXLEISUR,300.6,305.9,300.6,304.8,417432,0.7173999999999999,581836
2021-09-15,INOXLEISUR,309.65,309.65,302.8,304.65,174883,0.4429,394817
2021-09-16,INOXLEISUR,306.0,307.4,303.0,304.1,95158,0.5813,163691
2021-09-17,INOXLEISUR,304.1,309.5,302.45,306.2,648906,0.7379000000000001,879406
2021-09-20,INOXLEISUR,307.0,331.0,306.0,313.35,523168,0.2509,2085403
2021-09-21,INOXLEISUR,315.9,331.8,313.35,323.1,1450931,0.4276,3393120
2021-09-22,INOXLEISUR,324.5,384.0,324.5,359.75,1333176,0.18600000000000003,7166595
2021-09-23,INOXLEISUR,362.5,367.65,345.55,348.55,599759,0.245,2448251
2021-09-24,INOXLEISUR,350.0,355.5,337.2,349.5,497975,0.4108,1212112
2021-09-27,INOXLEISUR,378.5,413.9,370.0,378.45,898188,0.1547,5805231
2021-09-28,INOXLEISUR,373.8,391.8,365.45,385.5,457300,0.18539999999999998,2466656
2021-09-29,INOXLEISUR,381.0,395.0,367.0,387.8,373049,0.20170000000000002,1849177
2021-09-30,INOXLEISUR,387.8,397.85,381.85,393.25,273112,0.30760000000000004,887901
2021-10-01,INOXLEISUR,392.7,408.75,387.15,391.8,540229,0.2506,2155833
2021-10-04,INOXLEISUR,396.0,421.0,392.8,414.75,514279,0.2458,2092156
2021-10-05,INOXLEISUR,414.0,421.6,402.0,409.0,385906,0.28300000000000003,1363554
2021-10-06,INOXLEISUR,412.2,413.6,401.1,405.45,218385,0.2784,784339
2021-10-07,INOXLEISUR,408.0,425.0,405.85,420.5,292388,0.3883,753069
2021-10-08,INOXLEISUR,422.6,431.7,414.4,416.6,221371,0.2918,758734
2021-10-11,INOXLEISUR,420.5,424.7,410.55,412.3,150909,0.3053,494336
2021-10-12,INOXLEISUR,413.95,424.3,409.3,414.8,127815,0.2347,544515
2021-10-13,INOXLEISUR,420.0,424.4,410.0,412.0,201822,0.3372,598566
2021-10-14,INOXLEISUR,414.95,418.0,411.05,415.4,124296,0.36340000000000006,342060
2021-10-18,INOXLEISUR,418.9,423.9,411.55,413.75,206016,0.3772,546212
2021-10-19,INOXLEISUR,416.9,421.95,403.1,409.85,178111,0.3558,500555
2021-10-20,INOXLEISUR,409.8,418.0,405.0,410.85,181068,0.3506,516404
2021-10-21,INOXLEISUR,414.2,421.0,410.2,419.7,225874,0.43670000000000003,517282
2021-10-22,INOXLEISUR,422.0,436.9,413.85,417.8,441901,0.2261,1954746
2021-10-25,INOXLEISUR,414.5,438.8,407.4,416.05,433412,0.20120000000000002,2154570
2021-10-26,INOXLEISUR,417.3,430.0,415.15,419.8,161768,0.2746,589103
2021-10-27,INOXLEISUR,420.0,427.0,418.3,420.45,154902,0.4241,365228
2021-10-28,INOXLEISUR,420.05,427.5,414.25,417.25,151045,0.3084,489826
2021-10-29,INOXLEISUR,417.4,423.8,407.0,419.05,97681,0.2795,349501
2021-11-01,INOXLEISUR,419.05,426.9,417.9,423.05,71749,0.3063,234273
2021-11-02,INOXLEISUR,425.1,432.7,423.1,428.7,308214,0.4422,697058
2021-11-03,INOXLEISUR,431.5,434.9,429.45,432.75,143228,0.3935,363950
2021-11-04,INOXLEISUR,439.0,441.0,435.25,438.0,80780,0.5191,155608
2021-11-08,INOXLEISUR,447.9,466.0,446.3,462.35,476716,0.2939,1622116
2021-11-09,INOXLEISUR,465.2,465.2,438.85,442.2,457997,0.41159999999999997,1112806
2021-11-10,INOXLEISUR,441.0,449.1,436.0,439.6,91325,0.27940000000000004,326827
2021-11-11,INOXLEISUR,439.0,440.6,425.55,429.05,89704,0.33490000000000003,267861
2021-11-12,INOXLEISUR,431.4,441.7,423.0,438.7,108159,0.3486,310246
2021-11-15,INOXLEISUR,438.9,438.9,421.65,424.8,80218,0.3546,226193
2021-11-16,INOXLEISUR,426.1,432.0,423.15,425.95,56911,0.2793,203735
2021-11-17,INOXLEISUR,420.9,432.0,420.9,426.3,63131,0.2693,234459
2021-11-18,INOXLEISUR,427.4,429.35,415.0,418.5,446310,0.7422,601350
2021-11-22,INOXLEISUR,420.2,420.2,387.35,398.45,164414,0.34090000000000004,482318
2021-11-23,INOXLEISUR,382.0,411.7,382.0,407.55,104308,0.2583,403771
2021-11-24,INOXLEISUR,407.5,419.0,402.0,407.0,59406,0.2987,198869
2021-11-25,INOXLEISUR,403.55,417.0,396.25,414.0,74084,0.2553,290219
2021-11-26,INOXLEISUR,409.0,409.0,372.1,377.3,402666,0.3075,1309288
2021-11-29,INOXLEISUR,351.35,388.0,344.2,375.5,611062,0.2066,2958062
2021-11-30,INOXLEISUR,370.0,420.5,353.85,400.25,710819,0.3147,2258443
2021-12-01,INOXLEISUR,392.0,398.8,374.85,381.05,87226,0.1375,634503
2021-12-02,INOXLEISUR,377.0,382.75,362.1,364.65,217645,0.2807,775274
2021-12-03,INOXLEISUR,368.35,379.95,351.6,357.35,338513,0.2543,1331355
2021-12-06,INOXLEISUR,357.95,357.95,337.7,342.5,184397,0.2979,618989
2021-12-07,INOXLEISUR,342.6,363.0,342.6,358.9,118872,0.2161,550085
2021-12-08,INOXLEISUR,363.75,399.0,363.75,391.8,584167,0.2031,2875624
2021-12-09,INOXLEISUR,392.2,419.5,385.15,408.8,162754,0.1494,1089485
2021-12-10,INOXLEISUR,406.95,407.0,397.35,399.45,81927,0.1663,492727
2021-12-13,INOXLEISUR,403.7,407.0,390.65,393.75,76117,0.1906,399413
2021-12-14,INOXLEISUR,390.0,415.0,381.0,409.7,189097,0.2163,874393
2021-12-15,INOXLEISUR,408.0,419.5,404.0,411.35,230939,0.22690000000000002,1017842
2021-12-16,INOXLEISUR,415.5,415.5,385.7,394.25,317683,0.4473,710240
2021-12-17,INOXLEISUR,395.1,397.85,385.0,389.75,158242,0.363,435891
2021-12-20,INOXLEISUR,381.0,390.05,360.15,372.85,111089,0.21100000000000002,526494
2021-12-21,INOXLEISUR,371.2,418.0,371.2,381.55,56750,0.1311,432797
2021-12-22,INOXLEISUR,383.4,390.0,370.35,374.6,74836,0.2143,349233
2021-12-23,INOXLEISUR,378.8,384.9,368.4,372.5,109608,0.2509,436866
2021-12-24,INOXLEISUR,380.0,380.0,363.9,367.55,95508,0.21489999999999998,444347
2021-12-27,INOXLEISUR,360.0,363.5,347.3,351.6,290326,0.3654,794457
2021-12-28,INOXLEISUR,356.7,362.6,342.4,350.7,139175,0.1568,887782
2021-12-29,INOXLEISUR,347.0,362.0,342.5,353.95,81455,0.1376,592120
