Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,IVZINGOLD,4297.35,4297.35,4255.0,4258.3,152,0.9102,167
2021-09-02,IVZINGOLD,4260.05,4260.05,4238.95,4260.0,86,0.9148999999999999,94
2021-09-03,IVZINGOLD,4309.95,4309.95,4213.8,4247.1,28,0.5714,49
2021-09-06,IVZINGOLD,4270.1,4290.0,4270.05,4290.0,26,0.8125,32
2021-09-07,IVZINGOLD,4261.05,4264.05,4250.0,4260.1,49,0.9074,54
2021-09-08,IVZINGOLD,4258.95,4271.9,4239.0,4252.0,9,0.8181999999999999,11
2021-09-09,IVZINGOLD,4239.0,4265.0,4220.0,4229.35,8,0.42110000000000003,19
2021-09-13,IVZINGOLD,4248.2,4254.95,4222.0,4237.85,34,0.6296,54
2021-09-14,IVZINGOLD,4202.05,4287.95,4202.05,4213.75,39,0.619,63
2021-09-15,IVZINGOLD,4218.85,4273.9,4215.0,4249.7,32,0.6809000000000001,47
2021-09-16,IVZINGOLD,4250.0,4250.0,4199.95,4201.0,15,0.4839,31
2021-09-17,IVZINGOLD,4180.05,4197.95,4147.8,4175.0,68,0.8095,84
2021-09-20,IVZINGOLD,4241.65,4247.9,4130.0,4231.6,73,0.6404000000000001,114
2021-09-21,IVZINGOLD,4265.95,4265.95,4154.1,4184.4,16,0.48479999999999995,33
2021-09-22,IVZINGOLD,4265.9,4265.9,4172.0,4187.75,70,0.8434,83
2021-09-23,IVZINGOLD,4187.75,4202.7,4166.05,4197.8,33,0.6735,49
2021-09-24,IVZINGOLD,4169.0,4170.0,4150.05,4157.35,40,0.7273000000000001,55
2021-09-27,IVZINGOLD,4159.95,4193.35,4159.95,4163.5,152,0.8941,170
2021-09-28,IVZINGOLD,4157.95,4165.65,4150.0,4155.8,13,0.52,25
2021-09-29,IVZINGOLD,4001.25,4187.9,3400.25,4170.15,121,0.8832,137
2021-09-30,IVZINGOLD,4150.05,4150.05,4110.0,4121.05,70,0.56,125
2021-10-01,IVZINGOLD,4193.95,4193.95,4155.0,4189.4,45,0.6522,69
2021-10-04,IVZINGOLD,4189.45,4210.0,4173.05,4198.8,56,0.8235,68
2021-10-05,IVZINGOLD,4208.15,4208.15,4174.0,4185.0,28,0.4746,59
2021-10-06,IVZINGOLD,4185.1,4201.95,4160.05,4181.0,72,0.9,80
2021-10-07,IVZINGOLD,4202.9,4215.8,4185.05,4191.0,23,0.6765000000000001,34
2021-10-08,IVZINGOLD,4228.35,4228.35,4172.35,4194.95,72,0.7059000000000001,102
2021-10-11,IVZINGOLD,4227.8,4230.0,4200.0,4217.0,23,0.6053000000000001,38
