Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,JAGRAN,56.85,60.4,56.45,59.8,221742,0.514,431386
2021-09-02,JAGRAN,60.15,60.15,56.85,57.85,319243,0.6601,483641
2021-09-03,JAGRAN,57.75,60.1,57.75,58.75,173553,0.5439,319113
2021-09-06,JAGRAN,59.2,59.25,58.0,58.4,46910,0.4842,96872
2021-09-07,JAGRAN,58.4,58.65,57.0,57.25,42625,0.49840000000000007,85523
2021-09-08,JAGRAN,57.25,58.15,57.05,57.8,23187,0.3857,60110
2021-09-09,JAGRAN,58.0,58.05,56.3,56.9,71301,0.5115,139402
2021-09-13,JAGRAN,57.0,58.0,56.45,56.55,81147,0.5674,143010
2021-09-14,JAGRAN,56.6,59.65,56.6,58.65,173238,0.5321,325604
2021-09-15,JAGRAN,58.7,61.55,58.7,61.15,177455,0.5199,341349
2021-09-16,JAGRAN,61.0,62.95,60.55,62.25,141710,0.4901,289124
2021-09-17,JAGRAN,61.35,64.35,58.0,63.15,378084,0.6381,592556
2021-09-20,JAGRAN,62.1,63.4,61.1,61.25,93028,0.61,152508
2021-09-21,JAGRAN,61.1,61.8,59.25,60.45,99524,0.5743,173304
2021-09-22,JAGRAN,60.2,64.2,60.2,62.5,107281,0.3552,302008
2021-09-23,JAGRAN,62.5,63.65,60.7,61.0,83614,0.5067,165007
2021-09-24,JAGRAN,61.85,61.85,59.4,59.8,50315,0.5485,91738
2021-09-27,JAGRAN,60.5,61.0,58.5,60.35,99329,0.612,162314
2021-09-28,JAGRAN,61.0,61.45,59.45,59.65,43403,0.5658,76715
2021-09-29,JAGRAN,59.65,60.5,58.8,59.1,54722,0.6064,90246
2021-09-30,JAGRAN,60.0,60.5,59.1,59.5,44790,0.47500000000000003,94298
2021-10-01,JAGRAN,59.5,60.0,59.3,59.85,51307,0.5723,89655
2021-10-04,JAGRAN,60.6,61.85,59.55,60.05,105316,0.6274000000000001,167851
2021-10-05,JAGRAN,60.5,62.7,60.4,62.2,150743,0.6259,240824
2021-10-06,JAGRAN,61.5,63.95,60.5,60.95,76351,0.5791,131839
2021-10-07,JAGRAN,60.6,61.9,60.5,60.85,52839,0.5529000000000001,95561
2021-10-08,JAGRAN,61.0,62.5,59.9,61.4,142823,0.7238,197326
2021-10-11,JAGRAN,61.0,62.7,61.0,61.7,71234,0.677,105214
2021-10-12,JAGRAN,61.7,62.2,60.1,60.95,73356,0.6978,105122
2021-10-13,JAGRAN,61.0,63.25,61.0,62.05,166903,0.5454,306020
2021-10-14,JAGRAN,62.45,63.4,61.5,62.05,105421,0.6169,170890
2021-10-18,JAGRAN,62.1,65.5,62.1,64.15,290319,0.5527000000000001,525273
2021-10-19,JAGRAN,64.55,64.9,60.0,61.35,140013,0.623,224742
2021-10-20,JAGRAN,61.2,61.8,59.7,60.95,106262,0.6686,158941
2021-10-21,JAGRAN,61.0,61.5,60.15,60.85,52931,0.5497,96289
2021-10-22,JAGRAN,61.0,64.4,60.9,62.05,173759,0.4292,404820
2021-10-25,JAGRAN,62.5,63.35,60.75,61.6,77355,0.5335,145004
2021-10-26,JAGRAN,67.05,71.4,65.0,66.85,1025701,0.17370000000000002,5906362
2021-10-27,JAGRAN,66.0,66.5,64.05,64.5,196593,0.3604,545464
2021-10-28,JAGRAN,65.3,65.3,62.55,62.85,136087,0.4715,288615
2021-10-29,JAGRAN,62.85,63.0,61.3,62.0,81550,0.4374,186440
2021-11-01,JAGRAN,62.1,64.0,62.1,63.8,203511,0.7112999999999999,286111
2021-11-02,JAGRAN,63.95,66.25,63.7,64.65,163556,0.5409,302399
2021-11-03,JAGRAN,65.4,65.4,63.3,64.1,67638,0.4894,138194
2021-11-04,JAGRAN,64.1,66.7,64.1,66.2,95414,0.6262,152365
2021-11-08,JAGRAN,66.2,67.0,65.0,65.55,111531,0.5700999999999999,195647
2021-11-09,JAGRAN,65.9,69.0,65.4,68.3,240560,0.5987,401833
2021-11-10,JAGRAN,67.8,69.45,67.5,68.7,190266,0.5996,317338
2021-11-11,JAGRAN,68.0,69.1,66.0,66.3,98915,0.5459,181199
2021-11-12,JAGRAN,66.15,67.3,65.3,65.7,150615,0.6646,226636
2021-11-15,JAGRAN,66.1,68.6,65.55,66.65,105561,0.4532,232912
2021-11-16,JAGRAN,66.65,68.75,66.35,67.1,102933,0.45630000000000004,225559
2021-11-17,JAGRAN,67.1,68.7,66.05,66.3,91811,0.5105,179856
2021-11-18,JAGRAN,67.0,67.45,64.3,64.55,112805,0.5929,190273
2021-11-22,JAGRAN,64.55,65.8,63.25,63.85,171022,0.5078,336783
2021-11-23,JAGRAN,63.8,65.4,63.4,65.05,64214,0.48100000000000004,133492
2021-11-24,JAGRAN,66.1,67.8,65.6,66.4,89633,0.4593,195150
2021-11-25,JAGRAN,67.3,68.9,66.5,67.9,141089,0.4416,319484
2021-11-26,JAGRAN,67.6,67.6,64.7,65.0,95547,0.4744,201417
2021-11-29,JAGRAN,65.9,66.0,62.05,62.5,66597,0.5089,130873
2021-11-30,JAGRAN,62.0,63.8,61.1,61.55,159630,0.5832,273701
2021-12-01,JAGRAN,63.0,63.15,61.45,61.8,52447,0.5017,104544
2021-12-02,JAGRAN,62.0,62.9,61.7,62.05,38120,0.4721,80745
