Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,JAGSNPHARM,150.0,150.45,145.75,146.15,25471,0.5847,43562
2021-09-02,JAGSNPHARM,146.0,149.4,145.5,148.0,19286,0.5619,34323
2021-09-03,JAGSNPHARM,149.45,149.45,143.1,144.55,35167,0.5581,63013
2021-09-06,JAGSNPHARM,145.4,146.4,139.0,141.55,36750,0.6177,59498
2021-09-07,JAGSNPHARM,144.8,144.8,140.0,140.9,23123,0.6194,37332
2021-09-08,JAGSNPHARM,141.7,143.4,139.55,141.2,23315,0.6083,38331
2021-09-09,JAGSNPHARM,141.0,169.4,139.3,168.65,219723,0.2139,1027428
2021-09-13,JAGSNPHARM,169.5,176.0,160.15,165.2,209782,0.5108,410677
2021-09-14,JAGSNPHARM,164.7,169.7,161.3,162.85,41537,0.5086,81669
2021-09-15,JAGSNPHARM,163.9,164.85,158.1,159.9,44587,0.6043000000000001,73787
2021-09-16,JAGSNPHARM,160.4,160.4,156.0,157.9,32806,0.5433,60385
2021-09-17,JAGSNPHARM,159.45,173.45,159.0,161.5,88231,0.358,246452
2021-09-20,JAGSNPHARM,159.0,163.25,153.2,155.15,33997,0.5422,62697
2021-09-21,JAGSNPHARM,157.5,157.8,148.25,152.6,48084,0.6759999999999999,71134
2021-09-22,JAGSNPHARM,154.1,156.35,152.0,154.2,16476,0.5353,30778
2021-09-23,JAGSNPHARM,155.9,158.65,152.1,154.0,18726,0.5669,33033
2021-09-24,JAGSNPHARM,155.95,155.95,150.0,151.45,14984,0.5332,28102
2021-09-27,JAGSNPHARM,152.5,154.5,148.2,149.55,22377,0.5858,38198
2021-09-28,JAGSNPHARM,150.4,172.4,150.4,159.15,153535,0.30510000000000004,503267
2021-09-29,JAGSNPHARM,158.0,159.9,155.25,158.45,32939,0.5403,60961
2021-09-30,JAGSNPHARM,159.5,164.8,155.0,156.35,47597,0.5118,92992
2021-10-01,JAGSNPHARM,155.0,158.45,154.6,155.6,25738,0.6414,40127
2021-10-04,JAGSNPHARM,156.2,159.65,153.15,154.3,63420,0.7415999999999999,85519
2021-10-05,JAGSNPHARM,155.0,155.45,153.0,153.9,23952,0.5458,43886
2021-10-06,JAGSNPHARM,154.4,158.9,152.0,152.85,44072,0.6619,66580
2021-10-07,JAGSNPHARM,153.5,155.9,150.0,152.2,37773,0.5517000000000001,68465
2021-10-08,JAGSNPHARM,153.8,156.4,149.5,152.95,39197,0.5586,70170
2021-10-11,JAGSNPHARM,152.95,155.0,152.0,152.45,27348,0.7038,38857
2021-10-12,JAGSNPHARM,152.4,156.5,151.05,153.7,50535,0.6592,76656
2021-10-13,JAGSNPHARM,153.75,154.9,151.0,151.55,50381,0.7353000000000001,68513
2021-10-14,JAGSNPHARM,152.4,153.8,150.0,151.0,36183,0.6185,58502
2021-10-18,JAGSNPHARM,152.0,168.0,152.0,162.3,257191,0.4753,541098
2021-10-19,JAGSNPHARM,163.7,169.7,161.0,162.15,140034,0.6091,229895
