Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,JAMNAAUTO,90.6,93.25,87.5,88.1,455885,0.4789,951992
2021-09-02,JAMNAAUTO,87.65,88.9,86.6,87.4,230475,0.6133,375822
2021-09-03,JAMNAAUTO,88.0,88.7,85.65,86.0,252173,0.6994,360556
2021-09-06,JAMNAAUTO,86.85,88.55,86.15,87.35,520429,0.6281,828523
2021-09-07,JAMNAAUTO,87.7,87.75,86.3,87.0,452194,0.6506000000000001,695049
2021-09-08,JAMNAAUTO,87.25,87.7,85.2,86.0,653920,0.7084999999999999,922951
2021-09-09,JAMNAAUTO,86.0,86.9,85.5,86.0,184001,0.5291,347771
2021-09-13,JAMNAAUTO,85.4,86.0,84.25,85.55,161956,0.4667,347027
2021-09-14,JAMNAAUTO,85.2,86.45,85.1,85.65,153109,0.473,323727
2021-09-15,JAMNAAUTO,86.45,94.0,86.0,91.0,1511858,0.287,5268392
2021-09-16,JAMNAAUTO,93.0,94.4,91.0,92.2,978639,0.38630000000000003,2533677
2021-09-17,JAMNAAUTO,93.15,100.0,91.8,96.45,2256841,0.2181,10346087
2021-09-20,JAMNAAUTO,94.8,96.3,89.9,91.15,721866,0.401,1800077
2021-09-21,JAMNAAUTO,91.0,91.75,88.4,90.25,423140,0.4051,1044511
2021-09-22,JAMNAAUTO,90.55,95.3,90.3,91.8,339988,0.33899999999999997,1002877
2021-09-23,JAMNAAUTO,92.6,93.3,88.5,89.95,513728,0.5583,920111
2021-09-24,JAMNAAUTO,89.7,91.95,88.8,90.5,425816,0.33590000000000003,1267628
2021-09-27,JAMNAAUTO,91.15,94.5,90.2,91.9,517178,0.3912,1321918
2021-09-28,JAMNAAUTO,93.1,93.3,89.8,90.85,230181,0.435,529208
2021-09-29,JAMNAAUTO,90.4,91.0,89.1,89.55,283701,0.5379,527413
2021-09-30,JAMNAAUTO,90.0,91.0,87.8,89.35,517069,0.5631,918225
2021-10-01,JAMNAAUTO,88.9,90.65,88.15,90.05,230509,0.45520000000000005,506365
2021-10-04,JAMNAAUTO,90.7,91.35,90.0,90.55,241709,0.6021,401470
2021-10-05,JAMNAAUTO,90.7,90.8,89.25,90.2,324202,0.43950000000000006,737594
2021-10-06,JAMNAAUTO,90.1,91.95,88.8,89.55,328581,0.45880000000000004,716110
2021-10-07,JAMNAAUTO,90.25,95.85,90.25,95.15,1408785,0.5005,2814592
2021-10-08,JAMNAAUTO,95.75,99.25,93.3,94.0,892993,0.2968,3009067
2021-10-11,JAMNAAUTO,94.4,96.25,93.1,94.05,278003,0.2516,1104943
2021-10-12,JAMNAAUTO,92.75,97.35,92.75,95.7,448921,0.3181,1411175
2021-10-13,JAMNAAUTO,96.4,100.8,96.0,97.15,1357436,0.33049999999999996,4107799
2021-10-14,JAMNAAUTO,97.9,100.75,96.9,98.9,1764696,0.5288,3337086
2021-10-18,JAMNAAUTO,100.0,102.0,97.5,98.0,788410,0.3921,2010947
2021-10-19,JAMNAAUTO,98.0,98.45,92.1,93.0,552529,0.4951,1115964
2021-10-20,JAMNAAUTO,93.5,96.45,89.8,95.05,434547,0.38310000000000005,1134244
2021-10-21,JAMNAAUTO,95.8,95.8,93.2,94.65,206850,0.3911,528843
2021-10-22,JAMNAAUTO,94.9,95.55,91.0,94.05,270800,0.46890000000000004,577488
2021-10-25,JAMNAAUTO,99.0,99.0,93.9,95.9,594169,0.40659999999999996,1461355
2021-10-26,JAMNAAUTO,95.95,97.8,95.85,97.5,432258,0.5724,755185
2021-10-27,JAMNAAUTO,98.0,100.9,96.55,98.35,916343,0.408,2246056
2021-10-28,JAMNAAUTO,98.8,99.45,96.55,98.0,448621,0.47270000000000006,949067
2021-10-29,JAMNAAUTO,98.0,98.3,95.0,97.45,204284,0.38450000000000006,531311
2021-11-01,JAMNAAUTO,97.45,99.5,95.0,98.05,214071,0.35590000000000005,601445
2021-11-02,JAMNAAUTO,99.0,105.5,98.95,102.55,1222615,0.2776,4404607
2021-11-03,JAMNAAUTO,103.2,103.5,98.6,99.5,387296,0.39049999999999996,991759
2021-11-04,JAMNAAUTO,100.2,101.4,99.9,100.7,122267,0.5552,220207
2021-11-08,JAMNAAUTO,101.4,101.45,99.5,100.1,237973,0.40909999999999996,581643
2021-11-09,JAMNAAUTO,100.4,110.9,100.4,108.25,2076083,0.23199999999999998,8948389
2021-11-10,JAMNAAUTO,107.4,111.5,106.0,110.35,877227,0.3417,2567584
2021-11-11,JAMNAAUTO,110.0,110.0,104.0,105.25,1091621,0.4062,2687514
2021-11-12,JAMNAAUTO,106.75,106.85,102.25,104.1,496755,0.4264,1165116
2021-11-15,JAMNAAUTO,105.0,106.45,103.95,104.95,253284,0.32280000000000003,784584
2021-11-16,JAMNAAUTO,105.85,112.75,104.7,107.4,777065,0.24989999999999998,3109715
2021-11-17,JAMNAAUTO,107.0,113.2,106.0,111.05,1058554,0.3186,3322984
2021-11-18,JAMNAAUTO,111.2,112.5,106.5,110.65,541922,0.29100000000000004,1862169
2021-11-22,JAMNAAUTO,112.0,112.0,100.0,101.55,625198,0.3713,1683691
2021-11-23,JAMNAAUTO,101.6,105.9,101.45,104.6,275668,0.2813,979842
2021-11-24,JAMNAAUTO,105.45,107.9,104.85,105.6,311385,0.35130000000000006,886381
2021-11-25,JAMNAAUTO,111.7,111.7,106.3,110.1,812977,0.3116,2608696
2021-11-26,JAMNAAUTO,108.15,111.2,104.0,106.3,987987,0.45130000000000003,2189330
2021-11-29,JAMNAAUTO,106.2,106.2,85.15,102.25,612340,0.34149999999999997,1792870
2021-11-30,JAMNAAUTO,102.0,105.9,97.5,99.0,751802,0.47000000000000003,1599492
2021-12-01,JAMNAAUTO,100.75,102.0,98.3,100.3,562859,0.474,1187457
2021-12-02,JAMNAAUTO,100.45,101.85,99.7,100.8,186912,0.4447,420282
2021-12-03,JAMNAAUTO,101.55,102.15,99.5,100.05,208888,0.4744,440295
2021-12-06,JAMNAAUTO,101.5,101.5,98.65,99.3,287397,0.4968,578500
2021-12-07,JAMNAAUTO,101.0,118.9,99.55,111.85,916269,0.46530000000000005,1969125
2021-12-08,JAMNAAUTO,113.0,116.7,110.3,113.8,997914,0.22829999999999998,4370579
2021-12-09,JAMNAAUTO,112.85,114.35,109.55,110.3,547526,0.3685,1485935
2021-12-10,JAMNAAUTO,110.5,115.35,108.25,112.0,386617,0.2076,1861921
2021-12-13,JAMNAAUTO,113.45,114.7,112.0,112.95,302582,0.325,931017
2021-12-14,JAMNAAUTO,112.85,114.35,110.55,111.15,310221,0.3074,1009102
2021-12-15,JAMNAAUTO,111.05,111.9,108.2,108.85,215800,0.34090000000000004,633092
2021-12-16,JAMNAAUTO,109.5,110.75,105.25,106.4,168254,0.271,620946
2021-12-17,JAMNAAUTO,106.5,107.5,100.4,104.55,458922,0.3519,1303989
2021-12-20,JAMNAAUTO,102.75,102.75,99.0,99.8,337667,0.3981,848245
2021-12-21,JAMNAAUTO,99.55,103.9,99.55,102.4,216500,0.3271,661855
2021-12-22,JAMNAAUTO,103.15,104.1,101.15,101.65,159068,0.31260000000000004,508849
2021-12-23,JAMNAAUTO,102.5,103.8,99.1,100.9,199636,0.3951,505343
2021-12-24,JAMNAAUTO,101.0,101.5,99.8,100.5,193479,0.4779,404831
2021-12-27,JAMNAAUTO,100.5,104.1,99.1,101.9,277194,0.3972,697838
2021-12-28,JAMNAAUTO,101.5,105.6,101.2,104.35,284456,0.3925,724800
2021-12-29,JAMNAAUTO,104.2,104.9,102.25,102.95,136917,0.25079999999999997,545876
2021-12-30,JAMNAAUTO,102.75,103.8,102.0,102.6,153126,0.369,414997
2021-12-31,JAMNAAUTO,103.5,106.4,102.5,103.15,166397,0.2445,680490
2022-01-03,JAMNAAUTO,103.7,105.5,103.35,104.05,183815,0.3166,580517
2022-01-04,JAMNAAUTO,105.0,106.4,101.55,102.0,665738,0.40490000000000004,1644196
2022-01-05,JAMNAAUTO,102.6,103.9,101.65,102.4,213835,0.3657,584706
2022-01-06,JAMNAAUTO,101.2,105.3,100.6,104.65,321656,0.34130000000000005,942462
2022-01-07,JAMNAAUTO,104.5,110.55,104.5,108.75,1045879,0.315,3320743
2022-01-10,JAMNAAUTO,109.6,111.5,109.15,109.95,458893,0.4301,1066973
2022-01-11,JAMNAAUTO,110.4,114.0,110.1,110.75,580347,0.3912,1483557
2022-01-12,JAMNAAUTO,111.0,114.55,110.8,112.2,414761,0.3222,1287348
2022-01-13,JAMNAAUTO,112.2,113.55,110.95,112.05,254682,0.4092,622425
2022-01-14,JAMNAAUTO,112.0,122.6,110.55,119.75,1574490,0.19640000000000002,8015002
2022-01-17,JAMNAAUTO,120.95,125.0,119.0,121.75,1082440,0.2892,3742922
2022-01-18,JAMNAAUTO,122.2,122.45,113.85,115.3,507171,0.37950000000000006,1336319
2022-01-19,JAMNAAUTO,113.9,113.9,109.15,110.65,1320832,0.4304,3068927
2022-01-20,JAMNAAUTO,110.5,110.5,104.6,105.9,1240730,0.3169,3914607
2022-01-21,JAMNAAUTO,108.0,116.0,104.6,113.55,1794055,0.182,9856084
2022-01-24,JAMNAAUTO,112.25,113.8,106.0,108.2,826321,0.3689,2547509
2022-01-25,JAMNAAUTO,108.0,109.15,103.0,105.75,931333,0.3561,2615025
2022-01-27,JAMNAAUTO,104.75,107.9,103.1,106.45,422660,0.2705,1562659
2022-01-28,JAMNAAUTO,106.7,109.2,104.0,104.7,400417,0.3908,1024662
2022-01-31,JAMNAAUTO,106.5,108.5,105.4,107.85,391455,0.4062,963633
2022-02-01,JAMNAAUTO,108.5,109.85,104.1,105.05,496933,0.4079,1218359
2022-02-02,JAMNAAUTO,105.35,107.2,104.35,104.8,1132542,0.638,1775066
2022-02-03,JAMNAAUTO,105.0,106.05,103.45,103.65,658003,0.4668,1409493
2022-02-04,JAMNAAUTO,104.45,109.35,103.7,107.7,1119133,0.321,3486025
2022-02-07,JAMNAAUTO,108.6,109.8,105.1,105.65,373188,0.3,1243932
2022-02-08,JAMNAAUTO,106.5,106.9,103.0,104.55,207045,0.312,663516
2022-02-09,JAMNAAUTO,105.5,108.3,104.7,107.3,348743,0.2897,1203744
2022-02-10,JAMNAAUTO,107.8,111.7,104.7,109.35,564706,0.2597,2174539
2022-02-11,JAMNAAUTO,107.45,108.4,106.0,106.9,286542,0.327,876261
2022-02-14,JAMNAAUTO,95.0,104.5,95.0,101.5,685289,0.48700000000000004,1407207
2022-02-15,JAMNAAUTO,102.65,106.0,97.8,103.15,449264,0.36350000000000005,1235812
2022-02-16,JAMNAAUTO,103.7,105.2,102.2,103.95,189810,0.2723,697057
