Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,JINDALSAW,118.5,119.8,116.9,118.25,270600,0.23370000000000002,1157678
2021-09-02,JINDALSAW,118.2,121.35,118.2,119.5,328874,0.3044,1080554
2021-09-03,JINDALSAW,119.8,124.6,119.2,122.4,681761,0.2767,2464183
2021-09-06,JINDALSAW,123.05,123.65,120.65,121.15,321419,0.28300000000000003,1135934
2021-09-07,JINDALSAW,121.15,122.0,119.25,120.2,210238,0.2395,877954
2021-09-08,JINDALSAW,120.2,120.65,117.7,118.25,438603,0.3728,1176652
2021-09-09,JINDALSAW,118.75,121.8,118.0,119.4,471500,0.3589,1313706
2021-09-13,JINDALSAW,119.4,122.5,118.55,120.05,376139,0.18789999999999998,2001795
2021-09-14,JINDALSAW,120.7,122.35,120.15,121.5,490657,0.4053,1210623
2021-09-15,JINDALSAW,121.5,124.7,121.2,123.1,657384,0.36090000000000005,1821653
2021-09-16,JINDALSAW,123.6,124.45,121.1,121.7,392314,0.3582,1095343
2021-09-17,JINDALSAW,122.35,124.0,117.5,123.0,617489,0.324,1905592
2021-09-20,JINDALSAW,120.45,121.5,114.15,115.05,696080,0.41009999999999996,1697425
2021-09-21,JINDALSAW,115.5,116.75,111.0,113.9,428974,0.2913,1472377
2021-09-22,JINDALSAW,114.8,118.8,113.7,116.75,663656,0.3504,1894250
2021-09-23,JINDALSAW,117.9,118.5,116.15,116.9,358198,0.44170000000000004,810896
2021-09-24,JINDALSAW,117.55,117.55,113.25,114.05,321647,0.3482,923872
2021-09-27,JINDALSAW,114.6,114.7,111.55,112.5,528224,0.3788,1394370
2021-09-28,JINDALSAW,112.9,113.45,111.0,111.8,334157,0.3568,936612
2021-09-29,JINDALSAW,111.35,115.3,110.45,113.05,458182,0.3486,1314208
2021-09-30,JINDALSAW,113.45,115.25,113.1,114.05,430311,0.43119999999999997,997930
2021-10-01,JINDALSAW,113.3,114.85,112.2,113.55,348253,0.3688,944171
2021-10-04,JINDALSAW,114.15,121.45,114.0,120.45,1182017,0.3837,3080339
2021-10-05,JINDALSAW,121.0,121.3,117.25,117.8,864310,0.4581,1886555
2021-10-06,JINDALSAW,118.45,121.5,115.4,116.2,704563,0.374,1884005
2021-10-07,JINDALSAW,117.1,118.8,115.5,116.65,275001,0.32560000000000006,844511
2021-10-08,JINDALSAW,117.4,118.6,115.4,115.65,297250,0.34299999999999997,866689
2021-10-11,JINDALSAW,116.4,119.3,115.8,116.2,565894,0.4272,1324507
2021-10-12,JINDALSAW,116.75,117.0,115.2,115.95,338024,0.3992,846810
2021-10-13,JINDALSAW,116.6,118.9,116.25,117.4,574320,0.36310000000000003,1581913
2021-10-14,JINDALSAW,118.1,124.65,117.1,121.85,1717305,0.30820000000000003,5572126
2021-10-18,JINDALSAW,122.95,128.0,122.75,124.8,1194918,0.3546,3369652
2021-10-19,JINDALSAW,125.7,125.75,117.15,118.5,759956,0.4351,1746486
2021-10-20,JINDALSAW,119.05,120.05,115.4,117.1,355976,0.3073,1158468
2021-10-21,JINDALSAW,117.6,118.2,113.1,114.2,588360,0.5205,1130424
2021-10-22,JINDALSAW,115.0,116.65,112.15,113.4,304989,0.34259999999999996,890201
2021-10-25,JINDALSAW,114.15,114.15,109.25,110.55,337028,0.3523,956623
2021-10-26,JINDALSAW,111.0,120.9,110.95,119.35,711728,0.22280000000000003,3194339
2021-10-27,JINDALSAW,118.15,119.8,115.55,117.55,501704,0.32780000000000004,1530607
2021-10-28,JINDALSAW,116.4,117.1,113.3,114.0,360299,0.3603,999952
2021-10-29,JINDALSAW,113.4,118.95,111.7,116.0,368811,0.2077,1775962
2021-11-01,JINDALSAW,115.5,116.7,113.5,114.15,374624,0.4,936481
2021-11-02,JINDALSAW,114.8,115.65,113.0,113.45,235724,0.36479999999999996,646178
2021-11-03,JINDALSAW,114.0,114.45,112.05,112.3,373277,0.5134000000000001,727019
2021-11-04,JINDALSAW,112.65,113.8,112.6,113.35,113661,0.6718999999999999,169159
2021-11-08,JINDALSAW,114.0,114.1,112.0,112.4,420993,0.495,850464
2021-11-09,JINDALSAW,112.7,113.7,112.3,112.55,376988,0.5124000000000001,735712
2021-11-10,JINDALSAW,112.0,113.45,111.1,111.4,521264,0.5404,964505
