Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,JINDRILL,131.05,131.75,122.2,126.1,26565,0.5556,47810
2021-09-02,JINDRILL,127.8,128.45,124.0,124.55,28575,0.6276,45531
2021-09-03,JINDRILL,125.3,130.95,125.3,128.0,32994,0.47380000000000005,69639
2021-09-06,JINDRILL,129.1,140.8,127.35,138.9,204992,0.45659999999999995,448915
2021-09-07,JINDRILL,139.0,139.0,127.3,129.5,93540,0.4686,199599
2021-09-08,JINDRILL,131.8,136.5,130.4,132.3,58995,0.349,169062
2021-09-09,JINDRILL,132.7,136.8,131.7,134.5,63338,0.358,176920
2021-09-13,JINDRILL,135.8,144.2,133.3,138.05,75122,0.40950000000000003,183443
2021-09-14,JINDRILL,136.1,139.35,133.5,137.2,32397,0.36100000000000004,89747
2021-09-15,JINDRILL,137.95,150.9,137.05,149.2,308359,0.4241,727008
2021-09-16,JINDRILL,150.6,153.9,142.0,143.7,152102,0.5834,260703
2021-09-17,JINDRILL,144.45,144.85,136.2,139.65,49995,0.4916,101703
2021-09-20,JINDRILL,138.75,141.0,134.6,136.05,50948,0.5265,96770
2021-09-21,JINDRILL,138.0,139.35,131.2,137.75,38414,0.3866,99358
2021-09-22,JINDRILL,138.75,140.0,133.5,136.35,42869,0.5099,84080
2021-09-23,JINDRILL,138.35,139.65,135.0,136.05,25622,0.5328,48088
2021-09-24,JINDRILL,139.0,142.15,135.9,136.95,39175,0.44780000000000003,87480
2021-09-27,JINDRILL,140.2,140.2,136.75,138.15,49058,0.5227,93847
2021-09-28,JINDRILL,142.0,146.0,138.6,142.05,81332,0.3804,213833
2021-09-29,JINDRILL,141.0,143.65,136.85,138.1,48679,0.5225,93166
2021-09-30,JINDRILL,138.1,141.3,137.35,138.65,21279,0.47000000000000003,45277
2021-10-01,JINDRILL,142.45,145.5,139.0,142.0,83368,0.49600000000000005,168065
2021-10-04,JINDRILL,142.0,148.9,141.4,146.65,83564,0.43840000000000007,190610
2021-10-05,JINDRILL,152.0,161.3,149.35,161.1,308148,0.39799999999999996,774313
2021-10-06,JINDRILL,164.05,167.95,155.1,155.75,190127,0.5506000000000001,345333
2021-10-07,JINDRILL,157.85,165.0,156.45,158.3,113558,0.4622,245694
2021-10-08,JINDRILL,159.95,161.7,152.05,153.5,78070,0.49840000000000007,156643
2021-10-11,JINDRILL,154.7,167.85,154.0,158.05,65899,0.307,214673
2021-10-12,JINDRILL,158.0,159.6,154.1,156.3,47407,0.5467000000000001,86711
2021-10-13,JINDRILL,156.6,159.7,153.1,153.7,39514,0.5402,73143
2021-10-14,JINDRILL,155.6,155.75,150.0,150.85,36160,0.5564,64993
2021-10-18,JINDRILL,152.0,161.4,152.0,158.85,99441,0.5269,188713
2021-10-19,JINDRILL,159.6,161.4,154.0,155.3,67151,0.5333,125927
2021-10-20,JINDRILL,155.7,157.0,148.05,149.15,48761,0.5223,93352
2021-10-21,JINDRILL,152.25,155.4,150.0,151.15,32679,0.35450000000000004,92187
2021-10-22,JINDRILL,153.55,153.95,141.65,143.8,41905,0.5199,80606
2021-10-25,JINDRILL,147.9,147.9,135.35,137.5,30614,0.4704,65084
2021-10-26,JINDRILL,136.05,147.0,136.05,144.95,20245,0.37590000000000007,53859
2021-10-27,JINDRILL,144.95,147.2,141.6,143.85,14183,0.5371,26407
2021-10-28,JINDRILL,141.6,144.5,140.0,140.6,11718,0.3143,37287
2021-10-29,JINDRILL,140.1,142.85,136.8,138.85,18952,0.424,44697
2021-11-01,JINDRILL,141.85,143.8,137.05,138.25,23394,0.4437,52726
