Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,JISLDVREQS,19.05,19.55,19.0,19.05,13557,0.63,21520
2021-09-02,JISLDVREQS,19.05,19.65,18.9,19.05,21401,0.5625,38046
2021-09-03,JISLDVREQS,20.0,20.0,19.4,20.0,80176,0.7182,111630
2021-09-06,JISLDVREQS,20.7,21.0,20.55,21.0,77383,0.753,102768
2021-09-07,JISLDVREQS,21.5,22.05,20.1,22.05,166607,0.6585,253019
2021-09-08,JISLDVREQS,23.15,23.15,23.15,23.15,52430,1.0,52430
2021-09-09,JISLDVREQS,24.3,24.3,23.65,24.3,207797,0.38420000000000004,540798
2021-09-13,JISLDVREQS,25.5,25.5,23.1,23.1,226269,0.5946,380570
2021-09-14,JISLDVREQS,22.2,23.8,22.05,23.35,61003,0.43840000000000007,139157
2021-09-15,JISLDVREQS,24.0,24.5,22.6,24.5,91685,0.4657,196856
2021-09-16,JISLDVREQS,25.35,25.45,23.85,24.1,90531,0.7034999999999999,128684
2021-09-17,JISLDVREQS,23.35,24.75,22.9,23.0,133593,0.6862,194673
2021-09-20,JISLDVREQS,22.05,22.85,22.0,22.15,34204,0.632,54117
2021-09-21,JISLDVREQS,22.0,22.8,21.2,21.95,26529,0.618,42930
2021-09-22,JISLDVREQS,22.2,23.0,21.75,23.0,97701,0.625,156333
2021-09-23,JISLDVREQS,23.55,23.9,22.7,22.8,57096,0.6406000000000001,89131
2021-09-24,JISLDVREQS,23.55,23.55,22.65,22.8,34373,0.5519,62282
2021-09-27,JISLDVREQS,23.2,23.4,22.05,22.9,26879,0.5822999999999999,46160
2021-09-28,JISLDVREQS,22.6,23.7,22.2,22.4,28435,0.6816,41715
2021-09-29,JISLDVREQS,22.95,22.95,21.35,22.3,35643,0.598,59607
2021-09-30,JISLDVREQS,22.7,22.7,21.95,22.15,19241,0.8201,23463
2021-10-01,JISLDVREQS,21.8,22.7,21.8,22.15,17345,0.5235000000000001,33135
2021-10-04,JISLDVREQS,22.9,22.9,22.05,22.2,12858,0.7723000000000001,16648
2021-10-05,JISLDVREQS,22.2,23.3,21.75,23.3,54993,0.5639000000000001,97514
2021-10-06,JISLDVREQS,23.9,24.45,23.9,24.35,103684,0.598,173391
2021-10-07,JISLDVREQS,24.95,25.55,23.85,25.5,184810,0.6342,291422
2021-10-08,JISLDVREQS,26.0,26.75,25.5,26.35,205068,0.7116,288186
2021-10-11,JISLDVREQS,26.85,27.65,26.4,27.65,114616,0.8204000000000001,139713
2021-10-12,JISLDVREQS,28.7,29.0,27.0,28.8,229875,0.5299,433828
2021-10-13,JISLDVREQS,29.45,29.8,27.5,27.75,128581,0.5768,222908
2021-10-14,JISLDVREQS,28.5,29.1,27.75,29.1,71697,0.6306,113701
2021-10-18,JISLDVREQS,30.45,30.45,28.55,28.8,58604,0.5102,114858
2021-10-19,JISLDVREQS,29.1,30.2,27.4,27.45,50817,0.5994,84780
2021-10-20,JISLDVREQS,27.2,27.85,26.1,26.1,36822,0.6555,56178
2022-01-04,JISLDVREQS,25.65,27.0,25.5,26.6,69186,0.6065,114072
2022-01-05,JISLDVREQS,27.3,27.3,25.3,25.35,60429,0.8217,73543
2022-01-06,JISLDVREQS,25.3,26.6,24.55,26.6,54124,0.6003000000000001,90163
2022-01-07,JISLDVREQS,27.4,27.4,25.55,26.2,86218,0.6769,127370
2022-01-10,JISLDVREQS,26.8,27.25,26.5,26.8,32726,0.8514,38437
2022-01-11,JISLDVREQS,27.25,27.3,25.65,26.6,41116,0.6112,67275
2022-01-12,JISLDVREQS,27.0,27.1,25.8,26.45,47379,0.731,64816
2022-01-13,JISLDVREQS,27.25,27.3,25.8,27.0,53037,0.7684000000000001,69026
2022-01-14,JISLDVREQS,27.25,27.9,25.95,27.55,138223,0.5845,236485
2022-01-17,JISLDVREQS,27.65,28.0,27.0,27.7,58141,0.5112,113725
2022-01-18,JISLDVREQS,28.2,28.2,27.0,27.05,35970,0.631,57004
2022-01-19,JISLDVREQS,26.6,27.4,26.0,26.1,30584,0.7381000000000001,41438
2022-01-20,JISLDVREQS,26.05,27.4,26.05,26.25,21376,0.512,41746
2022-01-21,JISLDVREQS,26.9,26.9,25.85,26.0,11588,0.4678,24772
2022-01-24,JISLDVREQS,25.8,26.55,24.7,24.7,26930,0.5474,67681
2022-01-25,JISLDVREQS,23.8,25.0,23.6,24.35,27204,0.5162,52697
2022-01-27,JISLDVREQS,24.4,25.3,23.8,24.25,19047,0.596,31958
2022-01-28,JISLDVREQS,24.2,25.35,24.2,24.8,11378,0.5097,22323
2022-01-31,JISLDVREQS,25.45,25.45,24.45,24.7,11188,0.7626000000000001,14671
2022-02-01,JISLDVREQS,25.15,25.5,24.3,24.85,23616,0.5810000000000001,40646
2022-02-02,JISLDVREQS,24.85,25.5,24.3,25.0,29816,0.6254,47674
2022-02-03,JISLDVREQS,25.4,25.4,24.5,24.8,22506,0.7434999999999999,30270
2022-02-04,JISLDVREQS,25.5,25.5,24.8,25.0,8510,0.5439,15647
2022-02-07,JISLDVREQS,24.05,25.9,24.05,25.05,18667,0.4953,37692
2022-02-08,JISLDVREQS,25.9,25.9,24.0,24.6,17841,0.7270000000000001,24539
2022-02-09,JISLDVREQS,24.45,25.4,24.4,24.95,10729,0.7228,14844
2022-02-10,JISLDVREQS,24.55,25.4,24.4,24.75,10965,0.7212999999999999,15202
2022-02-11,JISLDVREQS,25.3,25.75,24.8,25.55,27601,0.6998000000000001,39444
2022-02-14,JISLDVREQS,25.55,25.95,23.0,23.0,70002,0.7463,93803
2022-02-15,JISLDVREQS,23.2,23.9,21.65,23.45,46965,0.5911,79456
2022-02-16,JISLDVREQS,23.5,23.95,23.5,23.5,22529,0.624,36103
2022-02-17,JISLDVREQS,23.85,23.85,22.9,23.4,9067,0.8328,10888
2022-02-18,JISLDVREQS,23.5,23.9,23.0,23.5,33843,0.9531000000000001,35509
2022-02-21,JISLDVREQS,23.5,23.7,21.5,21.75,39201,0.6519,60136
2022-02-22,JISLDVREQS,21.1,21.65,20.0,20.5,64265,0.7545000000000001,85180
2022-02-23,JISLDVREQS,20.15,22.55,20.15,22.55,36121,0.8231,43883
2022-02-24,JISLDVREQS,20.35,22.45,20.35,20.8,57075,0.7116,80203
2022-02-25,JISLDVREQS,22.4,22.85,21.5,21.7,21355,0.5414,39441
2022-02-28,JISLDVREQS,21.7,22.75,20.75,21.85,11610,0.569,20403
2022-03-02,JISLDVREQS,20.8,21.85,19.75,20.15,70708,0.8084,87472
2022-03-03,JISLDVREQS,21.5,21.5,20.0,20.4,40125,0.6976000000000001,57521
2022-03-04,JISLDVREQS,20.5,20.85,20.0,20.35,13193,0.8475,15567
2022-03-07,JISLDVREQS,20.35,20.5,18.35,18.4,108075,0.715,151164
2022-03-08,JISLDVREQS,19.2,19.2,17.25,17.6,76265,0.6304,120977
2022-03-09,JISLDVREQS,17.95,19.1,17.3,18.95,41655,0.42560000000000003,97878
2022-03-10,JISLDVREQS,20.4,20.8,19.9,20.8,36530,0.6139,59505
2022-03-11,JISLDVREQS,21.7,22.65,20.65,21.1,46503,0.5288,87946
2022-03-14,JISLDVREQS,22.3,22.3,20.75,21.35,16417,0.5018,32717
2022-03-15,JISLDVREQS,22.25,22.3,20.5,20.95,19372,0.6652,29120
2022-03-16,JISLDVREQS,21.2,21.4,20.65,21.1,9051,0.8562000000000001,10571
2022-03-17,JISLDVREQS,21.65,22.4,21.1,21.3,61544,0.5826,105628
2022-03-21,JISLDVREQS,21.6,22.3,21.1,21.5,27533,0.7031999999999999,39152
2022-03-22,JISLDVREQS,21.2,21.7,21.05,21.3,12656,0.5757,21983
2022-03-23,JISLDVREQS,21.8,21.8,21.0,21.15,21216,0.7021,30220
2022-03-24,JISLDVREQS,21.15,21.65,20.35,20.9,17992,0.6299,28562
2022-03-25,JISLDVREQS,21.05,21.3,20.3,20.8,22562,0.6267,36000
2022-03-28,JISLDVREQS,20.8,21.0,20.2,20.6,32479,0.5659000000000001,57395
2022-03-29,JISLDVREQS,20.55,21.0,19.1,20.0,70213,0.7809,89910
2022-03-30,JISLDVREQS,20.9,21.95,19.3,20.25,90457,0.6489,139395
2022-03-31,JISLDVREQS,20.7,20.7,19.55,20.05,43326,0.8469,51158
2022-04-01,JISLDVREQS,20.1,21.25,20.05,21.0,10705,0.8309000000000001,12883
2022-04-04,JISLDVREQS,21.95,22.15,21.45,21.95,45044,0.7492000000000001,60121
2022-04-05,JISLDVREQS,22.5,22.8,21.95,22.3,29745,0.8501000000000001,34989
2022-04-06,JISLDVREQS,22.75,23.65,21.75,22.85,52037,0.6309,82477
2022-04-07,JISLDVREQS,23.4,24.8,23.1,23.6,88936,0.5197999999999999,171111
2022-04-08,JISLDVREQS,24.75,24.9,23.35,23.9,42807,0.6277,68197
2022-04-11,JISLDVREQS,24.2,25.0,23.65,23.85,23203,0.6629,35001
2022-04-12,JISLDVREQS,23.65,24.35,22.9,23.4,11413,0.5291,21572
2022-04-13,JISLDVREQS,23.3,24.35,22.8,23.3,20733,0.5709000000000001,36318
2022-04-18,JISLDVREQS,23.15,23.2,21.6,22.9,8974,0.7023,12778
2022-04-19,JISLDVREQS,23.0,23.7,22.35,22.95,19001,0.6646,28590
2022-04-20,JISLDVREQS,22.7,23.5,22.55,22.65,10608,0.601,17651
2022-04-21,JISLDVREQS,22.65,23.4,22.0,22.85,10322,0.6934,14885
2022-04-22,JISLDVREQS,23.3,23.3,21.65,22.05,39366,0.8017000000000001,49105
2022-04-25,JISLDVREQS,21.1,21.85,21.1,21.35,13695,0.7338,18664
2022-04-26,JISLDVREQS,22.4,23.25,21.05,22.15,8113,0.6111,13276
2022-04-27,JISLDVREQS,22.15,22.85,21.15,21.95,5932,0.7515000000000001,7894
2022-04-28,JISLDVREQS,20.2,22.7,20.2,21.65,8846,0.8764000000000001,10093
2022-04-29,JISLDVREQS,22.55,22.55,21.05,21.2,8771,0.6502,13489
2022-05-02,JISLDVREQS,19.5,21.8,19.5,20.9,8510,0.6459999999999999,13174
2022-05-04,JISLDVREQS,20.9,21.8,20.15,20.65,21058,0.7093,29690
2022-05-05,JISLDVREQS,21.1,21.7,19.9,20.5,18495,0.568,32559
2022-05-06,JISLDVREQS,20.1,20.5,19.7,20.35,6025,0.7888,7638
2022-05-09,JISLDVREQS,21.45,21.45,19.0,19.65,10411,0.494,21073
2022-05-10,JISLDVREQS,19.5,20.5,19.05,19.5,4769,0.6409999999999999,7440
2022-05-11,JISLDVREQS,21.0,21.0,17.9,18.1,8578,0.5707,15031
2022-05-12,JISLDVREQS,18.5,20.8,18.15,18.8,7006,0.7672,9132
2022-05-13,JISLDVREQS,19.55,20.0,18.55,19.2,5526,0.7087000000000001,7797
2022-05-16,JISLDVREQS,19.2,19.95,18.75,18.95,3784,0.679,5573
2022-05-17,JISLDVREQS,20.3,22.5,18.95,21.05,22094,0.7872,28065
2022-05-18,JISLDVREQS,21.05,22.45,20.6,21.35,28028,0.5272,53166
2022-05-19,JISLDVREQS,21.0,21.0,18.75,19.45,15217,0.5507,27634
2022-05-20,JISLDVREQS,19.7,20.8,19.7,20.35,6485,0.6489,9994
2022-05-23,JISLDVREQS,20.0,20.85,19.85,19.95,18666,0.6847,27260
2022-05-24,JISLDVREQS,19.85,20.35,19.5,19.65,2784,0.6356,4380
2022-05-25,JISLDVREQS,19.7,19.7,18.5,18.6,9454,0.5749000000000001,16445
2022-05-26,JISLDVREQS,18.5,21.25,18.5,20.2,23090,0.5982000000000001,38597
2022-05-27,JISLDVREQS,21.8,21.8,19.55,19.9,13955,0.5244,26609
2022-05-30,JISLDVREQS,19.9,20.95,19.75,20.15,8440,0.8666,9739
2022-05-31,JISLDVREQS,20.95,21.9,20.5,20.75,66049,0.6722,98251
