Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,JKIL,200.0,209.35,200.0,207.75,171822,0.5425,316702
2021-09-02,JKIL,207.75,214.4,203.75,212.7,239821,0.48990000000000006,489579
2021-09-03,JKIL,213.35,215.5,205.15,206.4,100765,0.5869,171701
2021-09-06,JKIL,206.55,209.1,203.85,204.55,85118,0.514,165599
2021-09-07,JKIL,202.35,205.9,200.0,200.6,92470,0.6046,152941
2021-09-08,JKIL,201.9,203.6,199.15,200.05,41151,0.47759999999999997,86168
2021-09-09,JKIL,199.7,201.0,194.75,196.9,104056,0.5393,192940
2021-09-13,JKIL,197.9,198.9,191.55,193.6,117572,0.6353,185079
2021-09-14,JKIL,194.8,197.25,193.3,194.85,66072,0.5849000000000001,112959
2021-09-15,JKIL,195.7,204.0,195.2,200.8,184361,0.5461,337597
2021-09-16,JKIL,200.0,201.9,194.8,197.05,87435,0.5811999999999999,150437
2021-09-17,JKIL,197.15,202.3,188.2,194.2,176206,0.4543,387842
2021-09-20,JKIL,189.8,196.0,185.55,187.5,129875,0.4786,271345
2021-09-21,JKIL,184.95,190.4,182.2,185.05,97903,0.5459,179358
2021-09-22,JKIL,187.9,188.9,184.0,186.35,67528,0.5194,130012
2021-09-23,JKIL,188.4,191.9,187.35,189.75,59996,0.4928,121743
2021-09-24,JKIL,191.6,193.0,185.8,187.0,114528,0.5848,195849
2021-09-27,JKIL,188.7,189.6,185.0,185.5,61554,0.6043000000000001,101852
2021-09-28,JKIL,186.6,194.0,185.8,187.9,70351,0.5455,128971
2021-09-29,JKIL,185.6,190.0,184.6,187.05,55449,0.5562,99688
2021-09-30,JKIL,186.0,190.75,185.0,188.45,66922,0.45920000000000005,145751
2021-10-01,JKIL,185.7,188.25,184.15,184.75,118809,0.5764,206131
2021-10-04,JKIL,185.25,186.85,183.1,183.85,85653,0.5650000000000001,151594
2021-10-05,JKIL,185.5,189.15,183.25,185.85,96149,0.478,201150
2021-10-06,JKIL,187.3,192.65,185.5,186.95,56787,0.37310000000000004,152183
2021-10-07,JKIL,188.9,189.65,184.0,185.0,86480,0.5543,156029
2021-10-08,JKIL,186.7,187.3,182.8,183.8,91887,0.5797,158507
2021-10-11,JKIL,184.05,187.45,183.1,183.85,59817,0.4391,136220
2021-10-12,JKIL,185.7,186.85,173.0,178.2,251540,0.5484,458714
2021-10-13,JKIL,178.2,181.4,175.0,177.75,184832,0.6307,293071
2021-10-14,JKIL,179.0,179.3,175.55,176.25,133784,0.6308,212087
2021-10-18,JKIL,177.8,179.7,174.0,175.2,179977,0.6689,269057
