Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,JKPAPER,244.8,248.95,239.0,240.55,302529,0.2325,1301412
2021-09-02,JKPAPER,242.4,250.5,241.5,245.45,305599,0.19010000000000002,1607660
2021-09-03,JKPAPER,245.45,247.8,242.6,244.4,203799,0.2245,907923
2021-09-06,JKPAPER,245.5,249.35,244.1,245.3,165965,0.2108,787253
2021-09-07,JKPAPER,247.25,247.25,239.3,240.15,243085,0.369,658792
2021-09-08,JKPAPER,242.3,258.35,242.0,253.0,760653,0.1535,4956803
2021-09-09,JKPAPER,252.0,259.8,248.5,252.9,579704,0.1905,3043260
2021-09-13,JKPAPER,252.8,255.0,249.65,251.4,187399,0.2086,898536
2021-09-14,JKPAPER,253.5,254.8,248.0,250.6,213854,0.2824,757372
2021-09-15,JKPAPER,250.7,253.9,249.2,251.9,227276,0.304,747635
2021-09-16,JKPAPER,252.8,258.0,247.25,248.25,407221,0.31980000000000003,1273267
2021-09-17,JKPAPER,250.55,250.55,241.25,243.4,446535,0.3872,1153168
2021-09-20,JKPAPER,242.9,246.5,231.65,233.4,303106,0.2944,1029739
2021-09-21,JKPAPER,233.5,236.8,228.0,230.75,363082,0.3008,1207130
2021-09-22,JKPAPER,232.75,240.3,232.05,235.8,208831,0.20870000000000002,1000593
2021-09-23,JKPAPER,239.0,244.15,237.9,239.0,230751,0.27280000000000004,845928
2021-09-24,JKPAPER,241.4,244.0,235.0,235.6,185330,0.267,694022
2021-09-27,JKPAPER,237.8,244.0,231.55,232.5,1391733,0.3272,4253933
2021-09-28,JKPAPER,233.9,235.4,226.1,227.0,616271,0.48200000000000004,1278502
2021-09-29,JKPAPER,226.0,227.6,218.8,222.1,897752,0.5037,1782185
2021-09-30,JKPAPER,238.0,238.0,228.0,229.3,1437983,0.2604,5523018
2021-10-01,JKPAPER,227.9,230.5,225.45,227.6,231636,0.2479,934494
2021-10-04,JKPAPER,228.05,233.95,227.7,233.05,480465,0.3504,1371196
2021-10-05,JKPAPER,232.45,249.15,229.05,246.9,1640079,0.1995,8222516
2021-10-06,JKPAPER,247.95,253.65,240.0,241.5,1023529,0.2404,4257737
2021-10-07,JKPAPER,243.4,246.75,241.6,244.65,340004,0.3012,1128705
2021-10-08,JKPAPER,247.0,252.9,245.4,246.9,472257,0.2609,1809844
2021-10-11,JKPAPER,248.0,248.8,245.0,246.4,306578,0.3915,783180
2021-10-12,JKPAPER,245.95,252.45,242.7,247.9,397830,0.298,1334929
2021-10-13,JKPAPER,248.8,253.5,248.1,252.35,888265,0.47850000000000004,1856339
2021-10-14,JKPAPER,254.4,254.9,250.5,251.05,485565,0.5165,940129
2021-10-18,JKPAPER,251.9,255.0,249.4,250.35,452883,0.3661,1237026
2021-10-19,JKPAPER,252.3,252.3,240.0,240.75,501707,0.46490000000000004,1079142
2021-10-20,JKPAPER,242.5,242.5,230.0,232.45,401838,0.3624,1108927
2021-10-21,JKPAPER,234.5,236.2,223.7,225.55,617930,0.5057,1221977
2021-10-22,JKPAPER,227.45,230.95,221.75,225.6,361142,0.4233,853210
2021-10-25,JKPAPER,229.85,230.85,220.5,222.95,239035,0.34840000000000004,686168
2021-10-26,JKPAPER,222.0,230.5,222.0,223.65,411287,0.38680000000000003,1063295
2021-10-27,JKPAPER,225.0,239.75,225.0,236.2,929426,0.1698,5474974
2021-10-28,JKPAPER,236.0,236.15,224.5,225.35,491956,0.3937,1249515
2021-10-29,JKPAPER,227.0,227.0,220.3,225.65,206614,0.2687,768927
2021-11-01,JKPAPER,225.8,229.0,224.0,226.45,168456,0.3336,504944
2021-11-02,JKPAPER,228.35,228.9,225.0,225.45,168118,0.3751,448136
2021-11-03,JKPAPER,226.0,229.3,224.2,225.2,102958,0.2685,383514
2021-11-04,JKPAPER,226.75,230.0,226.05,229.35,97000,0.6375000000000001,152152
2021-11-08,JKPAPER,232.7,232.7,226.2,227.35,218470,0.35700000000000004,612006
2021-11-09,JKPAPER,229.0,231.7,227.6,228.45,378486,0.4643,815109
2021-11-10,JKPAPER,228.45,235.5,227.3,231.35,187310,0.2928,639617
2021-11-11,JKPAPER,231.3,231.85,222.85,224.3,264563,0.5027,526266
2021-11-12,JKPAPER,225.2,228.0,223.6,224.95,116393,0.2557,455169
2021-11-15,JKPAPER,225.95,227.55,221.3,222.05,232931,0.494,471562
2021-11-16,JKPAPER,222.85,223.95,218.95,219.9,270410,0.5431,497884
2021-11-17,JKPAPER,219.85,223.0,219.3,220.75,86786,0.3471,250007
2021-11-18,JKPAPER,221.45,222.7,213.5,216.4,155689,0.3565,436701
2021-11-22,JKPAPER,220.0,220.0,208.1,211.65,153761,0.3521,436719
2021-11-23,JKPAPER,210.0,218.0,207.15,215.9,103021,0.28250000000000003,364704
2021-11-24,JKPAPER,217.0,221.4,216.4,218.75,114571,0.3442,332907
2021-11-25,JKPAPER,219.85,223.0,217.1,221.0,117895,0.3636,324250
2021-11-26,JKPAPER,218.0,219.9,211.4,212.25,152703,0.3926,388921
2021-11-29,JKPAPER,212.25,212.5,197.65,201.5,212020,0.2426,873807
2021-11-30,JKPAPER,202.0,209.85,202.0,208.1,153735,0.2853,538791
2021-12-01,JKPAPER,210.0,218.9,208.3,213.2,119291,0.1076,1108166
2021-12-02,JKPAPER,214.0,214.0,209.7,211.9,82868,0.3207,258366
2021-12-03,JKPAPER,213.0,213.5,209.0,209.55,117569,0.4017,292679
2021-12-06,JKPAPER,209.55,210.35,203.3,205.0,93219,0.375,248557
2021-12-07,JKPAPER,207.8,210.35,205.8,209.2,102942,0.3398,302993
2021-12-08,JKPAPER,209.95,214.5,209.75,212.15,119529,0.2975,401743
2021-12-09,JKPAPER,213.7,218.7,212.65,216.55,200525,0.2817,711780
2021-12-10,JKPAPER,216.25,216.85,211.45,213.35,193003,0.4643,415643
2021-12-13,JKPAPER,214.8,221.5,214.55,217.4,174201,0.2514,693007
2021-12-14,JKPAPER,216.4,220.15,214.5,216.6,112557,0.27440000000000003,410196
2021-12-15,JKPAPER,216.9,219.5,212.0,212.8,169231,0.3444,491403
2021-12-16,JKPAPER,214.0,215.4,208.0,208.75,180077,0.4597,391719
2021-12-17,JKPAPER,209.7,209.7,203.1,204.0,176050,0.456,386058
2021-12-20,JKPAPER,202.0,202.0,192.0,193.6,225268,0.4421,509531
2021-12-21,JKPAPER,195.5,199.3,194.0,194.8,81607,0.2893,282094
2021-12-22,JKPAPER,195.9,204.85,195.9,203.7,129912,0.2341,555001
2021-12-23,JKPAPER,205.2,207.0,201.25,203.05,141310,0.32170000000000004,439215
2021-12-24,JKPAPER,203.2,204.65,198.25,200.15,95870,0.3177,301764
2021-12-27,JKPAPER,197.15,201.9,197.15,198.7,162409,0.329,493589
2021-12-28,JKPAPER,199.7,206.95,199.7,202.8,168316,0.2484,677730
2021-12-29,JKPAPER,202.9,209.6,201.35,206.35,202231,0.3492,579112
2021-12-30,JKPAPER,206.0,206.0,202.3,203.1,123731,0.4301,287680
2021-12-31,JKPAPER,203.1,209.0,203.1,205.1,105342,0.28190000000000004,373658
2022-01-03,JKPAPER,205.0,207.55,201.35,206.0,356232,0.46490000000000004,766226
2022-01-04,JKPAPER,206.0,211.0,204.0,207.95,255630,0.2909,878776
2022-01-05,JKPAPER,208.45,217.2,205.8,211.9,449795,0.1856,2423753
2022-01-06,JKPAPER,209.4,209.8,206.9,209.0,191155,0.35340000000000005,540950
2022-01-07,JKPAPER,209.35,215.45,209.3,210.8,174569,0.23670000000000002,737650
2022-01-10,JKPAPER,212.0,213.5,209.15,210.9,174964,0.3626,482519
2022-01-11,JKPAPER,212.6,212.6,208.0,208.35,165304,0.39659999999999995,416767
2022-01-12,JKPAPER,209.0,212.0,208.0,209.05,207185,0.3564,581311
2022-01-13,JKPAPER,209.2,212.5,209.0,210.45,143119,0.33,433688
2022-01-14,JKPAPER,210.5,215.8,209.8,212.35,272256,0.3072,886217
2022-01-17,JKPAPER,218.0,230.3,216.0,227.3,1227344,0.29300000000000004,4189412
2022-01-18,JKPAPER,232.4,232.75,220.0,221.9,418645,0.28750000000000003,1456138
2022-01-19,JKPAPER,224.9,230.0,222.15,227.25,442588,0.2821,1568675
2022-01-20,JKPAPER,228.0,233.5,226.95,232.25,734019,0.413,1777464
2022-01-21,JKPAPER,229.9,236.2,222.6,225.2,348432,0.3223,1081076
2022-01-24,JKPAPER,225.4,227.45,209.25,214.85,166943,0.2713,1000339
2022-01-25,JKPAPER,215.05,217.8,205.5,213.4,186699,0.2655,703195
2022-01-27,JKPAPER,210.5,213.4,205.7,211.3,217727,0.378,575930
2022-01-28,JKPAPER,213.7,219.75,212.6,213.5,174080,0.3072,566686
2022-01-31,JKPAPER,215.95,220.85,214.05,218.15,177351,0.4339,408769
2022-02-01,JKPAPER,219.1,224.5,217.65,223.4,271514,0.34700000000000003,782501
2022-02-02,JKPAPER,225.6,237.0,225.0,234.0,905340,0.3601,2514076
2022-02-03,JKPAPER,235.2,240.9,231.0,238.75,605186,0.3918,1544714
2022-02-04,JKPAPER,240.7,242.65,234.5,239.7,415505,0.35840000000000005,1159242
2022-02-07,JKPAPER,240.0,240.6,232.35,238.65,193261,0.2947,655842
2022-02-08,JKPAPER,239.9,239.9,231.2,235.0,195708,0.3469,564101
2022-02-09,JKPAPER,242.25,248.05,239.05,243.2,672578,0.2629,2558030
2022-02-10,JKPAPER,243.25,243.25,221.3,237.2,218443,0.2799,780508
2022-02-11,JKPAPER,234.1,235.6,230.0,231.95,167824,0.36920000000000003,454599
2022-02-14,JKPAPER,225.0,227.75,215.2,218.8,172752,0.3061,564354
2022-02-15,JKPAPER,217.05,226.6,217.05,224.0,156777,0.2602,602497
2022-02-16,JKPAPER,227.5,236.4,225.25,231.65,195247,0.1862,1048657
2022-02-17,JKPAPER,231.1,243.95,230.1,237.2,306946,0.2126,1443750
2022-02-18,JKPAPER,236.9,239.95,234.0,237.35,133950,0.25,535703
2022-02-21,JKPAPER,232.2,236.35,228.25,230.25,171217,0.2961,578286
2022-02-22,JKPAPER,225.0,225.2,216.0,217.9,250102,0.3295,759142
2022-02-23,JKPAPER,221.0,227.5,220.1,222.45,111031,0.2466,450246
2022-02-24,JKPAPER,215.0,215.0,203.5,205.05,353464,0.3492,1012209
2022-02-25,JKPAPER,208.2,217.0,208.2,213.35,270778,0.36619999999999997,739344
2022-02-28,JKPAPER,214.0,225.75,210.15,224.2,232869,0.2126,1095234
2022-03-02,JKPAPER,223.0,227.5,220.35,224.6,141095,0.3049,462781
2022-03-03,JKPAPER,225.15,232.9,225.15,230.7,174933,0.2352,743624
2022-03-04,JKPAPER,230.0,230.35,225.3,228.15,101864,0.36210000000000003,281349
2022-03-07,JKPAPER,223.0,225.0,216.95,221.95,148502,0.3306,449176
2022-03-08,JKPAPER,223.1,228.4,217.3,223.2,174424,0.2722,640860
2022-03-09,JKPAPER,225.9,235.0,224.35,230.9,404086,0.4033,1002041
2022-03-10,JKPAPER,238.7,240.25,233.05,238.65,313580,0.44670000000000004,702058
2022-03-11,JKPAPER,237.35,272.35,235.1,266.5,2178586,0.16469999999999999,13229105
2022-03-14,JKPAPER,268.4,280.0,265.8,277.25,1140012,0.1813,6287769
2022-03-15,JKPAPER,276.3,298.0,274.5,279.25,1475934,0.2116,6973496
2022-03-16,JKPAPER,284.0,311.9,281.1,306.9,1896281,0.1499,12647410
2022-03-17,JKPAPER,309.7,313.05,298.55,300.9,943852,0.1686,5598927
2022-03-21,JKPAPER,304.0,321.85,302.05,314.95,993637,0.23070000000000002,4307768
2022-03-22,JKPAPER,315.05,324.9,305.95,316.45,472723,0.2056,2299605
2022-03-23,JKPAPER,315.85,317.95,309.2,311.05,412289,0.3558,1158844
2022-03-24,JKPAPER,311.4,316.0,305.2,307.4,428988,0.406,1056713
2022-03-25,JKPAPER,308.0,309.6,296.3,302.45,687994,0.4608,1493112
2022-03-28,JKPAPER,303.0,313.55,290.0,308.45,496336,0.374,1327255
2022-03-29,JKPAPER,308.5,319.0,306.2,308.05,639787,0.3887,1645876
2022-03-30,JKPAPER,309.05,311.95,301.5,303.4,336476,0.483,696668
2022-03-31,JKPAPER,304.9,311.0,300.0,303.95,299714,0.4082,734248
2022-04-01,JKPAPER,305.5,328.4,305.45,324.3,1184021,0.3496,3386395
2022-04-04,JKPAPER,328.7,340.0,326.55,329.05,883554,0.3404,2595721
2022-04-05,JKPAPER,331.4,333.9,326.15,330.4,319586,0.3764,848959
2022-04-06,JKPAPER,328.0,347.5,326.0,345.6,861309,0.33990000000000004,2534194
2022-04-07,JKPAPER,347.4,347.5,314.6,342.0,734579,0.3956,1856911
2022-04-08,JKPAPER,344.15,345.3,329.75,331.45,389612,0.44700000000000006,871603
2022-04-11,JKPAPER,333.9,337.05,327.0,328.2,288041,0.4855,593256
2022-04-12,JKPAPER,328.0,332.9,313.0,330.05,461092,0.337,1368416
2022-04-13,JKPAPER,329.0,348.0,328.15,344.65,682776,0.3153,2165758
2022-04-18,JKPAPER,345.0,387.4,340.15,365.1,2150408,0.22760000000000002,9449143
2022-04-19,JKPAPER,369.0,370.0,340.6,345.2,741096,0.287,2582616
2022-04-20,JKPAPER,347.3,358.95,340.25,343.35,645081,0.331,1948962
2022-04-21,JKPAPER,346.9,361.7,345.8,358.6,777971,0.4953,1570807
2022-04-22,JKPAPER,359.95,359.95,347.3,353.9,292277,0.3063,954346
2022-04-25,JKPAPER,352.0,364.1,343.4,359.95,628174,0.3344,1878293
2022-04-26,JKPAPER,364.85,373.0,348.1,369.55,640801,0.2579,2484963
2022-04-27,JKPAPER,364.0,367.05,356.85,358.7,324863,0.33170000000000005,979329
2022-04-28,JKPAPER,359.8,371.0,356.5,365.9,507453,0.3532,1436681
2022-04-29,JKPAPER,368.4,373.55,354.0,358.1,470012,0.3249,1446830
2022-05-02,JKPAPER,357.4,364.4,344.2,360.15,238182,0.25120000000000003,948253
2022-05-04,JKPAPER,362.0,362.7,340.0,347.9,363411,0.3608,1007296
2022-05-05,JKPAPER,351.9,356.2,345.25,350.3,241831,0.3835,630542
2022-05-06,JKPAPER,340.7,347.55,336.05,338.2,217658,0.3081,706372
2022-05-09,JKPAPER,337.0,337.0,282.8,312.75,505206,0.358,1411021
2022-05-10,JKPAPER,312.75,321.9,290.0,297.85,339128,0.2828,1198991
2022-05-11,JKPAPER,295.0,309.8,291.3,305.0,604602,0.2629,2299336
2022-05-12,JKPAPER,302.1,303.5,290.0,295.45,237273,0.2917,813496
2022-05-13,JKPAPER,298.3,311.95,296.5,305.45,428266,0.3011,1422361
2022-05-16,JKPAPER,307.0,344.5,302.1,337.85,1344425,0.1929,6971246
2022-05-17,JKPAPER,337.85,340.8,324.5,330.05,572962,0.2822,2030289
2022-05-18,JKPAPER,330.05,367.5,329.15,363.2,1332851,0.177,7531556
2022-05-19,JKPAPER,351.55,357.0,341.15,345.5,534010,0.24,2224656
2022-05-20,JKPAPER,352.2,356.7,346.0,350.65,402136,0.2809,1431495
2022-05-23,JKPAPER,353.9,363.0,336.3,340.5,382682,0.24530000000000002,1559850
2022-05-24,JKPAPER,344.75,359.5,343.0,348.25,601636,0.2697,2231131
2022-05-25,JKPAPER,349.45,350.0,319.05,321.6,383585,0.3519,1089958
2022-05-26,JKPAPER,328.0,342.1,315.2,339.5,484672,0.192,2523978
2022-05-27,JKPAPER,342.75,345.85,330.3,335.75,170596,0.18300000000000002,932453
2022-05-30,JKPAPER,344.0,344.0,333.75,342.1,168846,0.2241,753372
2022-05-31,JKPAPER,343.8,353.0,328.3,336.25,1352622,0.4604,2938177
2022-06-01,JKPAPER,333.95,343.3,331.3,335.2,257723,0.2834,909247
2022-06-02,JKPAPER,332.25,337.0,330.4,334.35,150162,0.2565,585515
2022-06-03,JKPAPER,337.0,345.0,334.7,337.45,190408,0.2723,699296
2022-06-06,JKPAPER,338.95,343.9,332.4,337.35,97838,0.1702,574736
2022-06-07,JKPAPER,339.45,348.9,328.0,332.2,438068,0.2306,1899721
2022-06-08,JKPAPER,335.5,342.7,331.05,337.15,218769,0.22030000000000002,993133
2022-06-09,JKPAPER,335.9,349.9,332.0,340.6,305099,0.1771,1723008
2022-06-10,JKPAPER,340.5,342.4,335.65,338.55,120956,0.25070000000000003,482479
2022-06-13,JKPAPER,332.2,334.05,315.0,318.9,228740,0.3422,668357
2022-06-14,JKPAPER,316.2,322.9,310.5,312.8,125994,0.18920000000000003,665784
2022-06-15,JKPAPER,316.9,318.8,313.05,315.95,110058,0.2446,450035
2022-06-16,JKPAPER,317.1,322.75,301.15,304.35,156649,0.259,604888
2022-06-17,JKPAPER,303.0,306.05,296.3,301.3,126182,0.24300000000000002,519199
2022-06-20,JKPAPER,297.0,302.9,268.5,275.15,328368,0.2967,1106849
2022-06-21,JKPAPER,275.6,294.2,275.6,291.05,254327,0.25620000000000004,992632
2022-06-22,JKPAPER,289.75,289.75,271.25,273.1,330100,0.3568,925128
2022-06-23,JKPAPER,275.1,281.0,267.1,278.95,149880,0.24559999999999998,892303
2022-06-24,JKPAPER,281.3,293.0,281.3,283.75,390965,0.2902,1347053
2022-06-27,JKPAPER,289.0,297.0,285.55,290.45,353854,0.2956,1197212
2022-06-28,JKPAPER,289.4,309.45,287.1,307.95,455917,0.1748,2608270
2022-06-29,JKPAPER,304.0,314.9,300.2,302.55,357469,0.2076,1721755
2022-06-30,JKPAPER,304.7,308.9,291.15,295.7,323662,0.2838,1140259
2022-07-01,JKPAPER,298.0,309.75,297.05,304.2,300424,0.1323,2270069
2022-07-04,JKPAPER,305.6,313.65,300.05,303.75,417352,0.2732,1527404
2022-07-05,JKPAPER,306.55,308.55,301.55,302.95,256719,0.3576,717957
2022-07-06,JKPAPER,304.8,305.25,297.5,299.25,339819,0.3976,854783
2022-07-07,JKPAPER,303.0,305.65,298.1,303.1,361817,0.37570000000000003,963135
2022-07-08,JKPAPER,305.0,306.5,297.65,299.9,359719,0.40390000000000004,890542
2022-07-11,JKPAPER,300.25,304.5,298.0,299.4,217262,0.3588,605565
2022-07-12,JKPAPER,298.7,300.9,296.25,297.6,294193,0.37320000000000003,788345
2022-07-13,JKPAPER,304.4,313.15,301.25,304.55,701607,0.24760000000000001,2833290
2022-07-14,JKPAPER,306.8,306.8,295.6,297.85,294591,0.32909999999999995,895122
2022-07-15,JKPAPER,299.95,306.95,297.9,304.5,271045,0.3741,724435
2022-07-18,JKPAPER,306.8,321.4,303.5,318.95,825598,0.2596,3179922
2022-07-19,JKPAPER,318.95,333.0,317.4,330.45,570945,0.2093,2727548
2022-07-20,JKPAPER,332.2,335.4,324.3,329.3,370782,0.2323,1596272
2022-07-21,JKPAPER,330.2,331.0,326.25,328.15,145618,0.2891,503776
2022-07-22,JKPAPER,329.5,335.95,327.0,329.55,238958,0.2809,850773
2022-07-25,JKPAPER,330.4,334.95,325.3,333.35,233362,0.2892,807005
2022-07-26,JKPAPER,334.7,337.0,328.6,330.5,198073,0.2921,678073
2022-07-27,JKPAPER,329.1,343.7,328.05,341.7,525304,0.24780000000000002,2119569
2022-07-28,JKPAPER,346.3,348.8,337.45,340.05,322845,0.31370000000000003,1029180
2022-07-29,JKPAPER,342.7,349.0,340.35,346.75,463012,0.36979999999999996,1252072
2022-08-01,JKPAPER,351.0,380.9,350.95,369.55,1445220,0.20370000000000002,7095045
2022-08-02,JKPAPER,370.0,395.75,365.0,392.75,867139,0.2095,4139374
2022-08-03,JKPAPER,394.0,394.05,377.1,384.95,405996,0.2224,1825783
2022-08-04,JKPAPER,388.25,402.0,382.3,389.8,604473,0.18910000000000002,3196611
2022-08-05,JKPAPER,390.0,395.95,380.0,382.05,440385,0.3014,1461328
2022-08-08,JKPAPER,383.3,393.8,375.05,388.9,623738,0.3115,2002086
2022-08-10,JKPAPER,391.0,425.0,390.95,422.6,1828222,0.1813,10085138
2022-08-11,JKPAPER,426.9,442.4,426.5,431.25,1392519,0.24420000000000003,5702958
2022-08-12,JKPAPER,431.2,433.55,421.0,425.1,646696,0.332,1948128
2022-08-16,JKPAPER,424.65,449.95,416.05,447.05,687231,0.2413,2848151
2022-08-17,JKPAPER,447.95,447.95,432.3,434.85,501963,0.3131,1603331
2022-08-18,JKPAPER,430.85,441.65,430.0,431.65,327146,0.21960000000000002,1489535
2022-08-19,JKPAPER,433.6,436.25,417.25,419.7,412496,0.34020000000000006,1212577
2022-08-22,JKPAPER,419.4,432.0,408.8,419.2,383885,0.16829999999999998,2281128
2022-08-23,JKPAPER,414.8,419.4,406.7,414.45,378732,0.2309,1640552
2022-08-24,JKPAPER,416.0,433.75,415.8,429.15,484828,0.1684,2878667
2022-08-25,JKPAPER,432.9,439.2,415.1,417.3,736349,0.3189,2308805
2022-08-26,JKPAPER,421.0,424.0,412.1,414.7,289371,0.26,1113077
2022-08-29,JKPAPER,404.4,422.6,400.0,416.7,326213,0.18280000000000002,1784457
2022-08-30,JKPAPER,420.5,424.0,417.0,419.45,248762,0.324,767786
2022-09-01,JKPAPER,420.85,433.45,420.5,424.7,326668,0.2263,1443776
