Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,JOCIL,244.9,244.9,232.35,236.15,9711,0.5867,16552
2021-09-02,JOCIL,238.0,240.2,237.0,237.8,7248,0.6153000000000001,11779
2021-09-03,JOCIL,238.6,250.4,236.0,244.7,22257,0.40909999999999996,54401
2021-09-06,JOCIL,250.4,251.5,243.35,243.85,20621,0.6152000000000001,33519
2021-09-07,JOCIL,247.95,247.95,238.35,241.0,8488,0.4569,18578
2021-09-08,JOCIL,240.0,243.9,235.5,236.2,7527,0.5761999999999999,13064
2021-09-09,JOCIL,237.4,241.2,230.35,233.3,15485,0.5852,26459
2021-09-13,JOCIL,235.0,239.8,223.9,232.8,27063,0.4292,63060
2021-09-14,JOCIL,237.95,256.0,233.6,248.75,59969,0.4282,140059
2021-09-15,JOCIL,252.9,256.0,242.05,245.4,27229,0.5669,48033
2021-09-16,JOCIL,248.0,258.5,245.05,247.25,27444,0.32560000000000006,84288
2021-09-17,JOCIL,250.65,256.85,239.45,243.65,17457,0.5153,33877
2021-09-20,JOCIL,237.0,245.75,229.05,230.85,15259,0.5336,28597
2021-09-21,JOCIL,231.0,233.65,225.4,229.65,9641,0.48710000000000003,19791
2021-09-22,JOCIL,229.9,232.15,226.5,229.9,9997,0.5586,17898
2021-09-23,JOCIL,234.95,236.45,227.1,229.0,17105,0.6464,26462
2021-09-24,JOCIL,231.1,238.95,227.15,236.25,36112,0.4617,78222
2021-09-27,JOCIL,240.0,248.35,236.15,237.75,37765,0.4414,85567
2021-09-28,JOCIL,242.75,242.75,232.45,233.85,9055,0.5613,16131
2021-09-29,JOCIL,229.15,235.0,229.15,229.75,23140,0.7413,31217
2021-09-30,JOCIL,228.0,232.7,225.5,226.95,18363,0.6575,27928
2021-10-01,JOCIL,222.25,229.95,222.25,229.85,18728,0.7095,26397
2021-10-04,JOCIL,226.25,233.95,224.0,232.45,15596,0.5696,27383
2021-10-05,JOCIL,230.1,240.5,230.0,232.85,20241,0.3981,50846
2021-10-06,JOCIL,236.1,237.0,229.05,230.45,10719,0.5418000000000001,19783
2021-10-07,JOCIL,233.45,241.15,230.75,236.8,22601,0.455,49675
