Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,JUBLFOOD,3997.2,4080.0,3977.85,4002.65,164937,0.3236,509762
2021-09-02,JUBLFOOD,4011.7,4133.25,4004.1,4115.85,161049,0.2384,675409
2021-09-03,JUBLFOOD,4128.85,4175.0,4051.0,4113.1,128121,0.2391,535760
2021-09-06,JUBLFOOD,4142.5,4208.0,4080.5,4153.1,92469,0.2225,415622
2021-09-07,JUBLFOOD,4153.1,4181.75,4063.7,4076.1,117391,0.26539999999999997,442365
2021-09-08,JUBLFOOD,4096.5,4096.5,4009.2,4050.8,104118,0.2893,359886
2021-09-09,JUBLFOOD,4035.0,4144.55,4030.0,4097.7,97569,0.16140000000000002,604466
2021-09-13,JUBLFOOD,4100.0,4140.0,4070.0,4135.2,100288,0.32880000000000004,305045
2021-09-14,JUBLFOOD,4134.0,4159.95,4091.0,4116.0,162933,0.4391,371034
2021-09-15,JUBLFOOD,4129.95,4208.8,4112.0,4164.25,116400,0.2584,450486
2021-09-16,JUBLFOOD,4184.6,4190.0,4090.0,4096.35,175014,0.4534,385961
2021-09-17,JUBLFOOD,4108.4,4272.55,4092.05,4102.8,243916,0.22280000000000003,1094558
2021-09-20,JUBLFOOD,4090.0,4201.0,4030.1,4083.35,134134,0.24180000000000001,554672
2021-09-21,JUBLFOOD,4101.35,4151.8,3993.05,4135.35,190298,0.3109,612101
2021-09-22,JUBLFOOD,4155.55,4185.0,4097.45,4109.2,138607,0.438,316466
2021-09-23,JUBLFOOD,4170.0,4235.0,4136.0,4181.15,137699,0.27530000000000004,500222
2021-09-24,JUBLFOOD,4181.15,4198.5,4064.35,4116.95,88024,0.2817,312468
2021-09-27,JUBLFOOD,4143.9,4150.0,4044.55,4076.25,98201,0.3387,289949
2021-09-28,JUBLFOOD,4077.0,4078.0,3962.75,4001.6,97208,0.3104,313124
2021-09-29,JUBLFOOD,3990.0,4125.5,3941.8,4070.5,151860,0.2857,531589
2021-09-30,JUBLFOOD,4091.9,4133.35,4025.55,4040.9,225022,0.48450000000000004,464444
2021-10-01,JUBLFOOD,4052.2,4125.0,4012.0,4045.9,99688,0.2749,362597
2021-10-04,JUBLFOOD,4068.6,4158.0,4056.65,4145.65,106434,0.2803,379721
2021-10-05,JUBLFOOD,4145.65,4153.7,4060.05,4068.6,199274,0.5404,368741
2021-10-06,JUBLFOOD,4077.25,4110.35,3916.0,3933.95,279593,0.40399999999999997,692087
2021-10-07,JUBLFOOD,3962.0,4018.2,3942.05,3974.7,257009,0.51,503965
2021-10-08,JUBLFOOD,3995.0,4038.0,3974.0,4006.8,199207,0.3567,558543
2021-10-11,JUBLFOOD,4033.0,4120.0,4011.0,4064.15,111013,0.34340000000000004,323259
2021-10-12,JUBLFOOD,4077.0,4379.0,4045.1,4275.95,468698,0.1815,2582452
2021-10-13,JUBLFOOD,4320.1,4574.75,4265.0,4525.7,303869,0.24530000000000002,1238524
2021-10-14,JUBLFOOD,4544.0,4568.45,4393.65,4409.6,213197,0.3815,558887
2021-10-18,JUBLFOOD,4590.0,4590.0,4335.0,4369.2,243225,0.4459,545459
2021-10-19,JUBLFOOD,4419.9,4419.9,4282.05,4331.15,366422,0.4524,810002
2021-10-20,JUBLFOOD,4340.0,4340.0,3898.05,3965.2,572884,0.2041,2806519
2021-10-21,JUBLFOOD,3995.0,3999.0,3685.0,3868.75,867298,0.31420000000000003,2760487
2021-10-22,JUBLFOOD,3900.0,3930.0,3677.0,3701.25,281758,0.3088,912534
2021-10-25,JUBLFOOD,3730.0,3739.95,3590.55,3671.05,303646,0.33549999999999996,905108
2021-10-26,JUBLFOOD,3650.0,3727.9,3650.0,3715.6,164914,0.3241,508788
2021-10-27,JUBLFOOD,3739.9,3853.1,3717.15,3782.1,346942,0.38420000000000004,903021
2021-10-28,JUBLFOOD,3804.65,3827.2,3700.05,3724.75,102979,0.28940000000000005,355797
2021-10-29,JUBLFOOD,3728.0,3772.85,3667.2,3689.3,152014,0.3617,420303
2021-11-01,JUBLFOOD,3700.0,3769.65,3635.0,3746.85,184143,0.41990000000000005,438504
2021-11-02,JUBLFOOD,3760.0,3795.0,3730.0,3755.0,103899,0.3762,276208
2021-11-03,JUBLFOOD,3770.0,3799.1,3714.5,3725.3,132891,0.38810000000000006,342392
2021-11-04,JUBLFOOD,3761.3,3789.0,3750.05,3775.65,37720,0.564,66876
2021-11-08,JUBLFOOD,3794.5,3909.0,3760.65,3873.45,163607,0.33159999999999995,493332
2021-11-09,JUBLFOOD,3894.0,3924.0,3853.2,3904.1,96966,0.3685,263148
2021-11-10,JUBLFOOD,3890.0,3933.6,3862.9,3875.95,126620,0.3443,367748
2021-11-11,JUBLFOOD,3860.0,3919.0,3845.0,3900.05,127004,0.37939999999999996,334773
2021-11-12,JUBLFOOD,3934.0,4030.0,3930.0,4003.75,376663,0.3676,1024622
2021-11-15,JUBLFOOD,4002.0,4047.5,3963.85,3999.85,113138,0.2933,385718
2021-11-16,JUBLFOOD,4005.6,4077.4,3985.25,4012.0,185655,0.3461,536424
2021-11-17,JUBLFOOD,3995.0,4004.4,3906.0,3922.25,144056,0.42600000000000005,338186
2021-11-18,JUBLFOOD,3924.95,3949.9,3738.0,3815.8,190842,0.2356,809903
2021-11-22,JUBLFOOD,3831.9,3864.7,3676.0,3742.2,128511,0.31,414590
2021-11-23,JUBLFOOD,3725.0,3872.9,3708.35,3803.2,168400,0.3543,475262
2021-11-24,JUBLFOOD,3816.7,3824.65,3750.0,3768.25,105284,0.4232,248803
2021-11-25,JUBLFOOD,3765.0,3798.95,3736.0,3758.05,36873,0.198,186221
2021-11-26,JUBLFOOD,3730.0,3742.45,3602.0,3658.5,125670,0.2846,441537
2021-11-29,JUBLFOOD,3615.0,3715.5,3526.55,3640.25,164070,0.3677,446242
2021-11-30,JUBLFOOD,3640.2,3744.75,3631.0,3651.0,212568,0.4439,478820
2021-12-01,JUBLFOOD,3685.0,3749.95,3670.85,3700.65,101517,0.33270000000000005,305089
2021-12-02,JUBLFOOD,3680.0,3770.0,3680.0,3762.9,149396,0.4354,343114
2021-12-03,JUBLFOOD,3779.95,3850.0,3765.0,3800.55,133444,0.3293,405190
2021-12-06,JUBLFOOD,3798.0,3895.9,3695.2,3706.55,116428,0.22920000000000001,507964
2021-12-07,JUBLFOOD,3735.0,3808.0,3715.05,3792.35,135370,0.32270000000000004,419464
2021-12-08,JUBLFOOD,3815.55,3851.0,3772.0,3832.9,110822,0.36310000000000003,305233
2021-12-09,JUBLFOOD,3860.0,3860.0,3807.25,3825.8,140935,0.4783,294631
2021-12-10,JUBLFOOD,3839.95,3859.35,3776.85,3788.05,107771,0.3567,302137
2021-12-13,JUBLFOOD,3801.0,3809.0,3720.2,3738.55,227787,0.48119999999999996,473408
2021-12-14,JUBLFOOD,3728.05,3760.95,3666.55,3752.9,173899,0.44189999999999996,393511
2021-12-15,JUBLFOOD,3745.0,3750.0,3672.05,3677.7,101934,0.47659999999999997,213872
