Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,JUSTDIAL,955.85,965.0,951.6,958.1,116955,0.2828,413526
2021-09-02,JUSTDIAL,961.7,995.0,960.0,981.75,755886,0.2899,2607575
2021-09-03,JUSTDIAL,992.0,1007.9,985.1,992.45,469629,0.2401,1956201
2021-09-06,JUSTDIAL,996.4,999.9,981.0,989.05,121651,0.2896,420025
2021-09-07,JUSTDIAL,990.85,998.5,983.05,989.85,146027,0.2934,497683
2021-09-08,JUSTDIAL,995.0,1008.0,989.9,998.35,289946,0.29410000000000003,985899
2021-09-09,JUSTDIAL,995.05,1001.5,990.0,993.9,135911,0.4042,336234
2021-09-13,JUSTDIAL,994.4,994.4,983.2,989.0,203431,0.4999,406939
2021-09-14,JUSTDIAL,990.0,993.7,984.0,986.15,101330,0.4278,236881
2021-09-15,JUSTDIAL,986.15,994.35,985.5,987.95,596725,0.7502,795382
2021-09-16,JUSTDIAL,988.0,991.0,986.1,988.0,297984,0.6727,442966
2021-09-17,JUSTDIAL,990.8,990.8,982.2,984.35,318560,0.6508,489471
2021-09-20,JUSTDIAL,980.2,987.85,980.2,983.2,138298,0.5418000000000001,255253
2021-09-21,JUSTDIAL,983.55,986.0,975.65,979.7,126532,0.5368,235696
2021-09-22,JUSTDIAL,979.7,990.0,975.6,986.55,196387,0.466,421390
2021-09-23,JUSTDIAL,986.55,990.0,982.15,989.15,131679,0.4781,275430
2021-09-24,JUSTDIAL,990.0,991.5,986.5,989.45,298499,0.5795,515121
2021-09-27,JUSTDIAL,990.0,991.0,984.15,986.3,397394,0.7023999999999999,565785
2021-09-28,JUSTDIAL,989.65,990.0,984.65,988.85,203122,0.5643,359939
2021-09-29,JUSTDIAL,987.2,990.5,986.15,989.8,1177974,0.8625,1365831
2021-09-30,JUSTDIAL,990.0,1009.9,988.0,989.2,741186,0.5737,1291919
2021-10-01,JUSTDIAL,987.3,991.7,986.5,989.95,1219876,0.8573000000000001,1422903
2021-10-04,JUSTDIAL,991.9,991.9,983.0,989.95,416016,0.7025,592213
2021-10-05,JUSTDIAL,987.0,999.0,976.35,982.35,100651,0.3987,252463
2021-10-06,JUSTDIAL,988.8,1019.8,981.2,1011.55,691997,0.35100000000000003,1971473
2021-10-07,JUSTDIAL,1021.0,1051.0,994.1,999.05,587924,0.3018,1948005
2021-10-08,JUSTDIAL,1005.0,1028.0,992.8,1000.25,180349,0.2515,717132
2021-10-11,JUSTDIAL,1004.0,1009.95,976.05,981.55,155263,0.3755,413472
2021-10-12,JUSTDIAL,982.0,989.5,949.0,954.7,215261,0.3875,555563
2021-10-13,JUSTDIAL,959.45,961.7,927.0,928.9,287708,0.4608,624427
2021-10-14,JUSTDIAL,933.3,955.0,927.5,935.05,390538,0.4547,858838
2021-10-18,JUSTDIAL,934.0,936.95,909.0,912.05,420885,0.5777,728538
2021-10-19,JUSTDIAL,920.0,941.95,908.0,911.95,173323,0.31260000000000004,554524
2021-10-20,JUSTDIAL,911.95,922.0,875.1,882.85,184612,0.3254,567403
2021-10-21,JUSTDIAL,867.0,881.0,855.25,866.8,144116,0.2735,526931
