Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,JYOTHYLAB,160.4,162.0,158.3,158.75,128180,0.6164000000000001,207939
2021-09-02,JYOTHYLAB,159.0,171.25,159.0,169.9,598771,0.38630000000000003,1549947
2021-09-03,JYOTHYLAB,171.8,173.4,167.0,168.35,227238,0.299,759881
2021-09-06,JYOTHYLAB,169.2,178.5,169.0,176.95,700466,0.4316,1623066
2021-09-07,JYOTHYLAB,178.05,182.0,175.1,176.25,711109,0.3432,2072240
2021-09-08,JYOTHYLAB,177.5,182.95,175.0,177.5,1096880,0.4721,2323333
2021-09-09,JYOTHYLAB,177.5,180.9,176.1,176.9,195295,0.3471,562602
2021-09-13,JYOTHYLAB,176.9,178.85,174.75,177.1,190761,0.35840000000000005,532279
2021-09-14,JYOTHYLAB,176.7,179.5,176.55,177.45,451835,0.6234000000000001,724797
2021-09-15,JYOTHYLAB,177.4,180.0,176.8,177.8,327300,0.5215,627628
2021-09-16,JYOTHYLAB,178.5,179.45,174.8,177.1,881318,0.7904000000000001,1115004
2021-09-17,JYOTHYLAB,176.8,177.05,171.5,171.9,209150,0.5401,387239
2021-09-20,JYOTHYLAB,171.0,172.0,165.25,166.15,152163,0.535,284402
2021-09-21,JYOTHYLAB,166.0,167.0,163.0,164.95,724096,0.792,914295
2021-09-22,JYOTHYLAB,166.0,168.55,165.1,166.2,144185,0.5042,285956
2021-09-23,JYOTHYLAB,168.0,169.8,167.55,168.05,94330,0.4731,199370
2021-09-24,JYOTHYLAB,169.2,169.5,164.05,165.55,137822,0.5811000000000001,237191
2021-09-27,JYOTHYLAB,166.4,168.6,165.1,166.8,123226,0.4783,257607
2021-09-28,JYOTHYLAB,169.35,169.35,166.3,167.5,79443,0.47240000000000004,168176
2021-09-29,JYOTHYLAB,167.5,167.5,165.6,166.7,589384,0.8634999999999999,682578
2021-09-30,JYOTHYLAB,167.0,171.8,167.0,168.6,154275,0.4706,327842
2021-10-01,JYOTHYLAB,169.25,169.3,166.2,167.4,55446,0.4389,126317
2021-10-04,JYOTHYLAB,169.9,170.6,167.0,167.8,146247,0.6146,237972
2021-10-05,JYOTHYLAB,168.45,170.2,166.2,167.35,205521,0.6367,322795
2021-10-06,JYOTHYLAB,167.8,168.55,166.1,166.9,79006,0.5587,141415
2021-10-07,JYOTHYLAB,167.8,168.5,166.5,166.75,102705,0.5606,183198
2021-10-08,JYOTHYLAB,167.65,167.7,164.75,164.95,238861,0.7440000000000001,321069
2021-10-11,JYOTHYLAB,165.0,167.0,163.75,165.55,142974,0.6067,235667
2021-10-12,JYOTHYLAB,167.0,167.0,162.0,163.25,282327,0.639,441792
2021-10-13,JYOTHYLAB,163.4,165.5,162.7,163.05,218166,0.6713,324972
2021-10-14,JYOTHYLAB,164.4,164.5,161.75,162.35,320586,0.6889000000000001,465336
2021-10-18,JYOTHYLAB,163.6,163.7,162.4,163.05,543058,0.7571,717240
2021-10-19,JYOTHYLAB,163.5,163.5,162.0,163.05,581390,0.6912999999999999,840993
2021-10-20,JYOTHYLAB,163.0,163.05,159.05,160.75,222674,0.6654000000000001,334626
2021-10-21,JYOTHYLAB,160.8,161.45,153.3,154.95,604833,0.7088,853266
2021-10-22,JYOTHYLAB,155.45,158.5,154.4,155.75,306952,0.6707,457627
2021-10-25,JYOTHYLAB,157.0,157.0,152.0,153.75,232799,0.7138,326141
2021-10-26,JYOTHYLAB,155.3,155.3,153.3,154.0,226730,0.7598,298404
2021-10-27,JYOTHYLAB,155.25,155.25,153.4,154.6,324810,0.71,457498
2021-10-28,JYOTHYLAB,156.0,156.0,152.45,154.2,257969,0.7358,350608
2021-10-29,JYOTHYLAB,154.0,157.85,151.5,156.55,271816,0.6503,418004
2021-11-01,JYOTHYLAB,157.4,158.45,153.7,155.85,98708,0.5037,195983
2021-11-02,JYOTHYLAB,156.4,159.9,153.1,158.05,194219,0.254,764744
2021-11-03,JYOTHYLAB,154.0,157.7,154.0,155.45,1454660,0.8219,1769909
2021-11-04,JYOTHYLAB,157.95,159.45,156.85,158.15,80294,0.6866,116945
2021-11-08,JYOTHYLAB,159.9,162.55,157.05,161.65,189748,0.5174000000000001,366725
2021-11-09,JYOTHYLAB,162.0,163.6,160.55,161.3,160264,0.5548,288884
2021-11-10,JYOTHYLAB,161.3,163.25,159.1,159.8,100242,0.5535,181108
2021-11-11,JYOTHYLAB,160.8,160.8,157.35,157.7,1105986,0.9373,1179997
2021-11-12,JYOTHYLAB,158.7,160.5,157.95,158.7,90841,0.5004,181544
2021-11-15,JYOTHYLAB,159.5,159.7,156.6,157.15,194402,0.7717,251926
2021-11-16,JYOTHYLAB,157.3,158.0,154.1,155.6,185264,0.7361,251684
2021-11-17,JYOTHYLAB,155.0,157.05,154.0,155.0,191649,0.7801,245671
2021-11-18,JYOTHYLAB,155.0,155.6,151.2,151.85,206564,0.7142000000000001,289212
2021-11-22,JYOTHYLAB,153.2,153.35,149.1,149.65,296250,0.7036,421046
2021-11-23,JYOTHYLAB,149.65,151.05,148.0,150.0,800176,0.8617,928556
2021-11-24,JYOTHYLAB,150.8,153.2,149.65,151.05,234542,0.6172,379986
2021-11-25,JYOTHYLAB,151.8,152.7,150.2,151.45,147956,0.751,197016
2021-11-26,JYOTHYLAB,152.7,153.1,149.5,151.4,90154,0.3973,226928
2021-11-29,JYOTHYLAB,150.0,153.0,144.55,150.65,274466,0.6099,450017
2021-11-30,JYOTHYLAB,152.8,155.85,150.5,154.55,222636,0.5594,397995
2021-12-01,JYOTHYLAB,155.0,156.05,149.6,153.35,374673,0.7007,534677
2021-12-02,JYOTHYLAB,155.0,155.0,150.5,153.05,171659,0.6815000000000001,251885
2021-12-03,JYOTHYLAB,153.0,153.0,149.95,150.95,443573,0.7869,563678
2021-12-06,JYOTHYLAB,150.25,150.95,149.0,149.15,134865,0.6909000000000001,195198
2021-12-07,JYOTHYLAB,149.2,150.95,148.5,150.0,83230,0.5993,138870
2021-12-08,JYOTHYLAB,151.0,151.0,149.0,149.4,185775,0.644,288472
2021-12-09,JYOTHYLAB,149.65,150.3,148.75,149.3,1376019,0.9390999999999999,1465203
2021-12-10,JYOTHYLAB,149.65,150.6,149.25,149.5,1472216,0.8627,1706555
2021-12-13,JYOTHYLAB,151.0,151.7,148.0,148.25,113153,0.5102,221779
2021-12-14,JYOTHYLAB,149.55,156.6,148.6,155.1,600327,0.5295000000000001,1133852
2021-12-15,JYOTHYLAB,156.0,156.25,149.35,149.65,498783,0.7038,708734
2021-12-16,JYOTHYLAB,150.4,151.9,146.15,146.8,548821,0.7345999999999999,747134
2021-12-17,JYOTHYLAB,147.5,147.5,143.0,143.55,299562,0.6713,446232
2021-12-20,JYOTHYLAB,143.0,145.5,139.0,140.15,433878,0.5022,863889
2021-12-21,JYOTHYLAB,140.0,142.3,139.05,139.8,101095,0.43,235089
2021-12-22,JYOTHYLAB,142.0,142.0,139.5,139.9,102981,0.5086,202480
2021-12-23,JYOTHYLAB,140.75,141.1,139.55,139.95,110394,0.5296000000000001,208454
2021-12-24,JYOTHYLAB,140.5,140.5,137.75,137.95,187722,0.6461,290532
2021-12-27,JYOTHYLAB,138.65,138.65,136.05,136.35,185004,0.647,285934
2021-12-28,JYOTHYLAB,136.55,137.25,135.0,136.2,590987,0.7361,802912
2021-12-29,JYOTHYLAB,138.7,142.0,137.45,139.25,255739,0.2898,882532
2021-12-30,JYOTHYLAB,140.5,140.75,137.0,137.3,184060,0.5563,330885
2021-12-31,JYOTHYLAB,138.15,138.8,137.2,138.2,179790,0.49600000000000005,362486
2022-01-03,JYOTHYLAB,138.9,140.8,138.3,138.95,186758,0.5338,349846
2022-01-04,JYOTHYLAB,139.7,140.0,137.75,138.05,210057,0.6397,328368
2022-01-05,JYOTHYLAB,138.45,141.45,138.1,138.75,216512,0.38180000000000003,567118
2022-01-06,JYOTHYLAB,138.65,138.65,137.45,138.0,157098,0.6269,250578
2022-01-07,JYOTHYLAB,138.7,138.7,136.95,137.25,295056,0.6464,456432
2022-01-10,JYOTHYLAB,138.0,138.4,137.4,137.8,249421,0.5866,425181
2022-01-11,JYOTHYLAB,138.45,143.9,138.4,141.1,350545,0.2622,1336920
2022-01-12,JYOTHYLAB,142.2,142.8,140.05,140.35,154506,0.5321,290350
2022-01-13,JYOTHYLAB,141.45,143.0,140.5,141.85,160373,0.4818,332871
2022-01-14,JYOTHYLAB,142.65,142.9,141.35,142.45,134105,0.5773,232299
2022-01-17,JYOTHYLAB,143.3,144.45,142.7,143.1,178414,0.6001,297285
2022-01-18,JYOTHYLAB,143.85,144.9,139.5,140.7,152303,0.547,278431
2022-01-19,JYOTHYLAB,141.2,141.7,139.4,141.2,69754,0.4798,145368
2022-01-20,JYOTHYLAB,142.0,142.05,140.0,140.55,71304,0.5157,138258
2022-01-21,JYOTHYLAB,140.7,145.25,138.15,139.8,213176,0.2011,1059890
2022-01-24,JYOTHYLAB,139.75,139.95,136.05,137.4,175866,0.5564,421067
2022-01-25,JYOTHYLAB,135.0,140.0,133.7,136.4,215506,0.5432,396766
2022-01-27,JYOTHYLAB,137.1,138.1,136.1,137.05,111665,0.5674,196791
2022-01-28,JYOTHYLAB,137.75,139.7,137.6,139.2,138442,0.5978,231575
2022-01-31,JYOTHYLAB,140.25,143.2,139.3,140.75,177103,0.5119,346003
2022-02-01,JYOTHYLAB,141.5,143.9,140.5,141.15,84755,0.4424,191565
2022-02-02,JYOTHYLAB,142.9,142.9,140.35,140.9,69389,0.5768,120295
2022-02-03,JYOTHYLAB,141.4,144.0,140.9,142.2,137769,0.41159999999999997,334680
2022-02-04,JYOTHYLAB,143.6,143.6,139.0,139.8,109344,0.5288,206789
2022-02-07,JYOTHYLAB,140.05,141.0,138.05,139.9,119728,0.5427000000000001,220620
2022-02-08,JYOTHYLAB,140.6,140.8,138.25,139.95,81181,0.43060000000000004,188530
2022-02-09,JYOTHYLAB,140.85,141.6,139.15,140.8,92984,0.4901,189712
2022-02-10,JYOTHYLAB,140.8,140.95,138.3,139.25,72852,0.6078,119854
2022-02-11,JYOTHYLAB,139.95,139.95,137.6,138.15,55157,0.5251,105041
2022-02-14,JYOTHYLAB,137.5,137.9,135.1,135.65,122481,0.5633,217453
2022-02-15,JYOTHYLAB,135.5,137.6,134.1,136.15,71625,0.4086,175292
2022-02-16,JYOTHYLAB,139.5,139.5,136.55,137.1,37239,0.41740000000000005,89226
2022-02-17,JYOTHYLAB,138.15,139.0,136.3,138.0,343881,0.7837000000000001,438819
2022-02-18,JYOTHYLAB,139.5,141.8,137.55,138.2,107258,0.2768,387456
2022-02-21,JYOTHYLAB,138.0,138.0,135.1,135.3,54431,0.5448,99907
2022-02-22,JYOTHYLAB,133.85,134.8,132.0,133.35,67567,0.5696,118620
2022-02-23,JYOTHYLAB,133.05,136.4,133.0,136.0,92306,0.6565000000000001,140593
2022-02-24,JYOTHYLAB,131.05,134.0,130.15,131.6,201170,0.5944,338434
2022-02-25,JYOTHYLAB,132.3,135.5,131.65,133.45,861020,0.7943000000000001,1083977
2022-02-28,JYOTHYLAB,133.9,138.0,133.05,136.95,406240,0.7826000000000001,519086
2022-03-02,JYOTHYLAB,136.0,137.4,133.55,135.95,424042,0.8178000000000001,518512
2022-03-03,JYOTHYLAB,136.7,138.0,135.9,137.7,107639,0.6900000000000001,156006
2022-03-04,JYOTHYLAB,137.5,140.65,136.4,140.15,490995,0.7913,620467
2022-03-07,JYOTHYLAB,139.0,140.85,136.05,139.2,1371664,0.8887999999999999,1543294
