Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,KABRAEXTRU,246.5,249.95,242.0,246.4,63649,0.35380000000000006,179916
2021-09-02,KABRAEXTRU,246.55,252.65,241.1,243.55,67254,0.43770000000000003,153640
2021-09-03,KABRAEXTRU,244.05,247.1,237.0,239.9,34767,0.4457,78003
2021-09-06,KABRAEXTRU,240.0,245.8,236.0,238.25,35331,0.32380000000000003,109097
2021-09-07,KABRAEXTRU,238.9,246.4,237.0,238.15,60909,0.3556,171290
2021-09-08,KABRAEXTRU,238.5,242.8,234.0,237.05,33417,0.32280000000000003,103538
2021-09-09,KABRAEXTRU,237.7,248.5,236.55,243.4,75006,0.3155,237747
2021-09-13,KABRAEXTRU,243.4,244.65,235.25,236.55,43818,0.47020000000000006,93190
2021-09-14,KABRAEXTRU,237.9,262.0,237.9,251.1,223620,0.281,795667
2021-09-15,KABRAEXTRU,252.85,254.3,246.0,247.0,67067,0.4289,156381
2021-09-16,KABRAEXTRU,248.3,250.35,244.0,244.35,47421,0.5355,88552
2021-09-17,KABRAEXTRU,246.3,246.4,238.3,242.15,81602,0.528,154539
2021-09-20,KABRAEXTRU,240.0,244.0,230.0,232.8,94207,0.6509999999999999,144721
2021-09-21,KABRAEXTRU,234.65,239.25,229.95,234.9,33304,0.444,75001
2021-09-22,KABRAEXTRU,235.95,245.9,235.95,243.25,49238,0.5529999999999999,89044
2021-09-23,KABRAEXTRU,244.9,254.9,242.35,243.75,43968,0.5314,82739
2021-09-24,KABRAEXTRU,245.0,257.4,242.8,246.75,97791,0.34909999999999997,280117
2021-09-27,KABRAEXTRU,249.45,251.25,243.8,248.65,63070,0.5125,123066
2021-09-28,KABRAEXTRU,249.7,249.8,240.0,244.25,37312,0.5094,73252
2021-09-29,KABRAEXTRU,243.9,246.75,241.0,243.25,19011,0.435,43704
2021-09-30,KABRAEXTRU,243.95,251.6,242.0,248.8,39412,0.4304,91574
2021-10-01,KABRAEXTRU,248.0,265.9,243.95,258.85,182504,0.4181,436543
2021-10-04,KABRAEXTRU,259.0,275.0,256.35,265.7,237279,0.3361,706055
2021-10-05,KABRAEXTRU,265.0,265.05,255.0,257.1,86782,0.5474,158534
2021-10-06,KABRAEXTRU,257.4,260.4,249.0,251.05,74691,0.4773,156480
2021-10-07,KABRAEXTRU,254.8,260.0,252.75,256.15,35662,0.4889,72947
2021-10-08,KABRAEXTRU,259.0,259.0,250.0,251.2,38355,0.5273,72735
2021-10-11,KABRAEXTRU,250.05,262.75,242.0,243.6,112093,0.5595,200347
2021-10-12,KABRAEXTRU,246.25,250.4,241.6,249.3,66393,0.5601,118548
2021-10-13,KABRAEXTRU,251.25,256.0,246.1,248.75,37254,0.43560000000000004,85514
2021-10-14,KABRAEXTRU,251.3,253.25,247.2,249.35,39839,0.5022,79325
2021-10-18,KABRAEXTRU,251.4,252.0,243.5,246.85,59342,0.5161,114976
2021-10-19,KABRAEXTRU,248.8,250.4,238.0,243.15,59601,0.5966,99904
2021-10-20,KABRAEXTRU,240.0,246.55,236.45,239.65,29677,0.5164,57471
2021-10-21,KABRAEXTRU,240.3,259.8,231.0,251.0,129608,0.41659999999999997,311101
2021-10-22,KABRAEXTRU,252.0,254.8,239.0,244.6,46000,0.49090000000000006,93710
2021-10-25,KABRAEXTRU,246.6,246.6,231.6,236.5,50586,0.5373,94154
