Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,KALPATPOWR,415.0,428.4,405.6,408.9,109096,0.3532,308919
2021-09-02,KALPATPOWR,410.9,418.4,408.9,414.2,145513,0.5956,244333
2021-09-03,KALPATPOWR,415.0,416.0,410.0,412.05,45822,0.45909999999999995,99805
2021-09-06,KALPATPOWR,414.9,420.0,412.1,416.1,57051,0.48479999999999995,117670
2021-09-07,KALPATPOWR,419.8,419.8,410.3,413.35,85601,0.6217,137697
2021-09-08,KALPATPOWR,415.45,415.45,409.05,412.95,102843,0.6456000000000001,159291
2021-09-09,KALPATPOWR,414.3,415.0,411.0,413.5,107887,0.7194,149963
2021-09-13,KALPATPOWR,413.0,415.8,411.35,414.95,117439,0.7390000000000001,158906
2021-09-14,KALPATPOWR,414.6,425.45,414.6,422.9,112070,0.6124,182992
2021-09-15,KALPATPOWR,425.85,429.5,422.9,426.65,114660,0.5757,199173
2021-09-16,KALPATPOWR,428.4,428.8,415.1,417.95,159783,0.7543000000000001,211825
2021-09-17,KALPATPOWR,418.5,423.1,399.55,408.1,365522,0.7116,513647
2021-09-20,KALPATPOWR,402.0,410.15,396.35,398.15,202229,0.7458,271170
2021-09-21,KALPATPOWR,408.0,408.0,388.5,394.3,170160,0.6345000000000001,268166
2021-09-22,KALPATPOWR,394.3,399.55,386.0,397.05,338652,0.5976,566720
2021-09-23,KALPATPOWR,404.0,414.45,400.5,402.65,179937,0.4268,421598
2021-09-24,KALPATPOWR,406.15,412.65,394.05,399.35,209977,0.6101,344174
2021-09-27,KALPATPOWR,399.35,401.4,394.5,396.45,68536,0.5596,122474
2021-09-28,KALPATPOWR,396.6,398.8,389.45,395.65,93455,0.49960000000000004,187060
2021-09-29,KALPATPOWR,393.0,422.4,390.0,404.35,194239,0.3436,565252
2021-09-30,KALPATPOWR,408.0,412.0,398.6,404.2,135585,0.5205,260489
2021-10-01,KALPATPOWR,405.1,418.55,402.0,404.85,111176,0.3682,301938
2021-10-04,KALPATPOWR,410.95,411.65,405.05,408.65,391391,0.7622,513505
2021-10-05,KALPATPOWR,418.0,418.0,407.0,408.6,113871,0.45299999999999996,251394
