Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-10-12,KANANIIND,9.35,9.45,8.65,9.3,8575,0.6542,13108
2021-10-13,KANANIIND,9.5,9.5,8.95,9.2,8412,0.5764,14594
2021-10-14,KANANIIND,8.85,9.2,8.85,9.05,7372,0.7308,10087
2021-10-18,KANANIIND,8.8,9.25,8.8,9.05,9110,0.6148,14817
2021-10-19,KANANIIND,9.2,9.2,8.6,8.7,24439,0.7026000000000001,34782
2021-10-20,KANANIIND,8.9,8.95,8.6,8.65,4872,0.5067,9615
2021-10-21,KANANIIND,8.9,9.0,8.45,8.6,7278,0.5944,12244
2021-10-22,KANANIIND,8.5,8.8,8.2,8.25,18357,0.7748,23693
2021-10-25,KANANIIND,8.1,8.6,7.85,7.95,12607,0.5776,21828
2021-10-26,KANANIIND,8.2,8.2,7.6,7.6,53713,0.8544,62865
2021-10-27,KANANIIND,7.75,7.95,7.25,7.6,26581,0.6663,39891
2021-10-28,KANANIIND,7.85,7.85,7.25,7.35,8352,0.5025000000000001,16620
2021-10-29,KANANIIND,7.7,7.7,7.05,7.7,21542,0.41630000000000006,51741
2021-11-01,KANANIIND,7.8,8.05,7.8,8.05,6859,0.5808,11810
2021-11-02,KANANIIND,8.45,8.45,7.85,8.35,13202,0.7293999999999999,18100
2021-11-03,KANANIIND,8.35,8.65,7.95,8.0,13050,0.4523,28854
2021-11-04,KANANIIND,8.4,8.4,7.65,8.25,6394,0.30100000000000005,21242
2021-11-08,KANANIIND,8.35,8.4,8.0,8.1,11802,0.6434000000000001,18342
2021-11-09,KANANIIND,8.35,8.35,7.95,8.25,13989,0.6417,21800
2021-11-10,KANANIIND,8.4,8.4,7.9,8.2,6781,0.4123,16447
2021-11-11,KANANIIND,8.4,8.4,8.0,8.35,8394,0.6779000000000001,12383
2021-11-12,KANANIIND,8.4,8.4,8.05,8.15,6691,0.6285000000000001,10646
2021-11-15,KANANIIND,8.15,8.5,8.0,8.35,12908,0.4773,27041
2021-11-16,KANANIIND,8.55,8.65,8.1,8.25,2907,0.4694,6193
2021-11-17,KANANIIND,8.45,8.45,8.0,8.3,10797,0.3368,32059
2021-11-18,KANANIIND,8.4,8.4,8.0,8.1,10293,0.5634,18269
2021-11-22,KANANIIND,8.1,8.4,7.7,8.1,12600,0.3184,39569
2021-11-23,KANANIIND,8.2,8.2,7.75,8.15,11070,0.7279000000000001,15208
2021-11-24,KANANIIND,7.8,8.35,7.8,8.05,9378,0.4338,21620
2021-11-25,KANANIIND,8.15,8.15,7.75,7.95,13790,0.4601,29975
2021-11-26,KANANIIND,7.7,8.1,7.7,7.85,9379,0.5915,15857
2021-11-29,KANANIIND,7.6,7.9,7.5,7.6,9735,0.5726,17002
2021-11-30,KANANIIND,7.8,7.9,7.35,7.75,7687,0.5760000000000001,13346
2021-12-01,KANANIIND,7.95,7.95,7.5,7.85,3706,0.2999,12359
2021-12-02,KANANIIND,8.05,8.2,7.6,8.2,13288,0.43729999999999997,30384
2021-12-03,KANANIIND,8.4,8.55,7.95,8.1,9977,0.394,25325
2021-12-06,KANANIIND,8.35,8.45,8.1,8.4,24216,0.6703,36125
2021-12-07,KANANIIND,8.6,9.1,8.25,8.9,41895,0.6558,63879
2021-12-08,KANANIIND,9.75,9.75,9.0,9.3,36960,0.6195,59658
2021-12-09,KANANIIND,9.7,9.75,9.1,9.35,31806,0.6537999999999999,48649
2021-12-10,KANANIIND,9.95,10.1,9.15,9.95,51711,0.6809000000000001,75945
2021-12-13,KANANIIND,10.8,10.8,9.95,10.3,47111,0.6178,76262
2021-12-14,KANANIIND,10.8,10.8,10.05,10.15,12080,0.5537,21818
2021-12-15,KANANIIND,10.6,11.15,9.15,11.1,141383,0.4924,287135
2021-12-16,KANANIIND,11.65,12.2,11.1,12.2,72408,0.8259000000000001,87674
2021-12-17,KANANIIND,12.7,12.8,12.3,12.8,159442,0.6422,248258
2021-12-20,KANANIIND,12.9,13.2,12.2,12.2,75763,0.8043000000000001,94198
2021-12-21,KANANIIND,11.6,12.8,11.6,12.8,48360,0.6186,78176
2021-12-22,KANANIIND,13.1,13.4,13.1,13.4,62968,0.9063,69475
2021-12-23,KANANIIND,14.0,14.05,13.7,14.05,65755,0.8555,76859
2021-12-24,KANANIIND,14.75,14.75,13.4,14.7,158082,0.5921000000000001,266998
2021-12-27,KANANIIND,15.4,15.4,15.0,15.4,132786,0.7859,168965
2021-12-28,KANANIIND,16.15,16.15,15.4,16.15,107092,0.7864,136181
2021-12-29,KANANIIND,16.85,16.95,16.0,16.95,106714,0.8179000000000001,130469
2021-12-30,KANANIIND,17.75,17.75,17.75,17.75,27578,0.7975,34579
2021-12-31,KANANIIND,18.6,18.6,18.6,18.6,25997,0.998,26050
2022-01-03,KANANIIND,19.3,19.5,18.25,19.5,104441,0.7343000000000001,142226
2022-06-21,KANANIIND,18.5,18.5,18.5,18.5,17910,1.0,17910
2022-06-22,KANANIIND,17.6,17.6,17.6,17.6,8959,1.0,8959
2022-06-23,KANANIIND,16.75,16.75,16.75,16.75,34627,1.0,43864
2022-06-24,KANANIIND,15.95,16.45,15.95,15.95,286948,0.7275,394410
2022-06-27,KANANIIND,15.2,15.2,15.2,15.2,45961,1.0,45961
2022-06-28,KANANIIND,14.45,14.45,14.45,14.45,32266,1.0,32266
2022-06-29,KANANIIND,13.75,15.15,13.75,15.15,892626,0.7723000000000001,1155757
2022-06-30,KANANIIND,15.9,15.9,14.4,14.7,1602016,0.6134000000000001,2611568
2022-07-01,KANANIIND,14.0,15.0,14.0,14.0,812401,0.5864,1385339
2022-07-04,KANANIIND,13.3,13.3,13.3,13.3,82296,1.0,82296
2022-07-05,KANANIIND,12.65,12.65,12.65,12.65,82217,1.0,82217
2022-07-06,KANANIIND,12.05,12.05,12.05,12.05,38908,1.0,38908
2022-07-07,KANANIIND,11.45,11.45,11.45,11.45,139700,1.0,139700
2022-07-08,KANANIIND,11.0,12.0,11.0,11.95,1028999,0.5193,1981492
2022-07-11,KANANIIND,12.0,12.4,11.4,11.4,328267,0.7611,431321
2022-07-12,KANANIIND,11.0,11.45,10.85,10.85,135990,0.6862,198173
2022-07-13,KANANIIND,10.35,10.35,10.35,10.35,74137,1.0,74137
2022-07-14,KANANIIND,9.85,10.85,9.85,10.55,969142,0.34500000000000003,2809009
2022-07-15,KANANIIND,10.65,10.65,10.05,10.05,414804,0.5158,804166
2022-07-18,KANANIIND,10.0,10.45,9.55,9.6,404810,0.49950000000000006,810455
