Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-10-12,KARMAENG,22.65,23.45,22.0,23.25,20768,0.6256,33195
2021-10-13,KARMAENG,24.25,24.4,23.75,24.4,16480,0.7425,22195
2021-10-14,KARMAENG,24.8,24.8,23.2,23.2,24566,0.6648999999999999,36946
2021-10-18,KARMAENG,22.5,24.3,22.05,22.05,19290,0.6102000000000001,31615
2021-10-19,KARMAENG,21.1,23.15,21.1,22.85,20721,0.6061,34188
2021-10-20,KARMAENG,23.9,23.9,22.15,23.25,12928,0.5468000000000001,23644
2021-10-21,KARMAENG,23.95,23.95,22.1,22.3,2758,0.3768,7320
2021-10-22,KARMAENG,22.0,23.15,22.0,22.4,2423,0.4338,5586
2021-10-25,KARMAENG,23.4,23.4,21.65,22.0,3568,0.3898,9153
2021-10-26,KARMAENG,22.8,22.8,21.45,21.6,1997,0.41340000000000005,4831
2021-10-27,KARMAENG,22.4,22.65,21.75,22.55,5487,0.4581,11978
2021-10-28,KARMAENG,23.45,23.45,21.45,21.7,4343,0.4412,9843
2021-10-29,KARMAENG,22.4,22.4,21.0,21.25,2958,0.7973,3710
2021-11-01,KARMAENG,20.85,22.3,20.8,21.4,2956,0.5572,5305
2021-11-02,KARMAENG,21.85,22.35,20.75,21.25,2148,0.5761999999999999,3728
2021-11-03,KARMAENG,22.0,22.3,20.6,21.3,6669,0.7108,9383
2021-11-04,KARMAENG,22.25,22.3,21.0,22.1,3033,0.6568,4618
2021-11-08,KARMAENG,22.55,22.8,21.25,22.2,8250,0.6323,13048
2021-11-09,KARMAENG,22.2,22.2,21.45,21.6,4251,0.8351999999999999,5090
2021-11-10,KARMAENG,21.5,22.45,21.25,21.75,2984,0.4465,6683
2021-11-11,KARMAENG,22.5,22.7,21.3,21.8,2382,0.542,4395
2021-11-12,KARMAENG,21.9,22.7,21.55,21.95,5351,0.4404,12149
2021-11-15,KARMAENG,22.7,22.7,20.9,20.9,5429,0.7377,7359
2021-11-16,KARMAENG,21.45,21.8,21.1,21.25,4307,0.7153,6021
2021-11-17,KARMAENG,22.1,22.3,21.0,21.9,14484,0.8824,16414
2021-11-18,KARMAENG,22.9,22.95,21.05,21.9,16099,0.5435,29621
2021-11-22,KARMAENG,21.9,22.85,21.15,21.8,8498,0.7569,11227
2021-11-23,KARMAENG,21.4,21.8,21.0,21.15,6116,0.7445,8215
2021-11-24,KARMAENG,21.15,21.95,20.1,20.15,29910,0.7437,40219
2021-11-25,KARMAENG,19.5,20.95,19.15,19.25,36932,0.44689999999999996,82632
2021-11-26,KARMAENG,19.65,19.9,18.55,19.15,11735,0.6068,19340
2021-11-29,KARMAENG,18.8,19.4,18.2,18.45,11515,0.6718000000000001,17140
2021-11-30,KARMAENG,18.95,19.0,17.9,18.85,7623,0.6966,10943
2021-12-01,KARMAENG,19.25,19.75,18.05,18.2,9981,0.5466,18261
2021-12-02,KARMAENG,19.0,19.1,18.05,19.1,14755,0.9741,15148
2021-12-03,KARMAENG,19.95,19.95,19.1,19.55,13266,0.784,16920
2021-12-06,KARMAENG,19.95,20.25,18.7,20.1,8595,0.6909000000000001,12441
2021-12-07,KARMAENG,20.4,21.1,20.0,20.85,15658,0.705,22210
2021-12-08,KARMAENG,21.5,21.6,20.35,20.8,8340,0.5987,13930
2021-12-09,KARMAENG,21.8,21.8,21.25,21.8,26781,0.888,30159
2021-12-10,KARMAENG,22.0,22.85,21.8,22.85,24087,0.6743000000000001,35720
2021-12-13,KARMAENG,23.4,23.95,23.0,23.95,19692,0.7693000000000001,25597
2021-12-14,KARMAENG,24.95,25.1,24.95,25.1,11776,0.9386,12547
2021-12-15,KARMAENG,26.35,26.35,26.35,26.35,5115,0.9998,5116
2021-12-16,KARMAENG,27.65,27.65,27.65,27.65,8207,0.9999,8208
2021-12-17,KARMAENG,29.0,29.0,29.0,29.0,28406,0.9999,28408
2021-12-20,KARMAENG,30.45,30.45,27.55,27.55,28202,0.6529,43198
2021-12-21,KARMAENG,26.2,28.2,26.2,26.2,23254,0.7432,31290
2021-12-22,KARMAENG,25.0,27.5,24.9,27.5,25494,0.7328,34789
2021-12-23,KARMAENG,28.55,28.85,28.55,28.85,5342,0.9998,5343
2021-12-24,KARMAENG,30.25,30.25,30.25,30.25,9860,0.9999,9861
2021-12-27,KARMAENG,31.75,31.75,31.75,31.75,6901,1.0,6901
2021-12-28,KARMAENG,33.3,33.3,33.3,33.3,9195,1.0,9195
2021-12-29,KARMAENG,34.55,34.95,34.0,34.95,45771,0.8212999999999999,55732
2021-12-30,KARMAENG,36.65,36.65,35.65,36.65,30130,0.8511,35400
2021-12-31,KARMAENG,38.45,38.45,38.45,38.45,15983,1.0,15983
2022-01-03,KARMAENG,39.2,40.35,39.2,40.35,32168,0.9671,33261
2022-03-29,KARMAENG,34.45,34.45,31.3,31.5,4857,0.8423999999999999,5766
2022-03-30,KARMAENG,31.5,32.95,30.3,32.25,3003,0.7959,3773
2022-03-31,KARMAENG,33.0,33.85,31.15,32.25,2479,0.7202,3442
2022-04-01,KARMAENG,32.9,33.7,30.85,32.95,3448,0.6564,5253
2022-04-04,KARMAENG,33.95,33.95,31.55,32.9,3913,0.6831,5728
2022-04-05,KARMAENG,33.6,33.65,31.75,32.3,9251,0.7583,12199
2022-04-06,KARMAENG,32.95,33.9,30.75,33.75,21612,0.6999,30878
2022-04-07,KARMAENG,34.45,36.25,32.15,33.3,9104,0.7452,12217
2022-04-08,KARMAENG,36.2,36.2,31.65,33.35,5601,0.5075999999999999,11034
2022-04-11,KARMAENG,35.55,35.55,31.55,32.7,2643,0.5699000000000001,4638
2022-04-12,KARMAENG,34.2,34.2,31.1,32.1,7661,0.8115000000000001,9441
2022-04-13,KARMAENG,34.4,34.4,30.7,31.9,8898,0.7718,11529
2022-04-18,KARMAENG,34.05,34.55,29.55,33.8,14888,0.6855,21720
2022-04-19,KARMAENG,33.8,34.35,31.0,32.15,3773,0.5124000000000001,7364
2022-04-20,KARMAENG,31.65,33.0,31.1,31.8,5265,0.8713,6043
2022-04-21,KARMAENG,30.95,34.55,30.95,32.5,4073,0.5351,7611
2022-04-22,KARMAENG,31.85,33.0,30.6,32.15,5198,0.7914,6568
2022-04-25,KARMAENG,29.5,32.7,29.5,31.8,4842,0.39030000000000004,12407
2022-04-26,KARMAENG,32.0,34.95,30.75,34.95,30094,0.6470999999999999,46508
2022-04-27,KARMAENG,35.5,38.4,34.0,38.4,70858,0.5799000000000001,122190
2022-04-28,KARMAENG,41.0,41.8,35.15,35.6,56639,0.4902,115554
2022-04-29,KARMAENG,38.75,39.15,35.8,39.15,44616,0.5424,82253
2022-05-02,KARMAENG,38.9,38.9,35.7,36.8,21128,0.6424,32891
2022-05-04,KARMAENG,37.5,38.6,33.55,34.8,11696,0.6437999999999999,18166
