Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,KARURVYSYA,44.0,44.45,42.9,43.15,886690,0.4546,1950677
2021-09-02,KARURVYSYA,43.1,44.2,43.1,44.05,670902,0.4661,1439491
2021-09-03,KARURVYSYA,44.05,44.55,42.8,43.1,1080611,0.5331,2026892
2021-09-06,KARURVYSYA,43.35,43.8,43.2,43.6,457087,0.4972,919233
2021-09-07,KARURVYSYA,43.9,43.9,42.4,42.65,943619,0.6052000000000001,1559164
2021-09-08,KARURVYSYA,42.75,43.35,42.25,42.5,600307,0.5427000000000001,1106092
2021-09-09,KARURVYSYA,42.7,42.8,41.8,42.25,907713,0.3931,2308868
2021-09-13,KARURVYSYA,42.3,42.75,42.05,42.3,701972,0.5825,1205096
2021-09-14,KARURVYSYA,42.6,44.5,42.4,43.55,1127189,0.5531,2037895
2021-09-15,KARURVYSYA,43.45,45.3,43.35,44.25,1654473,0.4497,3678726
2021-09-16,KARURVYSYA,44.25,46.3,44.25,45.65,2116144,0.5224,4050469
2021-09-17,KARURVYSYA,46.0,53.6,45.1,49.9,16350056,0.396,41285349
2021-09-20,KARURVYSYA,49.65,52.3,47.15,47.75,2982849,0.32439999999999997,9194056
2021-09-21,KARURVYSYA,48.4,49.05,46.3,48.45,1305800,0.2843,4593376
2021-09-22,KARURVYSYA,48.4,49.75,48.0,48.6,1323413,0.342,3869133
2021-09-23,KARURVYSYA,49.0,49.1,47.7,47.8,1353121,0.5844,2315209
2021-09-24,KARURVYSYA,48.15,49.7,46.1,48.55,3493300,0.49840000000000007,7008892
2021-09-27,KARURVYSYA,48.85,49.4,47.7,47.9,2017759,0.5366,3760374
2021-09-28,KARURVYSYA,48.35,48.55,46.55,47.0,1272157,0.43450000000000005,2927912
2021-09-29,KARURVYSYA,47.0,50.4,46.55,49.55,18565041,0.36210000000000003,51266261
2021-09-30,KARURVYSYA,49.55,50.2,47.6,47.9,4581151,0.4518,10140575
2021-10-01,KARURVYSYA,47.6,47.85,46.8,47.0,1935848,0.37920000000000004,5105018
2021-10-04,KARURVYSYA,47.6,48.1,47.15,47.8,2647606,0.4757,5565995
2021-10-05,KARURVYSYA,47.9,48.4,47.3,47.4,1882342,0.4944,3807079
2021-10-06,KARURVYSYA,47.5,47.9,46.2,46.5,4231175,0.5846,7237695
2021-10-07,KARURVYSYA,46.6,47.55,46.05,46.5,3558340,0.5611,6342087
2021-10-08,KARURVYSYA,47.05,47.25,46.25,46.6,1181325,0.4557,2592601
