Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,KDDL,385.85,422.8,385.5,407.7,9785,0.5760000000000001,16989
2021-09-02,KDDL,424.9,448.45,408.35,448.45,30518,0.5816,52472
2021-09-03,KDDL,457.0,459.0,426.6,441.7,15820,0.3448,45879
2021-09-06,KDDL,449.3,472.9,439.25,446.65,14006,0.4692,29849
2021-09-07,KDDL,446.85,455.65,427.4,439.25,6490,0.6809000000000001,9531
2021-09-08,KDDL,436.0,444.8,430.05,433.5,2868,0.5121,5600
2021-09-09,KDDL,447.95,447.95,410.05,417.9,2897,0.5625,5150
2021-09-13,KDDL,422.9,432.25,412.15,418.1,3222,0.4032,7991
2021-09-14,KDDL,425.0,425.0,408.0,420.7,3239,0.41020000000000006,7896
2021-09-15,KDDL,431.95,453.0,413.65,437.2,8143,0.6292,12942
2021-09-16,KDDL,438.45,454.5,430.5,439.65,3540,0.5731,6177
2021-09-17,KDDL,439.65,441.95,415.85,426.85,7906,0.6487999999999999,12185
2021-09-20,KDDL,430.25,446.05,412.1,419.55,12975,0.7284999999999999,17811
2021-09-21,KDDL,439.0,444.0,411.0,433.85,6671,0.6933,9622
2021-09-22,KDDL,443.65,443.65,416.0,420.8,3217,0.6512000000000001,4940
2021-09-23,KDDL,439.35,439.35,412.0,419.05,13746,0.7284999999999999,18870
2021-09-24,KDDL,423.05,432.65,412.0,420.0,6360,0.693,9177
2021-09-27,KDDL,425.0,457.5,425.0,452.7,11561,0.459,25185
2021-09-28,KDDL,460.0,488.0,458.0,463.7,17275,0.3625,47661
2021-09-29,KDDL,452.1,464.95,440.15,444.85,2562,0.3262,7855
2021-09-30,KDDL,444.0,444.0,421.15,431.1,7579,0.6133,12358
2021-10-01,KDDL,431.1,449.9,426.2,442.25,3446,0.5626,6125
2021-10-04,KDDL,448.9,468.3,436.0,441.15,2620,0.5057,5181
2021-10-05,KDDL,447.0,448.75,434.0,441.4,6557,0.85,7714
2021-10-06,KDDL,461.8,461.8,426.85,428.65,2570,0.5648,4550
2021-10-07,KDDL,437.95,445.8,429.6,440.9,1655,0.8133,2035
2021-10-08,KDDL,448.1,458.6,435.45,453.05,3761,0.6369,5905
2021-10-11,KDDL,454.05,468.0,451.05,461.7,4752,0.7475,6357
2021-10-12,KDDL,470.0,470.0,439.95,453.3,1760,0.5288,3328
2021-10-13,KDDL,452.35,456.0,441.05,441.4,3161,0.6623,4773
2021-10-14,KDDL,458.75,529.65,438.3,517.9,55891,0.2687,208042
2021-10-18,KDDL,525.0,533.8,493.0,520.55,25147,0.4626,54358
2021-10-19,KDDL,521.0,527.95,495.55,512.85,5901,0.5706,10342
2021-10-20,KDDL,512.85,521.55,480.0,485.15,4090,0.4372,9355
2021-10-21,KDDL,475.45,494.0,456.8,465.5,5026,0.3791,13256
2021-10-22,KDDL,460.2,558.6,460.2,484.9,53605,0.2181,245726
2021-10-25,KDDL,482.75,512.2,463.5,479.65,23481,0.35130000000000006,66833
2021-10-26,KDDL,483.0,485.0,467.05,470.1,9835,0.4989,19715
2021-10-27,KDDL,471.6,563.3,468.05,552.4,63039,0.4723,133468
2021-10-28,KDDL,555.5,620.0,541.35,602.8,43465,0.2469,176066
2021-10-29,KDDL,635.0,635.0,592.25,601.3,26755,0.30820000000000003,86821
2021-11-01,KDDL,591.15,595.0,550.1,571.45,14898,0.4194,35518
2021-11-02,KDDL,561.0,604.55,560.0,593.6,12363,0.4764,25952
2021-11-03,KDDL,596.0,615.0,576.05,582.05,11424,0.619,18456
2021-11-04,KDDL,582.0,629.9,582.0,602.8,10929,0.6256,17469
2021-11-08,KDDL,600.8,629.6,584.4,609.85,31764,0.5726,55478
2021-11-09,KDDL,612.8,626.0,601.55,613.05,12823,0.5343,24000
2021-11-10,KDDL,609.95,615.0,586.0,601.25,11260,0.4988,22573
2021-11-11,KDDL,589.25,630.0,572.95,601.5,17227,0.4065,42374
2021-11-12,KDDL,605.65,614.15,590.5,597.15,12449,0.718,17339
2021-11-15,KDDL,618.0,619.95,585.5,596.9,11955,0.5341,22383
2021-11-16,KDDL,602.85,613.0,585.55,596.6,4735,0.41880000000000006,11307
2021-11-17,KDDL,602.0,715.9,580.1,702.95,72190,0.22030000000000002,327750
2021-11-18,KDDL,705.0,705.0,641.15,662.25,35692,0.3275,108998
2021-11-22,KDDL,673.0,673.0,612.6,618.95,27632,0.6748000000000001,40949
2021-11-23,KDDL,615.8,661.7,603.95,648.75,9817,0.3343,29363
2021-11-24,KDDL,658.9,679.05,648.15,654.2,15021,0.5181,28994
2021-11-25,KDDL,657.0,669.0,634.25,648.65,9086,0.4686,19389
2021-11-26,KDDL,630.9,640.0,612.35,623.7,10533,0.4904,21477
2021-11-29,KDDL,605.1,643.3,589.45,618.45,12602,0.49420000000000003,25501
2021-11-30,KDDL,629.0,682.0,626.3,673.1,18853,0.4316,43678
2021-12-01,KDDL,684.7,807.7,667.7,807.7,64219,0.3322,193299
2021-12-02,KDDL,900.0,948.4,851.45,869.35,86843,0.23420000000000002,370748
