Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,KIOCL,251.0,251.85,246.1,248.1,26231,0.5239,50071
2021-09-02,KIOCL,246.2,254.2,246.05,252.45,21577,0.43840000000000007,49222
2021-09-03,KIOCL,257.0,257.0,252.65,254.0,13937,0.39380000000000004,35392
2021-09-06,KIOCL,257.0,259.9,254.0,258.3,36584,0.4282,85431
2021-09-07,KIOCL,260.9,275.9,258.0,271.8,67088,0.2547,263368
2021-09-08,KIOCL,276.4,282.0,264.0,266.6,45312,0.478,94787
2021-09-09,KIOCL,263.0,268.0,256.35,263.3,29052,0.4289,67742
2021-09-13,KIOCL,267.2,267.95,261.6,263.1,13298,0.24280000000000002,54774
2021-09-14,KIOCL,263.2,267.0,263.15,263.95,17428,0.509,34240
2021-09-15,KIOCL,262.55,267.75,261.05,263.05,18007,0.4397,40953
2021-09-16,KIOCL,263.05,266.8,262.1,263.1,13833,0.5141,26908
2021-09-17,KIOCL,265.9,266.35,253.5,255.55,25126,0.41990000000000005,59841
2021-09-20,KIOCL,250.2,264.0,241.0,246.15,38188,0.3136,121791
2021-09-21,KIOCL,247.0,254.4,242.85,249.35,23048,0.3178,72526
2021-09-22,KIOCL,250.0,253.3,247.25,251.2,16614,0.41090000000000004,40437
2021-09-23,KIOCL,252.0,256.9,250.1,251.85,19805,0.43060000000000004,45993
2021-09-24,KIOCL,250.55,254.3,235.35,242.65,28832,0.628,45913
2021-09-27,KIOCL,235.55,245.75,235.55,237.15,32470,0.45189999999999997,71858
2021-09-28,KIOCL,239.75,251.0,237.9,246.65,27504,0.3315,82976
2021-09-29,KIOCL,241.3,253.95,239.75,242.95,37655,0.5083,74079
2021-09-30,KIOCL,243.0,253.0,242.8,243.8,41686,0.4238,98351
2021-10-01,KIOCL,244.0,253.9,240.8,251.3,46693,0.4675,99883
2021-10-04,KIOCL,254.75,261.5,251.05,256.7,40408,0.354,114158
2021-10-05,KIOCL,258.0,262.0,257.15,259.55,24114,0.5615,42945
2021-10-06,KIOCL,263.0,263.0,250.25,252.65,17573,0.3956,44421
2021-10-07,KIOCL,259.0,274.0,257.0,263.65,72853,0.4326,168421
2021-10-08,KIOCL,264.9,279.9,264.9,271.5,76057,0.3703,205410
2021-10-11,KIOCL,274.9,319.0,273.05,299.15,316801,0.3232,980189
2021-10-12,KIOCL,303.0,315.0,301.95,306.05,178040,0.43560000000000004,408720
2021-10-13,KIOCL,309.0,309.0,293.0,294.15,69968,0.5159,135628
2021-10-14,KIOCL,296.7,298.45,284.1,285.4,57312,0.4875,117573
2021-10-18,KIOCL,286.55,305.0,285.55,295.15,81154,0.4239,191457
2021-10-19,KIOCL,297.95,297.95,280.05,283.75,33619,0.4608,72961
2021-10-20,KIOCL,278.0,284.85,262.2,268.7,50442,0.4375,115304
2021-10-21,KIOCL,271.5,283.8,269.0,279.9,47574,0.32799999999999996,145035
2021-10-22,KIOCL,282.0,287.0,255.65,262.95,90135,0.4832,186526
2021-10-25,KIOCL,265.0,268.05,255.6,261.25,22738,0.3507,64841
2021-10-26,KIOCL,262.0,271.1,261.15,269.8,15579,0.41409999999999997,37625
2021-10-27,KIOCL,286.0,286.0,272.25,274.65,33527,0.24910000000000002,134569
2021-10-28,KIOCL,277.0,278.8,260.0,261.85,19978,0.4132,48350
2021-10-29,KIOCL,267.0,269.05,259.0,261.95,14587,0.2723,53573
2021-11-01,KIOCL,266.0,275.0,260.0,267.25,16831,0.2595,64855
2021-11-02,KIOCL,269.0,270.65,264.6,268.45,18122,0.47240000000000004,38359
2021-11-03,KIOCL,269.0,270.95,255.5,259.45,32818,0.555,59130
2021-11-04,KIOCL,265.7,268.0,259.6,266.25,9396,0.6028,15587
2021-11-08,KIOCL,269.0,269.0,261.85,266.0,14510,0.5147,28192
2021-11-09,KIOCL,266.0,271.15,265.05,268.35,21786,0.5249,41508
2021-11-10,KIOCL,268.5,271.0,262.0,264.15,16814,0.47950000000000004,35063
2021-11-11,KIOCL,265.5,274.85,261.35,269.3,33074,0.4697,70409
2021-11-12,KIOCL,267.0,273.75,265.5,268.2,15991,0.4491,35608
2021-11-15,KIOCL,262.0,266.9,252.0,260.1,59400,0.5065999999999999,117241
2021-11-16,KIOCL,260.0,263.0,256.5,258.6,27686,0.5454,50761
2021-11-17,KIOCL,260.4,260.4,254.4,255.05,17731,0.6247,28383
2021-11-18,KIOCL,248.25,257.05,247.5,252.3,33010,0.5295000000000001,62341
2021-11-22,KIOCL,257.8,257.8,240.2,244.15,28178,0.5025999999999999,56064
2021-11-23,KIOCL,242.8,249.0,238.0,243.75,11161,0.2646,42178
2021-11-24,KIOCL,244.2,260.35,244.2,252.7,17675,0.39299999999999996,44976
2021-11-25,KIOCL,256.5,259.0,241.25,247.7,14612,0.3826,38187
2021-11-26,KIOCL,245.0,245.95,237.6,240.7,17936,0.4966,36120
2021-11-29,KIOCL,239.95,240.65,209.4,223.9,22032,0.4161,52948
2021-11-30,KIOCL,223.0,235.0,219.0,229.25,19918,0.41270000000000007,48266
2021-12-01,KIOCL,229.25,231.9,215.5,227.2,55607,0.4757,116901
2021-12-02,KIOCL,228.3,233.4,228.3,230.0,14701,0.5149,28553
2021-12-03,KIOCL,231.35,235.7,229.05,230.7,11183,0.3674,30436
2021-12-06,KIOCL,231.0,239.4,228.35,234.9,32230,0.42950000000000005,75036
2021-12-07,KIOCL,237.25,237.45,231.05,233.6,14430,0.46380000000000005,31111
2021-12-08,KIOCL,236.6,236.9,233.3,235.95,10496,0.5147,20392
