Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-13,KIRLOSBROS,365.0,378.8,365.0,367.15,28056,0.9194,30517
2021-09-14,KIRLOSBROS,369.0,376.95,360.0,366.9,24771,0.8751000000000001,28308
2021-09-15,KIRLOSBROS,373.95,373.95,363.05,365.45,48588,0.8545,56863
2021-09-16,KIRLOSBROS,370.0,379.0,365.0,367.2,38458,0.8201,46897
2021-09-17,KIRLOSBROS,376.0,376.0,363.15,366.35,24397,0.8239000000000001,29611
2021-09-20,KIRLOSBROS,376.15,376.15,353.4,359.3,27388,0.7966,34381
2021-09-21,KIRLOSBROS,369.0,369.0,350.4,359.55,25515,0.87,29328
2021-09-22,KIRLOSBROS,359.1,362.75,347.2,351.05,56626,0.8740000000000001,64792
2021-09-23,KIRLOSBROS,362.3,368.6,351.75,360.15,342366,0.8876000000000001,385732
2021-09-24,KIRLOSBROS,364.0,367.9,353.65,356.1,75308,0.8451000000000001,89107
2021-09-27,KIRLOSBROS,368.0,368.0,340.1,349.6,154946,0.8884000000000001,174412
2021-09-28,KIRLOSBROS,349.95,365.0,349.95,360.7,106561,0.8240999999999999,129303
2021-09-29,KIRLOSBROS,361.0,378.7,361.0,375.95,303933,0.8864000000000001,342889
2021-09-30,KIRLOSBROS,382.8,394.7,371.0,394.3,123236,0.6158,200110
2021-10-01,KIRLOSBROS,394.15,414.0,385.0,410.9,133827,0.6668999999999999,200656
2021-10-04,KIRLOSBROS,417.7,427.45,411.4,418.0,160532,0.7606999999999999,211037
2021-10-05,KIRLOSBROS,420.5,422.1,403.1,405.8,166391,0.8409000000000001,197882
2021-10-06,KIRLOSBROS,406.2,415.4,393.0,396.4,55134,0.7434999999999999,74159
2021-10-07,KIRLOSBROS,396.4,415.4,392.0,412.15,59875,0.8016,74696
2021-10-25,KIRLOSBROS,395.0,395.0,373.25,383.55,23955,0.7222,33170
2021-10-26,KIRLOSBROS,388.0,394.9,375.0,390.15,7401,0.5109,14485
2021-10-27,KIRLOSBROS,392.0,401.0,381.0,395.8,13528,0.7238,18691
2021-10-28,KIRLOSBROS,407.0,407.0,386.0,398.7,34850,0.8177,42619
2021-10-29,KIRLOSBROS,398.7,402.95,386.0,394.65,12912,0.7605,16979
2021-11-01,KIRLOSBROS,375.0,385.0,374.95,374.95,48574,0.8648,56170
2021-11-22,KIRLOSBROS,360.0,372.0,350.55,357.5,16646,0.7733,21525
2021-11-23,KIRLOSBROS,357.5,375.0,341.0,346.15,37080,0.7708,48103
2021-11-24,KIRLOSBROS,353.1,361.05,350.05,358.15,11983,0.8179000000000001,14651
2021-11-25,KIRLOSBROS,364.85,373.0,358.85,369.7,8675,0.7367,11776
2021-11-26,KIRLOSBROS,370.0,370.05,352.0,354.35,9318,0.6613,14091
2021-11-29,KIRLOSBROS,354.35,360.0,345.0,359.0,7411,0.6215999999999999,11922
2021-11-30,KIRLOSBROS,365.0,365.0,348.1,350.6,6848,0.6006,11402
2021-12-01,KIRLOSBROS,357.95,365.0,349.8,363.0,7241,0.7819,9261
2021-12-02,KIRLOSBROS,372.0,372.0,357.95,365.2,5119,0.6844,7479
2021-12-03,KIRLOSBROS,361.0,377.3,361.0,370.0,11906,0.7265,16388
2021-12-06,KIRLOSBROS,371.0,374.85,360.0,364.35,5786,0.7933,7294
2021-12-07,KIRLOSBROS,374.8,374.8,365.5,371.15,4177,0.7952,5253
2021-12-08,KIRLOSBROS,372.9,382.75,365.0,381.65,10816,0.813,13303
2021-12-09,KIRLOSBROS,385.0,388.0,372.1,381.4,10446,0.682,15317
2021-12-10,KIRLOSBROS,388.0,388.0,362.35,362.6,44206,0.917,48206
2021-12-13,KIRLOSBROS,365.5,371.3,359.15,366.8,50939,0.9074,56140
2021-12-14,KIRLOSBROS,373.95,373.95,363.85,368.45,2258,0.606,3726
2021-12-15,KIRLOSBROS,368.45,372.95,365.0,367.65,111164,0.9716,114418
2021-12-16,KIRLOSBROS,371.05,372.0,360.0,360.5,11946,0.8902,13420
2021-12-17,KIRLOSBROS,361.0,368.0,342.5,345.55,15130,0.841,17990
2021-12-20,KIRLOSBROS,346.0,350.35,311.35,330.05,39287,0.7807,50322
2021-12-21,KIRLOSBROS,325.1,343.9,325.1,334.7,5671,0.6727,8430
2021-12-22,KIRLOSBROS,344.0,344.0,330.15,334.95,4030,0.6056,6655
2021-12-23,KIRLOSBROS,336.75,343.0,334.55,339.5,21545,0.9465000000000001,22763
2021-12-24,KIRLOSBROS,346.0,346.0,332.0,334.6,6286,0.7897,7960
2021-12-27,KIRLOSBROS,340.0,340.0,330.0,333.85,3481,0.5303,6564
2021-12-28,KIRLOSBROS,335.0,335.5,332.65,334.05,10317,0.8031,12846
2021-12-29,KIRLOSBROS,335.0,338.0,332.0,335.0,18233,0.9143000000000001,19943
2021-12-30,KIRLOSBROS,333.0,337.1,326.6,333.95,9570,0.8234,11623
2021-12-31,KIRLOSBROS,338.0,338.0,328.5,334.05,16825,0.7847,21441
2022-01-03,KIRLOSBROS,335.0,335.0,317.65,333.1,24833,0.7395999999999999,33576
2022-01-04,KIRLOSBROS,331.15,345.0,330.0,333.55,28893,0.7409,38997
2022-01-05,KIRLOSBROS,335.0,342.95,330.55,337.85,15849,0.6174000000000001,25670
2022-01-06,KIRLOSBROS,335.6,371.6,335.6,358.7,73962,0.5646,131000
2022-01-07,KIRLOSBROS,358.7,376.0,355.75,372.55,49842,0.8231999999999999,60545
2022-01-10,KIRLOSBROS,378.0,385.0,369.65,380.25,33286,0.6442,51670
2022-01-11,KIRLOSBROS,384.45,398.0,375.1,391.15,35280,0.7488,47114
2022-01-12,KIRLOSBROS,394.5,399.4,381.0,385.6,15410,0.6585,23400
2022-01-13,KIRLOSBROS,389.0,389.0,371.0,374.1,25807,0.8051,32055
2022-01-14,KIRLOSBROS,374.0,387.95,370.0,384.3,22696,0.7202,31514
2022-01-17,KIRLOSBROS,393.0,396.85,384.3,389.55,17093,0.713,23972
2022-01-18,KIRLOSBROS,393.95,394.0,372.5,375.75,21044,0.6883,30574
2022-01-19,KIRLOSBROS,376.05,384.0,365.45,371.7,7475,0.7066,10579
2022-01-20,KIRLOSBROS,368.2,374.95,367.25,368.55,5794,0.7852,7379
2022-01-21,KIRLOSBROS,355.0,381.2,355.0,362.55,16261,0.6889000000000001,23605
2022-01-24,KIRLOSBROS,380.5,380.5,338.0,352.75,4305,0.4974,28451
2022-01-25,KIRLOSBROS,340.0,370.0,340.0,350.1,4673,0.494,9460
2022-01-27,KIRLOSBROS,350.0,364.8,341.0,351.5,5730,0.6314000000000001,9075
2022-01-28,KIRLOSBROS,359.85,359.85,350.05,353.9,4276,0.5922999999999999,7219
