Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,KITEX,151.0,151.8,146.85,149.2,76029,0.5463,139178
2021-09-02,KITEX,157.0,164.1,157.0,164.1,227149,0.8005,283762
2021-09-03,KITEX,180.5,180.5,167.65,171.2,644896,0.406,1588417
2021-09-06,KITEX,172.25,172.9,164.2,167.2,209913,0.5716,367235
2021-09-07,KITEX,169.0,174.8,162.55,172.95,208736,0.4842,431121
2021-09-08,KITEX,175.0,175.95,168.35,170.2,163921,0.5355,306088
2021-09-09,KITEX,172.0,174.9,168.0,170.75,119337,0.3639,327930
2021-09-13,KITEX,172.45,179.9,165.55,173.0,221112,0.3728,593185
2021-09-14,KITEX,174.4,174.9,170.0,170.8,103750,0.6277,165297
2021-09-15,KITEX,172.1,172.2,169.2,169.75,76470,0.6215,123046
2021-09-16,KITEX,170.9,170.9,166.2,167.7,85517,0.6637000000000001,128853
2021-09-17,KITEX,168.2,170.0,165.0,167.45,105534,0.5475,192761
2021-09-20,KITEX,181.0,181.0,168.0,169.6,326404,0.46390000000000003,703601
2021-09-21,KITEX,178.7,178.7,169.75,173.0,159107,0.3796,419174
2021-09-22,KITEX,173.0,173.0,170.0,170.95,102816,0.5639000000000001,182321
2021-09-23,KITEX,171.3,172.8,170.0,170.25,74370,0.5905,125935
2021-09-24,KITEX,170.5,171.85,168.15,168.5,69827,0.6742,103572
2021-09-27,KITEX,169.9,170.5,167.1,168.25,65909,0.5752,114587
2021-09-28,KITEX,169.25,169.25,164.5,165.8,88138,0.7361,119742
2021-09-29,KITEX,165.0,169.35,163.2,166.6,49965,0.5169,96669
2021-09-30,KITEX,167.7,168.2,165.8,166.35,42025,0.549,76546
2021-10-01,KITEX,166.9,168.0,164.25,167.0,39905,0.4917,81156
2021-10-04,KITEX,165.25,170.9,165.25,169.5,94760,0.4497,210718
2021-10-05,KITEX,168.2,174.8,168.2,173.15,215363,0.6204999999999999,347086
2021-10-06,KITEX,174.0,176.5,170.0,170.5,123927,0.5025999999999999,246574
2021-10-07,KITEX,171.9,174.0,169.7,171.25,63719,0.5305,120102
2021-10-08,KITEX,172.8,174.0,170.0,170.5,56474,0.5468000000000001,103285
2021-10-11,KITEX,170.7,171.75,167.9,168.9,69446,0.6798000000000001,102161
2021-10-12,KITEX,170.55,170.55,165.8,167.55,87936,0.6708,131095
2021-10-13,KITEX,168.5,169.5,166.5,166.95,80329,0.6102000000000001,131652
2021-10-14,KITEX,167.0,169.5,166.0,166.35,62223,0.5919,105131
2021-10-18,KITEX,168.0,168.0,164.45,165.2,91879,0.7078,129806
2021-10-19,KITEX,166.95,167.45,162.65,162.9,80170,0.6620999999999999,121082
2021-10-20,KITEX,163.05,163.5,156.0,159.15,70658,0.6036,117058
2021-10-21,KITEX,160.5,161.15,157.5,158.1,37560,0.5761999999999999,65190
2021-10-22,KITEX,161.1,161.1,156.0,156.7,37027,0.5495,67388
2021-10-25,KITEX,158.6,159.35,153.0,153.55,62924,0.585,107562
2021-10-26,KITEX,154.9,159.9,154.55,158.65,59070,0.4963,119013
2021-10-27,KITEX,158.9,162.9,157.2,158.5,45289,0.433,104596
2021-10-28,KITEX,160.0,160.0,155.4,156.15,42224,0.5755,73371
2021-10-29,KITEX,157.9,157.9,152.3,156.35,43528,0.49729999999999996,87532
2021-11-01,KITEX,158.0,159.95,155.85,159.2,47598,0.4918,96776
2021-11-02,KITEX,160.2,163.5,159.05,159.95,65381,0.5768,113354
2021-11-03,KITEX,162.4,162.4,157.0,160.1,36804,0.483,76200
2021-11-04,KITEX,160.15,163.3,160.15,162.25,41503,0.715,58050
2021-11-08,KITEX,163.35,170.0,162.55,169.1,192857,0.6074,317501
2021-11-09,KITEX,170.8,174.5,169.1,171.2,236031,0.32880000000000004,717926
2021-11-10,KITEX,172.9,173.5,167.0,167.6,107317,0.4847,221398
2021-11-11,KITEX,168.6,169.65,164.05,165.6,59591,0.4904,121509
2021-11-12,KITEX,166.95,166.95,157.5,160.65,369425,0.5947,621202
2021-11-15,KITEX,162.4,162.5,157.95,161.55,61942,0.5637,109879
2021-11-16,KITEX,161.55,163.45,159.55,162.95,92399,0.6695000000000001,138013
2021-11-17,KITEX,163.95,179.2,163.1,179.2,494323,0.7518000000000001,657487
2021-11-18,KITEX,182.7,186.5,168.85,171.05,689675,0.5176,1332521
2021-11-22,KITEX,174.9,174.9,163.55,165.1,144336,0.5138,280894
2021-11-23,KITEX,160.5,173.0,160.5,169.9,87569,0.39409999999999995,222184
