Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,KOTAKPSUBK,229.67,231.96,226.12,229.45,4520,0.4925,9177
2021-09-02,KOTAKPSUBK,228.01,232.0,228.01,230.11,5743,0.4215,13625
2021-09-03,KOTAKPSUBK,232.5,233.89,229.05,231.63,15388,0.8094,19011
2021-09-06,KOTAKPSUBK,228.05,234.9,228.05,233.24,9497,0.6879000000000001,13806
2021-09-07,KOTAKPSUBK,232.0,232.0,224.95,226.99,10038,0.4978,20164
2021-09-08,KOTAKPSUBK,227.95,233.9,225.88,230.89,13360,0.4512,29607
2021-09-09,KOTAKPSUBK,230.0,232.98,229.1,230.51,20887,0.779,26812
2021-09-13,KOTAKPSUBK,229.95,230.1,227.05,229.05,4590,0.4918,9334
2021-09-14,KOTAKPSUBK,227.11,232.98,227.11,228.37,1065,0.3284,3243
2021-09-15,KOTAKPSUBK,227.0,235.62,227.0,234.86,9016,0.3769,23924
2021-09-16,KOTAKPSUBK,232.05,247.9,232.05,246.96,28621,0.606,47232
2021-09-17,KOTAKPSUBK,249.1,251.0,239.05,242.97,16276,0.5008,32503
2021-09-20,KOTAKPSUBK,242.0,242.0,230.6,231.56,20189,0.6659999999999999,30314
2021-09-21,KOTAKPSUBK,233.0,233.89,226.95,231.55,6264,0.4361,14364
2021-09-22,KOTAKPSUBK,233.1,236.98,231.5,232.47,5818,0.46990000000000004,12382
2021-09-23,KOTAKPSUBK,232.47,237.9,232.0,235.29,8480,0.5157,16443
2021-09-24,KOTAKPSUBK,237.0,238.5,230.5,231.46,11136,0.8189000000000001,13599
2021-09-27,KOTAKPSUBK,231.46,235.0,231.46,232.3,2110,0.6569,3212
2021-09-28,KOTAKPSUBK,233.46,236.5,231.1,234.99,16669,0.5183,32161
2021-09-29,KOTAKPSUBK,234.99,242.69,233.5,241.42,13355,0.4797,27839
2021-09-30,KOTAKPSUBK,244.99,247.5,242.03,243.13,17129,0.6268,27329
2021-10-01,KOTAKPSUBK,244.99,245.0,240.0,243.83,3962,0.3613,10966
2021-10-04,KOTAKPSUBK,246.99,252.0,245.01,249.77,13654,0.6367,21446
2021-10-05,KOTAKPSUBK,251.0,252.0,247.11,248.86,17878,0.6013000000000001,29734
2021-10-06,KOTAKPSUBK,248.9,252.98,243.9,245.02,9294,0.5569,16690
2021-10-07,KOTAKPSUBK,249.99,249.99,243.9,247.52,13391,0.6606000000000001,20271
2021-10-08,KOTAKPSUBK,249.99,251.9,243.95,249.03,15155,0.6292,24086
2021-10-11,KOTAKPSUBK,249.03,254.0,248.02,251.58,14327,0.43119999999999997,33225
2021-10-12,KOTAKPSUBK,249.5,258.9,249.5,257.14,17341,0.40770000000000006,42533
2021-10-13,KOTAKPSUBK,260.0,263.7,257.0,262.36,69865,0.7549,92543
2021-10-14,KOTAKPSUBK,264.3,269.0,259.05,266.31,99657,0.8732,114126
2021-10-18,KOTAKPSUBK,269.99,279.89,266.31,276.97,123866,0.6587999999999999,188029
2021-10-19,KOTAKPSUBK,275.03,281.9,268.05,271.54,18517,0.4572,40505
2021-10-20,KOTAKPSUBK,264.05,272.73,262.95,270.38,19881,0.6185,32146
2021-10-21,KOTAKPSUBK,266.0,277.01,266.0,275.92,37731,0.5598,67397
2021-10-22,KOTAKPSUBK,275.92,284.47,275.92,279.21,28609,0.6981,40981
2021-10-25,KOTAKPSUBK,282.98,285.89,272.94,280.11,18643,0.531,35109
2021-10-26,KOTAKPSUBK,268.9,288.0,254.9,281.82,25172,0.5582,45097
2021-10-27,KOTAKPSUBK,284.9,290.0,281.8,286.65,13781,0.6006,22945
2021-10-28,KOTAKPSUBK,299.7,299.7,270.94,272.57,10894,0.3755,29015
