Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,KOTHARIPET,59.0,60.4,57.5,58.9,599073,0.5851,1023885
2021-09-02,KOTHARIPET,60.0,60.0,58.2,59.1,157116,0.5251,299197
2021-09-03,KOTHARIPET,58.5,59.45,57.05,57.5,113779,0.6018,189055
2021-09-06,KOTHARIPET,57.5,58.35,54.1,56.15,125459,0.4155,301968
2021-09-07,KOTHARIPET,55.55,56.6,54.2,54.45,79603,0.5817,136838
2021-09-08,KOTHARIPET,55.4,55.65,54.0,54.7,58741,0.6271,93678
2021-09-09,KOTHARIPET,54.85,55.45,54.25,55.0,42581,0.5367000000000001,79339
2021-09-13,KOTHARIPET,56.3,56.3,52.8,53.45,116463,0.6670999999999999,174581
2021-09-14,KOTHARIPET,53.5,54.8,53.3,53.8,71432,0.6881,103807
2021-09-15,KOTHARIPET,53.8,55.4,53.7,54.75,134581,0.6879000000000001,195648
2021-09-16,KOTHARIPET,55.35,55.95,53.75,54.55,63308,0.4983,127046
2021-09-17,KOTHARIPET,55.4,55.4,52.45,53.3,74319,0.6204,119793
2021-09-20,KOTHARIPET,53.0,53.95,52.0,52.3,45711,0.5336,85667
2021-09-21,KOTHARIPET,51.4,52.65,49.1,51.1,60439,0.7429000000000001,81356
2021-09-22,KOTHARIPET,51.85,56.15,51.15,54.5,148224,0.5740999999999999,258201
2021-09-23,KOTHARIPET,55.6,55.75,53.0,53.5,64123,0.6049,106011
2021-09-24,KOTHARIPET,53.1,55.0,51.8,52.4,67919,0.6905,98369
2021-09-27,KOTHARIPET,52.65,53.0,51.0,51.9,58112,0.6183,93986
2021-09-28,KOTHARIPET,52.5,52.65,51.25,52.0,49073,0.522,94011
2021-09-29,KOTHARIPET,52.0,54.0,51.55,53.25,59670,0.6281,95001
2021-09-30,KOTHARIPET,53.85,53.85,51.5,51.8,72295,0.7356,98283
2021-10-01,KOTHARIPET,52.0,52.9,51.35,51.9,28942,0.5624,51461
2021-10-04,KOTHARIPET,52.9,52.9,52.0,52.25,50518,0.7312000000000001,69086
2021-10-05,KOTHARIPET,52.65,55.9,52.3,55.05,205862,0.6831999999999999,301311
2021-10-06,KOTHARIPET,55.45,56.0,54.0,54.2,93968,0.7629000000000001,123175
2021-10-07,KOTHARIPET,55.0,55.9,53.0,53.2,98379,0.6717000000000001,146460
2021-10-08,KOTHARIPET,53.85,53.9,52.5,53.4,50882,0.6228,81704
2021-10-11,KOTHARIPET,54.35,54.5,52.65,52.95,81250,0.7423000000000001,109461
2021-10-12,KOTHARIPET,53.6,53.6,52.55,53.05,46425,0.7343999999999999,63213
2021-10-13,KOTHARIPET,53.7,54.3,52.65,52.8,62796,0.7128,88100
2021-10-14,KOTHARIPET,52.8,53.45,52.0,52.4,69800,0.7373000000000001,94668
2021-10-18,KOTHARIPET,52.5,53.0,51.55,51.85,80572,0.6702,120218
2021-10-19,KOTHARIPET,52.35,52.65,50.4,50.65,92321,0.8362,110400
2021-10-20,KOTHARIPET,50.7,51.0,47.65,49.6,51378,0.5938,86520
2021-10-21,KOTHARIPET,50.0,53.5,49.2,51.35,80394,0.3235,248501
2021-10-22,KOTHARIPET,51.3,51.5,49.5,49.9,35899,0.5478000000000001,65535
2021-10-25,KOTHARIPET,49.85,50.3,47.6,47.85,53176,0.6765000000000001,78603
2021-10-26,KOTHARIPET,48.8,50.4,48.0,49.05,19879,0.4748,41865
2021-10-27,KOTHARIPET,49.8,50.95,49.05,49.25,20453,0.4035,50687
2021-10-28,KOTHARIPET,49.25,50.05,48.0,48.2,20212,0.6581999999999999,30708
2021-10-29,KOTHARIPET,48.75,48.75,46.55,47.4,19388,0.5816,33335
2021-11-01,KOTHARIPET,47.4,50.0,47.2,48.2,21576,0.3186,67730
2021-11-02,KOTHARIPET,48.7,50.4,45.7,48.2,15895,0.3897,40793
2021-11-03,KOTHARIPET,48.9,49.7,47.2,47.55,15899,0.4656,34150
2021-11-04,KOTHARIPET,47.0,49.5,47.0,48.7,13368,0.6445000000000001,20743
2021-11-08,KOTHARIPET,48.8,51.35,47.65,50.45,60318,0.5676,106274
2021-11-09,KOTHARIPET,52.9,54.85,52.15,52.6,198726,0.6809000000000001,291852
2021-11-10,KOTHARIPET,55.0,55.4,52.55,54.35,211048,0.7565000000000001,278972
2021-11-11,KOTHARIPET,53.0,57.5,52.8,56.1,326475,0.6113000000000001,534032
2021-11-12,KOTHARIPET,57.15,59.1,56.55,57.7,304679,0.6895,441910
2021-11-15,KOTHARIPET,59.7,59.7,55.55,57.4,137172,0.6537000000000001,209834
2021-11-16,KOTHARIPET,57.4,58.7,55.4,55.9,109517,0.5526,198170
2021-11-17,KOTHARIPET,56.9,57.0,53.6,54.4,77497,0.6262,123748
2021-11-18,KOTHARIPET,55.35,55.35,52.5,54.25,99536,0.6788,146637
2021-11-22,KOTHARIPET,55.2,55.2,51.0,53.6,136264,0.6262,217617
2021-11-23,KOTHARIPET,53.95,54.7,52.35,53.25,35961,0.6036,59579
2021-11-24,KOTHARIPET,54.0,55.05,53.1,54.45,59370,0.6483,91573
2021-11-25,KOTHARIPET,54.7,57.0,53.0,56.2,98560,0.5003,197017
2021-11-26,KOTHARIPET,55.35,56.4,52.8,53.65,100101,0.6698000000000001,149442
2021-11-29,KOTHARIPET,53.1,53.7,50.1,51.7,74423,0.6237,119334
2021-11-30,KOTHARIPET,51.1,54.0,50.95,51.7,40373,0.6405,63038
2021-12-01,KOTHARIPET,51.5,52.85,51.25,51.9,45977,0.7482,61448
2021-12-02,KOTHARIPET,52.75,52.75,52.1,52.4,22046,0.7404999999999999,29772
2021-12-03,KOTHARIPET,52.35,53.65,52.0,52.4,48709,0.6685,72868
