Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,LEMONTREE,38.4,38.95,37.75,38.7,350103,0.2871,1219274
2021-09-02,LEMONTREE,38.8,39.7,38.6,38.85,446060,0.34149999999999997,1306249
2021-09-03,LEMONTREE,39.0,39.85,39.0,39.25,410679,0.4807,854333
2021-09-06,LEMONTREE,39.5,39.5,38.5,38.7,369784,0.45409999999999995,814377
2021-09-07,LEMONTREE,38.9,39.2,38.5,38.8,278376,0.43320000000000003,642623
2021-09-08,LEMONTREE,38.8,39.3,38.65,38.85,222368,0.4214,527639
2021-09-09,LEMONTREE,39.0,41.3,38.85,39.9,1350091,0.23620000000000002,5716047
2021-09-13,LEMONTREE,40.45,40.85,39.55,40.05,1294146,0.4182,3094385
2021-09-14,LEMONTREE,40.35,40.55,39.75,39.95,699941,0.4761,1470207
2021-09-15,LEMONTREE,40.05,41.8,40.0,40.6,1692188,0.5755,2940124
2021-09-16,LEMONTREE,40.6,41.6,40.55,41.0,1088163,0.5707,1906815
2021-09-17,LEMONTREE,41.5,41.5,39.3,40.3,893618,0.4214,2120696
2021-09-20,LEMONTREE,39.85,43.0,38.7,39.3,5585472,0.3144,17767809
2021-09-21,LEMONTREE,39.4,40.3,38.85,39.9,1230423,0.4265,2884892
2021-09-22,LEMONTREE,40.35,42.8,39.85,41.5,8318800,0.5109,16282143
2021-09-23,LEMONTREE,42.9,43.95,42.15,42.85,5996104,0.3973,15093361
2021-09-24,LEMONTREE,43.25,43.35,40.0,41.0,2728916,0.4487,6081161
2021-09-27,LEMONTREE,41.4,45.15,41.2,43.85,5989965,0.2865,20910199
2021-09-28,LEMONTREE,44.35,45.45,43.25,43.95,3911663,0.3279,11928596
2021-09-29,LEMONTREE,43.05,47.0,42.8,45.7,5977250,0.3456,17293026
2021-09-30,LEMONTREE,46.2,47.3,45.05,45.4,2952756,0.3961,7455145
2021-10-01,LEMONTREE,45.3,46.55,44.2,45.6,1948943,0.2889,6745856
2021-10-04,LEMONTREE,45.85,46.85,44.8,45.75,2260070,0.36960000000000004,6114938
2021-10-05,LEMONTREE,45.85,46.4,45.55,45.8,1799722,0.4178,4308057
2021-10-06,LEMONTREE,46.3,48.8,45.6,46.6,5735792,0.3276,17505874
2021-10-07,LEMONTREE,47.25,52.0,46.8,51.25,10092311,0.3131,32233358
2021-10-08,LEMONTREE,52.0,56.2,52.0,54.8,9872345,0.2698,36585324
