Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,LGBBROSLTD,420.7,427.0,416.0,417.65,56527,0.42110000000000003,134229
2021-09-02,LGBBROSLTD,429.8,429.8,417.75,421.5,76663,0.4675,163990
2021-09-03,LGBBROSLTD,421.5,426.7,419.45,421.35,42303,0.5104,82878
2021-09-06,LGBBROSLTD,422.9,423.9,418.1,419.45,25411,0.5356000000000001,47446
2021-09-07,LGBBROSLTD,419.1,424.95,411.0,413.9,42129,0.4073,103428
2021-09-08,LGBBROSLTD,412.55,418.45,411.0,412.95,23454,0.4558,51454
2021-09-09,LGBBROSLTD,412.0,419.35,412.0,413.75,34261,0.4916,69697
2021-09-13,LGBBROSLTD,416.0,418.75,411.0,415.8,41055,0.5252,78177
2021-09-14,LGBBROSLTD,418.0,425.3,418.0,423.6,48289,0.5149,93790
2021-09-15,LGBBROSLTD,425.0,429.4,422.15,426.1,45860,0.4204,109081
2021-09-16,LGBBROSLTD,429.0,429.0,417.75,418.5,61759,0.6819,90570
2021-09-17,LGBBROSLTD,422.0,422.0,409.05,418.75,53830,0.6037,89165
2021-09-20,LGBBROSLTD,415.0,421.8,407.1,409.75,38253,0.3901,98048
2021-09-21,LGBBROSLTD,407.0,412.35,402.0,405.2,50005,0.632,79124
2021-09-22,LGBBROSLTD,408.0,424.4,405.75,413.85,72099,0.49590000000000006,145382
2021-09-23,LGBBROSLTD,415.05,426.25,415.0,422.2,67822,0.5844,116054
2021-09-24,LGBBROSLTD,424.0,433.0,421.55,426.35,61919,0.4654,133055
2021-09-27,LGBBROSLTD,429.75,429.75,411.3,416.25,66418,0.5228,127054
2021-09-28,LGBBROSLTD,417.0,422.4,407.7,413.35,70172,0.5439,129025
2021-09-29,LGBBROSLTD,417.9,443.4,411.7,435.55,142618,0.5349,266617
2021-09-30,LGBBROSLTD,436.95,454.0,432.3,448.8,137764,0.4387,314005
2021-10-01,LGBBROSLTD,444.0,457.45,437.0,452.85,56875,0.4547,125084
2021-10-04,LGBBROSLTD,455.0,464.8,445.0,456.45,75864,0.5705,132974
