Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,LIQUIDBEES,1003.4,1003.4,997.18,999.99,546982,0.7755,705311
2021-09-02,LIQUIDBEES,1000.9,1000.9,999.55,999.99,597075,0.6845,872244
2021-09-03,LIQUIDBEES,1000.0,1000.9,999.99,999.99,861602,0.7084,1216219
2021-09-06,LIQUIDBEES,1002.0,1002.0,999.51,1000.0,702557,0.7615999999999999,922503
2021-09-07,LIQUIDBEES,1003.14,1003.14,999.95,1000.0,966092,0.8968,1077284
2021-09-08,LIQUIDBEES,1000.8,1000.8,999.99,1000.0,721645,0.8765000000000001,823310
2021-09-09,LIQUIDBEES,1000.0,1000.01,999.33,1000.0,747954,0.8398000000000001,890664
2021-09-13,LIQUIDBEES,998.4,1000.01,998.4,1000.0,638783,0.6172,1034909
2021-09-14,LIQUIDBEES,1003.4,1003.4,998.0,999.99,1038220,0.7973,1302110
2021-09-15,LIQUIDBEES,1000.0,1000.01,999.75,999.99,1282966,0.9462999999999999,1355774
2021-09-16,LIQUIDBEES,999.33,1000.01,999.33,1000.0,1523311,0.8142,1871016
2021-09-17,LIQUIDBEES,997.6,1002.79,997.6,1000.0,879932,0.6417,1371213
2021-09-20,LIQUIDBEES,1003.18,1003.18,997.16,1000.0,1639005,0.8755,1872005
2021-09-21,LIQUIDBEES,1002.0,1002.0,999.51,999.99,1408635,0.8727,1614201
2021-09-22,LIQUIDBEES,1002.4,1002.4,998.4,999.99,1566161,0.8884000000000001,1762954
2021-09-23,LIQUIDBEES,1003.18,1003.18,999.32,999.99,801923,0.8242,972989
2021-09-24,LIQUIDBEES,1002.79,1002.79,999.3,1000.01,1529756,0.951,1608563
2021-09-27,LIQUIDBEES,1002.79,1002.79,997.16,999.99,937898,0.6714,1397031
2021-09-28,LIQUIDBEES,1002.3,1002.3,999.99,1000.0,907521,0.6169,1471211
2021-09-29,LIQUIDBEES,1000.0,1000.01,998.9,999.97,1782169,0.8886000000000001,2005690
2021-09-30,LIQUIDBEES,1002.4,1002.4,999.97,1000.0,1862710,0.8695999999999999,2141990
2021-10-01,LIQUIDBEES,1003.4,1003.4,999.6,1000.0,1929210,0.9214,2093733
2021-10-04,LIQUIDBEES,1002.3,1002.3,998.3,1000.0,1934750,0.7249,2669138
2021-10-05,LIQUIDBEES,1002.3,1002.3,998.3,999.99,1264182,0.9584,1319108
