Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,LOVABLE,107.0,116.9,106.1,116.9,83941,0.3914,214487
2021-09-02,LOVABLE,117.8,117.8,112.05,112.55,55080,0.5247999999999999,104950
2021-09-03,LOVABLE,111.5,115.15,110.8,111.55,19946,0.45310000000000006,44017
2021-09-06,LOVABLE,112.75,116.25,110.45,113.95,35802,0.49520000000000003,72303
2021-09-07,LOVABLE,112.5,123.0,111.15,117.25,98439,0.3057,322051
2021-09-08,LOVABLE,118.25,120.0,115.75,116.4,29023,0.401,72372
2021-09-09,LOVABLE,115.95,117.7,112.8,113.75,22851,0.6625,34490
2021-09-13,LOVABLE,114.0,119.5,112.1,116.05,20544,0.3889,52826
2021-09-14,LOVABLE,116.95,119.1,116.0,117.15,19627,0.4269,45971
2021-09-15,LOVABLE,118.4,119.5,115.15,116.25,22363,0.4379,51063
2021-09-16,LOVABLE,115.05,118.0,115.0,115.25,15910,0.4228,37628
2021-09-17,LOVABLE,116.45,116.45,113.0,113.75,28354,0.49200000000000005,57629
2021-09-20,LOVABLE,115.0,115.0,111.8,112.5,12248,0.6744,18161
2021-09-21,LOVABLE,111.0,115.0,111.0,112.55,17219,0.44170000000000004,38983
2021-09-22,LOVABLE,113.5,116.0,112.2,113.25,16001,0.4765,33581
2021-09-23,LOVABLE,114.85,116.9,113.7,114.4,19994,0.42969999999999997,46528
2021-09-24,LOVABLE,116.0,116.95,113.1,113.8,21761,0.4369,49810
2021-09-27,LOVABLE,114.25,114.75,112.2,113.4,14134,0.5669,24930
2021-09-28,LOVABLE,114.05,115.95,112.3,112.95,15927,0.5908,26959
2021-09-29,LOVABLE,113.3,114.8,112.6,113.65,10092,0.5946,16972
2021-09-30,LOVABLE,113.05,115.5,113.05,113.75,10425,0.47520000000000007,21936
2021-10-01,LOVABLE,114.45,122.0,113.25,117.95,80947,0.5344,151484
2021-10-04,LOVABLE,118.5,124.0,118.0,120.75,61519,0.4728,130129
2021-10-05,LOVABLE,120.3,122.35,118.9,119.9,30974,0.5801,53390
2021-10-06,LOVABLE,120.85,121.9,115.0,115.7,47384,0.7323999999999999,64698
2021-10-07,LOVABLE,118.9,127.0,118.25,122.5,137828,0.4233,325599
2021-10-08,LOVABLE,127.05,128.5,123.7,124.25,97677,0.47340000000000004,206314
2021-10-11,LOVABLE,125.25,129.0,122.95,125.3,52107,0.4892,106513
2021-10-12,LOVABLE,123.05,126.9,122.5,124.35,34588,0.5515,62721
2021-10-13,LOVABLE,124.4,125.25,123.1,123.85,33542,0.6914,48512
2021-10-14,LOVABLE,123.85,140.25,123.5,134.8,384148,0.37770000000000004,1016963
2021-10-18,LOVABLE,135.7,140.85,131.85,134.95,183737,0.5262,349153
2021-10-19,LOVABLE,135.9,136.75,125.0,126.85,73930,0.5555,133077
2021-10-20,LOVABLE,127.85,130.75,120.75,128.6,47714,0.42729999999999996,111673
2021-10-21,LOVABLE,131.0,133.7,127.0,128.1,54625,0.6242,87515
2021-10-22,LOVABLE,129.85,133.4,125.1,125.9,28798,0.49460000000000004,58230
2021-10-25,LOVABLE,129.2,129.2,120.0,122.1,29346,0.46140000000000003,63603
2021-10-26,LOVABLE,123.6,126.8,122.7,124.1,35921,0.6146,58442
2021-10-27,LOVABLE,124.8,131.75,123.5,127.7,42320,0.5085000000000001,83227
2021-10-28,LOVABLE,126.9,133.8,125.1,129.45,69455,0.41590000000000005,166991
2021-10-29,LOVABLE,130.45,130.45,125.25,126.35,24934,0.5459,45677
2021-11-01,LOVABLE,127.35,132.6,125.45,130.85,43971,0.369,119148
2021-11-02,LOVABLE,131.7,134.5,129.65,131.65,41681,0.5145000000000001,81012
2021-11-03,LOVABLE,133.0,139.8,132.25,134.8,83288,0.4414,188687
2021-11-04,LOVABLE,135.7,135.7,131.95,133.8,14443,0.6647,21728
2021-11-08,LOVABLE,133.8,133.8,128.65,130.05,33698,0.6165,54663
2021-11-09,LOVABLE,129.95,137.5,129.35,133.7,50836,0.4278,118835
2021-11-10,LOVABLE,133.3,135.0,129.7,130.0,40556,0.6631999999999999,61153
2021-11-11,LOVABLE,130.6,135.15,125.3,132.35,71833,0.2793,257154
2021-11-12,LOVABLE,138.0,144.0,134.1,138.35,236761,0.4656,508515
2021-11-15,LOVABLE,139.45,166.0,138.95,157.7,733825,0.2837,2587030
2021-11-16,LOVABLE,160.0,160.2,147.1,148.65,257679,0.44880000000000003,574109
2021-11-17,LOVABLE,149.0,156.4,148.1,149.55,171218,0.4314,396925
2021-11-18,LOVABLE,149.4,151.4,141.35,143.75,117990,0.4473,263782
2021-11-22,LOVABLE,144.75,145.0,132.1,134.1,92284,0.5048,182829
2021-11-23,LOVABLE,134.7,160.9,133.05,159.0,265352,0.3443,770596
