Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-10-12,LPDC,5.45,5.45,5.2,5.2,35715,0.7228,49411
2021-10-13,LPDC,5.0,5.1,4.95,4.95,38827,0.9294,41777
2021-10-14,LPDC,4.95,4.95,4.75,4.75,24268,1.0,24268
2021-10-18,LPDC,4.9,4.9,4.55,4.6,92677,0.8052,115096
2021-10-19,LPDC,4.7,4.8,4.55,4.7,78904,0.45020000000000004,175264
2021-10-20,LPDC,4.8,4.8,4.6,4.6,47170,0.6754000000000001,69841
2021-10-21,LPDC,4.6,4.8,4.5,4.65,43932,0.8326000000000001,52766
2021-10-22,LPDC,4.75,4.85,4.55,4.65,19522,0.6178,31600
2021-10-25,LPDC,4.85,4.85,4.5,4.65,27340,0.7541,36257
2021-10-26,LPDC,4.65,4.75,4.45,4.45,37320,0.6950000000000001,53701
2021-10-27,LPDC,4.45,4.65,4.25,4.4,35688,0.5791,61628
2021-10-28,LPDC,4.5,4.5,4.2,4.25,24528,0.741,33102
2021-10-29,LPDC,4.2,4.4,4.05,4.1,39806,0.8262999999999999,48176
2021-11-01,LPDC,4.2,4.3,4.1,4.3,23839,0.8983,26537
2021-11-02,LPDC,4.5,4.5,4.3,4.45,59496,0.8117000000000001,73296
2021-11-03,LPDC,4.55,4.55,4.35,4.4,24277,0.6522,37224
2021-11-04,LPDC,4.5,4.6,4.25,4.4,43163,0.8795999999999999,49071
2021-11-08,LPDC,4.6,4.6,4.2,4.55,55765,0.7263,76781
2021-11-09,LPDC,4.7,4.75,4.55,4.75,133590,0.9145000000000001,146084
2021-11-10,LPDC,4.8,4.95,4.7,4.95,75278,0.8320000000000001,90479
2021-11-11,LPDC,5.15,5.15,5.05,5.15,36260,0.9703,37371
2021-11-12,LPDC,5.4,5.4,5.4,5.4,64404,0.9833,65501
2021-11-15,LPDC,5.65,5.65,5.65,5.65,28608,0.9997,28618
2021-11-16,LPDC,5.9,5.9,5.4,5.4,232695,0.6444,361114
2021-11-17,LPDC,5.3,5.3,5.15,5.15,91808,0.9072,101198
2021-11-18,LPDC,5.1,5.25,4.95,5.1,60392,0.789,76546
2021-11-22,LPDC,5.1,5.35,4.85,4.9,87621,0.7155,122458
2021-11-23,LPDC,5.05,5.1,4.7,5.1,41185,0.8086,50935
2021-11-24,LPDC,5.35,5.35,5.35,5.35,45031,1.0,45031
2021-11-25,LPDC,5.6,5.6,5.6,5.6,42434,0.9998,42444
2021-11-26,LPDC,5.85,5.85,5.85,5.85,50236,0.9995,50263
2021-11-29,LPDC,6.1,6.1,6.1,6.1,94648,0.8146,116187
2021-11-30,LPDC,6.4,6.4,6.4,6.4,46918,0.9998,46928
2021-12-01,LPDC,6.7,6.7,6.1,6.1,211950,0.6598999999999999,321186
2021-12-02,LPDC,5.8,5.8,5.8,5.8,37302,0.9995999999999999,37318
2021-12-03,LPDC,5.55,6.0,5.55,5.6,118675,0.9,131862
2021-12-06,LPDC,5.7,5.85,5.6,5.85,80928,0.9942000000000001,81398
2021-12-07,LPDC,6.1,6.1,6.1,6.1,32952,1.0,32952
2021-12-08,LPDC,6.4,6.4,6.4,6.4,57765,1.0,57765
2021-12-09,LPDC,6.55,6.7,6.1,6.7,309703,0.5727000000000001,540746
2021-12-10,LPDC,6.9,7.0,6.7,7.0,311466,0.8851000000000001,351909
2021-12-13,LPDC,7.35,7.35,7.25,7.35,71640,0.8197,87398
2021-12-14,LPDC,7.7,7.7,7.5,7.7,131206,0.9973000000000001,131566
2021-12-15,LPDC,8.05,8.05,8.05,8.05,25027,1.0,25027
2021-12-16,LPDC,8.45,8.45,8.3,8.45,222256,0.6987000000000001,318112
2021-12-17,LPDC,8.85,8.85,8.85,8.85,82200,0.9995999999999999,82231
2021-12-20,LPDC,9.2,9.25,8.45,8.45,409050,0.7458,548452
2021-12-21,LPDC,8.05,8.05,8.05,8.05,137825,0.9629000000000001,143131
2021-12-22,LPDC,7.8,8.45,7.65,8.45,336564,0.5184000000000001,649178
2021-12-23,LPDC,8.85,8.85,8.85,8.85,43750,0.9998,43760
2021-12-24,LPDC,9.25,9.25,8.5,9.25,261566,0.4754,550249
2021-12-27,LPDC,9.7,9.7,9.7,9.7,28748,1.0,28748
2021-12-28,LPDC,10.15,10.15,10.15,10.15,25626,1.0,25626
2021-12-29,LPDC,10.65,10.65,10.65,10.65,22701,1.0,22701
2021-12-30,LPDC,11.15,11.15,11.15,11.15,16090,1.0,16090
2021-12-31,LPDC,11.7,11.7,11.7,11.7,41533,1.0,41533
2022-01-03,LPDC,12.25,12.25,12.25,12.25,115755,0.8642000000000001,133944
2022-03-29,LPDC,7.1,7.75,7.1,7.1,63365,0.8597,73702
2022-03-30,LPDC,7.1,7.4,6.85,7.05,58554,0.7843000000000001,74662
2022-03-31,LPDC,7.05,7.4,6.8,7.1,35605,0.6492,54844
2022-04-01,LPDC,7.1,7.45,6.9,7.45,27558,0.8181999999999999,33682
2022-04-04,LPDC,7.65,7.8,7.65,7.8,13866,0.6605,20993
2022-04-05,LPDC,8.15,8.15,8.15,8.15,15803,0.6951999999999999,22730
2022-04-06,LPDC,8.55,8.55,8.15,8.55,41511,0.8384,49515
2022-04-07,LPDC,8.95,8.95,8.55,8.95,48142,0.9331,51594
2022-04-08,LPDC,9.3,9.3,8.55,8.65,155618,0.6165999999999999,252367
2022-04-11,LPDC,8.85,9.05,8.5,9.0,128079,0.7798,164253
2022-04-12,LPDC,9.0,9.0,8.55,8.85,41473,0.6137,67576
2022-04-13,LPDC,8.7,9.1,8.6,8.85,65681,0.503,130576
2022-04-18,LPDC,8.9,8.9,8.45,8.55,32862,0.6831,48105
2022-04-19,LPDC,8.2,8.85,8.15,8.2,52559,0.7564000000000001,69483
2022-04-20,LPDC,8.2,8.4,8.0,8.25,44114,0.6483,68042
2022-04-21,LPDC,8.45,8.55,8.0,8.4,35715,0.6489,55041
2022-04-22,LPDC,8.5,8.5,8.05,8.3,21448,0.6008,35700
2022-04-25,LPDC,8.15,8.4,7.9,8.1,89258,0.8373,106607
2022-04-26,LPDC,7.75,8.0,7.75,7.9,25862,0.6728000000000001,38439
2022-04-27,LPDC,7.8,8.15,7.6,7.7,20003,0.5018,39863
2022-04-28,LPDC,7.85,8.05,7.5,8.05,36433,0.6439,56585
2022-04-29,LPDC,8.45,8.45,7.65,7.8,39436,0.43119999999999997,91455
2022-05-02,LPDC,8.05,8.05,7.6,7.65,24005,0.45189999999999997,53115
2022-05-04,LPDC,7.95,7.95,7.3,7.35,36787,0.7601000000000001,48398
2022-05-05,LPDC,7.5,7.7,7.0,7.05,30727,0.41880000000000006,73371
2022-05-06,LPDC,7.2,7.2,6.7,6.8,46988,0.6388,73556
2022-05-09,LPDC,6.75,6.9,6.5,6.6,29548,0.6254,47248
2022-05-10,LPDC,6.4,6.9,6.4,6.9,35614,0.8465,42071
2022-05-11,LPDC,7.0,7.2,6.65,7.2,39699,0.5462,72679
2022-05-12,LPDC,7.5,7.55,7.25,7.55,59031,0.7240000000000001,81536
2022-05-13,LPDC,7.9,7.9,7.3,7.4,84452,0.6803,124136
2022-05-16,LPDC,7.1,7.6,7.05,7.2,40614,0.6432,63143
2022-05-17,LPDC,7.4,7.45,6.9,7.3,29391,0.6622,44381
2022-05-18,LPDC,7.5,7.65,7.05,7.5,30040,0.6985,43007
