Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,M&M,793.3,802.5,768.9,769.9,3587675,0.5948,6031309
2021-09-02,M&M,772.85,774.15,750.0,752.45,2389125,0.48960000000000004,4879865
2021-09-03,M&M,756.0,757.0,745.1,749.9,2149793,0.5049,4257842
2021-09-06,M&M,753.0,759.8,747.05,754.75,1965740,0.5339,3682183
2021-09-07,M&M,755.1,758.7,748.1,753.1,1255315,0.552,2273976
2021-09-08,M&M,756.0,757.8,749.0,754.75,1335293,0.5608,2380939
2021-09-09,M&M,750.0,756.5,747.55,750.75,1969219,0.5943,3313559
2021-09-13,M&M,753.5,753.5,740.35,745.55,1839057,0.5857,3139833
2021-09-14,M&M,744.8,752.55,744.65,750.2,2018292,0.6533,3089381
2021-09-15,M&M,752.0,760.0,746.5,755.1,1601593,0.48,3336656
2021-09-16,M&M,759.85,761.0,751.35,756.95,1564957,0.5826,2686018
2021-09-17,M&M,758.2,766.0,749.15,754.15,3379089,0.6139,5504398
2021-09-20,M&M,749.4,756.5,732.2,738.05,1585983,0.5407000000000001,2933375
2021-09-21,M&M,740.1,740.9,729.55,738.45,1340612,0.5631,2380834
2021-09-22,M&M,738.9,759.0,738.45,752.5,978650,0.4279,2287017
2021-09-23,M&M,756.5,762.0,752.75,758.45,1052282,0.5567000000000001,1890322
2021-09-24,M&M,759.5,782.05,752.55,779.45,2102194,0.4232,4967824
2021-09-27,M&M,789.5,813.75,783.05,811.35,3591434,0.3899,9210666
2021-09-28,M&M,820.0,822.0,796.25,806.05,1556801,0.40399999999999997,3853344
2021-09-29,M&M,800.0,815.7,799.0,812.1,1005771,0.4388,2291977
2021-09-30,M&M,808.05,817.4,801.3,803.05,1760529,0.5393,3264689
2021-10-01,M&M,800.0,831.0,787.0,827.85,3199728,0.4153,7704216
2021-10-04,M&M,832.5,852.0,828.1,841.15,3242396,0.4954,6544700
2021-10-05,M&M,841.15,846.0,835.05,843.05,1205580,0.4554,2647442
2021-10-06,M&M,846.0,854.9,829.0,834.1,1598582,0.48610000000000003,3288323
2021-10-07,M&M,839.7,887.8,837.15,878.25,3392980,0.3566,9515673
2021-10-08,M&M,893.7,895.0,872.55,877.8,1529050,0.3882,3938358
2021-10-11,M&M,879.0,902.5,879.0,895.6,2915263,0.5307000000000001,5493159
2021-10-12,M&M,888.0,894.65,877.0,890.1,1872445,0.5454,3433345
2021-10-13,M&M,893.0,971.15,893.0,935.35,7264535,0.4147,17519612
2021-10-14,M&M,938.5,946.25,922.2,931.4,1587302,0.4731,3354982
2021-10-18,M&M,958.0,958.0,908.3,910.95,1311798,0.4546,2885649
2021-10-19,M&M,911.0,927.6,901.2,917.5,1706477,0.4908,3476818
2021-10-20,M&M,913.0,924.9,894.65,899.35,1757159,0.49479999999999996,3551282
2021-10-21,M&M,908.3,911.1,893.4,897.0,1649303,0.6308,2614538
