Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,MOM100,30.29,30.29,29.6,29.87,79199,0.6314000000000001,125425
2021-09-02,MOM100,30.65,30.65,29.71,30.13,63125,0.7139,88421
2021-09-03,MOM100,30.5,30.5,30.04,30.33,57955,0.8054000000000001,71954
2021-09-06,MOM100,32.45,32.45,30.21,30.79,78400,0.7551000000000001,103826
2021-09-07,MOM100,30.79,31.32,30.4,30.75,63749,0.7083,89997
2021-09-08,MOM100,31.04,31.04,30.52,30.92,60304,0.7606,79281
2021-09-09,MOM100,31.24,31.24,30.31,30.95,68588,0.6762,101438
2021-09-13,MOM100,31.39,31.39,30.71,30.87,61566,0.7481,82296
2021-09-14,MOM100,31.65,32.12,30.9,31.3,97673,0.5528000000000001,176676
2021-09-15,MOM100,30.25,32.35,30.25,32.22,77784,0.6089,127746
2021-09-16,MOM100,32.49,32.62,31.86,31.97,111018,0.5473,202865
2021-09-17,MOM100,31.97,32.33,30.51,30.83,410568,0.5874,698930
2021-09-20,MOM100,30.98,31.4,30.5,30.95,162870,0.7615999999999999,213853
2021-09-21,MOM100,31.29,31.29,30.26,30.72,658794,0.8928,737862
2021-09-22,MOM100,30.72,31.56,30.7,31.34,60337,0.6579,91705
2021-09-23,MOM100,31.69,32.0,31.31,31.75,63987,0.6069,105429
2021-09-24,MOM100,32.14,32.14,31.13,31.48,77133,0.5603,137673
2021-09-27,MOM100,32.1,32.1,31.41,31.69,48238,0.6735,71621
2021-09-28,MOM100,32.05,32.05,31.03,31.52,55438,0.6207,89321
2021-09-29,MOM100,31.79,31.85,31.21,31.76,65373,0.5659000000000001,115527
2021-09-30,MOM100,31.76,32.09,31.03,31.89,69336,0.8479000000000001,81778
2021-10-01,MOM100,32.1,32.33,31.73,32.01,79921,0.8802,90796
2021-10-04,MOM100,32.39,32.5,31.85,32.41,56616,0.7696,73565
2021-10-05,MOM100,31.01,32.7,31.01,32.46,72167,0.5939,121513
2021-10-06,MOM100,32.74,32.74,32.31,32.57,54565,0.6753,80807
2021-10-07,MOM100,32.92,32.99,32.6,32.72,71234,0.6593000000000001,108048
2021-10-08,MOM100,33.45,33.45,32.72,32.96,70160,0.7568000000000001,92707
2021-10-11,MOM100,33.65,33.65,32.75,33.15,65019,0.5670000000000001,114679
2021-10-12,MOM100,33.0,33.6,33.0,33.53,132312,0.8189000000000001,161566
2021-10-13,MOM100,33.89,34.2,33.41,34.01,260046,0.8172,318221
2021-10-14,MOM100,34.95,35.75,33.96,34.93,164655,0.6825,241261
2021-10-18,MOM100,35.95,35.95,34.81,34.88,141414,0.5855,241540
2021-10-19,MOM100,35.25,35.25,34.35,34.5,115469,0.6689,172626
2021-10-20,MOM100,34.0,34.9,33.03,33.41,227854,0.6578,346368
2021-10-21,MOM100,33.8,34.6,32.81,33.0,272238,0.5408,503398
2021-10-22,MOM100,33.32,33.5,32.5,32.83,125837,0.5543,227024
2021-10-25,MOM100,32.3,33.15,31.55,32.15,158242,0.5515,286918
2021-10-26,MOM100,32.41,35.38,31.25,33.66,119207,0.6451000000000001,184780
2021-10-27,MOM100,33.0,33.66,32.92,33.06,144620,0.763,189546
2021-10-28,MOM100,33.4,33.4,32.2,32.3,146284,0.7573000000000001,193177
2021-10-29,MOM100,31.32,32.8,31.3,32.01,108723,0.7251000000000001,149935
2021-11-01,MOM100,32.49,33.1,32.0,33.0,56626,0.5372,105405
2021-11-02,MOM100,33.95,33.95,32.69,32.94,154975,0.6154000000000001,251818
2021-11-03,MOM100,33.9,33.9,32.64,33.11,66078,0.6851999999999999,96432
2021-11-04,MOM100,33.59,34.95,33.0,33.73,76917,0.7998999999999999,96153
2021-11-08,MOM100,34.1,34.1,32.55,33.38,82746,0.5921000000000001,139749
2021-11-09,MOM100,33.95,33.95,33.45,33.67,68182,0.6517000000000001,104622
2021-11-10,MOM100,33.05,33.95,33.05,33.74,28134,0.6112,46032
2021-11-11,MOM100,34.45,34.45,33.51,33.87,47608,0.7253000000000001,65635
2021-11-12,MOM100,33.6,34.1,33.4,33.54,93744,0.6154000000000001,152336
2021-11-15,MOM100,33.99,33.99,33.5,33.53,61062,0.7046,86657
2021-11-16,MOM100,33.55,33.79,33.41,33.6,48991,0.5999,81669
2021-11-17,MOM100,33.99,33.99,33.21,33.66,58586,0.7541,77691
2021-11-18,MOM100,33.89,33.89,33.1,33.45,83275,0.6313000000000001,131908
2021-11-22,MOM100,32.01,33.88,32.01,33.34,172565,0.6464,266960
2021-11-23,MOM100,30.7,33.3,30.7,32.67,153480,0.6985,219722
2021-11-24,MOM100,32.01,34.3,32.01,32.68,90235,0.6051,149116
2021-11-25,MOM100,32.99,32.99,32.31,32.47,91333,0.7291,125276
2021-11-26,MOM100,32.69,32.69,31.71,31.99,117410,0.6537000000000001,179620
2021-11-29,MOM100,32.39,32.39,29.8,31.42,134841,0.6117,220442
2021-11-30,MOM100,31.75,32.5,31.11,31.44,86072,0.528,163015
2021-12-01,MOM100,31.94,32.25,31.35,31.42,57629,0.6513,88485
2021-12-02,MOM100,31.79,32.9,31.32,32.08,51146,0.6718999999999999,76119
2021-12-03,MOM100,32.08,32.48,31.61,32.2,29525,0.6747,43760
2021-12-06,MOM100,32.49,32.63,31.4,32.35,77509,0.7258,106787
2021-12-07,MOM100,32.5,32.5,31.78,31.83,100607,0.5654,177937
2021-12-08,MOM100,32.49,32.87,31.93,32.58,47057,0.665,70767
2021-12-09,MOM100,32.99,32.99,32.21,32.59,36057,0.5927,60835
2021-12-10,MOM100,32.99,33.2,32.5,32.89,37835,0.5879,64359
2021-12-13,MOM100,32.01,33.25,32.01,33.02,56934,0.638,89243
2021-12-14,MOM100,33.39,33.39,32.5,32.96,33380,0.6693000000000001,49871
2021-12-15,MOM100,33.35,33.35,32.5,32.79,44353,0.5994,73993
2021-12-16,MOM100,33.29,33.29,32.52,32.58,48384,0.7086,68280
2021-12-17,MOM100,32.89,32.89,31.84,31.91,116531,0.761,153129
2021-12-20,MOM100,32.29,32.29,30.71,31.48,186268,0.5652,329562
2021-12-21,MOM100,31.7,31.99,30.9,30.99,94229,0.6309,149355
2021-12-22,MOM100,31.95,31.95,31.01,31.21,209825,0.8832,237566
2021-12-23,MOM100,31.6,31.69,31.23,31.42,33079,0.5958,55521
2021-12-24,MOM100,31.69,31.84,31.1,31.41,28362,0.6878000000000001,41236
2021-12-27,MOM100,31.6,31.64,31.11,31.57,21250,0.7051000000000001,30139
2021-12-28,MOM100,31.69,32.19,31.4,31.98,33930,0.6868000000000001,49406
2021-12-29,MOM100,32.15,32.29,31.72,31.85,47066,0.8598,54742
2021-12-30,MOM100,32.0,32.1,31.6,31.68,48122,0.7474,64387
