Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-10-12,MAGNUM,8.3,8.4,7.7,8.4,44037,0.9205,47840
2021-10-13,MAGNUM,8.8,8.8,8.8,8.8,15154,1.0,15154
2021-10-14,MAGNUM,9.2,9.2,8.4,8.4,44419,0.6198,71671
2021-10-18,MAGNUM,8.4,8.65,8.0,8.25,24076,0.5215,46169
2021-10-19,MAGNUM,8.05,8.4,7.9,7.95,22753,0.8186,27794
2021-10-20,MAGNUM,7.75,7.95,7.65,7.7,6997,0.8081999999999999,8658
2021-10-21,MAGNUM,7.9,7.9,7.5,7.75,28718,0.8734000000000001,32880
2021-10-22,MAGNUM,8.0,8.0,7.45,7.5,7317,0.6081000000000001,12032
2021-10-25,MAGNUM,7.8,7.8,7.25,7.25,9890,0.97,10196
2021-10-26,MAGNUM,7.4,7.45,6.9,7.0,29453,0.5903,49891
2021-10-27,MAGNUM,7.2,7.3,6.8,7.15,13709,0.7917000000000001,17315
2021-10-28,MAGNUM,7.45,7.45,7.0,7.3,10847,0.6224000000000001,17428
2021-10-29,MAGNUM,7.3,7.6,6.95,7.45,32364,0.6863,47156
2021-11-01,MAGNUM,7.8,7.8,7.25,7.8,27875,0.8997,30984
2021-11-02,MAGNUM,8.0,8.0,7.5,7.55,13668,0.5571,24536
2021-11-03,MAGNUM,7.7,7.8,7.35,7.75,13835,0.4997,27688
2021-11-04,MAGNUM,8.0,8.0,7.45,7.55,3699,0.4646,7962
2021-11-08,MAGNUM,7.9,7.9,7.4,7.55,5319,0.3552,14973
2021-11-09,MAGNUM,7.85,7.85,7.4,7.6,14385,0.41740000000000005,34461
2021-11-10,MAGNUM,7.8,7.8,7.4,7.6,11801,0.633,18644
2021-11-11,MAGNUM,7.6,7.85,7.3,7.6,7871,0.35369999999999996,22253
2021-11-12,MAGNUM,7.75,7.75,7.25,7.3,17465,0.6381,27372
2021-11-15,MAGNUM,7.55,7.55,7.05,7.35,15436,0.4927,31331
2021-11-16,MAGNUM,7.1,7.5,7.1,7.2,5020,0.36229999999999996,13856
2021-11-17,MAGNUM,7.4,7.4,7.1,7.2,20132,0.7848,25652
2021-11-18,MAGNUM,7.45,7.55,7.05,7.4,55551,0.7564000000000001,73437
2021-11-22,MAGNUM,7.55,7.75,7.35,7.65,61356,0.6999,87669
2021-11-23,MAGNUM,7.35,8.0,7.35,7.85,29044,0.43979999999999997,66039
2021-11-24,MAGNUM,8.0,8.0,7.55,7.6,25234,0.6881,36672
2021-11-25,MAGNUM,7.9,7.9,7.35,7.75,30012,0.5894,50921
2021-11-26,MAGNUM,7.95,8.05,7.6,7.75,31866,0.6403,49767
2021-11-29,MAGNUM,8.1,8.1,7.4,7.4,11239,0.8016,14020
2021-11-30,MAGNUM,7.05,7.3,7.05,7.15,25089,0.8578,29249
2021-12-01,MAGNUM,7.5,7.5,6.85,7.05,18900,0.4053,46628
2021-12-02,MAGNUM,7.25,7.25,6.8,6.95,26427,0.7543000000000001,35036
2021-12-03,MAGNUM,7.1,7.25,7.0,7.25,28603,0.7682,37233
2021-12-06,MAGNUM,7.6,7.6,7.2,7.6,23629,0.7825,30197
2021-12-07,MAGNUM,7.95,8.3,7.2,7.9,38040,0.5752,66136
2021-12-08,MAGNUM,8.45,8.45,7.75,8.25,27607,0.6454000000000001,42776
2021-12-09,MAGNUM,8.65,9.05,7.6,9.0,83637,0.8148000000000001,102650
2021-12-10,MAGNUM,8.95,9.85,8.9,9.6,64879,0.7745000000000001,83766
2021-12-13,MAGNUM,9.6,9.75,9.15,9.15,55992,0.8611,65022
2021-12-14,MAGNUM,9.0,9.45,8.7,9.15,32621,0.7359,44327
2021-12-15,MAGNUM,9.55,9.55,8.85,9.2,19197,0.6463,29704
2021-12-16,MAGNUM,9.5,9.5,8.75,8.75,46167,0.9122,50608
2021-12-17,MAGNUM,8.95,9.15,8.75,9.15,54006,0.6790999999999999,79521
2021-12-20,MAGNUM,9.6,9.6,8.8,9.0,90453,0.7671,117912
2021-12-21,MAGNUM,9.4,9.4,8.65,9.1,49039,0.7667,63958
2021-12-22,MAGNUM,9.55,9.55,9.25,9.55,28984,0.8872,32668
2021-12-23,MAGNUM,10.0,10.0,9.3,9.4,123122,0.6848000000000001,179803
2021-12-24,MAGNUM,9.8,9.8,9.1,9.4,137680,0.7683,179210
2021-12-27,MAGNUM,9.6,9.6,9.1,9.45,50913,0.8375,60795
2021-12-28,MAGNUM,9.8,9.8,9.1,9.3,118661,0.6448,184028
2021-12-29,MAGNUM,9.2,9.6,9.2,9.4,62613,0.7676999999999999,81560
2021-12-30,MAGNUM,9.55,9.55,9.2,9.3,63581,0.6787000000000001,93682
2021-12-31,MAGNUM,9.55,9.75,8.9,9.75,176464,0.6978,252872
2022-01-03,MAGNUM,10.2,10.2,10.2,10.2,22026,1.0,22026
2022-01-04,MAGNUM,10.7,10.7,10.2,10.6,307230,0.6914,444345
2022-01-05,MAGNUM,10.95,11.1,10.3,11.05,181235,0.8036,225524
2022-01-06,MAGNUM,11.3,11.6,10.6,11.6,150483,0.6578,228757
2022-01-07,MAGNUM,12.1,12.15,11.9,12.15,102077,0.8896,114743
2022-01-10,MAGNUM,12.75,12.75,12.25,12.75,114854,0.8540000000000001,134490
2022-01-11,MAGNUM,13.35,13.35,12.15,13.35,237670,0.6509,365152
2022-01-12,MAGNUM,14.0,14.0,12.85,14.0,282482,0.7056,400356
2022-01-13,MAGNUM,14.7,14.7,13.3,14.2,315385,0.6196,509034
2022-01-14,MAGNUM,14.5,14.9,13.95,14.85,326736,0.8293,393991
2022-01-17,MAGNUM,15.4,15.5,14.7,14.8,158008,0.705,224137
2022-01-18,MAGNUM,15.1,15.35,14.1,14.1,115214,0.8190999999999999,140652
2022-01-19,MAGNUM,13.4,14.8,13.4,14.8,485086,0.2547,1904630
2022-01-20,MAGNUM,15.3,15.5,14.3,15.45,914408,0.48810000000000003,1873589
2022-01-21,MAGNUM,15.0,15.65,14.8,14.9,157401,0.7495999999999999,209966
2022-01-24,MAGNUM,15.0,15.1,14.2,14.2,123169,0.7459,93124
2022-01-25,MAGNUM,13.55,14.2,13.5,13.6,131680,0.7514000000000001,175244
2022-01-27,MAGNUM,13.5,13.55,12.95,13.0,96427,0.7111,135606
2022-01-28,MAGNUM,12.6,13.65,12.35,13.05,197828,0.7434000000000001,266099
2022-01-31,MAGNUM,13.45,13.7,12.5,13.7,213774,0.7644,279649
2022-02-01,MAGNUM,14.35,14.35,13.05,13.8,186995,0.5346000000000001,349772
2022-02-02,MAGNUM,14.2,14.2,13.6,13.8,69704,0.8059999999999999,86486
2022-02-03,MAGNUM,14.0,14.45,13.2,13.8,87268,0.7608,114705
2022-02-04,MAGNUM,14.25,14.45,13.3,14.45,234680,0.4761,492890
2022-02-07,MAGNUM,15.0,15.15,14.6,14.8,265069,0.7175,369416
2022-02-08,MAGNUM,15.4,15.5,14.6,14.95,273340,0.6133,445691
2022-02-09,MAGNUM,15.5,15.65,15.0,15.65,317515,0.6757,469916
2022-02-10,MAGNUM,16.1,16.3,15.6,15.85,248379,0.7706000000000001,322326
2022-02-11,MAGNUM,16.05,16.4,15.1,15.25,454860,0.5771000000000001,788189
2022-02-14,MAGNUM,14.8,14.95,14.5,14.5,72686,0.5972999999999999,121684
2022-02-15,MAGNUM,14.3,14.3,13.8,13.8,40207,0.9504000000000001,42306
