Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,MAITHANALL,974.7,986.05,960.1,974.8,43555,0.44689999999999996,97466
2021-09-02,MAITHANALL,973.7,979.95,956.05,964.15,37274,0.3996,93282
2021-09-03,MAITHANALL,972.0,1002.0,956.25,992.0,96604,0.3555,271738
2021-09-06,MAITHANALL,998.05,1008.0,975.0,979.8,26551,0.41259999999999997,64349
2021-09-07,MAITHANALL,987.0,998.0,966.05,969.25,30333,0.3771,80432
2021-09-08,MAITHANALL,972.7,979.0,965.0,970.75,37240,0.5341,69723
2021-09-09,MAITHANALL,970.75,978.45,958.0,962.95,45056,0.621,72551
2021-09-13,MAITHANALL,962.95,1024.0,954.0,1011.5,84895,0.3841,221040
2021-09-14,MAITHANALL,1020.0,1038.0,997.65,1002.3,50877,0.4839,105130
2021-09-15,MAITHANALL,1015.0,1049.0,1004.0,1035.15,63105,0.4625,136452
2021-09-16,MAITHANALL,1052.1,1096.0,1052.1,1072.65,97059,0.4669,207893
2021-09-17,MAITHANALL,1075.15,1078.05,1025.55,1052.3,79210,0.4842,163582
2021-09-20,MAITHANALL,1015.0,1031.15,956.0,964.55,90598,0.5295000000000001,171108
2021-09-21,MAITHANALL,965.0,968.0,911.0,937.15,69674,0.37340000000000007,186577
2021-09-22,MAITHANALL,955.25,987.05,955.25,973.7,45116,0.3483,129546
2021-09-23,MAITHANALL,990.0,1020.0,985.5,995.65,61587,0.4635,132872
2021-09-24,MAITHANALL,1003.6,1017.5,971.0,984.3,36488,0.3604,101235
2021-09-27,MAITHANALL,993.0,1017.0,973.25,982.1,45685,0.4448,102704
2021-09-28,MAITHANALL,986.0,1079.0,983.5,1060.9,127597,0.2758,462705
2021-09-29,MAITHANALL,1064.95,1140.0,1064.95,1096.5,185612,0.2886,643197
2021-09-30,MAITHANALL,1108.0,1190.0,1102.1,1172.7,213299,0.22350000000000003,954153
2021-10-01,MAITHANALL,1166.0,1189.45,1140.95,1155.95,83335,0.3691,225768
2021-10-04,MAITHANALL,1166.7,1212.95,1165.0,1192.6,97668,0.3629,269120
2021-10-05,MAITHANALL,1180.1,1187.8,1138.55,1153.65,61869,0.4288,144281
2021-10-06,MAITHANALL,1160.0,1194.85,1136.0,1149.75,71897,0.4173,172292
2021-10-07,MAITHANALL,1161.0,1175.85,1103.0,1120.8,45995,0.4216,109098
2021-10-08,MAITHANALL,1131.25,1150.0,1095.0,1110.2,50024,0.4236,118102
2021-10-11,MAITHANALL,1120.55,1156.6,1120.55,1141.5,47861,0.44689999999999996,107092
2021-10-12,MAITHANALL,1143.75,1154.0,1115.85,1128.6,32205,0.4851,66390
2021-10-13,MAITHANALL,1102.0,1139.5,1100.0,1111.75,57949,0.4326,133951
2021-10-14,MAITHANALL,1112.0,1135.15,1101.0,1105.0,27135,0.4215,64371
2021-10-18,MAITHANALL,1134.0,1198.0,1111.95,1178.05,89596,0.42729999999999996,209702
2021-10-19,MAITHANALL,1194.0,1199.05,1121.0,1133.45,52464,0.396,132479
2021-10-20,MAITHANALL,1135.0,1160.0,1080.0,1099.25,43841,0.35240000000000005,124423
2021-10-21,MAITHANALL,1140.0,1140.0,1101.3,1112.3,24245,0.36450000000000005,66518
2021-10-22,MAITHANALL,1120.0,1124.0,1039.65,1051.15,62958,0.4729,133126
2021-10-25,MAITHANALL,1058.95,1058.95,989.4,1000.7,29611,0.3676,80543
2021-10-26,MAITHANALL,1007.0,1169.4,992.7,1137.6,67112,0.3091,217149
2021-10-27,MAITHANALL,1145.0,1156.0,1086.1,1095.4,35935,0.3565,100806
2021-10-28,MAITHANALL,1080.0,1080.0,1035.0,1051.95,30855,0.3685,83740
2021-10-29,MAITHANALL,1043.0,1075.15,1015.0,1055.9,19400,0.327,59335
2021-11-01,MAITHANALL,1051.0,1090.0,1036.0,1056.25,22011,0.3722,59130
2021-11-02,MAITHANALL,1070.0,1099.0,1045.1,1050.85,25896,0.39280000000000004,65922
2021-11-03,MAITHANALL,1054.0,1064.05,1025.0,1032.65,27558,0.5368,51338
2021-11-04,MAITHANALL,1040.0,1059.55,1031.0,1046.75,15696,0.7183,21851
2021-11-08,MAITHANALL,1052.0,1120.0,1043.05,1090.0,41980,0.3857,108837
2021-11-09,MAITHANALL,1101.7,1120.0,1090.1,1111.85,52843,0.5426,97393
2021-11-10,MAITHANALL,1112.75,1138.95,1085.05,1101.6,66192,0.4525,146267
2021-11-11,MAITHANALL,1107.4,1142.0,1075.0,1108.7,88963,0.38130000000000003,233329
2021-11-12,MAITHANALL,1120.0,1138.5,1050.0,1055.9,78885,0.4928,160068
2021-11-15,MAITHANALL,1066.25,1068.9,1015.55,1025.8,47857,0.5551,86219
2021-11-16,MAITHANALL,1028.0,1065.95,1016.0,1029.45,35241,0.436,80821
2021-11-17,MAITHANALL,1024.9,1031.45,978.0,984.75,74278,0.5947,124890
2021-11-18,MAITHANALL,989.0,1005.45,948.0,956.0,58404,0.5177,112818
2021-11-22,MAITHANALL,941.0,948.0,906.0,922.45,85708,0.4497,190571
2021-11-23,MAITHANALL,919.0,954.4,910.0,943.2,24396,0.3503,69636
2021-11-24,MAITHANALL,945.0,979.15,945.0,955.35,24094,0.4622,52124
2021-11-25,MAITHANALL,984.0,1014.0,970.0,1004.15,43706,0.49119999999999997,88987
2021-11-26,MAITHANALL,997.0,1010.0,959.3,967.85,42346,0.49560000000000004,85440
2021-11-29,MAITHANALL,961.0,969.8,920.0,945.05,18300,0.4123,44387
2021-11-30,MAITHANALL,956.95,985.0,951.25,971.0,22819,0.4915,46430
2021-12-01,MAITHANALL,978.0,999.85,960.05,966.05,16166,0.4933,32768
2021-12-02,MAITHANALL,975.7,995.0,961.55,990.35,15288,0.48979999999999996,31210
2021-12-03,MAITHANALL,984.0,997.15,975.1,980.7,11323,0.47840000000000005,23670
2021-12-06,MAITHANALL,975.0,989.35,956.5,961.05,13158,0.5529000000000001,23798
2021-12-07,MAITHANALL,970.0,1039.0,963.0,1009.15,44453,0.26239999999999997,169388
2021-12-08,MAITHANALL,1014.0,1014.0,997.0,999.7,18066,0.499,36205
2021-12-09,MAITHANALL,1000.6,1031.9,995.5,1013.55,14495,0.43570000000000003,33267
2021-12-10,MAITHANALL,1012.0,1036.55,1000.05,1018.25,19113,0.4966,38491
2021-12-13,MAITHANALL,1016.05,1045.0,1007.0,1013.2,21066,0.4487,46947
2021-12-14,MAITHANALL,995.0,1044.0,991.55,1036.05,34704,0.5472,63421
2021-12-15,MAITHANALL,1020.0,1038.0,1016.1,1026.4,11322,0.455,24881
2021-12-16,MAITHANALL,1023.0,1026.1,983.0,990.7,20084,0.5297999999999999,37908
2021-12-17,MAITHANALL,995.65,995.65,959.2,964.85,18629,0.532,35016
2021-12-20,MAITHANALL,952.0,965.75,925.55,959.5,22263,0.42060000000000003,52931
2021-12-21,MAITHANALL,956.05,973.5,947.5,955.75,9344,0.37210000000000004,25113
2021-12-22,MAITHANALL,960.55,988.0,960.55,977.25,7829,0.20940000000000003,37380
2021-12-23,MAITHANALL,982.15,989.05,973.3,980.55,9622,0.493,19519
2021-12-24,MAITHANALL,977.25,982.55,953.3,965.0,9954,0.4719,21092
2021-12-27,MAITHANALL,966.95,966.95,945.1,948.05,14321,0.5704,25105
2021-12-28,MAITHANALL,960.0,981.0,952.2,975.05,13607,0.5165,26344
2021-12-29,MAITHANALL,979.95,994.0,974.75,983.25,10136,0.478,21206
2021-12-30,MAITHANALL,983.05,1045.0,978.95,1039.1,49220,0.44780000000000003,109905
2021-12-31,MAITHANALL,1044.0,1057.0,1005.95,1015.2,19274,0.3857,49966
2022-01-03,MAITHANALL,1020.0,1040.0,995.0,1003.4,19192,0.4403,43592
2022-01-04,MAITHANALL,1009.0,1041.0,1000.0,1011.95,15276,0.35869999999999996,42582
2022-01-05,MAITHANALL,1014.0,1051.0,1011.05,1040.55,41686,0.3931,106053
2022-01-06,MAITHANALL,1039.75,1086.0,1038.0,1050.2,52586,0.40840000000000004,128758
2022-01-07,MAITHANALL,1055.5,1064.35,1030.0,1045.7,24373,0.45439999999999997,53642
2022-01-10,MAITHANALL,1050.9,1065.0,1040.0,1049.9,22199,0.4872,45566
2022-01-11,MAITHANALL,1049.9,1068.65,1036.35,1048.15,22544,0.48450000000000004,46530
2022-01-12,MAITHANALL,1051.0,1077.0,1046.4,1068.0,41368,0.46799999999999997,88402
2022-01-13,MAITHANALL,1087.9,1100.05,1071.0,1076.1,43404,0.4753,91311
2022-01-14,MAITHANALL,1080.0,1092.0,1060.0,1077.6,27506,0.40240000000000004,68355
2022-01-17,MAITHANALL,1082.8,1100.0,1070.0,1075.55,34728,0.4415,78661
2022-01-18,MAITHANALL,1080.0,1098.0,1050.1,1062.0,48378,0.5303,91222
2022-01-19,MAITHANALL,1048.9,1069.0,1035.6,1043.8,22085,0.48700000000000004,45352
2022-01-20,MAITHANALL,1047.7,1060.0,1027.05,1035.25,16352,0.4704,34761
2022-01-21,MAITHANALL,1015.0,1027.8,990.0,1006.0,19717,0.4852,40635
2022-01-24,MAITHANALL,1000.1,1007.85,929.0,947.1,18298,0.3651,83961
2022-01-25,MAITHANALL,948.0,996.0,930.15,985.45,18302,0.3009,60816
2022-01-27,MAITHANALL,975.0,977.0,951.2,963.0,18663,0.3235,57697
2022-01-28,MAITHANALL,968.1,1012.1,968.1,975.7,17379,0.4437,39167
2022-01-31,MAITHANALL,986.25,998.95,975.7,979.95,13900,0.5245000000000001,26501
2022-02-01,MAITHANALL,981.0,994.75,967.25,988.2,21732,0.4411,49266
2022-02-02,MAITHANALL,995.9,1045.0,980.0,991.1,43413,0.36060000000000003,120385
2022-02-03,MAITHANALL,1001.25,1018.0,986.3,994.6,23187,0.48979999999999996,47342
2022-02-04,MAITHANALL,990.0,1042.0,990.0,1014.95,37618,0.26739999999999997,140665
2022-02-07,MAITHANALL,1021.1,1039.45,1008.25,1011.3,23456,0.43979999999999997,53339
2022-02-08,MAITHANALL,1016.0,1019.95,985.25,994.1,16725,0.3056,54727
2022-02-09,MAITHANALL,1005.25,1025.0,990.0,1014.55,24116,0.47619999999999996,50647
2022-02-10,MAITHANALL,1028.0,1040.0,1017.8,1022.75,25991,0.4142,62750
2022-02-11,MAITHANALL,1016.8,1067.9,1004.35,1054.75,70289,0.5101,137792
2022-02-14,MAITHANALL,1144.0,1199.75,1107.0,1136.0,288427,0.2612,1104355
2022-02-15,MAITHANALL,1160.0,1194.2,1119.6,1134.35,94556,0.3085,306546
2022-02-16,MAITHANALL,1144.35,1240.0,1137.0,1175.85,177372,0.28690000000000004,618191
2022-02-17,MAITHANALL,1190.0,1194.25,1151.0,1159.45,50266,0.3185,157807
2022-02-18,MAITHANALL,1157.9,1198.9,1130.1,1143.9,60966,0.3737,163150
2022-02-21,MAITHANALL,1140.1,1145.5,1070.2,1091.75,43155,0.39159999999999995,110190
2022-02-22,MAITHANALL,1052.0,1082.95,1040.0,1054.6,47925,0.4044,118513
2022-02-23,MAITHANALL,1066.0,1103.3,1066.0,1074.35,30612,0.3898,78540
2022-02-24,MAITHANALL,1050.0,1052.55,983.0,987.8,109589,0.6003000000000001,182568
2022-02-25,MAITHANALL,1001.0,1061.2,1001.0,1036.25,51018,0.4671,109233
2022-02-28,MAITHANALL,1035.0,1069.45,1017.05,1058.05,63414,0.39420000000000005,160856
2022-03-02,MAITHANALL,1055.1,1165.0,1053.9,1146.2,91272,0.312,292575
2022-03-03,MAITHANALL,1180.6,1196.7,1140.1,1160.35,75911,0.3639,208576
2022-03-04,MAITHANALL,1157.0,1194.85,1131.1,1154.5,61834,0.38560000000000005,160345
2022-03-07,MAITHANALL,1152.0,1159.5,1110.0,1123.55,59959,0.4522,132591
2022-03-08,MAITHANALL,1136.0,1158.9,1106.0,1142.75,45959,0.4057,113271
2022-03-09,MAITHANALL,1148.9,1172.0,1135.5,1141.7,29310,0.375,78166
2022-03-10,MAITHANALL,1152.1,1186.0,1123.35,1137.15,83648,0.5203,160781
2022-03-11,MAITHANALL,1139.9,1298.9,1139.85,1284.8,279310,0.2397,1165466
2022-03-14,MAITHANALL,1330.0,1368.95,1291.6,1328.5,207234,0.2916,710576
2022-03-15,MAITHANALL,1324.0,1390.0,1316.7,1371.65,179000,0.3322,538825
2022-03-16,MAITHANALL,1375.1,1382.0,1322.65,1339.65,108812,0.4893,222380
2022-03-17,MAITHANALL,1359.0,1398.0,1351.1,1386.45,153878,0.48310000000000003,318510
2022-03-21,MAITHANALL,1400.0,1491.0,1391.05,1426.9,118734,0.2711,437952
2022-03-22,MAITHANALL,1438.0,1445.0,1405.45,1430.2,28986,0.2584,112169
2022-03-23,MAITHANALL,1438.0,1448.0,1363.2,1387.65,54888,0.5540999999999999,99062
2022-03-24,MAITHANALL,1378.0,1398.8,1360.05,1367.8,27592,0.5095000000000001,54159
2022-03-25,MAITHANALL,1380.0,1383.95,1341.0,1348.8,17096,0.506,33786
2022-03-28,MAITHANALL,1347.0,1354.85,1280.0,1308.5,45325,0.6279,72181
2022-03-29,MAITHANALL,1318.5,1414.8,1305.05,1405.25,53050,0.4829,109867
2022-03-30,MAITHANALL,1418.0,1420.0,1375.0,1377.9,28785,0.5972999999999999,48195
2022-03-31,MAITHANALL,1384.0,1395.75,1320.0,1327.65,29884,0.6293,47487
2022-04-01,MAITHANALL,1327.65,1365.0,1327.65,1349.65,17279,0.5444,31739
2022-04-04,MAITHANALL,1350.0,1419.0,1340.0,1399.3,62032,0.5688000000000001,109061
2022-04-05,MAITHANALL,1411.8,1449.0,1408.0,1421.2,63471,0.5642,112499
2022-04-06,MAITHANALL,1423.0,1470.0,1418.0,1449.8,37817,0.5402,70004
2022-04-07,MAITHANALL,1436.0,1449.0,1400.0,1419.15,35224,0.6149,57285
2022-04-08,MAITHANALL,1420.0,1472.0,1395.05,1452.4,47114,0.5351,88040
