Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-13,MANALIPETC,92.0,93.0,89.0,92.0,508014,0.6617000000000001,767794
2021-09-14,MANALIPETC,92.95,94.9,91.6,93.7,515906,0.7123,724241
2021-09-15,MANALIPETC,95.0,98.35,93.8,98.35,942740,0.6393,1474653
2021-09-16,MANALIPETC,99.65,103.0,99.0,100.3,851043,0.6491,1311063
2021-09-17,MANALIPETC,100.8,105.0,96.6,103.15,944519,0.609,1551046
2021-09-20,MANALIPETC,103.15,108.3,101.5,105.35,1310806,0.41350000000000003,3169673
2021-09-21,MANALIPETC,105.95,107.8,100.1,104.4,673195,0.4904,1372740
2021-09-22,MANALIPETC,106.5,106.8,103.15,104.65,491280,0.7115,690483
2021-09-23,MANALIPETC,105.55,107.7,104.1,104.35,457822,0.6681,685278
2021-09-24,MANALIPETC,105.2,108.4,100.05,106.65,784979,0.43810000000000004,1791781
2021-09-27,MANALIPETC,109.0,111.95,108.2,111.95,965452,0.5244,1841193
2021-09-28,MANALIPETC,116.8,117.5,115.9,117.5,1042819,0.5425,1922328
2021-09-29,MANALIPETC,121.5,123.35,117.5,123.35,854017,0.7848,1088263
2021-09-30,MANALIPETC,127.5,129.5,118.65,119.85,1780704,0.5039,3533719
2021-10-01,MANALIPETC,118.0,125.8,115.3,125.8,826207,0.46240000000000003,1786858
2021-10-04,MANALIPETC,130.0,132.05,128.0,132.05,434331,0.8406,516707
2021-10-05,MANALIPETC,136.0,138.65,134.1,136.3,1585282,0.5542,2860646
2021-10-06,MANALIPETC,138.0,138.0,129.5,129.5,1204313,0.6479,1858732
2021-10-07,MANALIPETC,130.7,133.0,123.5,124.2,905642,0.7101000000000001,1275368
2021-11-01,MANALIPETC,122.05,123.7,116.0,120.4,241536,0.6944,347814
2021-11-02,MANALIPETC,123.0,123.0,115.0,116.3,302783,0.7313,414042
2021-11-03,MANALIPETC,117.7,117.9,110.6,112.15,378312,0.7245,522156
2021-11-04,MANALIPETC,113.95,114.95,112.3,114.85,97186,0.8237000000000001,117993
2021-11-08,MANALIPETC,117.0,119.0,115.2,117.4,219613,0.6594,333041
2021-11-09,MANALIPETC,118.0,121.25,116.0,118.7,285026,0.7253000000000001,392996
2021-11-10,MANALIPETC,124.6,124.6,124.6,124.6,229525,1.0,229526
2021-11-11,MANALIPETC,130.8,130.8,125.05,130.8,1495303,0.5329,2805742
2021-11-12,MANALIPETC,134.0,134.0,124.3,126.15,700485,0.5711,1226517
2021-11-15,MANALIPETC,128.0,128.0,121.1,125.0,410425,0.5532,741875
2021-11-16,MANALIPETC,124.95,125.95,122.25,122.75,248455,0.696,356993
2021-11-17,MANALIPETC,122.3,124.2,121.1,122.85,224006,0.6901999999999999,324548
2021-11-18,MANALIPETC,120.6,123.95,116.8,119.85,274860,0.6257,439296
2021-11-22,MANALIPETC,123.0,123.0,115.05,115.7,254342,0.6509,390777
2021-11-23,MANALIPETC,116.0,120.5,114.05,119.35,263768,0.6388,412903
2021-11-24,MANALIPETC,119.0,121.5,115.15,117.4,187800,0.6768000000000001,277490
2021-11-25,MANALIPETC,117.75,121.0,117.0,120.3,201645,0.6214000000000001,324488
2021-12-06,MANALIPETC,110.0,112.65,110.0,110.35,95330,0.6823,139721
2021-12-07,MANALIPETC,111.9,114.45,110.0,113.6,166902,0.7175,232629
2021-12-08,MANALIPETC,115.0,116.0,112.7,113.85,154684,0.6729,229877
2021-12-09,MANALIPETC,115.0,115.2,112.8,113.3,103464,0.6763,152980
2021-12-10,MANALIPETC,114.5,118.95,112.95,118.95,396699,0.73,543416
2021-12-13,MANALIPETC,123.4,123.4,118.0,118.6,303737,0.7181000000000001,422954
2021-12-14,MANALIPETC,118.6,119.9,117.0,117.35,137961,0.6859999999999999,201119
2021-12-15,MANALIPETC,118.95,118.95,112.75,114.3,194220,0.6901,281422
2021-12-16,MANALIPETC,116.9,116.95,112.3,113.2,149679,0.6683,223954
2021-12-17,MANALIPETC,113.2,113.95,110.4,111.35,159625,0.6975,228847
2021-12-20,MANALIPETC,111.35,111.85,105.8,105.85,255923,0.7264,352329
2021-12-21,MANALIPETC,106.25,109.75,105.15,106.1,181394,0.633,286578
2021-12-22,MANALIPETC,109.1,109.1,106.1,106.9,131210,0.6754000000000001,194272
2021-12-23,MANALIPETC,109.0,109.7,107.65,108.5,140378,0.6207,226175
2021-12-24,MANALIPETC,109.9,109.9,106.15,106.5,122811,0.6811,180302
2021-12-27,MANALIPETC,108.1,108.1,105.0,106.85,121694,0.6207,196071
2021-12-28,MANALIPETC,107.85,110.0,107.4,108.75,150480,0.6626000000000001,227113
2021-12-29,MANALIPETC,108.0,110.0,106.7,107.7,132948,0.6616,200947
2021-12-30,MANALIPETC,109.5,109.5,105.4,106.95,121668,0.5811999999999999,209355
2021-12-31,MANALIPETC,108.5,109.5,107.25,108.95,115105,0.6413,179500
2022-01-03,MANALIPETC,111.0,119.8,111.0,114.85,659507,0.5846,1128079
2022-01-04,MANALIPETC,116.25,117.5,113.0,114.1,259883,0.6435,403854
2022-01-05,MANALIPETC,113.5,119.7,112.8,117.05,450350,0.5422,830662
2022-01-06,MANALIPETC,116.25,117.75,114.7,115.5,185026,0.5914,312844
2022-01-07,MANALIPETC,117.5,117.7,113.0,113.85,267620,0.7215,370938
2022-01-17,MANALIPETC,120.9,120.9,116.2,118.5,238803,0.7894,302495
2022-01-18,MANALIPETC,119.8,122.0,115.3,115.9,211290,0.7108,297264
2022-01-19,MANALIPETC,115.75,118.0,114.85,116.55,183928,0.8038,228830
2022-01-20,MANALIPETC,117.5,118.4,113.65,114.95,216397,0.7191,300947
2022-01-21,MANALIPETC,114.5,116.45,110.95,113.35,259183,0.6986,371017
2022-01-24,MANALIPETC,116.0,116.0,107.95,108.8,241073,0.6970999999999999,284675
2022-01-25,MANALIPETC,107.9,114.0,106.0,113.25,261910,0.6994,374462
2022-01-27,MANALIPETC,113.25,113.7,110.0,112.0,119413,0.6273,190363
2022-01-28,MANALIPETC,113.0,115.5,110.8,112.45,174671,0.6498999999999999,268782
2022-01-31,MANALIPETC,114.95,115.5,111.9,112.55,124025,0.6441,192560
2022-02-01,MANALIPETC,112.0,114.0,111.3,112.7,121256,0.6578,184333
2022-02-02,MANALIPETC,114.7,117.0,113.0,116.05,195889,0.7512000000000001,260767
2022-02-03,MANALIPETC,118.0,118.2,115.5,116.5,178014,0.6966,255537
2022-02-04,MANALIPETC,116.45,117.9,115.5,116.35,119150,0.6573000000000001,181273
2022-02-07,MANALIPETC,117.5,117.7,113.75,114.35,144881,0.6847,211589
2022-02-08,MANALIPETC,116.95,116.95,110.95,112.55,117911,0.6639,177611
2022-02-09,MANALIPETC,112.55,116.4,112.55,113.45,134157,0.6712,199875
2022-02-10,MANALIPETC,114.2,117.0,109.0,112.7,173994,0.7241,240277
2022-02-11,MANALIPETC,112.5,117.7,112.5,114.05,356438,0.6517000000000001,546970
