Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,MANUGRAPH,12.6,12.9,12.25,12.5,2229,0.7556,2950
2021-09-02,MANUGRAPH,12.5,13.1,12.5,12.9,4832,0.7164,6745
2021-09-03,MANUGRAPH,13.1,13.4,12.75,12.9,3124,0.7857,3976
2021-09-06,MANUGRAPH,13.35,13.35,12.4,12.45,9732,0.6452,15083
2021-09-07,MANUGRAPH,12.65,12.7,11.95,11.95,16787,0.7731,21713
2021-09-08,MANUGRAPH,11.95,12.5,11.75,12.5,14656,0.6867,21342
2021-09-09,MANUGRAPH,12.7,13.0,12.5,12.9,6935,0.8856999999999999,7830
2021-09-13,MANUGRAPH,13.35,13.35,12.7,13.05,4973,0.5809000000000001,8561
2021-09-14,MANUGRAPH,13.25,13.25,12.55,12.9,6813,0.6528,10436
2021-09-15,MANUGRAPH,13.0,13.2,12.35,12.5,11154,0.6661,16744
2021-09-16,MANUGRAPH,12.9,13.1,12.3,13.05,8560,0.871,9828
2021-09-17,MANUGRAPH,13.3,13.3,12.65,12.65,7374,0.7436,9917
2021-09-20,MANUGRAPH,12.9,12.9,12.05,12.05,5925,0.634,9345
2021-09-21,MANUGRAPH,12.3,12.6,11.45,11.8,5357,0.6384000000000001,8391
2021-09-22,MANUGRAPH,12.0,12.1,11.5,11.9,6128,0.8936000000000001,6858
2021-09-23,MANUGRAPH,12.25,12.45,11.8,12.15,6414,0.5575,11504
2021-09-24,MANUGRAPH,12.15,12.5,11.8,12.0,4739,0.5837,8119
2021-09-27,MANUGRAPH,12.4,12.4,11.45,11.75,7813,0.6718999999999999,11628
2021-09-28,MANUGRAPH,11.75,12.2,11.6,12.1,4382,0.6537000000000001,6703
2021-09-29,MANUGRAPH,11.7,12.3,11.7,12.05,1895,0.84,2256
2021-09-30,MANUGRAPH,12.2,12.5,11.9,12.35,5000,0.8248000000000001,6062
2021-10-01,MANUGRAPH,12.0,12.6,12.0,12.15,3362,0.6476999999999999,5191
2021-10-04,MANUGRAPH,12.2,12.5,11.85,12.0,11880,0.6742,17620
2021-10-05,MANUGRAPH,12.25,12.25,11.85,12.15,7352,0.8499,8650
2021-10-06,MANUGRAPH,12.0,12.7,12.0,12.4,4734,0.6119,7737
2021-10-07,MANUGRAPH,12.5,12.95,12.25,12.45,6520,0.8001,8149
2021-10-08,MANUGRAPH,12.25,13.0,12.0,12.15,24743,0.6576000000000001,37629
2021-10-11,MANUGRAPH,12.0,12.9,12.0,12.5,11630,0.7987000000000001,14561
2021-10-12,MANUGRAPH,13.0,13.2,12.25,12.4,22354,0.8123,27519
2021-10-13,MANUGRAPH,12.35,12.85,12.1,12.15,16324,0.8120999999999999,20102
2021-10-14,MANUGRAPH,12.75,12.75,12.25,12.45,5553,0.7333,7573
2021-10-18,MANUGRAPH,12.7,12.85,12.35,12.4,7096,0.5885,12057
2021-10-19,MANUGRAPH,12.4,13.6,12.3,12.65,11540,0.3565,32369
2021-10-20,MANUGRAPH,13.3,13.45,12.75,13.25,21036,0.5562,37824
2021-10-21,MANUGRAPH,13.8,13.85,12.65,13.1,13673,0.6177,22134
2021-10-22,MANUGRAPH,12.9,13.0,11.85,12.2,14864,0.7382,20136
2021-10-25,MANUGRAPH,12.95,12.95,11.25,11.95,14878,0.7531,19755
2021-10-26,MANUGRAPH,11.35,12.25,11.35,11.8,5968,0.6281,9502
2021-10-27,MANUGRAPH,11.55,12.4,11.45,11.75,21267,0.848,25078
2021-10-28,MANUGRAPH,12.4,12.4,11.15,11.55,11008,0.6795,16201
2021-10-29,MANUGRAPH,11.55,11.55,10.65,11.0,7970,0.8264,9644
2021-11-01,MANUGRAPH,11.0,11.6,10.85,11.4,3510,0.4802,7309
2021-11-02,MANUGRAPH,11.7,11.7,11.0,11.35,6215,0.551,11280
2021-11-03,MANUGRAPH,11.7,11.7,11.1,11.25,4030,0.33840000000000003,11908
2021-11-04,MANUGRAPH,11.75,11.9,11.45,11.65,4644,0.9571,4852
2021-11-08,MANUGRAPH,12.15,12.15,11.5,11.6,14879,0.7668,19405
2021-11-09,MANUGRAPH,11.5,11.9,11.4,11.6,9850,0.5797,16991
2021-11-10,MANUGRAPH,11.6,11.8,11.4,11.5,11597,0.8334999999999999,13913
2021-11-11,MANUGRAPH,11.35,11.8,11.35,11.5,5901,0.8166,7226
2021-11-12,MANUGRAPH,11.9,12.65,11.45,12.65,56074,0.8825000000000001,63539
2021-11-15,MANUGRAPH,13.8,13.9,13.2,13.9,69089,0.934,73973
2021-11-16,MANUGRAPH,14.8,15.25,13.9,15.25,100882,0.5700000000000001,176974
2021-11-17,MANUGRAPH,15.35,16.0,14.5,16.0,106990,0.6634000000000001,161278
2021-11-18,MANUGRAPH,16.7,16.8,16.2,16.8,89689,0.7597,118051
2021-11-22,MANUGRAPH,17.6,17.6,17.0,17.6,61987,0.8088,76639
2021-11-23,MANUGRAPH,18.45,18.45,18.4,18.45,27831,0.9962000000000001,27938
2021-11-24,MANUGRAPH,19.35,19.35,19.35,19.35,8451,1.0,8451
2021-11-25,MANUGRAPH,20.3,20.3,20.3,20.3,8832,1.0,8832
2021-11-26,MANUGRAPH,21.3,21.3,21.3,21.3,12151,0.7928000000000001,15327
2021-11-29,MANUGRAPH,22.0,22.3,20.25,20.25,55483,0.8868,62563
2021-11-30,MANUGRAPH,19.25,19.25,19.25,19.25,2490,0.996,2500
