Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,MARICO,549.35,549.35,541.0,547.3,1505957,0.48380000000000006,3113020
2021-09-02,MARICO,548.75,572.0,548.25,562.65,1706534,0.27890000000000004,6119217
2021-09-03,MARICO,563.95,567.75,558.25,560.8,1134791,0.4676,2426876
2021-09-06,MARICO,561.8,564.8,554.0,554.75,661434,0.5376,1230310
2021-09-07,MARICO,558.85,567.0,554.1,556.7,1280440,0.4202,3047365
2021-09-08,MARICO,559.6,562.75,550.85,560.95,1159318,0.5540999999999999,2092387
2021-09-09,MARICO,558.5,575.9,558.5,575.0,1489808,0.3564,4180525
2021-09-13,MARICO,581.0,587.35,570.35,575.6,2453617,0.46020000000000005,5331731
2021-09-14,MARICO,575.0,582.1,555.9,558.3,3286299,0.5483,5993393
2021-09-15,MARICO,560.4,563.65,556.1,562.15,1362241,0.5733,2376317
2021-09-16,MARICO,566.0,571.45,561.85,562.7,1399345,0.5979,2340371
2021-09-17,MARICO,565.0,565.0,552.75,560.1,1235581,0.5989,2062930
2021-09-20,MARICO,559.0,572.0,556.0,567.45,1724603,0.446,3866691
2021-09-21,MARICO,568.95,570.0,556.95,560.7,1322553,0.5585,2368098
2021-09-22,MARICO,560.7,567.7,560.7,565.2,1216221,0.6897,1763460
2021-09-23,MARICO,570.0,573.1,562.85,566.8,1841221,0.7132,2581525
2021-09-24,MARICO,569.45,570.0,556.55,557.35,2010848,0.7097,2833374
2021-09-27,MARICO,559.8,561.0,545.3,547.5,911155,0.5774,1578144
2021-09-28,MARICO,550.35,553.9,545.7,550.95,1748946,0.6881,2541724
2021-09-29,MARICO,557.0,559.2,547.25,553.45,968150,0.4632,2090106
2021-09-30,MARICO,555.0,556.35,544.0,547.5,835793,0.6042000000000001,1383265
2021-10-01,MARICO,545.0,552.75,541.05,549.55,664262,0.5449,1219031
2021-10-04,MARICO,554.15,555.35,545.3,554.05,1230986,0.5822999999999999,2114180
2021-10-05,MARICO,555.0,559.75,554.2,557.95,1145590,0.5905,1939884
2021-10-06,MARICO,564.05,590.0,560.5,564.3,2037049,0.2366,8610209
2021-10-07,MARICO,571.95,571.95,560.2,561.25,660645,0.4558,1449440
2021-10-08,MARICO,560.8,565.0,558.4,563.8,526236,0.5011,1050211
2021-10-11,MARICO,565.8,573.0,561.6,570.35,887782,0.6232,1424481
2021-10-12,MARICO,570.35,587.0,570.35,584.35,1975213,0.4522,4367841
2021-10-13,MARICO,589.9,591.95,578.35,583.95,790948,0.40380000000000005,1958852
2021-10-14,MARICO,588.35,591.2,578.1,579.3,543588,0.5354,1015225
2021-10-18,MARICO,606.9,607.7,575.55,579.25,1125341,0.5708,1971607
2021-10-19,MARICO,580.5,589.7,572.85,574.3,849607,0.4324,1964659
2021-10-20,MARICO,575.95,577.5,558.45,560.85,576491,0.4698,1227089
2021-10-21,MARICO,565.7,568.35,553.75,565.3,1324356,0.6146,2154819
2021-10-22,MARICO,564.95,566.05,557.1,562.75,507753,0.485,1046820
2021-10-25,MARICO,564.5,565.4,548.65,555.95,1191528,0.5524,2156915
2021-10-26,MARICO,555.25,565.0,551.05,563.25,834372,0.5412,1541807
2021-10-27,MARICO,566.0,581.9,565.5,575.45,644599,0.2944,2189903
2021-10-28,MARICO,576.8,581.25,558.35,564.35,728421,0.2632,2768013
2021-10-29,MARICO,566.35,572.4,553.0,568.45,839706,0.4827,1739744
2021-11-01,MARICO,571.0,577.4,567.5,574.75,603722,0.534,1130666
2021-11-02,MARICO,571.5,573.95,565.0,565.8,1167065,0.6518,1790411
2021-11-03,MARICO,570.0,570.2,550.6,555.0,1465126,0.5558,2635942
2021-11-04,MARICO,560.95,560.95,556.25,557.85,54604,0.457,119471
2021-11-08,MARICO,559.9,562.55,547.55,561.8,406423,0.44450000000000006,914345
2021-11-09,MARICO,561.6,568.55,553.65,564.25,818058,0.5459,1498615
2021-11-10,MARICO,565.0,565.0,550.0,556.0,1903698,0.6456999999999999,2948154
2021-11-11,MARICO,556.0,557.0,547.05,548.2,1133837,0.6846,1656199
2021-11-12,MARICO,552.35,552.35,544.4,546.8,971013,0.772,1257824
2021-11-15,MARICO,550.8,554.85,545.3,553.3,494625,0.5282,936384
2021-11-16,MARICO,556.05,559.5,549.05,552.9,652374,0.5779,1128877
2021-11-17,MARICO,552.7,555.0,549.25,551.75,468076,0.5246000000000001,892311
2021-11-18,MARICO,551.65,551.65,536.65,541.8,1031951,0.5217,1977932
2021-11-22,MARICO,540.6,541.95,532.25,539.5,738843,0.5007,1475495
2021-11-23,MARICO,535.4,546.1,534.85,544.0,536952,0.5726,937667
