Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,MASFIN,767.0,779.05,767.0,771.2,4678,0.4391,10653
2021-09-02,MASFIN,773.2,779.0,769.4,775.95,5468,0.44560000000000005,12270
2021-09-03,MASFIN,776.05,799.0,776.0,778.55,16285,0.5393,30195
2021-09-06,MASFIN,786.45,806.75,763.45,767.35,10169,0.3564,28535
2021-09-07,MASFIN,767.0,788.0,746.4,760.15,16175,0.3629,44571
2021-09-08,MASFIN,769.9,782.95,751.0,757.3,11435,0.3738,30589
2021-09-09,MASFIN,758.0,771.0,750.45,758.4,7228,0.5939,12170
2021-09-13,MASFIN,758.4,782.25,755.05,768.4,7997,0.2701,29608
2021-09-14,MASFIN,772.5,799.0,772.5,785.5,43751,0.5503,79501
2021-09-15,MASFIN,799.0,804.9,785.0,791.4,8106,0.3996,20285
2021-09-16,MASFIN,802.0,802.0,777.35,784.95,6839,0.5988,11422
2021-09-17,MASFIN,790.0,818.8,781.0,794.35,39567,0.4979,79465
2021-09-20,MASFIN,794.0,818.6,785.5,802.85,39791,0.6182,64367
2021-09-21,MASFIN,818.0,818.0,775.0,780.8,16498,0.568,29047
2021-09-22,MASFIN,779.0,792.55,773.9,785.3,6089,0.3705,16433
2021-09-23,MASFIN,789.9,813.35,787.1,791.8,15870,0.5197,30534
2021-09-24,MASFIN,791.0,800.55,764.0,769.0,10177,0.5668,17956
2021-09-27,MASFIN,774.0,790.0,763.95,782.3,7529,0.5128,14683
2021-09-28,MASFIN,789.0,799.65,768.95,778.8,10269,0.445,23077
2021-09-29,MASFIN,777.0,793.95,761.05,767.6,13205,0.5375,24568
2021-09-30,MASFIN,765.0,787.0,764.65,780.0,13260,0.5688000000000001,23313
2021-10-01,MASFIN,780.1,791.9,763.05,771.75,5720,0.413,13849
2021-10-04,MASFIN,771.75,790.0,771.7,788.05,8166,0.4929,16567
2021-10-05,MASFIN,782.0,803.5,779.05,793.4,11125,0.462,24078
2021-10-06,MASFIN,800.0,820.0,790.1,797.7,53122,0.32130000000000003,165360
2021-10-07,MASFIN,807.0,813.0,796.15,801.4,17869,0.5774,30950
2021-10-08,MASFIN,813.0,813.0,792.0,796.65,7615,0.4656,16355
2021-10-11,MASFIN,797.0,800.0,785.15,788.1,11946,0.6057,19724
2021-10-12,MASFIN,793.0,797.9,783.0,786.85,6192,0.5398,11471
2021-10-13,MASFIN,786.85,805.0,776.1,792.65,13370,0.23079999999999998,57924
2021-10-14,MASFIN,792.8,806.0,788.0,799.35,9610,0.1608,59776
2021-10-18,MASFIN,820.0,820.0,779.9,789.1,33444,0.35729999999999995,93590
2021-10-19,MASFIN,800.0,809.0,775.95,789.1,7686,0.1728,44468
2021-10-20,MASFIN,789.1,792.2,749.7,753.05,25430,0.6004,42353
2021-10-21,MASFIN,765.0,769.0,755.0,764.75,5103,0.4232,12059
2021-10-22,MASFIN,765.25,774.9,731.1,740.95,8079,0.4534,17817
2021-10-25,MASFIN,740.95,776.75,725.0,740.9,14179,0.2896,48968
2021-10-26,MASFIN,736.2,767.0,736.2,757.85,6845,0.2297,29794
2021-10-27,MASFIN,759.95,770.0,741.0,749.85,7513,0.5441,13807
2021-10-28,MASFIN,764.0,771.0,740.1,747.65,6383,0.31870000000000004,20030
2021-10-29,MASFIN,756.9,765.2,744.35,750.2,6003,0.4922,12197
2021-11-01,MASFIN,741.05,764.5,741.05,746.35,6458,0.33780000000000004,19115
2021-11-02,MASFIN,755.0,769.95,744.05,753.35,10270,0.4867,21100
2021-11-03,MASFIN,750.0,764.0,723.95,732.05,16982,0.5142,33026
2021-11-04,MASFIN,749.0,773.75,740.3,763.1,4880,0.4962,9834
2021-11-08,MASFIN,760.0,765.0,753.0,760.95,4892,0.493,9922
2021-11-09,MASFIN,761.0,779.0,731.0,767.65,11312,0.5001,22620
2021-11-10,MASFIN,770.0,777.85,758.0,764.5,4278,0.4857,8807
2021-11-11,MASFIN,765.0,770.0,755.05,761.1,3080,0.445,6922
2021-11-12,MASFIN,764.0,796.75,758.1,781.7,14550,0.4723,30805
2021-11-15,MASFIN,792.25,792.25,756.25,762.05,7320,0.5056,14479
2021-11-16,MASFIN,768.0,770.0,753.0,759.45,4849,0.5051,9600
