Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-10-12,MERCATOR,1.85,1.85,1.75,1.75,656378,0.8706999999999999,753836
2021-10-13,MERCATOR,1.75,1.75,1.7,1.7,804334,0.5352,1502758
2021-10-14,MERCATOR,1.75,1.75,1.7,1.75,563505,0.9396,599713
2021-10-18,MERCATOR,1.75,1.8,1.7,1.7,1140993,0.8128000000000001,1403712
2021-10-19,MERCATOR,1.75,1.75,1.65,1.65,791768,0.7320000000000001,1081603
2021-10-20,MERCATOR,1.65,1.7,1.6,1.6,505484,0.7508,673249
2021-10-21,MERCATOR,1.65,1.65,1.6,1.65,273761,0.9916,276083
2021-10-22,MERCATOR,1.65,1.65,1.6,1.6,292253,0.9992000000000001,292487
2021-10-25,MERCATOR,1.65,1.65,1.55,1.55,484885,0.7000000000000001,692724
2021-10-26,MERCATOR,1.55,1.55,1.5,1.5,636351,0.8706,730935
2021-10-27,MERCATOR,1.5,1.5,1.45,1.45,480526,0.8941,537460
2021-10-28,MERCATOR,1.4,1.45,1.4,1.4,512997,0.773,663653
2021-10-29,MERCATOR,1.35,1.35,1.35,1.35,352045,1.0,352046
2021-11-01,MERCATOR,1.3,1.35,1.3,1.3,1025115,0.5556,1844925
2021-11-02,MERCATOR,1.3,1.35,1.25,1.25,2110062,0.6944,3038792
2021-11-03,MERCATOR,1.3,1.3,1.2,1.2,2347139,0.7183,3267470
2021-11-04,MERCATOR,1.15,1.25,1.15,1.2,640690,0.4449,1439996
2021-11-08,MERCATOR,1.2,1.25,1.15,1.25,1228792,0.621,1978795
2021-11-09,MERCATOR,1.3,1.3,1.2,1.2,1988383,0.8076000000000001,2462046
2021-11-10,MERCATOR,1.25,1.25,1.15,1.15,1749588,0.6497,2692946
2021-11-11,MERCATOR,1.15,1.2,1.15,1.2,970855,0.6804000000000001,1426922
2021-11-12,MERCATOR,1.25,1.25,1.15,1.2,1719386,0.7406,2321475
2021-11-15,MERCATOR,1.2,1.25,1.15,1.2,1005954,0.7194,1398361
2021-11-16,MERCATOR,1.25,1.25,1.2,1.25,1104509,0.6890999999999999,1602907
2021-11-17,MERCATOR,1.3,1.3,1.3,1.3,144310,1.0,144310
2021-11-18,MERCATOR,1.35,1.35,1.35,1.35,314296,1.0,314296
2021-11-22,MERCATOR,1.4,1.4,1.4,1.4,221389,1.0,221389
2021-11-23,MERCATOR,1.45,1.45,1.45,1.45,108148,1.0,108148
2021-11-24,MERCATOR,1.5,1.5,1.5,1.5,52639,1.0,52639
2021-11-25,MERCATOR,1.55,1.55,1.55,1.55,126078,1.0,126078
2021-11-26,MERCATOR,1.6,1.6,1.6,1.6,339520,1.0,339520
2021-11-29,MERCATOR,1.65,1.65,1.65,1.65,739847,0.9801000000000001,754858
2021-11-30,MERCATOR,1.65,1.7,1.6,1.6,2828124,0.5636,5017732
2021-12-01,MERCATOR,1.55,1.6,1.55,1.55,613226,0.48610000000000003,1261556
2022-03-29,MERCATOR,1.9,1.95,1.9,1.9,362277,0.9823000000000001,368814
2022-03-30,MERCATOR,1.85,1.95,1.85,1.85,764849,0.668,1145066
2022-03-31,MERCATOR,1.9,1.9,1.85,1.85,562420,0.9484,593017
2022-04-01,MERCATOR,1.9,1.9,1.85,1.9,482756,0.9431,511900
2022-04-04,MERCATOR,1.95,1.95,1.95,1.95,76890,1.0,76890
2022-04-05,MERCATOR,2.0,2.0,2.0,2.0,119192,1.0,119192
2022-04-06,MERCATOR,2.1,2.1,2.1,2.1,134997,1.0,134997
2022-04-07,MERCATOR,2.2,2.2,2.1,2.2,667568,0.5920000000000001,1127570
2022-04-08,MERCATOR,2.3,2.3,2.25,2.3,986582,0.8741,1128699
2022-04-11,MERCATOR,2.4,2.4,2.2,2.3,906508,0.6881999999999999,1317291
2022-04-12,MERCATOR,2.25,2.3,2.2,2.2,428796,0.6242,686918
2022-04-13,MERCATOR,2.15,2.2,2.1,2.1,396311,0.5301,747650
2022-04-18,MERCATOR,2.1,2.2,2.0,2.2,481557,0.5602,859564
2022-04-19,MERCATOR,2.3,2.3,2.15,2.25,773402,0.6617000000000001,1168763
2022-04-20,MERCATOR,2.3,2.3,2.15,2.2,494054,0.7126,693271
2022-04-21,MERCATOR,2.25,2.25,2.1,2.1,853811,0.7193,1187040
2022-04-22,MERCATOR,2.1,2.1,2.0,2.0,1981755,0.75,2642392
2022-04-25,MERCATOR,2.0,2.0,1.9,1.9,1246541,0.5998,2078232
2022-04-26,MERCATOR,1.85,1.9,1.85,1.85,1335619,0.7021,1902278
2022-04-27,MERCATOR,1.8,1.85,1.8,1.8,780422,0.5123,1523325
2022-04-28,MERCATOR,1.8,1.85,1.75,1.85,656968,0.7046,932411
2022-04-29,MERCATOR,1.9,1.9,1.85,1.9,589619,0.9354000000000001,630344
2022-05-02,MERCATOR,1.95,1.95,1.85,1.85,236343,0.8416,280818
2022-05-04,MERCATOR,1.85,1.85,1.8,1.85,308604,0.7859999999999999,392605
2022-05-05,MERCATOR,1.85,1.85,1.8,1.8,339710,0.4583,741284
2022-05-06,MERCATOR,1.75,1.8,1.75,1.75,190513,0.7946,239762
2022-05-09,MERCATOR,1.75,1.75,1.7,1.7,300576,0.6344,473782
2022-05-10,MERCATOR,1.7,1.75,1.65,1.65,1207519,0.8511,1418733
2022-05-11,MERCATOR,1.6,1.6,1.6,1.6,274920,1.0,274920
2022-05-12,MERCATOR,1.55,1.6,1.55,1.55,422867,0.9799,431539
2022-05-13,MERCATOR,1.55,1.55,1.5,1.55,443106,0.8196,540637
2022-05-16,MERCATOR,1.55,1.6,1.5,1.6,498951,0.8008,623093
2022-05-17,MERCATOR,1.65,1.65,1.65,1.65,426205,0.8411,506705
2022-05-18,MERCATOR,1.7,1.7,1.7,1.7,68305,1.0,68305
2022-05-19,MERCATOR,1.7,1.7,1.65,1.65,446338,0.8238,541778
2022-05-20,MERCATOR,1.6,1.7,1.6,1.7,267063,0.8783,304054
2022-05-23,MERCATOR,1.75,1.75,1.75,1.75,153644,1.0,153644
2022-05-24,MERCATOR,1.8,1.8,1.8,1.8,77324,1.0,77324
