Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-10-12,MIRCELECTR,24.0,24.3,22.35,23.0,711333,0.6132,1160019
2021-10-13,MIRCELECTR,23.5,23.5,21.85,21.85,894333,0.7184999999999999,1244803
2021-10-14,MIRCELECTR,21.1,22.8,20.8,20.8,904749,0.7297,1239975
2021-10-18,MIRCELECTR,20.85,21.8,20.7,21.1,945837,0.5910000000000001,1600375
2021-10-19,MIRCELECTR,21.15,21.95,20.05,20.15,542475,0.6544,828982
2021-10-20,MIRCELECTR,20.05,20.85,19.2,19.6,450508,0.6359,708434
2021-10-21,MIRCELECTR,20.0,20.55,19.1,19.6,609201,0.4619,1318855
2021-10-22,MIRCELECTR,20.0,20.45,19.5,19.85,453797,0.6715000000000001,675814
2021-10-25,MIRCELECTR,20.25,20.4,18.9,19.7,455465,0.6548,695542
2021-10-26,MIRCELECTR,19.5,20.2,19.5,20.0,256702,0.6063000000000001,423385
2021-10-27,MIRCELECTR,20.4,21.0,19.5,21.0,530056,0.6329,837464
2021-10-28,MIRCELECTR,21.6,22.05,21.0,21.3,1028627,0.6144,1674236
2021-10-29,MIRCELECTR,21.5,22.35,20.5,22.35,962014,0.7302,1317513
2021-11-01,MIRCELECTR,23.45,23.45,23.05,23.45,764825,0.7744,987581
2021-11-02,MIRCELECTR,23.85,24.6,22.5,24.55,2569939,0.6908,3720193
2021-11-03,MIRCELECTR,25.0,25.0,23.35,23.5,955838,0.6947,1375827
2021-11-04,MIRCELECTR,24.0,24.55,23.6,23.9,457233,0.7645000000000001,598054
2021-11-08,MIRCELECTR,23.85,24.35,23.3,23.55,505023,0.733,689027
2021-11-09,MIRCELECTR,23.65,23.9,22.85,23.65,759990,0.7622,997090
2021-11-10,MIRCELECTR,23.8,24.8,23.1,24.8,1410557,0.8257,1708370
2021-11-11,MIRCELECTR,26.0,26.0,24.9,26.0,2956288,0.5959000000000001,4960843
2021-11-12,MIRCELECTR,26.95,27.2,24.7,25.95,1607828,0.6741,2385008
2021-11-15,MIRCELECTR,25.95,26.8,24.7,24.7,889340,0.5943,1496349
2021-11-16,MIRCELECTR,24.7,25.9,23.7,24.75,660163,0.5243,1259222
2021-11-17,MIRCELECTR,25.3,25.3,23.6,23.8,694977,0.7223999999999999,962085
2021-11-18,MIRCELECTR,24.2,24.85,22.65,23.3,973964,0.5473,1779622
2021-11-22,MIRCELECTR,23.9,23.9,22.15,22.15,588297,0.6279,936934
2021-11-23,MIRCELECTR,22.2,23.25,21.3,23.25,560802,0.691,811589
2021-11-24,MIRCELECTR,23.5,24.3,23.0,23.45,574695,0.7268000000000001,790706
2021-11-25,MIRCELECTR,23.8,24.6,22.75,24.5,972573,0.6752,1440513
2021-11-26,MIRCELECTR,24.0,25.4,23.5,23.95,686167,0.6772,1013315
2021-11-29,MIRCELECTR,23.5,23.55,22.8,22.8,569413,0.5637,1010119
2021-11-30,MIRCELECTR,22.8,23.5,21.95,22.05,460507,0.6452,713742
2021-12-01,MIRCELECTR,22.15,23.15,21.6,23.15,375651,0.7945000000000001,472806
2021-12-02,MIRCELECTR,23.7,24.3,22.6,24.3,1053636,0.883,1193197
2021-12-03,MIRCELECTR,25.0,25.5,23.9,25.4,1130744,0.5769,1959970
2021-12-06,MIRCELECTR,25.55,25.95,24.6,25.1,764909,0.6104999999999999,1252870
2021-12-07,MIRCELECTR,25.4,25.65,24.2,24.45,533268,0.7451000000000001,715689
2021-12-08,MIRCELECTR,24.8,25.55,23.4,24.85,651596,0.7067,922002
2021-12-09,MIRCELECTR,25.2,26.05,24.3,25.9,982038,0.6454000000000001,1521496
2021-12-10,MIRCELECTR,26.4,27.15,25.85,27.15,1030829,0.8864000000000001,1162978
2021-12-13,MIRCELECTR,28.5,28.5,28.2,28.5,836727,0.89,940190
2021-12-14,MIRCELECTR,29.9,29.9,28.6,29.9,2332321,0.4428,5267398
2021-12-15,MIRCELECTR,30.9,30.9,28.45,28.45,1704588,0.5776,2951278
2021-12-16,MIRCELECTR,28.95,29.45,27.15,28.8,1156068,0.5186999999999999,2228587
2021-12-17,MIRCELECTR,28.9,29.2,27.4,27.4,719768,0.7443000000000001,967031
2021-12-20,MIRCELECTR,26.05,26.6,26.05,26.05,267530,0.8231999999999999,324973
2021-12-21,MIRCELECTR,25.35,26.95,24.8,25.0,908754,0.5945,1528654
2021-12-22,MIRCELECTR,25.15,26.25,25.0,26.25,458611,0.6819,672543
2021-12-23,MIRCELECTR,27.1,27.55,25.8,27.55,1011322,0.5592,1808423
2021-12-24,MIRCELECTR,27.5,28.9,26.9,28.75,1360190,0.6111,2225871
2021-12-27,MIRCELECTR,29.25,29.9,27.8,28.4,816512,0.6285000000000001,1299120
2021-12-28,MIRCELECTR,28.95,29.6,28.55,29.1,640700,0.6625,967056
2021-12-29,MIRCELECTR,29.5,29.6,28.5,28.8,453871,0.6994,648906
2021-12-30,MIRCELECTR,28.95,28.95,27.7,27.8,467737,0.7195,650078
2021-12-31,MIRCELECTR,27.95,28.5,27.8,28.05,474019,0.7095,668066
2022-01-03,MIRCELECTR,28.65,29.45,27.8,29.4,1018374,0.6466,1574882
2022-01-04,MIRCELECTR,30.0,30.85,29.2,29.45,1113130,0.6,1855154
2022-01-05,MIRCELECTR,29.8,30.7,28.65,30.3,601948,0.6514,924021
2022-01-06,MIRCELECTR,30.3,31.8,29.5,31.8,1614630,0.5526,2922083
2022-01-07,MIRCELECTR,33.2,33.3,31.05,31.8,1491247,0.6031000000000001,2472635
2022-01-10,MIRCELECTR,32.35,32.8,30.4,30.75,887393,0.5763,1539719
2022-01-11,MIRCELECTR,30.8,31.35,29.95,30.15,785760,0.7471,1051789
2022-01-12,MIRCELECTR,30.0,30.5,29.15,29.65,595035,0.7463,797305
2022-01-13,MIRCELECTR,29.95,31.1,29.45,31.1,877712,0.6197,1416346
2022-01-14,MIRCELECTR,31.0,32.65,30.5,32.2,1276185,0.6286,2030141
2022-01-17,MIRCELECTR,32.5,33.8,31.6,33.6,1881830,0.6542,2876331
2022-01-18,MIRCELECTR,34.8,34.9,32.0,32.3,1230772,0.7186,1712712
2022-01-19,MIRCELECTR,32.0,33.15,31.2,32.35,533167,0.605,881280
2022-01-20,MIRCELECTR,32.9,32.95,31.55,31.8,416324,0.7361,565588
2022-01-21,MIRCELECTR,31.2,32.7,30.6,31.05,568774,0.6961,817053
2022-01-24,MIRCELECTR,31.05,31.45,29.5,29.5,734543,0.7166,606731
2022-01-25,MIRCELECTR,28.25,29.3,28.05,28.05,761771,0.687,1108841
2022-01-27,MIRCELECTR,27.85,29.45,27.3,29.45,405811,0.6252000000000001,649060
