Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,MIRZAINT,58.2,58.4,57.15,57.65,130063,0.4458,291759
2021-09-02,MIRZAINT,57.7,59.9,57.6,58.35,282785,0.3797,744795
2021-09-03,MIRZAINT,58.4,58.85,57.35,57.55,107267,0.41000000000000003,261631
2021-09-06,MIRZAINT,58.0,62.9,57.6,61.4,891231,0.2318,3844557
2021-09-07,MIRZAINT,61.0,62.55,59.2,61.25,631686,0.3644,1733388
2021-09-08,MIRZAINT,61.25,61.9,59.75,60.1,288614,0.4283,673853
2021-09-09,MIRZAINT,60.1,60.65,59.5,59.7,161687,0.4097,394649
2021-09-13,MIRZAINT,60.0,60.4,58.85,59.1,142628,0.5118,278696
2021-09-14,MIRZAINT,59.6,60.2,58.8,59.15,150315,0.45549999999999996,330018
2021-09-15,MIRZAINT,59.2,60.75,59.15,59.4,231161,0.5042,458474
2021-09-16,MIRZAINT,59.4,60.35,58.7,58.95,228882,0.5857,390796
2021-09-17,MIRZAINT,58.85,59.3,56.6,57.35,192007,0.5324,360621
2021-09-20,MIRZAINT,56.0,60.45,56.0,58.05,444648,0.2232,1992260
2021-09-21,MIRZAINT,58.55,59.15,57.0,58.3,171397,0.39530000000000004,433553
2021-09-22,MIRZAINT,58.85,60.0,58.35,59.25,274537,0.5347,513436
2021-09-23,MIRZAINT,60.0,61.25,59.3,60.1,428443,0.5594,765897
2021-09-24,MIRZAINT,59.7,60.8,58.0,59.25,187320,0.40280000000000005,465044
2021-09-27,MIRZAINT,59.05,59.75,57.85,58.05,170106,0.5015,339209
2021-09-28,MIRZAINT,58.5,59.15,57.4,58.5,127378,0.4286,297182
2021-09-29,MIRZAINT,57.75,61.25,57.5,59.15,227394,0.3675,618798
2021-09-30,MIRZAINT,59.5,61.25,58.8,59.25,292776,0.35409999999999997,826707
2021-10-01,MIRZAINT,58.8,60.45,58.55,60.0,265520,0.5759000000000001,461043
2021-10-04,MIRZAINT,60.7,60.9,59.75,59.85,273518,0.5398,506688
2021-10-05,MIRZAINT,59.55,60.4,59.45,59.7,202211,0.5655,357590
2021-10-06,MIRZAINT,60.15,63.2,59.7,60.9,1031594,0.4662,2212792
2021-10-07,MIRZAINT,61.35,64.2,61.25,62.2,651316,0.4251,1532277
2021-10-08,MIRZAINT,62.65,67.0,61.9,66.5,2206978,0.5057,4364429
2021-10-11,MIRZAINT,67.45,68.45,64.05,64.7,1163777,0.4731,2459730
2021-10-12,MIRZAINT,65.6,66.15,64.2,64.85,429859,0.4706,913505
2021-10-13,MIRZAINT,65.35,66.2,63.1,64.65,490964,0.42840000000000006,1146130
2021-10-14,MIRZAINT,65.15,66.6,63.85,64.2,375988,0.4585,820108
2021-10-18,MIRZAINT,64.4,66.2,63.2,63.7,404980,0.5201,778609
2021-10-19,MIRZAINT,64.0,65.45,61.9,62.35,334332,0.4301,777298
2021-10-20,MIRZAINT,61.9,67.45,60.05,64.15,826918,0.3791,2181294
2021-10-21,MIRZAINT,67.0,67.0,63.25,64.2,394885,0.44560000000000005,886259
2021-10-22,MIRZAINT,64.65,66.25,62.1,63.4,344543,0.4378,786898
2021-10-25,MIRZAINT,63.05,63.55,61.5,62.1,157172,0.424,370705
2021-10-26,MIRZAINT,62.6,63.5,62.45,63.15,155087,0.4658,332916
2021-10-27,MIRZAINT,63.45,64.35,61.8,62.3,162084,0.4464,363069
2021-10-28,MIRZAINT,62.0,62.5,59.75,60.25,234872,0.5654,415411
2021-10-29,MIRZAINT,59.9,61.0,58.35,59.7,159796,0.3969,402641
2021-11-01,MIRZAINT,60.25,63.5,60.2,62.95,187740,0.5259,357015
2021-11-02,MIRZAINT,63.1,64.0,62.4,62.75,181698,0.4865,373516
2021-11-03,MIRZAINT,63.25,64.5,60.1,62.85,278397,0.4631,601159
2021-11-04,MIRZAINT,65.75,75.0,65.0,71.85,2684585,0.5014000000000001,5354166
2021-11-08,MIRZAINT,77.0,83.0,76.0,79.35,2964943,0.2899,10228115
2021-11-09,MIRZAINT,80.0,82.9,79.4,80.7,1048271,0.375,2795735
2021-11-10,MIRZAINT,79.95,85.0,78.7,83.05,940649,0.3744,2512381
2021-11-11,MIRZAINT,82.1,85.95,81.5,84.9,1040646,0.3896,2670925
2021-11-12,MIRZAINT,85.5,88.1,78.1,79.35,1307344,0.4374,2988949
2021-11-15,MIRZAINT,82.55,94.4,82.2,90.85,1980959,0.2909,6810584
2021-11-16,MIRZAINT,90.85,93.75,87.05,88.5,837932,0.29050000000000004,2883988
2021-11-17,MIRZAINT,88.2,90.0,85.0,86.0,491360,0.3799,1293429
2021-11-18,MIRZAINT,88.0,90.4,83.75,85.2,738353,0.32630000000000003,2262885
2021-11-22,MIRZAINT,82.0,84.0,79.5,81.0,710758,0.39020000000000005,1821453
2021-11-23,MIRZAINT,80.5,90.0,78.1,87.8,639994,0.2816,2272347
2021-11-24,MIRZAINT,88.95,88.95,85.65,85.95,371680,0.4086,909563
2021-11-25,MIRZAINT,94.0,94.0,90.5,92.35,936033,0.3786,2472212
2021-11-26,MIRZAINT,91.45,93.75,88.1,88.75,709516,0.3765,1884483
2021-11-29,MIRZAINT,87.5,88.8,82.9,84.9,405731,0.3511,1155553
2021-11-30,MIRZAINT,85.5,90.0,85.0,85.45,348349,0.3103,1122718
2021-12-01,MIRZAINT,87.0,99.8,86.6,98.5,1505530,0.18920000000000003,7958708
2021-12-02,MIRZAINT,99.5,110.55,95.1,108.8,2021374,0.1747,11573034
2021-12-03,MIRZAINT,108.8,112.8,106.15,106.85,985932,0.20809999999999998,4738785
