Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,MORARJEE,17.0,17.0,16.3,16.75,2933,0.8516,3444
2021-09-02,MORARJEE,16.85,16.85,16.0,16.15,3383,0.7302,4633
2021-09-03,MORARJEE,16.8,16.8,15.95,16.5,2454,0.8634999999999999,2842
2021-09-06,MORARJEE,16.5,16.65,15.7,15.7,31582,0.6857,46061
2021-09-07,MORARJEE,16.1,16.1,15.4,15.6,4973,0.5941,8370
2021-09-08,MORARJEE,15.3,16.0,15.3,15.4,11428,0.8909,12827
2021-09-09,MORARJEE,15.9,16.15,15.45,16.15,15003,0.6939000000000001,21620
2021-09-13,MORARJEE,15.75,16.95,15.75,16.7,8897,0.48369999999999996,18395
2021-09-14,MORARJEE,16.95,17.4,16.4,16.45,12128,0.7753,15643
2021-09-15,MORARJEE,16.9,17.1,16.5,16.5,14452,0.783,18457
2021-09-16,MORARJEE,16.5,17.0,15.7,16.2,9273,0.7006,13235
2021-09-17,MORARJEE,16.75,16.75,15.65,15.7,6955,0.8442000000000001,8239
2021-09-20,MORARJEE,16.3,16.3,15.25,15.6,4546,0.6285000000000001,7233
2021-09-21,MORARJEE,16.1,16.1,15.25,15.85,2371,0.7183,3301
2021-09-22,MORARJEE,15.9,16.1,15.5,15.8,5717,0.8848,6461
2021-09-23,MORARJEE,15.7,16.15,15.6,15.75,5304,0.6086,8715
2021-09-24,MORARJEE,15.95,15.95,15.0,15.35,11409,0.7088,16096
2021-09-27,MORARJEE,15.2,15.7,15.0,15.05,8647,0.8373999999999999,10326
2021-09-28,MORARJEE,15.7,15.8,15.1,15.8,14437,0.8691,16611
2021-09-29,MORARJEE,16.4,16.45,15.5,15.8,7706,0.7766,9923
2021-09-30,MORARJEE,15.8,16.55,15.75,16.55,23469,0.7126,32934
2021-10-01,MORARJEE,16.85,17.3,16.35,16.55,26629,0.7279000000000001,36584
2021-10-04,MORARJEE,16.9,16.9,16.15,16.35,10048,0.7306,13754
2021-10-05,MORARJEE,16.65,17.15,16.15,17.15,23297,0.8311000000000001,28033
2021-10-06,MORARJEE,18.0,18.0,18.0,18.0,11221,1.0,11221
2021-10-07,MORARJEE,18.9,18.9,18.9,18.9,9040,1.0,9040
2021-10-08,MORARJEE,19.8,19.8,19.8,19.8,12039,1.0,12039
2021-10-11,MORARJEE,20.75,20.75,20.75,20.75,9155,1.0,9155
2021-10-12,MORARJEE,21.75,21.75,19.75,19.85,121835,0.6647,183304
2021-10-13,MORARJEE,19.05,20.5,19.05,20.0,32870,0.652,50412
2021-10-14,MORARJEE,20.4,20.45,19.1,19.3,17330,0.72,24070
2021-10-18,MORARJEE,18.55,19.85,18.55,19.3,14718,0.6473000000000001,22737
2021-10-19,MORARJEE,19.65,19.65,18.4,18.5,10687,0.7247,14746
2021-10-20,MORARJEE,18.5,18.5,17.6,17.75,15036,0.7141,21056
2021-10-21,MORARJEE,17.65,18.6,17.65,18.6,8116,0.6043000000000001,13430
2021-10-22,MORARJEE,19.2,19.5,18.6,18.7,8506,0.5346000000000001,15910
2021-10-25,MORARJEE,19.05,19.5,18.0,19.1,6712,0.7759999999999999,8650
2021-10-26,MORARJEE,19.0,19.95,18.25,18.55,10011,0.8247,12139
2021-10-27,MORARJEE,18.7,19.3,18.3,18.35,7940,0.6114,12986
2021-10-28,MORARJEE,18.65,18.8,17.7,18.1,8253,0.64,12896
2021-10-29,MORARJEE,17.65,19.0,17.25,18.8,12223,0.4625,26426
2021-11-01,MORARJEE,19.15,19.6,18.25,18.6,19067,0.4265,44707
2021-11-02,MORARJEE,18.3,19.2,18.25,18.3,11842,0.5156000000000001,22969
2021-11-03,MORARJEE,18.05,18.7,18.05,18.15,3269,0.9266,3528
2021-11-04,MORARJEE,18.6,18.95,18.05,18.65,3219,0.7359,4374
2021-11-08,MORARJEE,19.55,19.55,18.2,18.85,12874,0.6872,18735
2021-11-09,MORARJEE,19.0,19.25,18.4,19.0,5980,0.5434,11005
2021-11-10,MORARJEE,19.4,19.9,18.45,18.65,9688,0.39280000000000004,24665
2021-11-11,MORARJEE,18.0,19.3,17.95,18.4,20932,0.6021,34764
2021-11-12,MORARJEE,18.5,19.0,17.8,18.15,9063,0.5619,16128
2021-11-15,MORARJEE,18.55,18.75,17.25,17.4,11638,0.5436,21410
2021-11-16,MORARJEE,17.75,18.2,17.25,17.75,17548,0.4227,41516
2021-11-17,MORARJEE,18.4,18.4,17.6,17.7,1698,0.7690000000000001,2208
2021-11-18,MORARJEE,17.6,18.3,17.1,17.15,4267,0.6204999999999999,6877
2021-11-22,MORARJEE,18.0,18.0,16.35,16.65,5326,0.6525,8163
2021-11-23,MORARJEE,16.9,17.4,16.05,17.05,6618,0.593,11161
2021-11-24,MORARJEE,16.65,17.9,16.65,17.25,9603,0.5252,18284
2021-11-25,MORARJEE,17.9,17.9,16.9,17.65,9790,0.5201,18823
2021-11-26,MORARJEE,17.65,18.15,17.2,17.45,7114,0.7547,9426
2021-11-29,MORARJEE,16.9,17.6,16.7,17.3,6914,0.7111,9723
2021-11-30,MORARJEE,17.8,18.0,16.75,17.1,4026,0.4841,8316
2021-12-01,MORARJEE,17.0,17.6,16.6,17.2,18446,0.8119,22719
2021-12-02,MORARJEE,16.7,17.85,16.7,17.15,6610,0.5818,11362
2021-12-03,MORARJEE,17.6,17.9,17.0,17.75,7273,0.5886,12356
2021-12-06,MORARJEE,17.75,18.5,17.35,17.5,16355,0.7806000000000001,20951
2021-12-07,MORARJEE,17.8,19.25,17.8,19.25,44693,0.876,51021
2021-12-08,MORARJEE,20.45,20.45,18.65,18.75,29300,0.6928,42290
2021-12-09,MORARJEE,19.7,19.7,18.2,19.25,29660,0.7083,41877
2021-12-10,MORARJEE,19.85,20.45,18.85,19.25,34326,0.7259000000000001,47288
2021-12-13,MORARJEE,20.6,20.95,19.15,20.4,57206,0.5053,113209
2021-12-14,MORARJEE,20.1,21.45,20.1,20.4,51438,0.66,77932
2021-12-15,MORARJEE,20.4,21.45,20.0,21.15,39752,0.7394,53759
2021-12-16,MORARJEE,21.45,23.25,20.85,23.25,152771,0.637,239834
2021-12-17,MORARJEE,25.0,25.0,21.3,22.05,110761,0.7985,138705
2021-12-20,MORARJEE,20.05,22.45,19.9,21.1,35767,0.533,67111
2021-12-21,MORARJEE,21.1,23.2,21.1,21.9,40991,0.5811000000000001,70543
2021-12-22,MORARJEE,22.9,24.05,21.9,24.05,32663,0.7602,42966
2021-12-23,MORARJEE,25.95,26.45,25.0,26.45,37302,0.7802,47812
2021-12-24,MORARJEE,27.75,27.75,25.15,27.75,161354,0.5249,307374
2021-12-27,MORARJEE,28.3,29.1,27.0,29.1,53598,0.5702,93996
2021-12-28,MORARJEE,29.7,30.55,29.7,30.55,21627,0.9868000000000001,21916
2021-12-29,MORARJEE,31.0,32.05,31.0,32.05,35904,0.8470000000000001,42389
2021-12-30,MORARJEE,33.65,33.65,30.45,30.45,109759,0.6384000000000001,171936
2021-12-31,MORARJEE,31.65,31.65,28.95,28.95,79605,0.5851,136057
2022-01-03,MORARJEE,28.35,30.35,28.2,30.35,46371,0.6429,72132
2022-03-29,MORARJEE,24.75,24.75,22.6,22.6,9602,0.6943,13829
2022-03-30,MORARJEE,22.85,23.55,21.5,21.55,9425,0.8361000000000001,11273
2022-03-31,MORARJEE,22.0,22.6,20.5,20.7,17178,0.5477000000000001,31362
2022-04-01,MORARJEE,21.15,21.7,20.35,21.7,3767,0.44560000000000005,8454
2022-04-04,MORARJEE,21.7,22.75,21.05,22.0,16225,0.5756,28188
2022-04-05,MORARJEE,22.8,23.1,21.75,23.1,7301,0.5645,12934
2022-04-06,MORARJEE,24.0,24.25,22.3,24.2,12182,0.5982000000000001,20364
2022-04-07,MORARJEE,24.5,26.6,23.8,25.9,16320,0.5779,28238
2022-04-08,MORARJEE,26.3,28.2,25.05,26.45,29248,0.5411,54055
2022-04-11,MORARJEE,28.4,29.05,27.2,29.05,53445,0.7458,71662
2022-04-12,MORARJEE,29.5,29.55,27.25,28.0,34783,0.5563,62525
2022-04-13,MORARJEE,29.35,29.35,28.05,28.2,9020,0.5895,15300
2022-04-18,MORARJEE,29.0,31.0,27.45,28.8,43135,0.281,153509
2022-04-19,MORARJEE,29.7,29.7,26.1,27.0,31317,0.757,41371
2022-04-20,MORARJEE,28.9,28.9,27.35,27.7,22465,0.6813,32972
2022-06-21,MORARJEE,18.2,18.2,17.05,17.2,5369,0.5841,9192
2022-06-22,MORARJEE,17.75,17.9,16.75,16.95,599,0.708,846
2022-06-23,MORARJEE,17.5,17.75,16.6,16.7,13592,0.9451999999999999,16248
2022-06-24,MORARJEE,17.0,17.1,16.15,16.3,5294,0.7427,7128
2022-06-27,MORARJEE,16.0,17.0,16.0,16.85,5261,0.8601000000000001,6117
2022-06-28,MORARJEE,16.1,17.5,16.1,17.35,11580,0.7016,16504
2022-06-29,MORARJEE,17.4,17.5,16.6,16.85,3337,0.46240000000000003,7216
2022-06-30,MORARJEE,17.2,17.3,16.6,16.7,4722,0.5669,8329
2022-07-01,MORARJEE,16.55,17.35,16.5,17.0,1454,0.4826,3013
2022-07-04,MORARJEE,17.35,17.35,16.6,17.3,1051,0.881,1193
2022-07-05,MORARJEE,17.65,17.65,16.95,17.5,4198,0.5796,7243
2022-07-06,MORARJEE,17.5,17.85,16.85,17.5,5151,0.7986,6450
2022-07-07,MORARJEE,17.8,17.8,17.0,17.2,2196,0.2661,8252
2022-07-08,MORARJEE,17.0,17.45,16.55,17.05,2561,0.6255,4094
2022-07-11,MORARJEE,17.8,17.85,16.7,17.7,9424,0.7137000000000001,13204
2022-07-12,MORARJEE,18.45,18.55,17.5,18.25,7873,0.5907,13329
2022-07-13,MORARJEE,18.3,18.95,17.8,18.85,1809,0.5540999999999999,3265
2022-07-14,MORARJEE,19.3,19.65,18.25,18.45,4354,0.6444,6757
