Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,MOTILALOFS,820.0,830.85,807.05,811.8,92604,0.263,352053
2021-09-02,MOTILALOFS,812.5,829.75,811.1,815.25,66746,0.25670000000000004,260055
2021-09-03,MOTILALOFS,818.9,834.55,805.0,810.1,83617,0.18600000000000003,449646
2021-09-06,MOTILALOFS,817.9,824.8,812.5,819.55,82884,0.3312,250227
2021-09-07,MOTILALOFS,821.9,823.0,800.0,805.4,103293,0.4129,250138
2021-09-08,MOTILALOFS,805.4,818.9,800.05,802.9,62901,0.2608,241170
2021-09-09,MOTILALOFS,801.4,809.95,781.5,785.35,198724,0.5139,386662
2021-09-13,MOTILALOFS,785.75,791.4,759.8,767.9,235877,0.4429,532626
2021-09-14,MOTILALOFS,770.25,789.0,770.25,786.5,122621,0.35240000000000005,347911
2021-09-15,MOTILALOFS,788.05,796.0,774.05,777.1,136328,0.3896,349889
2021-09-16,MOTILALOFS,781.65,789.85,777.3,785.15,198795,0.5639000000000001,352542
2021-09-17,MOTILALOFS,792.0,825.0,787.1,818.3,365030,0.2936,1243142
2021-09-20,MOTILALOFS,812.2,853.0,800.85,813.65,296512,0.2723,1088823
2021-09-21,MOTILALOFS,814.9,824.9,796.0,821.8,113756,0.2878,395255
2021-09-22,MOTILALOFS,822.0,849.0,815.15,839.85,160107,0.3785,423051
2021-09-23,MOTILALOFS,846.8,879.0,846.0,873.35,437044,0.3356,1302097
2021-09-24,MOTILALOFS,878.9,887.6,858.35,871.95,218113,0.34700000000000003,628482
2021-09-27,MOTILALOFS,873.0,879.7,836.1,842.0,161833,0.3565,453906
2021-09-28,MOTILALOFS,843.0,854.65,830.9,841.4,116493,0.2852,408470
2021-09-29,MOTILALOFS,833.4,850.85,832.0,845.65,65350,0.3184,205243
2021-09-30,MOTILALOFS,845.0,868.0,843.0,858.75,103684,0.37479999999999997,276622
2021-10-01,MOTILALOFS,857.8,879.9,850.5,872.25,129165,0.2657,486059
2021-10-04,MOTILALOFS,870.5,879.2,863.35,871.25,158336,0.47950000000000004,330185
2021-10-05,MOTILALOFS,869.9,897.25,864.75,875.6,162267,0.32770000000000005,495124
2021-10-06,MOTILALOFS,875.9,888.7,865.3,871.9,138229,0.39780000000000004,347481
2021-10-07,MOTILALOFS,875.0,884.6,868.1,871.25,174392,0.5337,326736
2021-10-08,MOTILALOFS,875.4,882.7,857.1,865.6,125316,0.3815,328516
2021-10-11,MOTILALOFS,872.0,917.5,869.05,908.9,309731,0.32189999999999996,962275
2021-10-12,MOTILALOFS,912.4,929.8,905.2,910.8,175113,0.3038,576417
2021-10-13,MOTILALOFS,911.95,946.85,908.8,923.2,258935,0.2839,911930
2021-10-14,MOTILALOFS,931.0,931.0,901.95,906.55,150488,0.4201,358235
2021-10-18,MOTILALOFS,908.0,926.8,902.0,907.65,109606,0.4108,266798
2021-10-19,MOTILALOFS,910.0,930.0,880.0,901.4,220628,0.4421,499056
2021-10-20,MOTILALOFS,901.0,910.0,875.0,896.35,1034977,0.7824,1322765
2021-10-21,MOTILALOFS,897.0,934.65,876.3,924.95,193327,0.4275,452268
2021-10-22,MOTILALOFS,927.0,945.0,898.2,911.55,108974,0.36460000000000004,298875
2021-10-25,MOTILALOFS,912.0,916.0,878.95,890.85,100227,0.43840000000000007,228639
2021-10-26,MOTILALOFS,890.9,908.8,888.0,892.1,54181,0.3003,180393
2021-10-27,MOTILALOFS,895.9,918.65,888.0,905.5,60175,0.2802,214739
2021-10-28,MOTILALOFS,904.8,911.95,881.0,889.9,82735,0.5567000000000001,148609
2021-10-29,MOTILALOFS,933.9,949.0,906.85,915.85,216066,0.2318,931946
2021-11-01,MOTILALOFS,924.0,947.0,912.0,915.35,120449,0.4448,270774
2021-11-02,MOTILALOFS,919.95,945.4,910.2,924.65,132365,0.336,393937
2021-11-03,MOTILALOFS,932.0,937.9,915.0,918.55,64404,0.43570000000000003,147833
2021-11-04,MOTILALOFS,925.0,928.0,920.0,923.35,27899,0.7132,39117
2021-11-08,MOTILALOFS,930.0,930.0,910.0,925.1,83162,0.5374,154760
2021-11-09,MOTILALOFS,925.0,995.0,925.0,990.05,465234,0.34750000000000003,1338787
2021-11-10,MOTILALOFS,984.0,993.0,956.0,965.35,155532,0.40520000000000006,383886
2021-11-11,MOTILALOFS,966.05,968.45,932.7,945.75,87077,0.38170000000000004,228115
2021-11-12,MOTILALOFS,952.95,974.0,947.15,970.25,121783,0.45439999999999997,268035
2021-11-15,MOTILALOFS,975.0,985.0,959.75,968.2,95709,0.4815,198754
2021-11-16,MOTILALOFS,965.0,974.9,940.0,945.1,72045,0.5304,135837
2021-11-17,MOTILALOFS,949.0,951.7,915.05,920.1,176670,0.6309,280030
2021-11-18,MOTILALOFS,924.9,933.0,906.2,923.8,217345,0.6076,357733
2021-11-22,MOTILALOFS,934.0,934.0,895.8,917.15,176817,0.5579999999999999,316893
2021-11-23,MOTILALOFS,917.15,939.2,901.0,922.85,56920,0.43060000000000004,132202
2021-11-24,MOTILALOFS,925.0,929.0,905.1,920.15,97382,0.44680000000000003,217933
2021-11-25,MOTILALOFS,926.85,929.6,916.0,920.55,92027,0.7017,131145
2021-11-26,MOTILALOFS,918.0,958.75,906.0,922.95,183318,0.4889,374955
2021-11-29,MOTILALOFS,914.0,920.0,884.05,915.8,106874,0.5056,211370
2021-11-30,MOTILALOFS,921.0,954.6,921.0,946.0,237889,0.6217,382667
2021-12-01,MOTILALOFS,959.0,982.95,918.0,974.45,153943,0.4264,361044
2021-12-02,MOTILALOFS,976.0,980.0,960.1,963.15,45252,0.38450000000000006,117698
2021-12-03,MOTILALOFS,965.0,980.0,954.0,970.1,522101,0.7068000000000001,738734
2021-12-06,MOTILALOFS,976.8,987.35,918.5,924.3,95903,0.3576,268221
2021-12-07,MOTILALOFS,937.55,962.45,918.0,954.3,73930,0.369,200344
2021-12-08,MOTILALOFS,958.85,978.5,946.8,963.3,75497,0.3825,197362
2021-12-09,MOTILALOFS,965.8,967.25,950.0,953.8,31101,0.3816,81503
2021-12-10,MOTILALOFS,952.0,967.0,928.0,933.55,71894,0.4112,174828
2021-12-13,MOTILALOFS,942.9,960.0,931.65,938.8,52704,0.3468,151984
2021-12-14,MOTILALOFS,931.95,947.1,930.8,940.2,45886,0.4397,104348
2021-12-15,MOTILALOFS,939.5,958.95,939.45,953.2,77904,0.4711,165360
2021-12-16,MOTILALOFS,955.0,1014.8,951.15,979.8,287012,0.23920000000000002,1199659
2021-12-17,MOTILALOFS,979.0,979.0,945.65,954.75,87501,0.3891,224879
2021-12-20,MOTILALOFS,949.0,949.0,908.2,916.2,112689,0.4658,241901
2021-12-21,MOTILALOFS,920.0,933.55,901.25,921.5,50708,0.27890000000000004,181802
2021-12-22,MOTILALOFS,925.0,929.15,915.0,918.15,30763,0.4012,76669
2021-12-23,MOTILALOFS,923.9,931.75,912.65,918.4,45053,0.39780000000000004,113261
2021-12-24,MOTILALOFS,924.95,925.1,910.0,917.55,34670,0.33520000000000005,103423
2021-12-27,MOTILALOFS,917.0,923.9,905.5,915.15,47714,0.4976,95885
2021-12-28,MOTILALOFS,920.1,935.0,920.1,928.65,141714,0.7109000000000001,199357
2021-12-29,MOTILALOFS,932.8,944.9,925.0,929.5,28902,0.42460000000000003,68074
2021-12-30,MOTILALOFS,939.95,939.95,914.0,915.65,32284,0.5304,60864
2021-12-31,MOTILALOFS,910.05,931.8,910.05,915.65,55213,0.5291,104358
2022-01-03,MOTILALOFS,920.0,923.7,911.0,916.1,114517,0.6046,189395
2022-01-04,MOTILALOFS,919.0,924.9,912.0,916.15,33958,0.3987,85166
2022-01-05,MOTILALOFS,918.0,935.0,913.35,925.95,66211,0.4496,147263
2022-01-06,MOTILALOFS,919.5,926.3,916.0,917.85,30570,0.45130000000000003,67737
