Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,MOTOGENFIN,25.9,25.9,24.55,24.9,4735,0.7802,6069
2021-09-02,MOTOGENFIN,27.3,27.35,24.8,25.15,29573,0.7166,41268
2021-09-03,MOTOGENFIN,25.65,25.7,23.05,24.95,17766,0.6861,25893
2021-09-06,MOTOGENFIN,25.95,27.4,25.05,27.3,21421,0.32799999999999996,65299
2021-09-07,MOTOGENFIN,27.0,27.75,25.65,27.0,17079,0.5225,32689
2021-09-08,MOTOGENFIN,28.8,28.8,25.85,26.15,7605,0.6343,11989
2021-09-09,MOTOGENFIN,25.9,26.95,25.6,25.8,5819,0.7736000000000001,7522
2021-09-13,MOTOGENFIN,26.5,26.5,25.05,26.4,4686,0.7077,6621
2021-09-14,MOTOGENFIN,26.95,27.3,26.0,26.35,4709,0.5749000000000001,8191
2021-09-15,MOTOGENFIN,26.35,26.95,25.55,26.0,5968,0.6282,9500
2021-09-16,MOTOGENFIN,26.45,26.6,25.0,25.75,12539,0.6053000000000001,20715
2021-09-17,MOTOGENFIN,26.6,26.6,25.0,25.15,6877,0.7306999999999999,9411
2021-09-20,MOTOGENFIN,25.0,26.75,24.45,26.0,10397,0.5895,17637
2021-09-21,MOTOGENFIN,25.5,26.2,24.75,25.7,6437,0.9409000000000001,6841
2021-09-22,MOTOGENFIN,26.55,26.55,25.6,25.7,2028,0.929,2183
2021-09-23,MOTOGENFIN,24.95,25.5,24.85,25.2,9254,0.7848999999999999,11790
2021-09-24,MOTOGENFIN,25.1,25.8,25.05,25.2,1818,0.8749,2078
2021-09-27,MOTOGENFIN,24.5,25.95,24.5,24.8,3285,0.7659,4289
2021-09-28,MOTOGENFIN,25.7,25.7,24.35,24.7,2611,0.9113,2865
2021-09-29,MOTOGENFIN,25.3,25.45,24.25,24.55,3190,0.5385,5924
2021-09-30,MOTOGENFIN,25.45,25.45,24.05,24.25,3976,0.7119,5585
2021-10-01,MOTOGENFIN,25.0,25.0,23.6,24.05,7421,0.8587,8642
2021-10-04,MOTOGENFIN,24.55,25.3,24.1,25.1,5759,0.8601000000000001,6696
2021-10-05,MOTOGENFIN,25.1,25.25,23.7,24.55,4517,0.7659,5898
2021-10-06,MOTOGENFIN,25.05,26.0,24.05,24.6,6827,0.705,9684
2021-10-07,MOTOGENFIN,25.3,26.0,24.8,25.35,4358,0.8128000000000001,5362
2021-10-08,MOTOGENFIN,25.9,25.9,24.75,25.25,7313,0.7170000000000001,10199
2021-10-11,MOTOGENFIN,25.05,26.55,24.2,24.9,10784,0.6789000000000001,15884
2021-10-12,MOTOGENFIN,24.7,27.2,24.35,25.45,5702,0.6312,9033
2021-10-13,MOTOGENFIN,26.05,26.05,25.0,25.75,5984,0.6375000000000001,9387
2021-10-14,MOTOGENFIN,26.3,26.3,25.25,25.5,10866,0.8199,13253
2021-10-18,MOTOGENFIN,25.5,26.55,25.25,25.45,3764,0.7672,4906
2021-10-19,MOTOGENFIN,24.8,25.7,23.2,24.7,5460,0.6816,8010
2021-10-20,MOTOGENFIN,24.2,25.35,24.1,24.3,5347,0.8290000000000001,6450
2021-10-21,MOTOGENFIN,24.3,25.35,24.1,25.15,3589,0.9497,3779
2021-10-22,MOTOGENFIN,25.7,25.7,24.2,24.45,2731,0.8452,3231
2021-10-25,MOTOGENFIN,24.5,25.6,24.25,24.5,2320,0.8323999999999999,2787
2021-10-26,MOTOGENFIN,25.15,25.15,24.1,24.7,1793,0.9472,1893
2021-10-27,MOTOGENFIN,25.25,25.25,23.8,24.3,2369,0.7487,3164
2021-10-28,MOTOGENFIN,23.8,25.3,23.2,23.65,4343,0.5059,8585
2021-10-29,MOTOGENFIN,24.35,24.5,23.25,23.8,2234,0.5404,4134
2021-11-01,MOTOGENFIN,24.4,24.45,23.25,23.7,6323,0.8465,7470
2021-11-02,MOTOGENFIN,23.25,24.15,23.25,23.95,2484,0.7603,3267
2021-11-03,MOTOGENFIN,24.4,24.4,23.2,23.5,1102,0.8120999999999999,1357
2021-11-04,MOTOGENFIN,24.45,24.5,21.3,23.8,2249,0.6591,3412
2021-11-08,MOTOGENFIN,24.4,24.4,21.6,23.5,11416,0.6731999999999999,16959
2021-11-09,MOTOGENFIN,23.6,23.85,23.0,23.4,3334,0.7006,4759
2021-11-10,MOTOGENFIN,23.8,23.8,22.85,23.0,1533,0.7858,1951
2021-11-11,MOTOGENFIN,23.35,23.35,22.15,22.85,1216,0.517,2352
2021-11-12,MOTOGENFIN,23.0,23.4,22.05,23.15,2825,0.8798,3211
2021-11-15,MOTOGENFIN,23.65,23.65,22.25,22.5,4131,0.8138,5076
2021-11-16,MOTOGENFIN,23.0,24.0,22.0,23.35,19284,0.9285,20770
2021-11-17,MOTOGENFIN,23.7,24.35,23.0,23.9,5179,0.6809000000000001,7606
