Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,MRF,80000.0,80559.95,79239.8,79954.65,3132,0.2903,10789
2021-09-02,MRF,80393.0,81875.55,80041.45,81265.15,5225,0.3496,14947
2021-09-03,MRF,81949.0,82600.1,81509.9,82397.85,4431,0.2811,15764
2021-09-06,MRF,82700.0,83200.0,81278.75,81404.85,2784,0.2735,10180
2021-09-07,MRF,81785.0,82300.0,80890.05,81084.7,2148,0.1801,11928
2021-09-08,MRF,81380.0,81429.65,79810.0,80240.0,3005,0.31920000000000004,9413
2021-09-09,MRF,80300.0,81469.95,79800.0,79867.9,4915,0.34,14454
2021-09-13,MRF,79800.0,80407.1,79250.0,80243.6,1057,0.1478,7150
2021-09-14,MRF,80230.0,80847.05,80052.05,80423.85,3874,0.389,9958
2021-09-15,MRF,80521.0,80995.0,80116.65,80210.15,3963,0.42100000000000004,9413
2021-09-16,MRF,80600.0,80600.0,79801.0,79971.7,2509,0.3886,6457
2021-09-17,MRF,80000.0,80339.8,78851.0,79397.25,5135,0.3875,13253
2021-09-20,MRF,79190.0,79950.0,78510.0,78875.45,4657,0.3968,11737
2021-09-21,MRF,78870.0,79031.3,78050.0,78373.75,3058,0.2889,10584
2021-09-22,MRF,78500.0,80550.0,78500.0,79993.8,4126,0.25070000000000003,16457
2021-09-23,MRF,80600.0,80999.0,80001.55,80220.7,2044,0.313,6530
2021-09-24,MRF,80500.0,80690.0,79055.05,79456.5,4138,0.373,11095
2021-09-27,MRF,79949.0,82000.0,79144.65,81893.4,5574,0.2664,20927
2021-09-28,MRF,81759.4,81890.0,79810.0,80488.6,3046,0.2168,14053
2021-09-29,MRF,80306.1,80431.5,78901.05,79056.7,14813,0.5757,25732
2021-09-30,MRF,79550.0,79679.95,78652.05,79375.55,6528,0.3986,16379
2021-10-01,MRF,79000.0,79370.0,78510.0,78994.4,2709,0.3185,8506
2021-10-04,MRF,79477.2,80551.95,79400.0,79787.0,2602,0.2576,10101
2021-10-05,MRF,79750.0,80070.0,79232.0,79407.2,1370,0.2555,5361
