Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,MUNJALSHOW,138.05,140.4,136.7,138.2,28722,0.3735,76898
2021-09-02,MUNJALSHOW,137.9,139.25,136.9,137.4,9604,0.1201,79996
2021-09-03,MUNJALSHOW,137.7,140.0,136.5,139.5,31476,0.2731,115235
2021-09-06,MUNJALSHOW,139.7,139.7,136.15,137.15,38609,0.3775,102280
2021-09-07,MUNJALSHOW,136.0,138.7,135.35,136.95,24054,0.392,61363
2021-09-08,MUNJALSHOW,135.7,138.3,135.0,136.4,14693,0.2168,67771
2021-09-09,MUNJALSHOW,135.95,137.0,134.0,134.2,46764,0.5115999999999999,91406
2021-09-13,MUNJALSHOW,133.0,134.75,132.9,133.6,20414,0.5397,37827
2021-09-14,MUNJALSHOW,133.6,135.65,133.05,134.15,21882,0.5928,36911
2021-09-15,MUNJALSHOW,134.45,137.0,133.15,135.7,32220,0.5004,64394
2021-09-16,MUNJALSHOW,136.9,137.8,136.2,136.9,25070,0.5193,48274
2021-09-17,MUNJALSHOW,137.5,137.7,134.4,135.05,23406,0.5659000000000001,41364
2021-09-20,MUNJALSHOW,132.1,134.95,132.0,132.55,19050,0.45670000000000005,41712
2021-09-21,MUNJALSHOW,135.3,135.3,130.3,134.45,18035,0.5127,35174
2021-09-22,MUNJALSHOW,134.1,135.45,133.3,134.45,11806,0.6234000000000001,18938
2021-09-23,MUNJALSHOW,134.95,136.95,134.25,135.0,23160,0.6165,37567
2021-09-24,MUNJALSHOW,135.2,135.9,132.8,133.05,22853,0.6176,37000
2021-09-27,MUNJALSHOW,133.05,140.0,131.6,137.65,76039,0.47090000000000004,161469
2021-09-28,MUNJALSHOW,138.0,147.8,136.5,141.9,161750,0.5046,320553
2021-09-29,MUNJALSHOW,141.95,144.3,141.0,142.8,29260,0.6338,46164
2021-09-30,MUNJALSHOW,146.0,146.0,138.65,140.4,19772,0.5750000000000001,34387
2021-10-01,MUNJALSHOW,139.55,141.45,138.5,139.75,10555,0.4623,22832
2021-10-04,MUNJALSHOW,140.95,140.95,136.6,138.1,17429,0.4648,37501
2021-10-05,MUNJALSHOW,136.1,138.7,135.35,137.75,19935,0.5995,33251
2021-10-06,MUNJALSHOW,137.85,139.9,136.3,137.45,13806,0.3882,35567
2021-10-07,MUNJALSHOW,138.0,140.5,135.0,139.2,60641,0.4867,124601
2021-10-08,MUNJALSHOW,139.5,141.95,138.45,139.1,27255,0.6261,43534
2021-10-11,MUNJALSHOW,139.45,141.45,138.1,139.6,16921,0.6191,27333
2021-10-12,MUNJALSHOW,140.0,140.45,137.55,137.9,20876,0.5325,39202
2021-10-13,MUNJALSHOW,138.2,141.2,137.95,138.9,31204,0.5057,61704
2021-10-14,MUNJALSHOW,139.2,140.3,137.0,137.65,27962,0.5649000000000001,49500
2021-10-18,MUNJALSHOW,137.65,141.5,137.5,140.5,35883,0.5974,60068
2021-10-19,MUNJALSHOW,140.45,141.05,136.25,136.85,28177,0.6125,46004
2021-10-20,MUNJALSHOW,136.9,136.9,134.1,135.1,16317,0.5734,28456
2021-10-21,MUNJALSHOW,135.4,136.5,131.55,133.55,31988,0.6185,51718
2021-10-22,MUNJALSHOW,133.55,135.6,132.55,133.9,18341,0.6415000000000001,28592
2021-10-25,MUNJALSHOW,133.05,133.1,127.9,129.2,58448,0.5982000000000001,97707
2021-10-26,MUNJALSHOW,130.2,131.95,129.55,130.85,15442,0.621,24865
2021-10-27,MUNJALSHOW,130.95,133.2,129.75,132.0,15229,0.43060000000000004,35365
2021-10-28,MUNJALSHOW,133.2,133.4,128.7,129.55,13553,0.7122,19029
2021-10-29,MUNJALSHOW,129.45,132.0,128.0,129.9,7753,0.5632,13766
2021-11-01,MUNJALSHOW,131.5,131.5,128.65,129.6,9182,0.6389,14371
2021-11-02,MUNJALSHOW,129.0,132.95,128.85,130.55,11008,0.4583,24018
2021-11-03,MUNJALSHOW,133.0,133.0,128.55,129.75,17252,0.5963,28933
2021-11-04,MUNJALSHOW,129.95,132.25,129.95,131.15,3965,0.7668,5171
2021-11-08,MUNJALSHOW,131.15,132.0,129.55,130.55,17521,0.7317,23946
2021-11-09,MUNJALSHOW,131.85,134.85,130.8,133.9,28586,0.5635,50730
2021-11-10,MUNJALSHOW,134.6,134.6,132.5,132.6,7722,0.5783,13352
2021-11-11,MUNJALSHOW,133.0,133.65,130.0,130.55,17013,0.6946,24494
2021-11-12,MUNJALSHOW,131.7,132.0,130.0,130.3,11529,0.5707,20200
2021-11-15,MUNJALSHOW,131.05,131.95,128.0,128.55,20833,0.5972999999999999,34876
2021-11-16,MUNJALSHOW,128.3,133.4,128.0,130.85,25236,0.41380000000000006,60982
2021-11-17,MUNJALSHOW,131.4,133.85,130.25,130.6,12354,0.344,35918
2021-11-18,MUNJALSHOW,130.6,131.95,128.0,128.9,12225,0.6401000000000001,19099
2021-11-22,MUNJALSHOW,128.0,129.2,125.9,126.9,16533,0.7759,21308
2021-11-23,MUNJALSHOW,126.0,129.7,123.05,126.55,11034,0.557,19809
2021-11-24,MUNJALSHOW,128.7,129.9,126.6,127.65,10986,0.5736,19154
2021-11-25,MUNJALSHOW,127.95,129.05,127.15,128.55,10330,0.5722,18054
2021-11-26,MUNJALSHOW,128.0,128.0,125.0,125.1,13311,0.6604000000000001,20155
2021-11-29,MUNJALSHOW,125.45,125.55,119.85,120.25,21268,0.5075000000000001,41909
2021-11-30,MUNJALSHOW,120.4,123.4,120.05,122.15,11363,0.48369999999999996,23491
2021-12-01,MUNJALSHOW,123.4,124.45,120.85,121.45,14187,0.6156,23046
2021-12-02,MUNJALSHOW,121.6,123.15,120.9,121.9,10708,0.49920000000000003,21451
2021-12-03,MUNJALSHOW,121.2,124.45,121.1,121.9,8838,0.4365,20248
2021-12-06,MUNJALSHOW,121.5,122.65,120.0,120.6,7244,0.5558,13033
2021-12-07,MUNJALSHOW,121.95,122.4,120.05,121.6,20746,0.5638000000000001,36799
2021-12-08,MUNJALSHOW,121.8,124.2,121.8,123.1,13179,0.5667,23256
2021-12-09,MUNJALSHOW,123.2,125.5,122.0,124.35,10047,0.5672,17713
2021-12-10,MUNJALSHOW,123.7,126.8,123.3,126.1,8410,0.6065,13866
2021-12-13,MUNJALSHOW,127.0,128.0,125.55,127.4,8035,0.5622,14291
2021-12-14,MUNJALSHOW,127.0,128.45,125.8,126.85,7145,0.6729999999999999,10616
2021-12-15,MUNJALSHOW,126.15,127.1,125.1,125.8,15820,0.5802,27268
2021-12-16,MUNJALSHOW,127.1,127.1,123.6,124.3,8244,0.5154,15995
2021-12-17,MUNJALSHOW,124.4,124.4,119.1,119.85,19718,0.7787000000000001,25323
2021-12-20,MUNJALSHOW,121.0,121.0,115.05,118.6,26552,0.6666,39833
2021-12-21,MUNJALSHOW,118.95,120.9,117.3,118.6,7376,0.5522,13357
2021-12-22,MUNJALSHOW,121.8,121.8,116.5,118.05,12598,0.5528000000000001,22789
2021-12-23,MUNJALSHOW,118.2,120.1,116.55,117.65,16930,0.663,25534
2021-12-24,MUNJALSHOW,118.2,119.65,116.0,118.3,11923,0.6401000000000001,18627
2021-12-27,MUNJALSHOW,118.2,119.2,117.0,118.75,9245,0.6434000000000001,14368
2021-12-28,MUNJALSHOW,118.05,122.0,117.05,120.55,16365,0.39740000000000003,41179
2021-12-29,MUNJALSHOW,120.7,123.8,120.0,121.2,19867,0.5870000000000001,33846
2021-12-30,MUNJALSHOW,121.45,122.85,118.2,119.25,14053,0.5619,25008
2021-12-31,MUNJALSHOW,118.0,121.9,118.0,121.3,7091,0.5594,12676
2022-01-03,MUNJALSHOW,119.7,123.9,119.7,122.65,19983,0.6442,31021
2022-01-04,MUNJALSHOW,122.95,127.8,122.95,127.0,37424,0.6104999999999999,61305
2022-01-05,MUNJALSHOW,128.95,133.0,125.25,131.25,56764,0.6208,91439
2022-01-06,MUNJALSHOW,132.0,132.0,128.15,129.7,16745,0.5051,33154
2022-01-07,MUNJALSHOW,130.05,133.9,128.95,129.65,22303,0.6186,36053
2022-01-10,MUNJALSHOW,129.95,134.5,129.65,132.6,22723,0.4712,48223
2022-01-11,MUNJALSHOW,132.05,136.5,130.0,133.55,29014,0.7211,40237
2022-01-12,MUNJALSHOW,136.0,137.7,133.0,134.25,45883,0.711,64531
2022-01-13,MUNJALSHOW,135.15,135.3,132.8,133.7,11163,0.515,21675
2022-01-14,MUNJALSHOW,132.2,135.5,130.05,131.25,36369,0.6731999999999999,54027
2022-01-17,MUNJALSHOW,131.3,137.0,131.25,135.75,41055,0.5843,70265
2022-01-18,MUNJALSHOW,135.8,137.0,132.15,132.85,11954,0.5463,21880
2022-01-19,MUNJALSHOW,132.85,139.2,131.85,137.05,54591,0.5702,95748
2022-01-20,MUNJALSHOW,137.1,139.0,135.4,136.3,15062,0.5246000000000001,28714
2022-01-21,MUNJALSHOW,136.45,137.9,131.0,131.95,16277,0.39840000000000003,40860
2022-01-24,MUNJALSHOW,132.2,132.5,123.25,125.05,35151,0.7481,31491
2022-01-25,MUNJALSHOW,125.45,127.0,123.5,124.55,50673,0.772,65639
2022-01-27,MUNJALSHOW,123.8,124.5,119.9,121.95,57038,0.7427,76798
2022-01-28,MUNJALSHOW,122.7,123.55,121.25,122.25,22836,0.7429000000000001,30737
2022-01-31,MUNJALSHOW,122.95,123.75,122.4,123.0,40824,0.8377,48733
2022-02-01,MUNJALSHOW,124.0,124.0,121.3,121.9,23162,0.7409,31261
2022-02-02,MUNJALSHOW,121.9,123.95,121.0,121.8,46969,0.813,57773
2022-02-03,MUNJALSHOW,124.5,127.35,121.9,123.95,174513,0.6062,287882
2022-02-04,MUNJALSHOW,126.0,126.0,121.75,122.2,45508,0.7451000000000001,61078
2022-02-07,MUNJALSHOW,122.5,122.6,120.0,120.25,28241,0.6698000000000001,42164
2022-02-08,MUNJALSHOW,120.3,121.2,117.15,119.3,43446,0.7769,55922
2022-02-09,MUNJALSHOW,116.1,117.75,115.0,115.95,62269,0.687,90636
2022-02-10,MUNJALSHOW,116.2,117.55,109.9,116.95,73848,0.49960000000000004,147809
2022-02-11,MUNJALSHOW,115.0,122.3,114.5,119.4,94656,0.49310000000000004,191977
2022-02-14,MUNJALSHOW,119.4,119.4,110.1,111.45,52077,0.6239,83464
2022-02-15,MUNJALSHOW,114.8,115.0,110.1,113.45,24096,0.5716,42159
2022-02-16,MUNJALSHOW,113.7,115.75,112.0,112.55,24509,0.6777,36165
2022-02-17,MUNJALSHOW,112.7,115.2,111.5,113.05,51339,0.8109999999999999,63302
2022-02-18,MUNJALSHOW,113.0,117.65,113.0,117.15,53149,0.805,66024
2022-02-21,MUNJALSHOW,117.2,118.75,112.7,114.0,14485,0.5944,24371
2022-02-22,MUNJALSHOW,112.15,112.3,108.2,109.8,18554,0.6745,27508
2022-02-23,MUNJALSHOW,110.95,112.7,110.85,111.25,7484,0.4361,17162
2022-02-24,MUNJALSHOW,107.0,109.1,103.15,104.4,26642,0.7195999999999999,37021
2022-02-25,MUNJALSHOW,102.2,107.4,102.2,105.85,40260,0.642,62707
2022-02-28,MUNJALSHOW,106.0,107.4,104.35,106.65,18336,0.6217,29495
2022-03-02,MUNJALSHOW,105.7,107.0,104.55,104.85,34922,0.7465,46779
2022-03-03,MUNJALSHOW,104.95,107.0,104.05,105.0,17985,0.741,24272
2022-03-04,MUNJALSHOW,104.0,107.5,102.05,103.95,25727,0.7279000000000001,35346
