Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,MURUDCERA,25.1,25.5,24.9,25.1,22337,0.7458,29949
2021-09-02,MURUDCERA,24.9,25.75,24.85,25.5,42240,0.662,63811
2021-09-03,MURUDCERA,25.4,26.5,25.4,25.85,26395,0.5065999999999999,52107
2021-09-06,MURUDCERA,26.0,26.35,25.2,25.35,27954,0.6252000000000001,44709
2021-09-07,MURUDCERA,25.75,25.75,25.0,25.1,22254,0.4823,46145
2021-09-08,MURUDCERA,25.0,26.95,25.0,25.6,55969,0.40590000000000004,137892
2021-09-09,MURUDCERA,25.75,26.15,25.2,25.65,27310,0.4987,54766
2021-09-13,MURUDCERA,25.75,25.75,25.25,25.4,26841,0.49710000000000004,53991
2021-09-14,MURUDCERA,25.6,26.0,25.3,25.65,39534,0.5622,70317
2021-09-15,MURUDCERA,25.9,26.65,25.3,25.95,55474,0.5387,102978
2021-09-16,MURUDCERA,25.9,26.4,25.55,25.7,37896,0.5089,74473
2021-09-17,MURUDCERA,25.75,25.95,24.7,25.05,35797,0.6408,55862
2021-09-20,MURUDCERA,25.05,25.4,24.15,24.8,45385,0.6981,65015
2021-09-21,MURUDCERA,24.55,25.25,24.2,24.35,36391,0.5382,67615
2021-09-22,MURUDCERA,24.55,25.35,24.55,25.1,27646,0.5352,51655
2021-09-23,MURUDCERA,25.0,27.35,25.0,26.0,143023,0.4523,316243
2021-09-24,MURUDCERA,26.4,26.4,25.5,25.95,42557,0.3737,113888
2021-09-27,MURUDCERA,26.15,26.65,25.6,25.9,25809,0.4891,52770
2021-09-28,MURUDCERA,25.9,26.15,25.2,25.65,15790,0.5252,30062
2021-09-29,MURUDCERA,25.5,25.9,25.4,25.6,31060,0.6072,51150
2021-09-30,MURUDCERA,25.8,25.85,25.15,25.35,36643,0.6365,57565
2021-10-01,MURUDCERA,24.95,25.75,24.5,25.55,39768,0.43170000000000003,92117
2021-10-04,MURUDCERA,26.0,26.0,25.45,25.65,41276,0.5848,70582
2021-10-05,MURUDCERA,25.55,26.35,25.45,25.7,45401,0.498,91170
2021-10-06,MURUDCERA,26.0,26.25,25.4,25.65,50629,0.5484,92321
2021-10-07,MURUDCERA,26.0,26.75,25.55,26.25,78409,0.5196000000000001,150899
2021-10-08,MURUDCERA,26.5,27.4,26.25,26.35,127870,0.47259999999999996,270572
2021-10-11,MURUDCERA,26.6,30.45,25.75,27.95,429340,0.34509999999999996,1244024
2021-10-12,MURUDCERA,28.15,29.85,28.0,28.8,183003,0.5015,364882
2021-10-13,MURUDCERA,29.4,29.5,27.9,28.1,106752,0.6688,159610
2021-10-14,MURUDCERA,28.1,28.9,27.25,27.65,81618,0.5485,148807
2021-10-18,MURUDCERA,28.1,29.0,27.5,28.05,64940,0.593,109502
2021-10-19,MURUDCERA,28.7,28.7,26.25,26.55,104353,0.5131,203364
2021-10-20,MURUDCERA,27.0,27.25,26.2,26.35,53785,0.5982000000000001,89914
2021-10-21,MURUDCERA,26.75,26.75,25.4,25.95,46678,0.654,71368
2021-10-22,MURUDCERA,26.0,27.0,25.25,25.55,38568,0.42340000000000005,91090
2021-10-25,MURUDCERA,26.15,26.15,25.0,25.35,26179,0.5724,45739
2021-10-26,MURUDCERA,25.75,25.9,25.1,25.5,24876,0.5058,49183
2021-10-27,MURUDCERA,25.35,27.7,25.35,26.2,67716,0.2868,236080
2021-10-28,MURUDCERA,26.85,26.85,25.5,25.6,33878,0.6542,51786
2021-10-29,MURUDCERA,25.5,25.8,24.9,25.2,45891,0.4901,93639
2021-11-01,MURUDCERA,25.3,25.8,25.3,25.4,15951,0.5792,27539
2021-11-02,MURUDCERA,25.7,26.4,25.55,25.7,23874,0.4855,49178
2021-11-03,MURUDCERA,25.85,25.95,25.3,25.45,35946,0.6498,55316
2021-11-04,MURUDCERA,25.25,25.75,25.25,25.5,18973,0.7183,26415
2021-11-08,MURUDCERA,25.9,26.2,25.5,25.6,26011,0.5284000000000001,49230
2021-11-09,MURUDCERA,25.6,25.85,25.1,25.65,31479,0.5615,56060
2021-11-10,MURUDCERA,25.6,26.5,25.3,25.8,40703,0.5668,71811
2021-11-11,MURUDCERA,25.65,26.9,25.65,26.0,32412,0.5331,60801
2021-11-12,MURUDCERA,26.4,28.9,26.05,27.55,142288,0.1721,827008
2021-11-15,MURUDCERA,28.0,28.3,26.4,26.6,74586,0.7218000000000001,103338
2021-11-16,MURUDCERA,26.4,26.65,26.05,26.15,31618,0.6318,50042
2021-11-17,MURUDCERA,25.8,26.2,25.6,25.65,22804,0.603,37818
2021-11-18,MURUDCERA,25.95,25.95,25.0,25.2,38576,0.7265,53097
2021-11-22,MURUDCERA,26.9,26.9,24.0,24.4,45687,0.6945,65787
2021-11-23,MURUDCERA,24.9,25.5,24.4,25.05,18580,0.5826,31892
2021-11-24,MURUDCERA,25.6,25.6,25.1,25.2,19865,0.5708,34804
2021-11-25,MURUDCERA,25.45,26.0,25.2,25.7,33329,0.6103000000000001,54613
2021-11-26,MURUDCERA,25.7,25.7,25.0,25.15,29264,0.6781,43157
2021-11-29,MURUDCERA,25.45,25.45,24.3,24.45,23498,0.6631999999999999,35430
2021-11-30,MURUDCERA,24.7,25.2,23.9,24.35,28034,0.5838,48020
2021-12-01,MURUDCERA,24.3,25.2,24.3,24.9,18193,0.7533,24152
2021-12-02,MURUDCERA,25.15,25.5,24.65,24.95,15070,0.5715,26368
2021-12-03,MURUDCERA,24.8,25.4,24.6,25.0,22417,0.5514,40655
2021-12-06,MURUDCERA,25.0,26.6,24.6,25.2,56330,0.5144,109496
2021-12-07,MURUDCERA,25.65,25.8,23.85,24.8,66775,0.5929,112620
2021-12-08,MURUDCERA,25.2,25.4,24.85,25.15,22398,0.5424,41291
2021-12-09,MURUDCERA,25.35,26.1,25.1,25.65,40865,0.615,66444
2021-12-10,MURUDCERA,25.8,28.5,25.5,27.15,117132,0.47090000000000004,248730
2021-12-13,MURUDCERA,27.8,27.9,26.4,26.9,106497,0.6668999999999999,159695
2021-12-14,MURUDCERA,27.25,27.25,25.9,26.55,55438,0.5519,100445
2021-12-15,MURUDCERA,26.9,29.15,26.5,27.8,304986,0.43210000000000004,705789
