Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,NATNLSTEEL,3.8,3.95,3.65,3.75,22860,0.8176000000000001,27960
2021-09-02,NATNLSTEEL,3.65,3.9,3.65,3.8,19264,0.8009999999999999,24051
2021-09-03,NATNLSTEEL,3.8,3.95,3.65,3.9,25959,0.7679,33806
2021-09-06,NATNLSTEEL,3.9,4.05,3.75,3.75,48300,0.7282,66330
2021-09-07,NATNLSTEEL,3.75,3.85,3.65,3.8,11040,0.8228,13417
2021-09-08,NATNLSTEEL,3.9,3.9,3.7,3.75,18067,0.6188,29197
2021-09-09,NATNLSTEEL,3.85,3.9,3.7,3.9,27193,0.5622,48373
2021-09-13,NATNLSTEEL,4.0,4.05,3.8,4.0,35808,0.9535,37553
2021-09-14,NATNLSTEEL,4.1,4.1,4.0,4.05,19815,0.8893000000000001,22282
2021-09-15,NATNLSTEEL,4.1,4.1,3.85,4.0,28590,0.5548,51532
2021-09-16,NATNLSTEEL,3.9,4.2,3.9,4.05,57092,0.6259,91217
2021-09-17,NATNLSTEEL,4.2,4.2,3.85,3.9,38067,0.8663,43944
2021-09-20,NATNLSTEEL,4.05,4.05,3.85,3.9,19311,0.946,20414
2021-09-21,NATNLSTEEL,4.05,4.05,3.85,3.85,11962,0.7981999999999999,14986
2021-09-22,NATNLSTEEL,4.0,4.0,3.85,3.9,16248,0.605,26856
2021-09-23,NATNLSTEEL,3.95,4.05,3.9,4.05,16693,0.9864,16923
2021-09-24,NATNLSTEEL,4.2,4.2,3.9,4.0,43474,0.8186,53107
2021-09-27,NATNLSTEEL,4.1,4.1,3.9,3.95,15963,0.8831,18076
2021-09-28,NATNLSTEEL,3.95,3.95,3.85,3.95,12200,0.9787,12465
2021-09-29,NATNLSTEEL,3.9,4.0,3.85,4.0,12113,0.5703,21241
2021-09-30,NATNLSTEEL,4.1,4.15,3.85,4.1,21404,0.4473,47856
2021-10-01,NATNLSTEEL,4.2,4.2,4.0,4.1,19245,0.7628,25231
2021-10-04,NATNLSTEEL,4.2,4.2,4.0,4.0,52275,0.7981,65497
2021-10-05,NATNLSTEEL,4.1,4.15,3.85,3.9,60196,0.7211,83474
2021-10-06,NATNLSTEEL,4.0,4.0,3.75,3.85,51522,0.7094,72624
2021-10-07,NATNLSTEEL,4.0,4.0,3.9,3.95,20743,0.8070999999999999,25702
2021-10-08,NATNLSTEEL,3.95,4.1,3.9,4.0,36358,0.7354,49439
2021-10-11,NATNLSTEEL,4.1,4.1,3.9,4.0,40763,0.9155,44523
2021-10-12,NATNLSTEEL,4.05,4.4,4.05,4.4,82895,0.9358,88584
2021-10-13,NATNLSTEEL,4.8,4.8,4.8,4.8,24258,0.9995999999999999,24268
2021-10-14,NATNLSTEEL,5.25,5.25,5.25,5.25,12662,1.0,12662
2021-10-18,NATNLSTEEL,5.5,5.5,5.5,5.5,30160,1.0,30160
2021-10-19,NATNLSTEEL,5.75,5.75,5.75,5.75,35998,0.9998,36004
2021-10-20,NATNLSTEEL,6.0,6.0,5.5,6.0,336291,0.5582,602420
2021-10-21,NATNLSTEEL,6.3,6.3,6.3,6.3,36894,1.0,36894
2021-10-22,NATNLSTEEL,6.6,6.6,6.35,6.6,92620,0.46049999999999996,201136
2022-01-10,NATNLSTEEL,6.8,6.8,6.8,6.8,12020,1.0,12020
