Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,NAVNETEDUL,103.25,106.3,100.5,101.2,317516,0.32130000000000003,988097
2021-09-02,NAVNETEDUL,101.0,102.0,100.0,100.25,109538,0.5345000000000001,204934
2021-09-03,NAVNETEDUL,100.1,101.4,99.6,100.05,83573,0.429,194813
2021-09-06,NAVNETEDUL,100.15,101.3,99.85,100.05,54081,0.5048,107135
2021-09-07,NAVNETEDUL,100.5,104.5,99.5,102.15,234620,0.40640000000000004,577361
2021-09-08,NAVNETEDUL,101.55,102.75,100.25,101.05,72074,0.4715,152874
2021-09-09,NAVNETEDUL,100.15,103.95,100.15,101.85,82559,0.4611,179064
2021-09-13,NAVNETEDUL,102.4,102.4,100.25,100.6,40953,0.5977,68520
2021-09-14,NAVNETEDUL,101.0,103.3,100.55,102.05,108619,0.5643,192488
2021-09-15,NAVNETEDUL,103.4,103.4,101.1,101.9,52325,0.513,101991
2021-09-16,NAVNETEDUL,102.85,104.4,101.25,103.45,135545,0.5159,262734
2021-09-17,NAVNETEDUL,104.6,109.9,102.0,102.9,398480,0.402,991237
2021-09-20,NAVNETEDUL,101.5,103.9,100.3,100.75,116949,0.47350000000000003,247011
2021-09-21,NAVNETEDUL,100.05,101.65,99.0,100.1,207443,0.6531999999999999,317571
2021-09-22,NAVNETEDUL,99.75,103.95,99.75,100.85,436233,0.4228,1031686
2021-09-23,NAVNETEDUL,102.75,102.75,99.8,100.4,130801,0.5826,224520
2021-09-24,NAVNETEDUL,101.1,103.9,100.0,103.05,331463,0.48990000000000006,676601
2021-09-27,NAVNETEDUL,104.6,107.55,104.2,106.55,539539,0.5569,968845
2021-09-28,NAVNETEDUL,108.3,120.95,107.1,112.55,1208184,0.24559999999999998,4918441
2021-09-29,NAVNETEDUL,111.2,116.7,111.0,112.95,206017,0.22460000000000002,917455
2021-09-30,NAVNETEDUL,114.2,116.55,111.1,111.65,172476,0.3688,467719
2021-10-01,NAVNETEDUL,111.0,113.3,110.0,111.9,119360,0.33899999999999997,352085
2021-10-04,NAVNETEDUL,115.0,116.6,112.2,113.45,244896,0.4892,500580
2021-10-05,NAVNETEDUL,114.7,117.0,111.0,113.5,248224,0.5813,427020
2021-10-06,NAVNETEDUL,112.7,115.0,111.1,111.55,328990,0.5955,552443
2021-10-07,NAVNETEDUL,111.95,116.9,111.95,115.2,236023,0.49729999999999996,474646
2021-10-08,NAVNETEDUL,115.6,119.1,115.35,117.5,283580,0.4025,704541
2021-10-11,NAVNETEDUL,118.3,120.8,117.2,119.3,421090,0.4598,915811
2021-10-12,NAVNETEDUL,119.25,121.55,117.95,119.75,203080,0.4424,458999
2021-10-13,NAVNETEDUL,120.65,120.9,115.4,115.8,169026,0.4518,374143
2021-10-14,NAVNETEDUL,116.95,118.4,115.0,115.35,123029,0.4669,263488
2021-10-18,NAVNETEDUL,116.0,116.25,110.75,111.45,144591,0.5018,288155
2021-10-19,NAVNETEDUL,110.65,115.45,110.05,110.9,128461,0.3519,365049
2021-10-20,NAVNETEDUL,110.0,110.85,106.5,107.75,86897,0.34500000000000003,251866
2021-10-21,NAVNETEDUL,108.05,110.65,106.5,106.95,85193,0.3811,223562
2021-10-22,NAVNETEDUL,107.1,108.55,104.1,105.1,65866,0.4139,159126
2021-10-25,NAVNETEDUL,104.8,110.8,101.45,106.1,62044,0.37920000000000004,163638
2021-10-26,NAVNETEDUL,107.6,108.45,104.3,105.0,86725,0.4068,213173
2021-10-27,NAVNETEDUL,106.0,108.9,103.1,107.6,105032,0.4158,252632
2021-10-28,NAVNETEDUL,107.6,108.55,105.0,106.35,93270,0.4911,189904
2021-10-29,NAVNETEDUL,106.4,108.25,102.3,105.4,158225,0.5099,310301
2021-11-01,NAVNETEDUL,103.0,106.85,103.0,104.35,70171,0.5228,134226
2021-11-02,NAVNETEDUL,104.35,108.65,104.35,107.4,70156,0.5977,117367
2021-11-03,NAVNETEDUL,108.95,108.95,106.25,107.05,47075,0.5024000000000001,93698
2021-11-04,NAVNETEDUL,107.5,109.9,107.5,108.3,27012,0.535,50490
2021-11-08,NAVNETEDUL,108.6,109.0,106.75,107.0,36939,0.5534,66744
2021-11-09,NAVNETEDUL,106.7,107.85,106.1,106.3,49843,0.6289,79249
2021-11-10,NAVNETEDUL,106.0,107.75,105.5,106.9,49777,0.48560000000000003,102506
2021-11-11,NAVNETEDUL,106.9,113.95,106.15,111.5,312151,0.5943,525279
2021-11-12,NAVNETEDUL,114.6,114.6,110.0,111.7,125334,0.4536,276280
2021-11-15,NAVNETEDUL,112.8,114.8,107.95,113.0,183538,0.5408,339381
2021-11-16,NAVNETEDUL,114.5,116.0,110.15,111.3,69862,0.3841,181893
2021-11-17,NAVNETEDUL,112.4,113.05,109.5,110.2,43488,0.42090000000000005,103317
2021-11-18,NAVNETEDUL,112.45,112.45,106.1,107.45,71208,0.3874,183799
2021-11-22,NAVNETEDUL,106.45,107.25,103.9,104.65,104450,0.5502,189840
2021-11-23,NAVNETEDUL,103.15,106.5,103.15,103.9,311078,0.7770999999999999,400317
2021-11-24,NAVNETEDUL,104.85,105.8,102.6,103.5,69665,0.5318,130992
2021-11-25,NAVNETEDUL,104.0,104.7,102.5,103.05,69693,0.5803,120101
2021-11-26,NAVNETEDUL,102.1,104.5,99.4,100.3,122615,0.4376,280178
2021-11-29,NAVNETEDUL,97.15,101.35,94.2,100.1,112560,0.5422,207589
2021-11-30,NAVNETEDUL,99.3,102.8,99.3,100.1,52707,0.3918,134518
2021-12-01,NAVNETEDUL,100.1,101.7,98.75,99.55,88415,0.5365,164812
2021-12-02,NAVNETEDUL,100.9,100.9,99.1,100.0,390808,0.8727,447812
2021-12-03,NAVNETEDUL,99.75,100.7,99.45,100.2,687799,0.84,818853
2021-12-06,NAVNETEDUL,99.75,101.45,99.5,100.0,69134,0.44450000000000006,155516
2021-12-07,NAVNETEDUL,100.0,101.35,98.55,99.25,74164,0.4852,152867
2021-12-08,NAVNETEDUL,99.3,100.85,96.9,98.3,89872,0.4939,181982
2021-12-09,NAVNETEDUL,99.9,99.9,97.65,98.5,74860,0.5125,146058
2021-12-10,NAVNETEDUL,99.2,102.1,98.15,99.1,242549,0.7127,340327
