Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,NECCLTD,19.4,19.8,18.5,18.9,181982,0.8416,216221
2021-09-02,NECCLTD,19.05,19.3,18.95,19.05,115927,0.8639,134185
2021-09-03,NECCLTD,19.3,20.0,18.95,20.0,1263263,0.9231,1368526
2021-09-06,NECCLTD,20.5,21.0,19.15,19.65,641016,0.4629,1384911
2021-09-07,NECCLTD,19.7,19.7,18.75,18.85,84436,0.7336,115103
2021-09-08,NECCLTD,19.0,19.25,18.25,18.35,98407,0.7698,127829
2021-09-09,NECCLTD,19.0,19.25,18.5,19.25,472087,0.8061,585651
2021-09-13,NECCLTD,20.0,20.2,19.25,20.2,1004051,0.7733,1298451
2021-09-14,NECCLTD,20.5,20.75,20.0,20.4,638205,0.5758,1108386
2021-09-15,NECCLTD,20.45,21.4,20.45,20.55,640169,0.7229000000000001,885595
2021-09-16,NECCLTD,20.65,21.55,20.4,21.55,615827,0.7434000000000001,828361
2021-09-17,NECCLTD,21.8,21.8,20.5,20.5,492586,0.8606,572349
2021-09-20,NECCLTD,19.5,19.5,19.5,19.5,61375,0.9609000000000001,63875
2021-09-21,NECCLTD,18.8,19.4,18.55,18.75,606877,0.7056,860041
2021-09-22,NECCLTD,19.15,19.25,18.25,19.0,482922,0.7395,653004
2021-09-23,NECCLTD,19.05,19.35,18.1,18.6,451678,0.7868,574087
2021-09-24,NECCLTD,18.7,18.95,18.15,18.35,97329,0.7974,122053
2021-09-27,NECCLTD,18.45,19.25,18.05,18.45,161482,0.5483,294494
2021-09-28,NECCLTD,18.6,19.35,18.35,19.1,574215,0.6182,928907
2021-09-29,NECCLTD,19.0,19.4,18.4,18.55,152594,0.7340000000000001,207897
2021-09-30,NECCLTD,19.0,19.0,18.1,18.45,261053,0.8151999999999999,320227
2021-10-01,NECCLTD,18.85,18.85,18.3,18.4,449955,0.7534000000000001,597208
2021-10-04,NECCLTD,18.5,19.25,18.35,19.1,870198,0.8087000000000001,1076099
2021-10-05,NECCLTD,19.2,19.45,19.1,19.35,400192,0.7615000000000001,525520
2021-10-06,NECCLTD,19.8,19.8,18.75,19.2,108160,0.7864,137542
2021-10-07,NECCLTD,19.85,19.85,18.8,18.9,66370,0.5457,121618
2021-10-08,NECCLTD,19.05,19.3,18.85,19.0,51719,0.5692,90862
2021-10-11,NECCLTD,19.05,19.35,18.9,18.95,77023,0.7954000000000001,96835
2021-10-12,NECCLTD,19.0,19.55,18.8,18.85,80278,0.4865,164997
2021-10-13,NECCLTD,19.0,19.15,18.8,18.95,32979,0.7436,44351
2021-10-14,NECCLTD,19.2,19.2,18.8,18.9,77533,0.8420000000000001,92077
2021-10-18,NECCLTD,19.0,20.75,18.8,20.75,717378,0.7792,920713
2021-10-19,NECCLTD,20.7,21.9,19.2,19.65,428293,0.6193,691588
2021-10-20,NECCLTD,19.95,20.15,19.1,19.5,88421,0.7031999999999999,125742
2021-10-21,NECCLTD,19.9,20.05,19.45,19.65,61703,0.7484000000000001,82443
2021-10-22,NECCLTD,19.85,19.85,18.25,18.8,279966,0.8411,332869
2021-10-25,NECCLTD,19.0,19.75,18.9,18.9,339995,0.8397,404892
2021-10-26,NECCLTD,19.3,19.5,18.9,19.05,433405,0.8362999999999999,518247
2021-10-27,NECCLTD,19.9,19.9,18.6,18.9,86588,0.8286,104496
2021-10-28,NECCLTD,19.05,19.35,18.8,19.0,44919,0.725,61960
2021-10-29,NECCLTD,19.3,19.3,18.7,18.75,121066,0.726,166747
2021-11-01,NECCLTD,18.9,19.1,18.8,18.85,43031,0.8772,49056
2021-11-02,NECCLTD,18.9,19.5,18.9,19.15,104220,0.7659,136079
2021-11-03,NECCLTD,19.15,19.4,18.95,19.0,35558,0.9044,39316
2021-11-04,NECCLTD,19.1,19.4,19.0,19.25,109471,0.8962000000000001,122145
2021-11-08,NECCLTD,19.45,19.6,18.6,19.0,163692,0.6591,248356
2021-11-09,NECCLTD,19.0,19.25,18.9,18.9,194952,0.7440000000000001,262028
2021-11-10,NECCLTD,19.0,19.2,18.95,19.05,94371,0.6151,153419
2021-11-11,NECCLTD,19.25,19.35,19.0,19.0,188502,0.7681,245410
2021-11-12,NECCLTD,19.25,19.4,18.9,19.1,144111,0.6697,215176
2021-11-15,NECCLTD,19.15,19.3,18.95,18.95,67562,0.8026000000000001,84184
2021-11-16,NECCLTD,19.1,19.15,18.95,18.95,43924,0.9015000000000001,48725
2021-11-17,NECCLTD,19.15,19.15,18.8,18.85,100323,0.9348000000000001,107322
