Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,NESCO,574.95,622.0,569.05,610.05,77693,0.2717,285909
2021-09-02,NESCO,607.0,626.0,605.6,613.8,39227,0.3084,127203
2021-09-03,NESCO,615.4,622.5,595.55,602.0,31383,0.4172,75221
2021-09-06,NESCO,605.4,613.0,599.0,600.6,17875,0.3945,45307
2021-09-07,NESCO,601.2,609.0,590.35,592.35,19276,0.40740000000000004,47314
2021-09-08,NESCO,582.45,597.95,582.45,594.2,10072,0.4743,21236
2021-09-09,NESCO,596.0,597.1,588.05,592.75,17270,0.509,33929
2021-09-13,NESCO,592.75,606.05,592.75,596.15,21543,0.4972,43325
2021-09-14,NESCO,597.25,604.65,590.6,594.9,23706,0.5104,46445
2021-09-15,NESCO,597.7,624.35,594.55,612.45,72778,0.42710000000000004,170418
2021-09-16,NESCO,617.85,618.6,593.0,598.7,68510,0.5147,133103
2021-09-17,NESCO,601.75,605.0,590.0,598.65,40203,0.5329,75445
2021-09-20,NESCO,604.45,604.45,579.0,586.6,35345,0.527,67062
2021-09-21,NESCO,582.05,592.0,574.0,585.95,17256,0.3636,47464
2021-09-22,NESCO,583.5,627.55,583.5,619.0,110882,0.2553,434239
2021-09-23,NESCO,620.5,645.0,612.5,616.3,113355,0.32880000000000004,344790
2021-09-24,NESCO,620.0,621.95,605.0,610.5,37791,0.46520000000000006,81228
2021-09-27,NESCO,613.6,624.85,606.1,609.1,72034,0.5779,124648
2021-09-28,NESCO,612.0,620.0,607.0,613.65,34947,0.5468999999999999,63900
2021-09-29,NESCO,613.7,614.55,608.0,610.95,15878,0.5083,31236
2021-09-30,NESCO,608.05,617.05,604.0,606.9,22608,0.5377000000000001,42049
2021-10-01,NESCO,605.5,615.85,596.1,600.35,20993,0.43450000000000005,48312
2021-10-04,NESCO,606.0,626.7,601.45,611.0,48664,0.3188,152669
2021-10-05,NESCO,612.85,620.0,604.6,615.6,56616,0.48240000000000005,117368
2021-10-06,NESCO,619.0,674.0,618.9,645.5,304426,0.233,1306823
2021-10-07,NESCO,660.0,684.0,654.05,660.3,156830,0.2809,558306
2021-10-08,NESCO,666.0,675.85,652.0,662.3,63277,0.40750000000000003,155268
2021-10-11,NESCO,655.1,675.0,651.25,654.5,40771,0.4773,85420
2021-10-12,NESCO,657.8,669.35,646.5,653.75,46681,0.48810000000000003,95634
2021-10-13,NESCO,655.2,665.0,651.0,652.85,22553,0.4827,46726
2021-10-14,NESCO,662.4,687.15,652.0,667.0,117435,0.4106,286040
2021-10-18,NESCO,680.0,683.0,653.5,657.95,49001,0.4508,108687
2021-10-19,NESCO,678.85,678.85,637.05,643.75,31209,0.4765,65496
2021-10-20,NESCO,644.9,645.0,622.0,629.4,27517,0.38810000000000006,70906
2021-10-21,NESCO,632.55,637.8,623.0,626.0,14148,0.36479999999999996,38780
2021-10-22,NESCO,626.0,634.5,611.0,621.75,19909,0.4072,48887
2021-10-25,NESCO,633.0,633.0,594.95,607.75,25535,0.4225,60443
2021-10-26,NESCO,616.0,625.0,609.9,614.05,13270,0.36729999999999996,36130
2021-10-27,NESCO,617.15,630.0,612.0,622.15,16646,0.4313,38595
2021-10-28,NESCO,618.0,625.3,603.25,610.05,11756,0.44310000000000005,26534
2021-10-29,NESCO,610.0,616.75,600.05,607.6,7702,0.3697,20831
2021-11-01,NESCO,617.7,617.7,603.1,609.1,20631,0.4764,43304
2021-11-02,NESCO,610.05,635.0,610.0,615.05,27947,0.5058,55257
2021-11-03,NESCO,620.0,635.0,616.95,621.9,25589,0.5021,50966
2021-11-04,NESCO,625.0,633.0,623.75,626.9,9534,0.7284999999999999,13087
2021-11-08,NESCO,626.0,629.75,612.35,616.05,26364,0.5637,46769
2021-11-09,NESCO,619.15,639.9,618.95,624.15,20568,0.4529,45415
2021-11-10,NESCO,627.0,649.4,625.0,636.75,33744,0.2621,128768
2021-11-11,NESCO,635.6,642.0,625.5,636.4,12710,0.4255,29874
2021-11-12,NESCO,644.9,644.9,624.5,627.25,21878,0.4693,46619
2021-11-15,NESCO,635.0,645.05,616.0,621.3,19071,0.48240000000000005,39535
2021-11-16,NESCO,624.45,632.65,622.45,629.4,13622,0.5653,24095
2021-11-17,NESCO,632.55,638.8,619.0,630.3,24397,0.47490000000000004,51377
2021-11-18,NESCO,625.0,639.4,607.25,621.6,28396,0.4676,60730
2021-11-22,NESCO,624.75,624.75,601.0,604.5,31338,0.5875,53339
2021-11-23,NESCO,602.0,625.0,593.15,619.5,17545,0.44060000000000005,39824
2021-11-24,NESCO,622.6,631.75,605.2,607.2,24866,0.4437,56048
2021-11-25,NESCO,616.3,616.3,603.65,611.2,10625,0.4557,23318
2021-11-26,NESCO,602.55,614.0,589.3,593.0,22563,0.5587,40385
2021-11-29,NESCO,595.0,595.0,570.0,587.6,33410,0.5356000000000001,62376
2021-11-30,NESCO,589.0,600.0,573.4,591.05,24188,0.5121,47230
2021-12-01,NESCO,581.1,598.0,581.1,595.55,11973,0.4475,26754
2021-12-02,NESCO,592.25,611.0,592.25,605.3,28112,0.6613,42513
2021-12-03,NESCO,608.25,609.65,593.45,599.95,12374,0.45130000000000003,27420
2021-12-06,NESCO,599.95,600.4,590.0,592.7,22043,0.5888,37435
2021-12-07,NESCO,595.7,606.2,592.7,597.05,36675,0.7425,49391
2021-12-08,NESCO,600.05,610.0,596.65,603.1,29670,0.7033,42187
2021-12-09,NESCO,605.0,609.85,598.55,600.7,11056,0.5292,20892
2021-12-10,NESCO,595.7,605.65,594.65,595.75,20463,0.6451000000000001,31721
2021-12-13,NESCO,598.75,604.7,596.25,600.1,33311,0.7549,44126
2021-12-14,NESCO,589.7,615.0,589.7,606.8,22891,0.4732,48378
2021-12-15,NESCO,609.45,615.0,601.0,603.4,24680,0.6807,36259
2021-12-16,NESCO,606.4,606.45,587.05,594.95,27703,0.5576,49679
2021-12-17,NESCO,591.15,597.8,586.0,590.4,17395,0.5956,29208
2021-12-20,NESCO,582.4,593.0,556.25,562.35,33328,0.5945,56057
2021-12-21,NESCO,561.1,587.0,561.1,569.45,14731,0.509,28942
2021-12-22,NESCO,572.3,588.9,568.0,575.7,21545,0.4823,44669
2021-12-23,NESCO,578.6,586.95,571.0,573.0,25202,0.5813,43355
2021-12-24,NESCO,572.0,578.0,566.0,571.35,19442,0.5884,33044
2021-12-27,NESCO,565.0,577.85,550.0,574.95,96458,0.8941,107880
2021-12-28,NESCO,577.0,590.1,577.0,583.5,14409,0.52,27707
2021-12-29,NESCO,586.45,595.0,576.1,581.7,10990,0.46490000000000004,23639
2021-12-30,NESCO,585.7,585.7,570.0,579.2,9029,0.39630000000000004,22784
2021-12-31,NESCO,576.0,592.6,576.0,582.85,12544,0.46799999999999997,26802
2022-01-03,NESCO,580.0,589.6,576.05,581.95,12769,0.5309,24053
2022-01-04,NESCO,580.0,594.85,572.05,575.1,27300,0.4894,55788
2022-01-05,NESCO,578.0,585.0,576.4,579.6,11881,0.5315,22355
2022-01-06,NESCO,577.0,583.55,569.8,572.85,17347,0.5804,29887
2022-01-07,NESCO,573.0,577.95,570.35,572.55,28061,0.6890999999999999,40722
2022-01-10,NESCO,570.15,583.0,566.7,571.2,21169,0.5015999999999999,42207
2022-01-11,NESCO,570.0,583.9,566.9,570.85,16965,0.4565,37166
2022-01-12,NESCO,575.0,581.0,572.85,577.85,22327,0.6666,33492
2022-01-13,NESCO,580.05,621.0,577.1,609.25,60095,0.2965,202715
