Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-13,NEULANDLAB,1824.0,1847.9,1703.6,1722.15,26063,0.6419,40600
2021-09-14,NEULANDLAB,1786.0,1786.0,1701.0,1731.35,14692,0.6864,21403
2021-09-15,NEULANDLAB,1745.0,1756.7,1651.15,1679.65,19685,0.7652,25726
2021-09-16,NEULANDLAB,1712.0,1712.0,1645.25,1652.25,8672,0.6737000000000001,12873
2021-09-17,NEULANDLAB,1689.95,1689.95,1575.0,1614.9,17933,0.6775,26469
2021-09-20,NEULANDLAB,1614.0,1646.95,1577.0,1585.1,16980,0.696,24395
2021-09-21,NEULANDLAB,1576.0,1600.1,1556.8,1573.05,24463,0.8338,29339
2021-09-22,NEULANDLAB,1600.0,1610.0,1563.05,1570.0,14173,0.755,18773
2021-09-23,NEULANDLAB,1588.0,1597.25,1554.95,1564.75,20733,0.7732,26813
2021-09-24,NEULANDLAB,1570.0,1588.0,1530.1,1537.4,13941,0.7584000000000001,18382
2021-09-27,NEULANDLAB,1520.0,1538.0,1470.0,1496.8,29918,0.8038,37220
2021-09-28,NEULANDLAB,1490.0,1530.0,1480.0,1498.0,18832,0.7874,23916
2021-09-29,NEULANDLAB,1495.0,1572.9,1490.15,1569.1,10459,0.5409,19335
2021-09-30,NEULANDLAB,1609.0,1620.0,1539.95,1555.75,8899,0.6618,13447
2021-10-01,NEULANDLAB,1590.0,1590.0,1512.05,1523.9,7665,0.6999,10952
2021-10-04,NEULANDLAB,1523.9,1580.0,1502.45,1558.95,12479,0.7043,17719
2021-10-05,NEULANDLAB,1558.95,1558.95,1509.95,1520.1,14951,0.8227,18174
2021-10-06,NEULANDLAB,1529.1,1547.65,1503.1,1510.6,8078,0.7291,11080
2021-10-07,NEULANDLAB,1505.0,1538.8,1505.0,1516.85,11684,0.8023,14564
2021-10-08,NEULANDLAB,1519.25,1525.0,1500.0,1502.45,27406,0.8206,33397
2021-10-11,NEULANDLAB,1502.45,1577.55,1500.0,1575.2,24378,0.7523000000000001,32403
2021-10-12,NEULANDLAB,1600.0,1653.95,1581.05,1653.95,22767,0.7443000000000001,30587
2021-10-13,NEULANDLAB,1700.0,1736.6,1682.05,1736.6,25225,0.8390000000000001,30066
2021-10-14,NEULANDLAB,1770.0,1823.4,1740.0,1823.4,56156,0.7464000000000001,75237
2021-10-18,NEULANDLAB,1860.0,1874.0,1732.25,1732.25,21800,0.5659000000000001,38525
2021-10-19,NEULANDLAB,1720.0,1730.0,1645.65,1648.6,30461,0.7147,42618
2021-10-20,NEULANDLAB,1649.0,1699.5,1567.0,1580.95,14765,0.6211,23774
2021-10-21,NEULANDLAB,1628.0,1644.0,1502.0,1554.2,14283,0.5829,24504
2021-10-22,NEULANDLAB,1580.0,1631.9,1511.0,1631.9,77201,0.91,84837
2021-10-25,NEULANDLAB,1675.0,1694.0,1564.1,1622.75,29436,0.7356999999999999,40010
2021-10-26,NEULANDLAB,1622.75,1677.55,1622.75,1642.35,4719,0.6006,7857
2021-10-27,NEULANDLAB,1633.0,1715.75,1625.35,1661.9,51748,0.8994,57534
2021-10-28,NEULANDLAB,1678.0,1686.25,1579.0,1590.4,19345,0.7773000000000001,24887
2021-10-29,NEULANDLAB,1590.4,1669.9,1531.55,1669.9,28820,0.6498,44349
2021-11-01,NEULANDLAB,1740.0,1740.0,1670.0,1677.15,24418,0.6416,38057
2021-11-02,NEULANDLAB,1695.0,1695.0,1630.0,1658.1,18516,0.7098000000000001,26087
2021-11-03,NEULANDLAB,1684.0,1690.0,1640.0,1652.4,9341,0.7243,12897
2021-11-04,NEULANDLAB,1693.0,1715.0,1650.0,1688.65,6056,0.7591,7978
2021-11-08,NEULANDLAB,1699.0,1747.75,1656.0,1667.0,17192,0.6731999999999999,25538
2021-11-09,NEULANDLAB,1700.0,1700.0,1648.85,1655.5,12836,0.6398,20061
2021-11-10,NEULANDLAB,1653.0,1670.0,1608.0,1653.55,18145,0.6606000000000001,27466
2021-11-11,NEULANDLAB,1660.0,1674.35,1626.3,1650.35,10090,0.6994,14426
2021-11-12,NEULANDLAB,1646.0,1680.0,1625.0,1644.85,25865,0.7676999999999999,33692
2021-11-15,NEULANDLAB,1625.25,1667.0,1616.0,1657.15,15288,0.49590000000000006,30827
2021-11-16,NEULANDLAB,1655.15,1683.95,1625.55,1676.35,9939,0.47950000000000004,20728
2021-11-17,NEULANDLAB,1695.0,1705.0,1631.05,1687.7,14145,0.45520000000000005,31074
2021-11-18,NEULANDLAB,1662.0,1703.0,1662.0,1690.05,25458,0.5141,49518
2021-11-22,NEULANDLAB,1699.0,1699.95,1625.0,1666.15,32472,0.4758,68254
2021-11-23,NEULANDLAB,1650.0,1679.75,1611.2,1627.45,17410,0.5893,29546
2021-11-24,NEULANDLAB,1670.0,1684.95,1630.0,1669.2,7062,0.44880000000000003,15736
2021-11-25,NEULANDLAB,1684.4,1687.75,1639.9,1665.95,10633,0.5575,19074
2021-11-26,NEULANDLAB,1641.1,1749.0,1641.1,1681.5,25522,0.4679,54549
2021-11-29,NEULANDLAB,1681.0,1710.0,1613.15,1693.5,16926,0.4877,34708
2021-11-30,NEULANDLAB,1675.0,1777.0,1674.95,1746.75,37704,0.6843000000000001,55099
2021-12-01,NEULANDLAB,1750.0,1834.0,1746.0,1759.4,44079,0.647,68128
2021-12-02,NEULANDLAB,1768.45,1847.35,1760.0,1812.85,24183,0.4277,56541
2021-12-03,NEULANDLAB,1820.2,1838.9,1763.45,1787.6,14174,0.4798,29544
2021-12-06,NEULANDLAB,1804.7,1815.25,1755.0,1768.65,11932,0.4718,25293
2021-12-07,NEULANDLAB,1798.0,1838.0,1717.75,1746.25,19980,0.2781,71853
2021-12-08,NEULANDLAB,1755.0,1818.8,1746.0,1754.45,9635,0.474,20327
2021-12-09,NEULANDLAB,1760.85,1785.0,1726.05,1731.4,8518,0.4961,17170
2021-12-10,NEULANDLAB,1739.05,1754.5,1705.5,1715.45,6087,0.6309,9648
2021-12-13,NEULANDLAB,1720.0,1749.9,1651.0,1660.05,13217,0.5942000000000001,22244
2021-12-14,NEULANDLAB,1660.0,1680.8,1595.0,1601.1,23369,0.6785,34440
2021-12-15,NEULANDLAB,1588.0,1602.3,1560.0,1582.65,18794,0.6356,29568
2021-12-16,NEULANDLAB,1622.9,1622.9,1579.9,1591.05,10909,0.5986,18223
2021-12-17,NEULANDLAB,1609.0,1629.2,1558.3,1614.15,14748,0.6178,23872
2021-12-20,NEULANDLAB,1614.15,1626.7,1468.9,1607.05,21017,0.5700000000000001,36872
2021-12-21,NEULANDLAB,1624.1,1669.9,1600.05,1647.05,7128,0.42490000000000006,16776
2021-12-22,NEULANDLAB,1666.0,1672.45,1606.0,1617.45,10339,0.5835,17720
2021-12-23,NEULANDLAB,1625.0,1648.0,1562.2,1579.95,39599,0.5775,68574
2021-12-24,NEULANDLAB,1619.9,1619.9,1530.0,1553.05,7348,0.6034,12178
2021-12-27,NEULANDLAB,1572.0,1572.0,1524.45,1536.2,9908,0.6339,15629
