Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-10-11,NEWGEN,622.0,627.7,601.0,606.5,80853,0.6684,120969
2021-10-12,NEWGEN,608.0,611.4,590.0,595.7,39091,0.7329000000000001,53341
2021-10-13,NEWGEN,595.5,603.95,586.0,591.25,29809,0.7132,41797
2021-10-14,NEWGEN,601.95,612.0,587.0,602.7,55573,0.649,85626
2021-10-18,NEWGEN,614.45,620.0,595.0,616.3,98413,0.7583,129776
2021-10-19,NEWGEN,616.0,645.0,610.45,630.55,208272,0.658,316545
2021-10-20,NEWGEN,630.55,637.9,601.0,603.5,67991,0.6717000000000001,101216
2021-10-21,NEWGEN,615.6,617.0,584.2,588.25,44898,0.6462000000000001,69478
2021-10-22,NEWGEN,589.6,597.95,575.45,589.6,45319,0.6406999999999999,70739
2021-10-25,NEWGEN,593.0,619.05,562.0,596.55,102725,0.43570000000000003,235786
2021-10-26,NEWGEN,616.0,616.0,585.3,588.7,60004,0.6133,97835
2021-10-27,NEWGEN,588.7,594.0,560.0,577.7,37517,0.6096,61539
2021-10-28,NEWGEN,582.0,592.15,566.9,570.55,33984,0.6922,49095
2021-10-29,NEWGEN,570.55,585.0,562.0,566.65,31232,0.5943,52549
2021-11-01,NEWGEN,584.0,585.0,567.0,579.65,88879,0.8518000000000001,104344
2021-11-02,NEWGEN,587.0,590.75,575.0,576.3,24355,0.6964,34973
2021-11-03,NEWGEN,585.95,585.95,570.0,571.85,22438,0.6713,33426
2021-11-04,NEWGEN,592.0,592.0,576.45,582.0,9334,0.48700000000000004,19166
2021-11-08,NEWGEN,589.7,589.7,567.15,569.95,82236,0.7972,103162
2021-11-09,NEWGEN,578.8,578.8,572.0,575.65,21370,0.6485,32954
2021-11-10,NEWGEN,578.9,598.0,569.0,573.5,35937,0.653,55033
2021-11-11,NEWGEN,584.0,584.0,570.0,572.9,29782,0.6585,45225
2021-11-12,NEWGEN,575.2,583.85,570.0,576.4,30251,0.6844,44202
2021-11-15,NEWGEN,576.4,586.4,569.65,579.15,43075,0.6185,69649
2021-11-16,NEWGEN,581.0,614.8,576.8,611.85,139088,0.4951,280936
2021-11-17,NEWGEN,617.4,634.8,600.0,607.4,96401,0.5524,174511
2021-11-18,NEWGEN,607.4,617.7,590.1,594.75,36180,0.5211,69425
2021-11-22,NEWGEN,595.0,595.0,547.35,562.05,71041,0.6545000000000001,108536
2021-11-23,NEWGEN,559.0,578.0,548.0,565.8,47808,0.5700000000000001,83878
2021-11-24,NEWGEN,573.6,581.05,563.05,572.25,37849,0.5688000000000001,66538
2021-11-25,NEWGEN,567.2,585.7,567.2,582.25,30785,0.63,48864
2021-11-26,NEWGEN,582.7,583.9,559.05,563.15,37854,0.5886,64316
2021-11-29,NEWGEN,540.0,551.75,506.85,519.45,216287,0.7916,273242
