Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,NH,544.9,544.9,517.25,520.8,43422,0.37340000000000007,116298
2021-09-02,NH,516.0,537.55,511.0,519.2,59712,0.2666,223935
2021-09-03,NH,521.5,528.0,512.3,514.75,23460,0.33990000000000004,69021
2021-09-06,NH,517.35,532.7,517.35,526.4,36673,0.3568,102770
2021-09-07,NH,526.4,526.4,514.7,518.75,12367,0.41020000000000006,30147
2021-09-08,NH,524.0,530.0,516.25,525.85,17979,0.33549999999999996,53582
2021-09-09,NH,527.5,543.35,522.3,538.7,76746,0.3385,226714
2021-09-13,NH,542.0,543.25,525.0,526.5,49079,0.5448,90091
2021-09-14,NH,533.9,562.0,532.0,545.05,642287,0.43520000000000003,1475861
2021-09-15,NH,549.0,549.0,539.5,545.15,52987,0.451,117489
2021-09-16,NH,545.15,558.0,535.15,538.95,148013,0.5003,295868
2021-09-17,NH,535.05,543.3,530.55,532.8,85769,0.5974,143573
2021-09-20,NH,528.0,554.75,520.5,526.95,52283,0.1931,270746
2021-09-21,NH,522.15,537.3,517.75,531.2,34726,0.4062,85488
2021-09-22,NH,533.0,542.95,526.35,530.8,30293,0.43060000000000004,70351
2021-09-23,NH,527.6,559.7,527.6,553.3,505851,0.755,670016
2021-09-24,NH,555.0,557.0,514.5,520.8,143711,0.5065,283760
2021-09-27,NH,528.0,528.45,510.2,512.75,50141,0.45439999999999997,110345
2021-09-28,NH,515.35,516.0,505.5,507.5,41677,0.5266,79145
2021-09-29,NH,502.5,509.0,498.05,505.15,82328,0.6185,133114
2021-09-30,NH,508.0,514.5,500.0,502.3,138561,0.7526999999999999,184081
2021-10-01,NH,508.0,512.35,500.5,507.85,36468,0.4376,83328
2021-10-04,NH,510.0,517.5,505.15,510.45,81568,0.7406999999999999,110123
2021-10-05,NH,513.0,516.9,510.5,511.85,14973,0.4333,34559
2021-10-06,NH,515.0,519.4,507.0,511.3,25380,0.4104,61845
2021-10-07,NH,512.1,516.0,502.1,504.7,36253,0.5186,69899
2021-10-08,NH,502.5,509.2,501.5,504.9,27497,0.5461,50350
2021-10-11,NH,509.0,509.85,492.0,495.35,51836,0.6138,84449
2021-10-12,NH,498.95,509.0,497.05,501.8,23748,0.4554,52151
2021-10-13,NH,501.5,512.5,501.0,507.65,47999,0.5199,92315
2021-10-14,NH,512.7,518.0,508.25,514.8,60542,0.5905,102533
2021-10-18,NH,517.4,527.9,513.15,525.2,75426,0.5375,140325
2021-10-19,NH,529.9,534.0,523.3,525.3,67088,0.6075,110426
2021-10-20,NH,527.85,529.7,504.4,521.35,180906,0.7953,227480
2021-10-21,NH,524.5,524.5,491.9,500.2,284179,0.6558,433309
2021-10-22,NH,506.95,512.7,500.0,508.4,45952,0.5777,79547
2021-10-25,NH,514.0,514.0,501.8,511.2,27526,0.5428000000000001,50713
2021-10-26,NH,515.0,546.0,503.5,528.85,93324,0.3954,236042
2021-10-27,NH,532.8,534.65,513.1,518.85,29404,0.5509000000000001,53379
2021-10-28,NH,518.95,526.5,513.05,519.4,88747,0.6507,136381
2021-10-29,NH,529.0,529.0,514.55,521.35,41649,0.4304,96760
2021-11-01,NH,525.6,528.95,509.85,514.45,25074,0.3893,64411
2021-11-02,NH,522.15,556.45,517.2,550.4,596238,0.779,765343
2021-11-03,NH,553.0,554.0,536.2,549.6,163520,0.6681999999999999,244703
2021-11-04,NH,552.6,554.9,540.2,544.1,9101,0.4903,18563
2021-11-08,NH,543.85,548.0,535.35,544.7,197616,0.8288,238439
2021-11-09,NH,544.0,552.85,540.7,549.9,272924,0.8943000000000001,305179
2021-11-10,NH,548.0,577.95,541.2,547.2,120469,0.2177,553338
2021-11-11,NH,575.0,623.15,562.0,571.45,918059,0.15380000000000002,5969919
2021-11-12,NH,568.9,570.0,541.4,547.6,135117,0.25780000000000003,524060
2021-11-15,NH,551.6,596.15,549.2,561.95,351294,0.2036,1725571
2021-11-16,NH,563.45,584.8,558.9,569.4,525127,0.5777,908968
2021-11-17,NH,569.0,608.75,558.4,585.45,351340,0.38020000000000004,924039
2021-11-18,NH,593.75,626.7,580.0,589.95,302945,0.1448,2092346
2021-11-22,NH,590.0,600.0,544.1,592.5,213514,0.3181,671259
2021-11-23,NH,590.6,590.6,551.0,571.3,68435,0.2493,274511
2021-11-24,NH,570.95,584.8,570.9,575.55,55561,0.3013,184376
2021-11-25,NH,574.0,578.95,556.7,569.15,49868,0.2994,166551
2021-11-26,NH,567.0,588.0,544.0,549.6,175907,0.4037,435784
2021-11-29,NH,549.1,582.8,530.0,567.55,151806,0.21559999999999999,703954
2021-11-30,NH,562.2,612.0,553.1,596.3,611876,0.5905,1036156
2021-12-01,NH,609.8,609.8,582.0,585.4,94035,0.33530000000000004,280422
2021-12-02,NH,590.0,590.0,575.4,579.75,43795,0.39640000000000003,110476
2021-12-03,NH,583.5,586.05,566.0,570.5,110285,0.48810000000000003,225948
2021-12-06,NH,572.45,578.5,557.95,560.55,44335,0.3536,125379
2021-12-07,NH,566.55,574.0,561.3,570.25,33579,0.3776,88932
2021-12-08,NH,576.0,585.0,571.0,576.3,90345,0.4814,187662
2021-12-09,NH,574.0,580.0,570.5,573.65,97090,0.5979,162378
2021-12-10,NH,574.0,590.0,572.2,576.15,57904,0.329,175997
2021-12-13,NH,577.9,586.65,569.95,572.25,52275,0.4656,112271
2021-12-14,NH,572.25,608.0,568.6,601.75,227981,0.36090000000000005,631693
2021-12-15,NH,607.0,619.0,583.7,601.85,164269,0.3196,513952
2021-12-16,NH,601.85,605.95,581.2,595.55,38315,0.3212,119303
2021-12-17,NH,594.9,594.9,563.75,568.0,264422,0.6576000000000001,402126
2021-12-20,NH,561.0,564.8,544.95,557.1,97365,0.5917,164555
2021-12-21,NH,558.0,577.7,554.7,573.45,30962,0.257,120484
2021-12-22,NH,574.9,585.4,562.5,564.45,35168,0.3437,102310
2021-12-23,NH,569.9,577.8,562.85,572.6,27850,0.258,107965
2021-12-24,NH,575.85,576.65,565.25,571.95,13318,0.2914,45707
2021-12-27,NH,584.4,610.0,574.5,601.25,177749,0.35590000000000005,499410
2021-12-28,NH,610.0,610.0,592.0,593.9,78298,0.38020000000000004,205912
2021-12-29,NH,599.5,614.0,585.25,589.35,72133,0.30770000000000003,234397
2021-12-30,NH,592.0,616.4,590.65,609.6,537085,0.5742,935405
2021-12-31,NH,605.7,652.0,602.5,639.5,335740,0.3523,952872
2022-01-03,NH,648.0,675.0,632.05,640.75,285320,0.3118,915189
2022-01-04,NH,645.55,654.7,633.0,635.5,119822,0.3518,340625
2022-01-05,NH,633.0,662.0,630.9,653.7,119191,0.3344,356455
2022-01-06,NH,648.7,649.5,629.35,636.5,119221,0.4607,258768
2022-01-07,NH,634.0,657.0,634.0,647.0,284438,0.6119,464808
2022-01-10,NH,652.2,662.5,644.05,655.25,157277,0.5594,281159
2022-01-11,NH,654.0,666.95,646.7,655.95,110497,0.4611,239613
2022-01-12,NH,659.85,675.0,625.0,632.1,304042,0.445,683215
2022-01-13,NH,634.2,641.05,613.1,628.2,296875,0.5532,536619
2022-01-14,NH,631.0,637.55,614.35,625.3,166946,0.5442,306797
2022-01-17,NH,630.9,638.0,623.25,632.3,90620,0.452,200484
2022-01-18,NH,637.95,647.0,630.9,632.1,93989,0.43810000000000004,214518
2022-01-19,NH,635.75,643.45,627.7,638.7,96393,0.5072,190039
2022-01-20,NH,642.0,645.0,635.1,642.3,103751,0.6397,162186
2022-01-21,NH,642.55,642.55,632.55,637.45,44708,0.502,89067
2022-01-24,NH,637.0,641.1,622.9,629.35,117805,0.536,202292
2022-01-25,NH,629.9,654.0,607.7,650.1,122046,0.49950000000000006,244341
2022-01-27,NH,633.0,644.55,631.0,636.4,45141,0.46659999999999996,96753
2022-01-28,NH,642.0,654.95,635.0,641.2,83513,0.4773,174972
2022-01-31,NH,643.25,652.95,636.15,645.4,66358,0.5477000000000001,121151
2022-02-01,NH,652.0,662.9,643.0,645.35,141138,0.5296000000000001,266522
2022-02-02,NH,652.45,652.7,630.0,633.9,231265,0.7367,313902
2022-02-03,NH,640.0,650.0,634.75,642.65,60262,0.48009999999999997,125507
2022-02-04,NH,642.65,659.9,635.0,645.5,54289,0.43920000000000003,123614
2022-02-07,NH,659.0,679.0,644.0,660.85,131801,0.36590000000000006,360183
2022-02-08,NH,673.9,675.0,641.0,656.95,66514,0.40140000000000003,165725
2022-02-09,NH,665.95,666.9,637.55,640.75,55492,0.56,99086
2022-02-10,NH,645.45,652.9,641.0,649.2,30333,0.38450000000000006,78899
2022-02-11,NH,645.0,662.0,638.0,646.85,154237,0.6624,232853
2022-02-14,NH,658.85,658.85,630.0,644.5,132598,0.5408,245173
2022-02-15,NH,644.5,657.2,644.1,649.95,127853,0.6977,183243
2022-02-16,NH,657.0,665.0,652.2,655.4,42007,0.3739,112361
2022-02-17,NH,662.0,663.8,646.3,654.2,44402,0.39299999999999996,112972
2022-02-18,NH,660.0,664.95,651.55,656.6,60094,0.4925,122009
2022-02-21,NH,659.9,660.0,633.05,637.85,213124,0.7479000000000001,284970
2022-02-22,NH,600.0,649.6,600.0,638.3,96631,0.5174000000000001,186751
2022-02-23,NH,641.5,654.0,638.0,647.35,27722,0.40020000000000006,69277
2022-02-24,NH,638.0,640.0,625.0,631.35,60306,0.4626,130359
2022-02-25,NH,632.0,657.0,632.0,654.35,61833,0.4675,132254
2022-02-28,NH,656.0,698.9,644.05,685.4,122437,0.48200000000000004,254009
2022-03-02,NH,685.3,685.3,666.1,671.75,254404,0.7359,345719
2022-03-03,NH,684.95,684.95,666.05,673.95,111261,0.6431,172998
2022-03-04,NH,660.0,677.35,650.0,654.9,147521,0.6990000000000001,211035
2022-03-07,NH,639.0,663.05,632.1,645.6,62874,0.5055,124369
2022-03-08,NH,655.0,659.05,637.0,640.8,47624,0.5819,81844
2022-03-09,NH,648.0,660.0,641.7,655.45,213567,0.6465000000000001,330364
2022-03-10,NH,661.0,682.1,655.3,671.6,82255,0.52,158175
2022-03-11,NH,680.0,725.0,674.4,702.35,110893,0.31930000000000003,347319
2022-03-14,NH,702.85,720.95,694.0,698.5,75051,0.4769,157369
2022-03-15,NH,696.0,710.05,676.0,685.6,36021,0.4183,86115
2022-03-16,NH,690.3,699.0,677.5,690.75,52426,0.5135000000000001,102096
2022-03-17,NH,691.2,702.4,677.0,686.35,297484,0.6648999999999999,447394
2022-03-21,NH,688.0,700.0,683.1,687.9,194191,0.7676000000000001,252989
2022-03-22,NH,686.0,695.9,674.0,681.85,32870,0.4119,79802
2022-03-23,NH,684.9,708.0,674.0,690.35,328091,0.6744,486515
2022-03-24,NH,690.0,714.55,686.4,705.9,122403,0.5219,234539
2022-03-25,NH,705.9,738.0,701.55,705.4,110621,0.4202,263238
2022-03-28,NH,710.0,727.15,692.15,723.4,65175,0.4365,149309
2022-03-29,NH,725.25,755.8,725.25,749.15,96069,0.4585,209529
2022-03-30,NH,752.9,777.0,704.5,729.95,81391,0.3591,226630
2022-03-31,NH,729.95,750.0,719.3,745.35,157854,0.6384000000000001,247264
2022-04-01,NH,751.25,761.95,738.2,750.1,63555,0.6176,102910
2022-04-04,NH,752.5,768.15,752.0,759.5,52208,0.48380000000000006,107909
2022-04-05,NH,767.0,768.0,738.45,746.7,38965,0.4504,86504
2022-04-06,NH,746.0,754.4,734.35,738.5,164602,0.7543000000000001,218218
2022-04-07,NH,739.8,756.0,725.9,733.1,75036,0.5291,141830
2022-04-08,NH,741.0,748.0,735.0,739.9,567185,0.9159999999999999,619194
2022-04-11,NH,746.0,754.15,742.55,749.15,47226,0.514,91876
2022-04-12,NH,752.9,758.0,731.0,739.3,48487,0.4278,113344
2022-04-13,NH,744.8,749.0,727.35,731.15,168402,0.6901999999999999,243984
2022-04-18,NH,736.0,744.95,722.75,726.25,46262,0.43450000000000005,106463
2022-04-19,NH,726.9,743.45,715.25,728.2,61072,0.5386,113382
2022-04-20,NH,731.7,738.6,710.0,714.25,60623,0.5537,109481
2022-04-21,NH,720.65,727.85,704.9,708.1,69768,0.5468999999999999,127567
2022-04-22,NH,708.1,716.95,696.15,706.25,102094,0.6041,169000
2022-04-25,NH,705.0,705.0,687.1,698.65,56362,0.5064,111309
2022-04-26,NH,708.0,713.25,698.9,703.95,63859,0.5346000000000001,119444
2022-04-27,NH,707.95,716.5,700.1,710.05,338464,0.8502,398093
2022-04-28,NH,716.0,726.25,700.0,702.4,171843,0.7756000000000001,221564
2022-04-29,NH,702.5,721.0,694.4,700.15,69680,0.5786,120426
2022-05-02,NH,698.95,715.95,689.05,694.5,108150,0.6472,167105
2022-05-04,NH,696.1,703.3,671.3,682.55,199699,0.8009000000000001,249331
2022-05-05,NH,685.0,718.0,685.0,709.95,74111,0.5459,135760
2022-05-06,NH,704.0,704.0,685.0,694.9,108071,0.6965000000000001,155156
2022-05-09,NH,691.0,693.25,675.0,677.6,148677,0.7541,197148
2022-05-10,NH,678.8,695.7,667.85,679.95,61240,0.4826,126887
2022-05-11,NH,678.0,682.5,661.55,668.0,49518,0.5387,91926
