Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,NIACL,161.2,163.7,158.1,159.9,282009,0.3033,929772
2021-09-02,NIACL,160.9,162.45,156.25,158.6,270884,0.4479,604788
2021-09-03,NIACL,158.9,162.0,158.6,160.75,247217,0.38200000000000006,647207
2021-09-06,NIACL,161.9,162.2,159.0,159.8,187708,0.4686,400601
2021-09-07,NIACL,161.05,161.8,158.1,160.2,221543,0.5117,432945
2021-09-08,NIACL,160.2,163.6,156.7,158.25,291883,0.44420000000000004,657088
2021-09-09,NIACL,158.95,160.85,157.05,159.25,217794,0.49479999999999996,440148
2021-09-13,NIACL,159.8,169.0,159.4,168.0,848835,0.4046,2098157
2021-09-14,NIACL,167.0,173.6,165.2,172.05,903317,0.4031,2240987
2021-09-15,NIACL,172.0,173.5,171.5,172.1,441389,0.5733,769900
2021-09-16,NIACL,173.0,177.95,166.45,176.45,981065,0.4703,2086243
2021-09-17,NIACL,178.0,178.4,170.1,175.95,4647317,0.8104000000000001,5734806
2021-09-20,NIACL,172.0,173.3,168.85,169.35,266264,0.5483,485659
2021-09-21,NIACL,169.35,170.6,161.85,163.6,183173,0.3679,497824
2021-09-22,NIACL,164.95,166.15,161.5,161.7,190733,0.5082,375324
2021-09-23,NIACL,164.0,164.0,162.05,163.2,148107,0.522,283722
2021-09-24,NIACL,164.9,165.95,160.25,161.7,158415,0.3704,427690
2021-09-27,NIACL,165.0,165.0,161.7,162.25,145066,0.5264,275590
2021-09-28,NIACL,164.85,165.0,161.15,163.0,180296,0.48869999999999997,368909
2021-09-29,NIACL,163.2,164.25,161.4,162.25,153906,0.45740000000000003,336477
2021-09-30,NIACL,162.25,169.65,162.1,163.2,259827,0.3375,769827
2021-10-01,NIACL,162.05,164.5,161.45,162.0,133862,0.5064,264323
2021-10-04,NIACL,162.0,165.2,162.0,163.95,163767,0.5449,300529
2021-10-05,NIACL,163.25,167.0,162.8,164.6,160666,0.42700000000000005,376303
2021-10-06,NIACL,163.85,167.0,163.05,163.4,174317,0.5396,323047
2021-10-07,NIACL,164.0,177.9,164.0,170.85,500111,0.26920000000000005,1857934
2021-10-08,NIACL,172.0,172.7,165.5,166.55,196881,0.4755,414085
2021-10-11,NIACL,168.5,170.0,164.4,164.8,154674,0.5514,280534
2021-10-12,NIACL,165.75,165.75,162.6,163.7,140087,0.5482,255544
2021-10-13,NIACL,163.3,168.4,163.3,165.65,195831,0.4642,421831
2021-10-14,NIACL,166.0,167.8,163.1,163.9,150396,0.5579,269555
2021-10-18,NIACL,165.85,166.05,163.7,164.3,217588,0.595,365679
2021-10-19,NIACL,165.7,165.7,162.4,162.85,208802,0.6618,315504
2021-10-20,NIACL,163.5,165.0,160.0,161.45,183114,0.49570000000000003,369394
2021-10-21,NIACL,162.5,163.35,156.1,159.15,165842,0.49,338443
2021-10-22,NIACL,160.05,161.45,158.65,159.25,145201,0.5677000000000001,255753
2021-10-25,NIACL,161.45,165.8,156.0,161.1,217669,0.2727,798192
2021-10-26,NIACL,159.45,162.2,157.5,158.7,112809,0.4353,259182
2021-10-27,NIACL,160.3,160.55,156.9,157.2,164453,0.6434000000000001,255583
2021-10-28,NIACL,157.25,158.2,152.25,153.9,389786,0.7333,531564
2021-10-29,NIACL,155.9,157.05,151.6,152.35,400545,0.7284999999999999,549843
2021-11-01,NIACL,153.0,155.0,152.0,153.05,112146,0.44520000000000004,251919
2021-11-02,NIACL,153.9,153.9,151.8,152.45,117233,0.4997,234592
2021-11-03,NIACL,153.4,159.9,152.1,156.7,176636,0.2316,762666
2021-11-04,NIACL,157.4,157.65,155.65,156.85,29699,0.5556,53450
2021-11-08,NIACL,156.9,161.65,154.5,157.65,180364,0.5273,342032
2021-11-09,NIACL,157.5,158.85,156.25,157.65,134478,0.5776,232828
2021-11-10,NIACL,158.4,161.5,157.1,157.95,111004,0.40909999999999996,271328
2021-11-11,NIACL,158.9,163.0,158.4,161.45,163950,0.40950000000000003,400335
2021-11-12,NIACL,161.3,162.0,159.0,159.45,95496,0.4678,204156
2021-11-15,NIACL,160.0,160.0,152.5,154.45,75777,0.5555,136422
2021-11-16,NIACL,155.6,156.0,152.5,154.0,67196,0.5055,132942
2021-11-17,NIACL,153.85,157.0,153.5,155.2,79547,0.6001,132558
2021-11-18,NIACL,155.25,156.2,150.9,152.2,146990,0.6687000000000001,219801
2021-11-22,NIACL,152.2,153.1,143.5,144.35,124804,0.6448999999999999,193537
2021-11-23,NIACL,145.0,146.8,144.8,146.15,119902,0.546,219596
2021-11-24,NIACL,152.0,155.9,147.1,154.4,200162,0.2273,880598
2021-11-25,NIACL,154.4,156.0,150.75,151.25,113596,0.2997,379010
2021-11-26,NIACL,150.0,151.45,148.15,148.65,114608,0.5651,202806
2021-11-29,NIACL,147.5,148.25,145.9,146.75,81424,0.4833,168473
2021-11-30,NIACL,149.7,152.9,144.3,144.75,95496,0.40399999999999997,236357
2021-12-01,NIACL,145.2,148.0,144.0,144.9,59969,0.4866,123234
2021-12-02,NIACL,144.8,146.4,144.0,145.05,84990,0.48009999999999997,177017
2021-12-03,NIACL,145.9,147.6,145.0,145.5,64863,0.49920000000000003,129939
2021-12-06,NIACL,145.5,147.1,141.0,143.05,62178,0.44530000000000003,139625
2021-12-07,NIACL,143.9,145.7,142.35,143.8,48085,0.539,89208
2021-12-08,NIACL,145.0,146.15,143.95,145.35,49398,0.4843,102004
2021-12-09,NIACL,146.0,147.5,145.0,145.15,69262,0.4927,140577
2021-12-10,NIACL,145.95,148.6,145.25,146.1,142523,0.5332,267289
2021-12-13,NIACL,147.4,148.5,145.0,145.5,91962,0.5578000000000001,164866
2021-12-14,NIACL,145.4,146.85,143.5,144.05,77251,0.48600000000000004,158941
2021-12-15,NIACL,144.6,144.85,140.7,141.05,106840,0.6514,164024
2021-12-16,NIACL,142.45,143.8,139.7,139.95,85762,0.6298,136179
2021-12-17,NIACL,140.7,140.7,138.1,138.7,65815,0.5365,122669
2021-12-20,NIACL,138.0,139.6,134.0,135.2,92528,0.541,171024
2021-12-21,NIACL,137.8,138.4,136.2,137.0,31332,0.4601,68098
2021-12-22,NIACL,139.0,139.5,136.75,137.65,34864,0.49600000000000005,70286
2021-12-23,NIACL,138.9,139.15,133.7,134.8,216282,0.40399999999999997,535357
2021-12-24,NIACL,135.95,135.95,134.05,134.9,75156,0.5548,135453
2021-12-27,NIACL,136.5,136.5,134.2,135.25,46644,0.4888,95433
2021-12-28,NIACL,136.4,140.2,135.15,138.7,148722,0.4282,347349
2021-12-29,NIACL,139.8,140.0,135.0,135.9,141006,0.6482,217529
2021-12-30,NIACL,136.95,137.45,134.15,135.0,165292,0.7169,230568
2021-12-31,NIACL,137.6,144.8,136.8,140.25,461612,0.1942,2376825
2022-01-03,NIACL,141.2,141.3,138.95,139.5,180888,0.5478000000000001,330179
2022-01-04,NIACL,141.05,142.75,139.0,140.2,123954,0.48869999999999997,253640
2022-01-05,NIACL,140.0,142.0,138.8,139.3,179822,0.4681,384139
2022-01-06,NIACL,138.1,139.75,137.75,138.25,116313,0.5339,217868
2022-01-07,NIACL,139.0,140.0,137.05,138.15,160021,0.5447,293778
