Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,NIFTYEES,21750.03,22210.0,21750.03,22210.0,4,0.8,5
2021-09-02,NIFTYEES,22400.0,22400.0,22120.0,22120.0,3,0.75,4
2021-09-03,NIFTYEES,22190.0,22404.0,22190.0,22389.33,5,0.7143,7
2021-09-06,NIFTYEES,22600.0,22612.0,22400.0,22612.0,6,0.8571,7
2021-09-07,NIFTYEES,22300.02,22729.0,22300.02,22505.0,4,0.44439999999999996,9
2021-09-08,NIFTYEES,22505.0,22505.0,22499.99,22499.99,3,0.75,4
2021-09-09,NIFTYEES,22750.0,22779.0,22250.0,22779.0,6,0.8571,7
2021-09-14,NIFTYEES,22201.0,22798.0,22201.0,22798.0,2,0.4,5
2021-09-16,NIFTYEES,22400.0,22799.0,22400.0,22798.0,5,0.8333,6
2021-09-17,NIFTYEES,22400.0,22994.0,22400.0,22994.0,1,0.5,2
2021-09-20,NIFTYEES,22500.0,22605.0,22500.0,22605.0,2,1.0,2
2021-09-21,NIFTYEES,22605.0,22605.0,22605.0,22605.0,1,1.0,1
2021-09-22,NIFTYEES,22830.0,22830.0,22830.0,22830.0,1,1.0,1
2021-09-24,NIFTYEES,22830.0,22830.0,22830.0,22830.0,3,1.0,3
2021-09-27,NIFTYEES,22830.0,22830.0,22830.0,22830.0,1,1.0,1
2021-09-29,NIFTYEES,22505.0,22705.0,22505.0,22705.0,2,1.0,2
