Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,NILAINFRA,5.9,5.9,5.65,5.75,154756,0.5777,267897
2021-09-02,NILAINFRA,5.8,5.95,5.8,5.8,116734,0.78,149667
2021-09-03,NILAINFRA,5.9,5.95,5.65,5.85,212618,0.6918000000000001,307331
2021-09-06,NILAINFRA,5.9,5.95,5.75,5.8,83293,0.6049,137698
2021-09-07,NILAINFRA,5.75,5.9,5.6,5.7,200226,0.7391,270912
2021-09-08,NILAINFRA,5.75,5.85,5.25,5.4,1270926,0.6461,1966929
2021-09-09,NILAINFRA,5.5,5.6,5.3,5.45,205012,0.5115999999999999,400740
2021-09-13,NILAINFRA,5.4,5.65,5.4,5.5,341315,0.6445000000000001,529545
2021-09-14,NILAINFRA,5.55,5.65,5.45,5.45,167699,0.4877,343853
2021-09-15,NILAINFRA,5.4,5.55,5.4,5.45,225280,0.5578000000000001,403876
2021-09-16,NILAINFRA,5.5,5.55,5.4,5.45,235379,0.6843000000000001,343972
2021-09-17,NILAINFRA,5.45,5.5,5.3,5.35,260370,0.7475,348332
2021-09-20,NILAINFRA,5.35,5.45,5.25,5.35,114383,0.6415000000000001,178303
2021-09-21,NILAINFRA,5.25,5.3,5.2,5.3,126475,0.7545999999999999,167609
2021-09-22,NILAINFRA,5.35,5.35,5.2,5.3,147388,0.6734,218860
2021-09-23,NILAINFRA,5.35,5.7,5.3,5.35,265145,0.5452,486343
2021-09-24,NILAINFRA,5.3,5.45,5.25,5.35,201768,0.6917,291702
2021-09-27,NILAINFRA,5.3,5.4,5.25,5.3,216390,0.7958,271932
2021-09-28,NILAINFRA,5.25,5.35,5.1,5.2,218100,0.6901,316033
2021-09-29,NILAINFRA,5.3,5.3,5.15,5.2,68256,0.6087,112125
2021-09-30,NILAINFRA,5.25,5.3,5.0,5.2,213333,0.6501,328132
2021-10-01,NILAINFRA,5.1,5.35,5.1,5.15,318612,0.6132,519574
2021-10-04,NILAINFRA,5.2,5.4,5.2,5.35,260107,0.7478,347815
2021-10-05,NILAINFRA,5.3,5.5,5.3,5.45,193387,0.721,268207
2021-10-06,NILAINFRA,5.6,5.95,5.4,5.5,456212,0.38520000000000004,1184348
2021-10-07,NILAINFRA,5.7,6.45,5.55,5.9,1212033,0.5688000000000001,2130914
2021-10-08,NILAINFRA,6.1,6.3,5.9,6.1,523868,0.6658,786882
2021-10-11,NILAINFRA,6.25,6.25,5.85,6.0,385041,0.6856,561627
2021-10-12,NILAINFRA,6.0,7.05,5.7,6.75,1625441,0.5649000000000001,2877168
2021-10-13,NILAINFRA,7.2,7.4,6.85,6.95,1575350,0.5345000000000001,2947280
2021-10-14,NILAINFRA,7.0,7.25,6.9,6.95,481620,0.6461,745391
2021-10-18,NILAINFRA,6.95,6.95,6.4,6.55,529331,0.5661,935052
2021-10-19,NILAINFRA,6.55,6.7,6.35,6.35,419788,0.835,502732
2021-10-20,NILAINFRA,6.25,6.35,5.9,5.95,511798,0.7623000000000001,671352
2022-01-04,NILAINFRA,7.85,7.85,7.15,7.2,1027388,0.45270000000000005,2269443
2022-01-05,NILAINFRA,7.0,7.25,6.85,7.0,945122,0.6161,1533973
2022-01-06,NILAINFRA,6.85,7.35,6.7,7.35,734064,0.5832,1258747
2022-01-07,NILAINFRA,7.7,7.7,7.5,7.7,998971,0.5684,1757494
2022-01-10,NILAINFRA,8.05,8.05,8.05,8.05,608265,0.8902,683275
2022-01-11,NILAINFRA,8.35,8.45,7.95,8.45,1598949,0.5291,3021797
2022-01-12,NILAINFRA,8.85,8.85,8.85,8.85,627535,0.9705,646592
2022-01-13,NILAINFRA,9.25,9.25,8.5,9.25,2554378,0.4969,5140298
2022-01-14,NILAINFRA,9.5,9.7,9.25,9.7,945395,0.5936,1592631
2022-01-17,NILAINFRA,10.1,10.15,9.9,10.15,1005556,0.5999,1676229
2022-01-18,NILAINFRA,10.3,10.6,9.65,9.65,2360679,0.3177,7429723
2022-01-19,NILAINFRA,9.25,9.6,9.2,9.2,3615459,0.5837,6194019
2022-01-20,NILAINFRA,8.9,8.95,8.75,8.75,738055,0.9973000000000001,740079
2022-01-21,NILAINFRA,8.35,9.15,8.35,8.35,1590003,0.3283,4842899
2022-01-24,NILAINFRA,8.1,8.2,7.95,7.95,709775,0.5815,1789146
2022-01-25,NILAINFRA,7.6,8.15,7.6,7.6,728666,0.5879,1239423
2022-01-27,NILAINFRA,7.3,7.95,7.25,7.9,2039399,0.6165,3307941
2022-01-28,NILAINFRA,8.0,8.25,8.0,8.25,796420,0.6035,1319705
2022-01-31,NILAINFRA,8.3,8.55,7.85,7.85,784688,0.4473,1754356
2022-02-01,NILAINFRA,7.8,8.1,7.6,7.75,371680,0.6572,565570
2022-02-02,NILAINFRA,7.8,8.1,7.75,8.1,1625571,0.8151999999999999,1994150
2022-02-03,NILAINFRA,8.1,8.45,7.75,7.95,347111,0.4559,761341
2022-02-04,NILAINFRA,8.0,8.1,7.65,7.95,508951,0.5572,913420
2022-02-07,NILAINFRA,7.95,8.2,7.75,7.85,266918,0.6675,399856
2022-02-08,NILAINFRA,7.95,8.0,7.55,7.65,220718,0.5505,400955
2022-02-09,NILAINFRA,7.65,7.95,7.5,7.85,294746,0.7204,409117
2022-02-10,NILAINFRA,8.0,8.2,7.85,7.85,300305,0.4955,606067
2022-02-11,NILAINFRA,7.7,7.9,7.6,7.7,137778,0.6307,218458
2022-02-14,NILAINFRA,7.45,7.45,7.35,7.35,125040,0.7885,158588
2022-02-15,NILAINFRA,7.1,7.7,7.0,7.55,494785,0.5535,893871
2022-02-16,NILAINFRA,7.5,7.7,7.35,7.35,480418,0.6378,753298
2022-02-17,NILAINFRA,7.35,7.5,7.1,7.1,363947,0.6822,533504
2022-02-18,NILAINFRA,7.1,7.1,6.9,7.0,318251,0.8441,377034
2022-02-21,NILAINFRA,6.9,7.0,6.7,6.8,382257,0.7397,516771
2022-02-22,NILAINFRA,6.6,6.7,6.5,6.5,275671,0.7639,360854
2022-02-23,NILAINFRA,6.4,6.8,6.4,6.7,335441,0.5953,563476
2022-02-24,NILAINFRA,6.45,6.5,6.4,6.4,153379,0.7302,210038
2022-02-25,NILAINFRA,6.25,6.7,6.25,6.45,267009,0.6275000000000001,425533
2022-02-28,NILAINFRA,6.3,6.75,6.3,6.55,154641,0.5095000000000001,303487
2022-03-02,NILAINFRA,6.5,6.85,6.4,6.8,279568,0.8509000000000001,328541
2022-03-03,NILAINFRA,6.9,7.1,6.7,6.75,253245,0.5752,440301
2022-03-04,NILAINFRA,6.7,6.8,6.45,6.5,236671,0.531,445704
2022-03-07,NILAINFRA,6.4,6.5,6.2,6.2,226154,0.5363,421730
2022-03-08,NILAINFRA,6.3,6.4,6.05,6.3,154772,0.5416,285772
2022-03-09,NILAINFRA,6.4,6.6,6.3,6.6,293957,0.4282,686479
2022-03-10,NILAINFRA,6.8,6.9,6.65,6.65,325230,0.5427000000000001,599235
2022-03-11,NILAINFRA,6.8,6.95,6.7,6.85,168436,0.7409,227347
2022-03-14,NILAINFRA,7.05,7.15,6.75,6.75,200032,0.3469,576558
2022-03-15,NILAINFRA,6.85,7.0,6.5,6.75,374613,0.7184,521440
2022-03-16,NILAINFRA,6.85,6.85,6.6,6.6,256289,0.8063,317845
2022-03-17,NILAINFRA,6.6,6.85,6.6,6.8,146582,0.6452,227204
2022-03-21,NILAINFRA,6.75,6.9,6.6,6.6,100593,0.7689,130822
2022-03-22,NILAINFRA,6.65,6.65,6.35,6.4,179718,0.6606000000000001,272059
2022-03-23,NILAINFRA,6.4,6.6,6.3,6.35,175984,0.6394,275235
2022-03-24,NILAINFRA,6.25,6.35,6.15,6.15,284500,0.7184999999999999,395987
2022-03-25,NILAINFRA,6.2,6.4,6.05,6.1,255317,0.6958,366926
2022-03-28,NILAINFRA,6.1,6.25,6.0,6.1,431296,0.797,541165
2022-03-29,NILAINFRA,6.05,6.2,5.8,5.8,451041,0.8365,539202
2022-03-30,NILAINFRA,5.85,6.05,5.7,5.85,213990,0.6319,338623
2022-03-31,NILAINFRA,5.8,6.0,5.65,5.65,252112,0.7798999999999999,323243
2022-04-01,NILAINFRA,5.75,5.9,5.65,5.9,139517,0.6968000000000001,200235
2022-04-04,NILAINFRA,6.1,6.15,6.1,6.15,92896,0.925,100432
2022-04-05,NILAINFRA,6.45,6.45,6.25,6.45,287371,0.6313000000000001,455229
2022-04-06,NILAINFRA,6.7,6.75,6.6,6.75,141209,0.6470999999999999,218207
2022-04-07,NILAINFRA,7.0,7.05,6.75,6.8,553415,0.6228,888654
2022-04-08,NILAINFRA,7.0,7.0,6.75,6.85,223571,0.5461,409402
2022-04-11,NILAINFRA,6.85,7.1,6.8,6.85,209099,0.6067,344678
2022-04-12,NILAINFRA,7.0,7.05,6.55,6.55,333957,0.5747,581115
2022-04-13,NILAINFRA,6.65,6.85,6.5,6.85,341442,0.6368,536167
2022-04-18,NILAINFRA,7.1,7.15,6.9,7.15,708635,0.8483,835348
2022-04-19,NILAINFRA,7.5,7.5,7.35,7.5,532686,0.5402,986084
2022-04-20,NILAINFRA,7.85,7.85,7.15,7.25,694762,0.4841,1435110
2022-04-21,NILAINFRA,7.45,7.45,7.2,7.25,159198,0.6988,227831
