Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,NOCIL,276.7,281.5,274.0,279.3,317489,0.2393,1326495
2021-09-02,NOCIL,279.95,292.5,277.5,286.9,811476,0.2327,3487458
2021-09-03,NOCIL,288.0,295.0,281.15,283.25,450315,0.2465,1826505
2021-09-06,NOCIL,284.0,289.5,281.4,284.7,404293,0.3003,1346358
2021-09-07,NOCIL,285.9,285.9,272.6,274.75,788469,0.4222,1867507
2021-09-08,NOCIL,276.0,279.0,270.95,277.5,281535,0.2481,1134594
2021-09-09,NOCIL,278.75,286.0,278.0,283.55,544446,0.31260000000000004,1741905
2021-09-13,NOCIL,283.9,296.65,283.2,290.55,1054591,0.2325,4536295
2021-09-14,NOCIL,292.0,295.75,287.5,293.0,490519,0.31629999999999997,1550747
2021-09-15,NOCIL,293.8,311.0,293.55,305.35,1875248,0.24910000000000002,7526965
2021-09-16,NOCIL,307.9,313.5,305.05,307.45,772092,0.3095,2494761
2021-09-17,NOCIL,308.9,311.1,290.35,296.8,800315,0.3456,2315984
2021-09-20,NOCIL,296.8,303.7,290.15,294.55,385644,0.2547,1514027
2021-09-21,NOCIL,296.45,297.65,285.0,293.45,378128,0.2691,1405399
2021-09-22,NOCIL,294.9,302.5,293.55,298.1,328147,0.2579,1272549
2021-09-23,NOCIL,299.1,304.35,293.5,294.75,388766,0.4283,907704
2021-09-24,NOCIL,296.5,301.5,287.4,288.55,414592,0.3636,1140119
2021-09-27,NOCIL,291.0,293.15,286.55,289.0,221802,0.3343,663416
2021-09-28,NOCIL,290.45,296.0,285.0,293.9,274161,0.27,1015332
2021-09-29,NOCIL,291.0,293.4,287.2,288.45,224602,0.35340000000000005,635589
2021-09-30,NOCIL,289.7,294.9,289.0,290.7,219439,0.26780000000000004,819432
2021-10-01,NOCIL,287.65,289.7,286.0,286.55,245098,0.4465,548944
2021-10-04,NOCIL,287.0,298.6,286.9,296.05,558927,0.4171,1339897
2021-10-05,NOCIL,298.15,311.75,297.1,306.15,1020838,0.28809999999999997,3543669
2021-10-06,NOCIL,307.6,309.6,298.7,303.45,358360,0.3075,1165250
2021-10-07,NOCIL,306.5,319.95,305.65,310.2,1103236,0.25739999999999996,4286530
2021-10-08,NOCIL,312.5,312.6,303.55,305.5,326218,0.3801,858232
2021-10-11,NOCIL,307.95,315.8,307.0,314.05,720333,0.3688,1952964
2021-10-12,NOCIL,312.45,321.3,312.0,315.2,470111,0.3594,1308136
2021-10-13,NOCIL,315.5,317.6,309.6,310.7,310258,0.40270000000000006,770495
2021-10-14,NOCIL,312.65,313.65,305.5,307.4,326450,0.47270000000000006,690661
2021-10-18,NOCIL,308.5,312.9,303.1,304.5,446623,0.49350000000000005,905049
2021-10-19,NOCIL,306.0,306.95,292.0,294.3,396474,0.4462,888576
2021-10-20,NOCIL,295.0,296.0,271.05,284.0,953197,0.4449,2142449
2021-10-21,NOCIL,284.05,287.45,266.7,269.2,864879,0.5688000000000001,1520486
2021-10-22,NOCIL,272.2,280.65,267.8,272.8,360183,0.32520000000000004,1107623
2021-10-25,NOCIL,275.0,275.0,262.2,263.45,271797,0.39049999999999996,695976
2021-10-26,NOCIL,263.95,278.85,263.25,276.95,277287,0.3515,788772
2021-10-27,NOCIL,278.25,284.4,273.4,282.3,345510,0.2489,1388069
2021-10-28,NOCIL,283.0,283.5,270.05,273.3,328066,0.4207,779769
2021-10-29,NOCIL,271.7,274.0,265.25,266.9,342052,0.4313,793078
2021-11-01,NOCIL,269.35,273.55,267.15,269.75,208703,0.4146,503349
2021-11-02,NOCIL,270.0,274.7,268.0,269.6,312318,0.41270000000000007,756805
2021-11-03,NOCIL,256.15,265.0,251.15,260.3,622053,0.3511,1771616
2021-11-04,NOCIL,262.9,269.75,262.0,268.25,150618,0.5217,288697
2021-11-08,NOCIL,270.95,271.65,264.3,266.3,268270,0.4828,555628
2021-11-09,NOCIL,267.0,270.35,259.0,261.1,505215,0.5674,890395
2021-11-10,NOCIL,261.65,264.0,258.3,259.55,331679,0.4347,762999
2021-11-11,NOCIL,260.85,261.35,256.3,256.85,244759,0.4632,528389
2021-11-12,NOCIL,258.5,263.3,255.0,259.75,344930,0.4955,696140
2021-11-15,NOCIL,261.05,262.85,257.75,259.75,318962,0.5098,625624
2021-11-16,NOCIL,261.05,263.65,254.9,256.65,348644,0.5033,692767
2021-11-17,NOCIL,256.25,259.15,249.25,251.65,399880,0.5928,674535
2021-11-18,NOCIL,252.3,252.9,243.0,247.95,376065,0.4355,863552
2021-11-22,NOCIL,247.6,248.3,234.65,237.65,474790,0.4804,988251
2021-11-23,NOCIL,238.1,247.7,234.45,244.75,346001,0.3557,972806
2021-11-24,NOCIL,245.85,250.0,242.0,243.0,293533,0.4705,623915
2021-11-25,NOCIL,244.8,247.8,241.0,244.5,427630,0.5515,775359
2021-11-26,NOCIL,242.95,244.35,235.1,236.7,284409,0.42729999999999996,665628
2021-11-29,NOCIL,231.5,234.0,223.0,223.9,375224,0.4057,924840
2021-11-30,NOCIL,222.7,234.5,216.55,225.4,1736316,0.5778,3005232
2021-12-01,NOCIL,226.5,232.5,223.2,229.7,347900,0.3725,933949
2021-12-02,NOCIL,231.0,245.95,230.6,243.5,389799,0.3273,1191095
2021-12-03,NOCIL,243.6,246.0,239.35,240.25,165030,0.225,733620
2021-12-06,NOCIL,241.85,242.1,229.85,230.85,223856,0.37420000000000003,598224
2021-12-07,NOCIL,232.8,237.9,232.25,233.3,135391,0.2601,520615
2021-12-08,NOCIL,235.0,241.95,235.0,238.85,193975,0.2713,715046
2021-12-09,NOCIL,240.0,242.4,237.0,240.35,121802,0.3106,392180
2021-12-10,NOCIL,241.05,243.7,239.1,240.6,129859,0.3368,385618
2021-12-13,NOCIL,245.0,249.1,243.0,244.8,216494,0.3481,621842
2021-12-14,NOCIL,244.4,247.8,241.5,245.8,126474,0.3283,385237
2021-12-15,NOCIL,246.05,251.0,233.0,235.3,514074,0.43310000000000004,1186986
2021-12-16,NOCIL,237.45,239.2,231.5,234.85,132346,0.297,445597
2021-12-17,NOCIL,233.75,234.6,225.1,227.05,158167,0.321,492707
2021-12-20,NOCIL,222.35,224.3,214.55,219.1,247483,0.3815,648720
2021-12-21,NOCIL,223.4,226.0,216.65,217.3,245252,0.3763,651804
2021-12-22,NOCIL,219.4,223.5,218.0,221.8,156778,0.3747,418389
2021-12-23,NOCIL,223.75,225.9,222.4,223.1,119704,0.3657,327295
2021-12-24,NOCIL,224.25,224.3,218.65,220.75,100190,0.3131,320018
2021-12-27,NOCIL,221.9,223.0,216.75,221.4,109961,0.2808,391582
2021-12-28,NOCIL,222.95,229.8,222.8,227.85,224753,0.2921,769530
2021-12-29,NOCIL,227.5,234.1,225.6,232.2,245300,0.32549999999999996,753510
2021-12-30,NOCIL,232.9,237.5,227.75,234.35,345160,0.3882,889182
2021-12-31,NOCIL,234.8,237.25,231.5,232.55,203047,0.3147,645251
