Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,OFSS,4741.65,4745.95,4631.4,4653.5,58839,0.473,124401
2021-09-02,OFSS,4653.5,4756.75,4650.0,4717.6,54401,0.42119999999999996,129169
2021-09-03,OFSS,4744.95,4807.0,4684.1,4749.0,73518,0.41759999999999997,176060
2021-09-06,OFSS,4769.9,4849.5,4718.05,4818.0,84168,0.32549999999999996,258567
2021-09-07,OFSS,4849.0,4872.4,4724.0,4743.0,51978,0.4646,111882
2021-09-08,OFSS,4748.0,4792.5,4691.45,4711.2,48863,0.35369999999999996,138138
2021-09-09,OFSS,4732.45,4807.1,4694.1,4767.55,114358,0.5713,200165
2021-09-13,OFSS,4797.3,4899.55,4754.35,4856.05,75328,0.34270000000000006,219792
2021-09-14,OFSS,4889.0,4899.95,4825.0,4832.9,51016,0.446,114390
2021-09-15,OFSS,4865.0,4931.55,4806.15,4866.85,70165,0.3936,178264
2021-09-16,OFSS,4886.25,4910.8,4801.0,4807.3,65710,0.5014000000000001,131055
2021-09-17,OFSS,4849.25,4849.25,4721.7,4790.8,200529,0.6664,300913
2021-09-20,OFSS,4786.55,4815.0,4690.0,4694.65,33889,0.37270000000000003,90924
2021-09-21,OFSS,4694.65,4713.0,4606.6,4668.9,47300,0.4755,99480
2021-09-22,OFSS,4700.0,4733.0,4633.1,4672.9,54066,0.4707,114862
2021-09-23,OFSS,4715.0,4730.0,4663.05,4698.05,47696,0.4929,96759
2021-09-24,OFSS,4715.0,4849.0,4680.0,4710.4,78008,0.3059,254974
2021-09-27,OFSS,4714.95,4739.9,4549.1,4584.85,73378,0.5111,143564
2021-09-28,OFSS,4575.0,4617.6,4480.0,4578.25,29064,0.39520000000000005,73541
2021-09-29,OFSS,4550.0,4591.55,4427.9,4533.65,345812,0.5344,647138
2021-09-30,OFSS,4571.0,4648.45,4530.0,4555.95,59783,0.40149999999999997,148890
2021-10-01,OFSS,4550.0,4550.0,4485.05,4512.25,25739,0.4595,56021
2021-10-04,OFSS,4534.0,4633.9,4493.1,4622.25,55932,0.48100000000000004,116287
2021-10-05,OFSS,4622.25,4720.0,4571.2,4703.05,37091,0.3486,106387
2021-10-06,OFSS,4739.9,4760.0,4626.8,4660.25,70728,0.4953,142811
2021-10-07,OFSS,4670.1,4772.25,4629.45,4742.7,67409,0.35840000000000005,188073
2021-10-08,OFSS,4764.95,4855.9,4730.75,4789.65,103956,0.4405,235977
2021-10-11,OFSS,4780.0,4780.95,4665.65,4745.05,30820,0.3576,86184
2021-10-12,OFSS,4740.0,4769.45,4672.4,4737.45,29331,0.3739,78441
2021-10-13,OFSS,4780.0,4781.4,4700.0,4743.8,42753,0.4365,97935
2021-10-14,OFSS,4799.6,4897.7,4711.65,4777.7,191932,0.4386,437602
2021-10-18,OFSS,4777.1,4826.45,4713.6,4729.45,41640,0.4693,88730
2021-10-19,OFSS,4760.0,5145.0,4744.9,4944.0,336342,0.3043,1105420
2021-10-20,OFSS,4949.9,4977.0,4666.55,4684.5,128192,0.4057,315975
2021-10-21,OFSS,4735.0,4735.0,4505.5,4544.4,157601,0.49560000000000004,318021
2021-10-22,OFSS,4540.0,4680.4,4491.05,4548.8,59434,0.4029,147504
2021-10-25,OFSS,4593.3,4593.3,4339.45,4450.75,55248,0.3566,154946
2021-10-26,OFSS,4465.0,4625.0,4455.45,4544.35,27024,0.2646,102115
2021-10-27,OFSS,4570.0,4714.0,4505.45,4663.5,59181,0.35960000000000003,164552
2021-10-28,OFSS,4485.0,4568.6,4258.05,4431.05,170903,0.32030000000000003,533554
2021-10-29,OFSS,4438.0,4487.75,4361.0,4424.5,63391,0.3925,161515
2021-11-01,OFSS,4485.0,4485.0,4350.0,4409.4,27301,0.3411,80040
