Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2022-01-04,OILCOUNTUB,10.75,10.75,9.8,10.0,41824,0.8786,47601
2022-01-05,OILCOUNTUB,10.4,10.4,9.55,10.0,23986,0.7884000000000001,30423
2022-01-06,OILCOUNTUB,10.4,10.4,9.65,9.8,31800,0.7539,42182
2022-01-07,OILCOUNTUB,10.2,10.25,9.9,10.1,87981,0.8305,105939
2022-01-10,OILCOUNTUB,9.65,10.2,9.65,10.1,60411,0.5981000000000001,101013
2022-01-11,OILCOUNTUB,10.1,10.2,9.7,9.85,40467,0.7728,52367
2022-01-12,OILCOUNTUB,9.85,10.0,9.4,9.55,51782,0.7181000000000001,72114
2022-01-13,OILCOUNTUB,9.8,9.9,9.3,9.9,18501,0.6659,27784
2022-01-14,OILCOUNTUB,10.1,10.1,9.45,9.5,56887,0.6448,88222
2022-01-17,OILCOUNTUB,9.85,9.9,9.5,9.7,32465,0.5891,55108
2022-01-18,OILCOUNTUB,9.7,10.0,9.6,9.85,25998,0.8151,31895
2022-01-19,OILCOUNTUB,10.0,10.05,9.45,9.6,25717,0.6817000000000001,37725
2022-01-20,OILCOUNTUB,9.45,9.8,9.45,9.6,8357,0.5590999999999999,14947
2022-01-21,OILCOUNTUB,9.8,10.0,9.25,9.85,19386,0.5814,33343
2022-01-24,OILCOUNTUB,9.9,9.9,9.4,9.4,14723,0.8398000000000001,34045
2022-01-25,OILCOUNTUB,9.25,9.3,8.95,9.2,15128,0.7970999999999999,18979
2022-01-27,OILCOUNTUB,8.75,9.5,8.75,9.2,20500,0.7155,28652
2022-01-28,OILCOUNTUB,9.05,9.3,8.9,9.2,16051,0.7251000000000001,22136
2022-01-31,OILCOUNTUB,9.65,9.65,8.8,8.9,22763,0.7042,32326
2022-02-01,OILCOUNTUB,9.25,9.25,8.7,9.1,20823,0.6711,31028
2022-02-02,OILCOUNTUB,9.4,9.4,8.85,9.0,8561,0.4547,18826
2022-02-03,OILCOUNTUB,9.15,9.2,8.8,8.95,11799,0.5740999999999999,20552
2022-02-04,OILCOUNTUB,9.05,9.15,8.9,9.05,7934,0.6706000000000001,11832
2022-02-07,OILCOUNTUB,9.4,9.4,8.8,8.85,14400,0.7863,18313
2022-02-08,OILCOUNTUB,8.7,9.2,8.65,8.8,6532,0.7037000000000001,9283
2022-02-09,OILCOUNTUB,9.3,9.3,8.7,9.0,11729,0.7475,15692
2022-02-10,OILCOUNTUB,9.0,9.1,8.5,8.85,14793,0.8107,18248
2022-02-11,OILCOUNTUB,8.7,9.2,8.35,9.0,10086,0.6709,15033
2022-02-14,OILCOUNTUB,9.2,9.2,8.4,8.5,15376,0.8540000000000001,18005
2022-02-15,OILCOUNTUB,8.5,9.0,8.15,8.35,6307,0.7291,8650
2022-02-16,OILCOUNTUB,8.2,9.0,8.2,8.55,5268,0.6112,8619
2022-02-17,OILCOUNTUB,8.75,8.95,8.4,8.45,5392,0.7351000000000001,7335
2022-02-18,OILCOUNTUB,8.65,8.75,8.1,8.4,3975,0.5538000000000001,7178
2022-02-21,OILCOUNTUB,8.65,8.65,8.0,8.0,5114,0.6940000000000001,7369
2022-02-22,OILCOUNTUB,8.2,8.8,7.65,8.8,32857,0.4672,70332
2022-02-23,OILCOUNTUB,9.5,9.65,9.0,9.65,38943,0.8434999999999999,46168
2022-02-24,OILCOUNTUB,10.05,10.6,9.65,10.6,210095,0.5847,359323
2022-02-25,OILCOUNTUB,11.1,11.1,11.1,11.1,64772,0.9999,64777
2022-02-28,OILCOUNTUB,11.5,11.5,10.55,10.7,274065,0.5447,503150
2022-03-02,OILCOUNTUB,10.55,11.0,10.2,10.2,78262,0.5134000000000001,152453
2022-03-03,OILCOUNTUB,9.8,10.3,9.7,9.7,69418,0.5953,116602
2022-03-04,OILCOUNTUB,9.35,9.8,9.25,9.25,51464,0.5139,100153
2022-03-07,OILCOUNTUB,9.25,9.7,9.25,9.7,26968,0.9686,27843
2022-03-08,OILCOUNTUB,10.15,10.15,10.15,10.15,12883,1.0,12883
2022-03-09,OILCOUNTUB,10.65,10.65,10.2,10.65,109465,0.6399,171055
2022-03-10,OILCOUNTUB,11.15,11.15,11.0,11.15,83203,0.8843000000000001,94088
2022-03-11,OILCOUNTUB,11.7,11.7,11.4,11.7,156524,0.8944,175000
2022-03-14,OILCOUNTUB,12.25,12.25,11.15,11.15,111975,0.6731,166360
2022-03-15,OILCOUNTUB,10.6,10.6,10.6,10.6,30490,1.0,30490
2022-03-16,OILCOUNTUB,10.1,10.1,10.1,10.1,34638,0.9281,37322
2022-03-17,OILCOUNTUB,9.75,10.6,9.6,10.05,57734,0.5653,102122
2022-03-21,OILCOUNTUB,10.55,10.55,9.75,9.9,41065,0.5512,74498
2022-03-22,OILCOUNTUB,10.3,10.35,9.7,9.8,26607,0.7904000000000001,33664
2022-03-23,OILCOUNTUB,9.8,10.25,9.6,10.1,38373,0.6476999999999999,59242
2022-03-24,OILCOUNTUB,10.2,10.35,9.6,9.7,213736,0.7936,269314
2022-03-25,OILCOUNTUB,9.6,10.0,9.4,9.8,54428,0.7724,70462
2022-03-28,OILCOUNTUB,10.0,10.05,9.5,9.6,36125,0.7538,47925
2022-03-29,OILCOUNTUB,9.95,10.05,9.15,9.3,36091,0.6238,57853
2022-03-30,OILCOUNTUB,9.75,9.75,9.25,9.55,208161,0.9588,217115
2022-03-31,OILCOUNTUB,9.9,9.9,9.25,9.3,17771,0.7674,23158
2022-04-01,OILCOUNTUB,9.5,9.65,9.3,9.4,10642,0.6558,16227
2022-04-04,OILCOUNTUB,9.45,9.85,9.45,9.55,21823,0.833,26198
2022-04-05,OILCOUNTUB,9.3,9.7,9.2,9.5,40846,0.6634000000000001,61574
2022-04-06,OILCOUNTUB,9.3,9.65,9.15,9.4,41133,0.679,60583
2022-04-07,OILCOUNTUB,9.35,9.65,9.05,9.45,44126,0.7349,60040
2022-04-08,OILCOUNTUB,9.7,9.7,9.15,9.45,29668,0.6164000000000001,48134
2022-04-11,OILCOUNTUB,9.45,9.75,9.3,9.6,49993,0.7563,66099
2022-04-12,OILCOUNTUB,9.6,9.8,9.25,9.3,24923,0.6001,41528
2022-04-13,OILCOUNTUB,9.7,9.7,9.05,9.35,8231,0.41759999999999997,19710
2022-04-18,OILCOUNTUB,9.35,9.45,9.0,9.3,8917,0.6948000000000001,12833
2022-04-19,OILCOUNTUB,9.3,9.6,9.2,9.25,10937,0.7381000000000001,14817
2022-04-20,OILCOUNTUB,9.25,9.4,8.95,9.1,32407,0.7422,43665
2022-04-21,OILCOUNTUB,9.1,9.45,8.8,9.0,15832,0.7323000000000001,21621
2022-04-22,OILCOUNTUB,9.15,9.25,8.85,9.1,24445,0.8131,30063
2022-04-25,OILCOUNTUB,9.35,9.35,8.85,9.15,19453,0.8365,23255
2022-04-26,OILCOUNTUB,9.05,9.25,9.05,9.05,11834,0.7642,15486
2022-04-27,OILCOUNTUB,9.05,9.2,8.65,9.05,22483,0.7585,29642
2022-04-28,OILCOUNTUB,8.9,9.5,8.9,9.45,56220,0.7176,78342
2022-04-29,OILCOUNTUB,9.7,9.8,9.05,9.15,29185,0.6843000000000001,42647
2022-05-02,OILCOUNTUB,9.0,9.25,8.7,8.8,21638,0.653,33136
2022-05-04,OILCOUNTUB,8.8,9.05,8.4,8.5,24274,0.6925,35055
2022-05-05,OILCOUNTUB,8.7,8.8,8.25,8.75,20041,0.8151999999999999,24585
2022-05-06,OILCOUNTUB,8.75,8.75,8.4,8.4,10550,0.9961,10591
2022-05-09,OILCOUNTUB,8.3,8.65,8.3,8.45,6399,0.6959000000000001,9195
2022-05-10,OILCOUNTUB,8.65,8.65,8.3,8.4,7094,0.8625,8225
2022-05-11,OILCOUNTUB,8.5,8.75,8.1,8.25,25967,0.721,36017
2022-05-12,OILCOUNTUB,8.35,8.35,7.85,7.85,12676,0.8723000000000001,14532
2022-05-13,OILCOUNTUB,7.85,8.2,7.5,7.5,18378,0.5992000000000001,30671
2022-05-16,OILCOUNTUB,7.65,7.85,7.3,7.7,6747,0.7334999999999999,9198
2022-05-17,OILCOUNTUB,7.75,8.05,7.75,8.0,6964,0.7806000000000001,8921
2022-05-18,OILCOUNTUB,8.35,8.35,7.8,8.1,5264,0.6475,8130
2022-05-19,OILCOUNTUB,8.3,8.5,7.75,8.15,8992,0.6212,14476
2022-05-20,OILCOUNTUB,8.35,8.35,7.95,8.1,9926,0.6731,14746
2022-05-23,OILCOUNTUB,8.35,8.4,7.95,8.1,11167,0.6962,16041
2022-05-24,OILCOUNTUB,8.1,8.3,7.95,8.15,13086,0.8538,15327
2022-09-28,OILCOUNTUB,15.3,15.3,15.3,15.3,13178,1.0,13178
2022-09-29,OILCOUNTUB,16.05,16.05,16.05,16.05,8950,1.0,8950
2022-09-30,OILCOUNTUB,16.85,16.85,16.85,16.85,6589,1.0,6589
2022-10-03,OILCOUNTUB,17.65,17.65,17.65,17.65,7643,1.0,7643
2022-10-04,OILCOUNTUB,18.5,18.5,18.5,18.5,44127,1.0,44127
2022-10-06,OILCOUNTUB,19.4,19.4,17.6,17.6,294568,0.6702,439547
