Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2022-01-04,OLECTRA,877.8,877.8,820.1,831.45,212038,0.6273,337999
2022-01-05,OLECTRA,835.0,836.8,801.1,810.25,79810,0.5611,142237
2022-01-06,OLECTRA,805.0,822.8,794.0,808.55,85243,0.6014,141749
2022-01-07,OLECTRA,818.0,844.95,801.8,826.75,405555,0.7041,575980
2022-01-10,OLECTRA,828.0,854.7,827.9,830.8,112841,0.5456000000000001,206834
2022-01-11,OLECTRA,836.0,839.95,810.0,814.95,74076,0.6378,116142
2022-01-12,OLECTRA,822.8,822.8,802.0,813.4,83998,0.5942000000000001,141361
2022-01-13,OLECTRA,813.7,815.05,794.25,807.2,78341,0.6529,119989
2022-01-14,OLECTRA,802.0,845.0,797.0,821.4,96225,0.6026,159671
2022-01-17,OLECTRA,834.0,834.0,808.0,811.05,87776,0.5540999999999999,158405
2022-01-18,OLECTRA,815.0,818.8,790.0,793.45,103054,0.7025,146697
2022-01-19,OLECTRA,795.0,800.45,767.2,772.85,205617,0.7089,290035
2022-01-20,OLECTRA,797.0,811.45,788.35,811.45,211755,0.5418000000000001,390854
2022-01-21,OLECTRA,822.0,826.75,780.2,798.5,132190,0.5538000000000001,238694
2022-01-24,OLECTRA,773.0,795.75,758.6,763.2,87663,0.5411,325310
2022-01-25,OLECTRA,758.7,789.95,725.15,761.15,95940,0.5075999999999999,189019
2022-01-27,OLECTRA,759.95,777.0,750.45,762.05,94340,0.5619,167901
2022-01-28,OLECTRA,761.65,800.15,761.65,800.15,118282,0.7199,164297
2022-01-31,OLECTRA,840.15,840.15,840.15,840.15,112941,1.0,112942
2022-02-01,OLECTRA,859.0,864.8,825.0,847.65,432131,0.5811000000000001,743643
2022-02-02,OLECTRA,874.7,874.7,850.0,858.3,162807,0.677,240494
2022-02-03,OLECTRA,865.0,888.8,830.0,865.4,236025,0.5661,416902
2022-02-04,OLECTRA,865.4,875.0,845.5,850.55,91697,0.555,165210
2022-02-07,OLECTRA,850.5,858.5,808.05,815.3,120461,0.5357000000000001,224887
2022-02-08,OLECTRA,816.4,831.65,781.6,796.25,92109,0.528,174447
2022-02-09,OLECTRA,814.7,816.0,790.05,794.75,42202,0.551,76595
2022-02-10,OLECTRA,799.0,807.7,785.0,788.55,47264,0.5285,89431
2022-02-11,OLECTRA,783.7,796.05,770.0,778.9,70952,0.5484,129379
2022-02-14,OLECTRA,744.9,767.95,740.0,740.25,137679,0.6733,204479
2022-02-15,OLECTRA,708.0,754.0,704.1,740.8,209254,0.5291,395491
2022-02-16,OLECTRA,768.25,777.8,751.0,777.8,119826,0.7077,169320
2022-02-17,OLECTRA,785.0,803.95,774.0,778.7,75575,0.5651,133728
2022-02-18,OLECTRA,775.0,775.0,752.0,755.9,58961,0.6451000000000001,91403
2022-02-21,OLECTRA,747.2,747.2,718.15,718.7,89021,0.534,166714
2022-02-22,OLECTRA,682.8,712.75,682.8,684.25,183037,0.5597,326999
2022-02-23,OLECTRA,692.0,714.7,661.6,671.05,106252,0.6369,166815
2022-02-24,OLECTRA,637.5,648.0,637.5,637.5,144405,0.8029000000000001,179857
2022-02-25,OLECTRA,622.3,662.8,605.65,605.65,542053,0.7084999999999999,765019
2022-02-28,OLECTRA,581.0,635.9,575.4,633.95,189225,0.4994,378924
2022-03-02,OLECTRA,625.0,658.0,615.5,638.15,112662,0.6142000000000001,183434
2022-03-03,OLECTRA,656.9,659.8,610.05,613.85,119328,0.6003000000000001,198794
2022-03-04,OLECTRA,611.0,619.0,585.0,591.15,149289,0.6084,245391
2022-03-07,OLECTRA,566.0,599.0,566.0,583.4,131479,0.6353,206942
2022-03-08,OLECTRA,590.0,602.35,570.85,597.85,116835,0.6286,185859
2022-03-09,OLECTRA,607.5,627.7,603.1,627.7,98068,0.7177,136636
2022-03-10,OLECTRA,659.05,659.05,630.0,659.05,134890,0.4706,286651
2022-03-11,OLECTRA,666.3,689.85,646.2,663.8,174218,0.5904,295069
2022-03-14,OLECTRA,675.0,696.95,646.3,690.15,215557,0.5710000000000001,377511
2022-03-15,OLECTRA,697.0,697.0,660.0,663.95,91668,0.6312,145230
2022-03-16,OLECTRA,677.35,681.9,661.0,666.2,53165,0.6070000000000001,87580
2022-03-17,OLECTRA,681.0,682.0,662.55,671.15,89866,0.5903,152228
2022-03-21,OLECTRA,677.0,678.0,657.1,662.0,70476,0.5984,117774
2022-03-22,OLECTRA,662.0,668.75,650.05,657.75,43891,0.634,69228
2022-03-23,OLECTRA,662.0,664.9,640.0,644.05,76679,0.6766,113331
2022-03-24,OLECTRA,638.0,654.0,629.0,634.6,105523,0.7205,146452
2022-03-25,OLECTRA,635.0,647.95,622.3,625.0,76553,0.7451000000000001,102737
2022-03-28,OLECTRA,628.15,639.45,596.75,612.35,87939,0.6954000000000001,126457
2022-03-29,OLECTRA,618.0,623.95,605.75,609.3,69297,0.6352000000000001,109100
2022-03-30,OLECTRA,622.8,639.75,621.55,639.75,61442,0.9429000000000001,65163
2022-03-31,OLECTRA,671.7,671.7,657.15,669.55,203615,0.42490000000000006,479170
2022-04-01,OLECTRA,667.0,703.0,660.0,687.75,107694,0.4671,230550
2022-04-04,OLECTRA,694.85,700.0,685.55,687.4,87992,0.6083,144651
2022-04-05,OLECTRA,694.7,721.75,681.55,720.8,184608,0.45270000000000005,407806
2022-04-06,OLECTRA,722.0,738.35,708.05,713.15,150328,0.6581999999999999,228391
2022-04-07,OLECTRA,722.0,722.9,684.5,689.65,123004,0.7251000000000001,169636
2022-04-08,OLECTRA,695.0,707.0,690.3,695.65,39047,0.5855,66688
2022-04-11,OLECTRA,698.25,701.0,683.0,689.45,61141,0.6296,97105
2022-04-12,OLECTRA,689.4,722.0,669.0,715.55,98094,0.4182,234582
2022-04-13,OLECTRA,720.05,735.0,700.0,705.35,88365,0.5757,153483
2022-04-18,OLECTRA,718.0,721.0,694.95,710.55,99489,0.5342,186236
2022-04-19,OLECTRA,718.8,724.95,691.05,701.9,85967,0.5553,154810
2022-04-20,OLECTRA,714.0,714.0,680.05,688.05,67503,0.5274,127981
2022-04-21,OLECTRA,693.95,710.0,684.95,694.85,100888,0.507,198996
2022-04-22,OLECTRA,688.0,696.0,672.2,686.6,52317,0.5235000000000001,99942
2022-04-25,OLECTRA,683.1,685.95,660.0,662.2,173533,0.7986,217292
2022-04-26,OLECTRA,674.95,695.3,661.7,695.3,126997,0.756,167990
2022-04-27,OLECTRA,682.0,687.0,660.55,660.55,180355,0.4711,382838
2022-04-28,OLECTRA,660.55,674.95,639.0,643.8,117552,0.5860000000000001,200599
2022-04-29,OLECTRA,650.0,664.0,630.6,638.85,105938,0.5364,197509
2022-05-02,OLECTRA,637.0,662.8,618.0,627.7,140613,0.4712,298440
2022-05-04,OLECTRA,657.55,657.55,615.1,617.2,109661,0.5775,189875
2022-05-05,OLECTRA,635.0,635.0,602.25,610.75,63726,0.5986,106465
2022-05-06,OLECTRA,601.0,612.0,582.3,592.0,150465,0.6422,234286
2022-05-09,OLECTRA,621.6,621.6,601.0,606.85,377570,0.6692,564206
2022-05-10,OLECTRA,606.85,617.35,576.55,581.3,110142,0.6865000000000001,160436
2022-05-11,OLECTRA,570.0,592.5,555.3,569.7,147773,0.5807,254454
2022-05-12,OLECTRA,560.0,562.0,541.25,541.25,116863,0.6889000000000001,169627
2022-05-13,OLECTRA,554.8,568.3,544.1,549.7,156017,0.5661,275601
2022-05-16,OLECTRA,556.0,575.0,547.5,569.65,69372,0.46840000000000004,148104
2022-05-17,OLECTRA,575.0,589.5,566.4,580.3,67883,0.6226,109035
2022-05-18,OLECTRA,595.0,595.0,555.0,558.85,97560,0.6587000000000001,148104
2022-05-19,OLECTRA,540.0,549.75,535.0,540.0,48026,0.6162,77937
2022-05-20,OLECTRA,557.85,557.85,536.6,542.85,43515,0.6039,72058
2022-05-23,OLECTRA,552.5,569.95,542.9,564.4,111001,0.49119999999999997,225971
2022-05-24,OLECTRA,592.6,592.6,580.1,587.2,490131,0.6618,740560
